email,community_board,created,export_date,latitude
saljr@citywideplumbers.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
johnna@westshoretrucking.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.628448
oildoctor2015@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
memilio@allegrosanitation.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
cperfetto@perfettoent.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.640337
office@jeginc.org,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
stanley@sherdeltransfer.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.71091
greenbaysanitation@gmail.com,11.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.770881
chulynk@hotmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
scott.johnson@wasteconnections.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.703949
office@kleenitny.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.64013
eric@coppolacorp.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.881748
jerry@publicspaces.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
jeandull@irtwaste.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
smtirerecycling@aol.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
isreal@rushrubbish.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.706715
ppoilwaste@gmail.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.864843
pete@junkluggers.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.765513
cacrown@aol.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
joec@faztecind.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.628666
tntoscano@borowide.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.706519
cmccormackinc@aol.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.729391
info@hhjrconstruction.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
guillaume@walt-electronicsrecycling.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.671971
hlshbs89@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
rapidrubbishnyc@gmail.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.752034
steve.cskenergy@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
office@emergiclean.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
sspallino@basinhaulage.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.716919
keycontainerservice@yahoo.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
ddurski@sharpsmws.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
ggrepairs@live.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.751619
cd@approvedmedwaste.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dobrien@iwt-inc.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
vdjnyrecycling@gmail.com,4.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.697297
office@knrmanagementinc.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.700423
timothyfulton@gmail.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.718431
priorityfirstcarting@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
juleanchin1@gmail.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.637357
jasmin@dolcinium.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.77944
kpwastedisposal@gmail.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.89058
safety@organixrecycling.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
libertywasteinc@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
tlchaulinginc@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
anmconstructioncorp@gmail.com,11.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.850342
james@greenenvironyc.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.527808
office.monmore@yahoo.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
legal@rts.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dariusz@nyhill.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.613754
mappleby@darlingii.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
sandra@citywideny.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.760987
jsaia@gemstarcorp.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.635109
danielscarting@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
office@pkremodelinginc.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.757018
compliance@wearesouthwind.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
leounitedbrothers@gmail.com,10.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.881214
info@dirtnj.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dan_convery@msn.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
removeallmyjunk@gmail.com,9.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.833341
caroline@allboroindustries.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
info@watsonsplumbingheating.com,9.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.829331
james@greenenvironyc.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.640202
bigeddy3000@yahoo.com,15.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.591709
peter.l@idsas.net,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
samuelflrs1@gmail.com,13.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.675031
info@sajident.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.659997
sales@usashred.info,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
compliance@eastsidebulk.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
lcastro@synagro.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dispatch@mmsanit.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
zees.newyork@gmail.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.670971
erincon@ecerestoration.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
drjunkremoval7@gmail.com,9.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.700055
nmdemolition@aol.com,2.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.607234
greenoilrecycling@gmail.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.674148
licensing@blockbyblock.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
rchassid2@yahoo.com,18.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.624467
info@dimolawaste.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.696489
candcrecyclingnj@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
cindyxia18@hotmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
anthony@apache.nyc,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.628712
5bwasteremoval@gmail.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.871549
codenycllc@gmail.com,13.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.580909
landkitchens@yahoo.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
joe@data-struction.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
info@ecdny.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.778516
rareformcarting@aol.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.720275
smrubbish@aol.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
bic@legalshred.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
solutionsallinonellc@gmail.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.867576
tom191@gmail.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.774881
jandt@jtbro.net,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.713749
david.tran@danielshealth.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dgreenstein@lakintire.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
sliberstein@isseks.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.718694
ronysservices@yahoo.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.505292
hawkaallc2022@gmail.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.720358
alick@alluel.com,6.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.668775
onestyle.remodeling2@gmail.com,9.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.683228
daniloalvarez69@aim.com,4.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.697291
gftgreenmachine@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
office@1866wejunkit.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
redbrowndee@yahoo.com,17.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.649862
dannyg@triborotrucking.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
handsinunity.junkremoval@gmail.com,10.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.829569
graffix53@aol.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
permits@medxwaste.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
jmcleanouts@aol.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dyoungen@triumvirate.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
perciballics@aol.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.640202
angelat@tullyenvironmental.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.762282
domenic@filcocarting.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
adambrosio@interstatewaste.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
fdseoul119@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
lstroud@cleancinc.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.655903
info@bhrestoration.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.759771
supremecleanup26@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
csullivan@termac.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
ntristani@cogentwaste.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.73075
admin@cmpcontracting.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
luisconstructionnyinc@gmail.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.759733
us_rim_bs@ironmountain.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
vsatriano@gmail.com,3.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.553809
willo.trucking@yahoo.com,5.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.673899
drpk.inc@gmail.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.639588
jerrytherubbishman@gmail.com,2.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.595156
nova@novaconstructionservices.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.730549
willy349@gmail.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
mwilenta@wilenta.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
aardvarktrucking@hotmail.com,1.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.630068
sfried@cyntox.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
ron@ronstrucking.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
info@flatrate-junkremoval.com,18.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.631854
richie@regencyrecyclingcorp.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
everestcy@aol.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.790279
george@imvroswaste.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.783803
lpiecora@ritewaydemolition.com,2.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.752281
pl@laumont.com,4.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.764193
dunriterubbish@gmail.com,6.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.671777
swilloughby@mcvacenv.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
dev@4dconstructioninc.com,12.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.714101
ramon@puregreenrecycling.com,,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,
munassaryafee@gmail.com,7.0,2025-12-24T15:31:09.000,2025-12-24T00:00:00.000,40.648394
