borough,lot,longitude,nta,owner_name
MANHATTAN,1221,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1269,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1222,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1253,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 1403 LLC
MANHATTAN,20,-74.001883,SoHo-TriBeCa-Civic Center-Little Italy,CORAL LAFAYETTE LLC
MANHATTAN,1206,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,77,-73.98956,Chinatown,"119 ORCHARD PROPERTY, INC."
MANHATTAN,1239,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1250,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1234,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,24,-74.008765,Battery Park City-Lower Manhattan,"WESTBURY REALTY ASSOCIATES,LLC"
MANHATTAN,1235,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1214,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1232,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,6,-73.991908,East Village,WOODCUTTERS REALTY CORP.
MANHATTAN,1229,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1251,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1202,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1228,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 1102 CORP.
MANHATTAN,1301,-74.016153,Battery Park City-Lower Manhattan,GOLDMAN SACHS
MANHATTAN,3,-74.007708,Battery Park City-Lower Manhattan,143 FULTON STREET DEVELOPMENT OWNER LLC
MANHATTAN,45,-74.005758,SoHo-TriBeCa-Civic Center-Little Italy,YORK STREET LLC
MANHATTAN,1215,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,25,-73.994647,Chinatown,"LBW ENTERPRISES, LLC."
MANHATTAN,1262,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,11,-73.989303,Chinatown,OK HOUSTON HOTEL LLC
MANHATTAN,58,-73.988748,Chinatown,"NADICO HOSPITALITY, LLC"
MANHATTAN,1238,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,24,-73.992732,Chinatown,USA SENWELL FUND MANAGEMENT LLC
MANHATTAN,15,-73.998586,Chinatown,LUCKY MOTT REALTY CO
MANHATTAN,1274,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1227,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1002,-74.005771,Battery Park City-Lower Manhattan,BEEKMAN GROUND TENANT LLC
MANHATTAN,15,-74.00826,Battery Park City-Lower Manhattan,GREAT EMPIRE REALTY LLC
MANHATTAN,23,-74.00737,SoHo-TriBeCa-Civic Center-Little Italy,5444 ASSOCS.
MANHATTAN,1233,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1102,-74.009779,Battery Park City-Lower Manhattan,180 BROADWAY PROPERTY LLC
MANHATTAN,1003,-74.005771,Battery Park City-Lower Manhattan,BEEKMAN GROUND TENANT LLC
MANHATTAN,1210,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1101,-73.99,Chinatown,UNAVAILABLE OWNER
MANHATTAN,31,-73.993666,Chinatown,"DRAGON REALTY, LLC"
MANHATTAN,1264,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,"TASD PROPERTIES, LLC"
MANHATTAN,1,-74.005166,SoHo-TriBeCa-Civic Center-Little Italy,TRIBECA ACQUISITION RLTY CORP
MANHATTAN,1204,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1252,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 1402 LLC
MANHATTAN,1237,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,HA TRUONG LLC
MANHATTAN,1002,-73.988899,Chinatown,ALLEN FEE OWNER LLC
MANHATTAN,28,-74.004412,SoHo-TriBeCa-Civic Center-Little Italy,JDH INC
MANHATTAN,3,-74.003196,SoHo-TriBeCa-Civic Center-Little Italy,THOMPSON STREET ASSOCIATES
MANHATTAN,13,-74.006369,Battery Park City-Lower Manhattan,129 FRONT HOTEL LLC
MANHATTAN,4,-73.993864,Chinatown,OSIB-BCRE BOWERY STREET HOLDINGS LLC
MANHATTAN,1242,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,"HOUSING IMON CO., LTD."
MANHATTAN,7,-73.992313,Chinatown,"NINE ORCHARD PARTNERS, LLC"
MANHATTAN,8,-74.012931,Battery Park City-Lower Manhattan,UNION INVESTMENT REAL ESTATE GMBH
MANHATTAN,1241,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,17,-73.99557,SoHo-TriBeCa-Civic Center-Little Italy,BOWERY 88 LLC
MANHATTAN,24,-74.001331,SoHo-TriBeCa-Civic Center-Little Italy,218 HOLDING INC
MANHATTAN,1255,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,14,-74.006828,Battery Park City-Lower Manhattan,FKAL 49 ANN STREET LLC
MANHATTAN,1205,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 902 CORP.
MANHATTAN,1217,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,19,-73.992656,Chinatown,RICHLAND HOLDING LLC
MANHATTAN,1230,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,DUNDEE INVEST LLC
MANHATTAN,1208,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1247,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,9006,-73.989703,East Village,COOPER UNION ADVANCEMENT OF SCIENCE & AR T
MANHATTAN,1261,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1244,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,10,-74.008949,Battery Park City-Lower Manhattan,17 JOHN STREET PROPERTY OWNER LLC
MANHATTAN,48,-73.987467,Chinatown,180 LUDLOW DEVELOPMENT LLC
MANHATTAN,1,-74.006243,Battery Park City-Lower Manhattan,LAM PEARL STREET HOTEL LLC
MANHATTAN,1201,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1003,-73.988304,Chinatown,MRRDIGO LLC
MANHATTAN,1,-74.009035,Battery Park City-Lower Manhattan,"HCIN MAIDEN HOTEL ASSOCIATES, LLC"
MANHATTAN,1246,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1401,-74.009476,SoHo-TriBeCa-Civic Center-Little Italy,85 W BROADWAY PROPCO LLC
MANHATTAN,1268,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BSP MATARAZZO GROUP LLC
MANHATTAN,6,-73.990897,East Village,COOPER AND 6TH PROPERTY LLC
MANHATTAN,4,-73.995245,Chinatown,SU SU REALTY CORP
MANHATTAN,29,-74.012317,Battery Park City-Lower Manhattan,"PREMIER EMERALD, LLC"
MANHATTAN,1201,-74.006666,Battery Park City-Lower Manhattan,5 BEEKMAN HOTEL OWNER LLC
MANHATTAN,28,-74.006918,Battery Park City-Lower Manhattan,GILD HALL LLC
MANHATTAN,23,-73.992561,Chinatown,AGAWANI INTERNATIONAL INC
MANHATTAN,1203,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,48,-73.988023,Chinatown,THE DOWNTOWN LLC
MANHATTAN,20,-74.006792,Battery Park City-Lower Manhattan,106 FULTON LLC
MANHATTAN,1236,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,51,-74.012201,Battery Park City-Lower Manhattan,AI IV LLC
MANHATTAN,1001,-73.988864,Chinatown,101 LUDLOW STREET CONDOMINIUM
MANHATTAN,11,-73.998759,SoHo-TriBeCa-Civic Center-Little Italy,"SOLITA SOHO HOTEL, LLC"
MANHATTAN,29,-73.995173,SoHo-TriBeCa-Civic Center-Little Italy,"153 ELIZABETH STREET, LLC"
MANHATTAN,1270,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,24,-74.013068,Battery Park City-Lower Manhattan,"TRINITY NYC HOTEL, LLC"
MANHATTAN,35,-73.995127,Chinatown,CANAL BRIDGE REALTYINC.
MANHATTAN,53,-73.994589,SoHo-TriBeCa-Civic Center-Little Italy,"142 EMMUT PROPERTIES, LLC"
MANHATTAN,16,-74.007939,Battery Park City-Lower Manhattan,84 WILLIAM STREET PROPERTY OWNER LLC
MANHATTAN,1101,-74.008686,SoHo-TriBeCa-Civic Center-Little Italy,30 PARK PLACE HOTEL LLC
MANHATTAN,1,-73.989692,East Village,NEW YORK UNIVERSITY
MANHATTAN,80,-73.993723,Chinatown,"LO,DAVID"
MANHATTAN,29,-74.004152,SoHo-TriBeCa-Civic Center-Little Italy,TRIBECA ASCOTT LLC
MANHATTAN,9,-74.001905,SoHo-TriBeCa-Civic Center-Little Italy,KING FOOK REALTY CORP
MANHATTAN,1258,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1219,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,41,-73.990938,Chinatown,88 ALLEN REALTY LLC
MANHATTAN,1212,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,16,-74.010227,SoHo-TriBeCa-Civic Center-Little Italy,377 GREENWICH LLC C/O
MANHATTAN,1260,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1,-74.013818,Battery Park City-Lower Manhattan,130 OWNERS GROUP
MANHATTAN,1273,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1110,-73.993536,Chinatown,94 CANAL REALTY LLC
MANHATTAN,12,-74.0051,Battery Park City-Lower Manhattan,SEAPORT HEIGHTS LLC
MANHATTAN,1248,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1223,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,52,-74.004726,SoHo-TriBeCa-Civic Center-Little Italy,THOR JAMES HOTEL INVESTOR LLC
MANHATTAN,1245,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
