summons_number,summons_image,payment_amount,penalty_amount,violation_time,license_type,precinct,issuing_agency,interest_amount
1419828691,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFOVVaM2xQUkZrMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",165.84,60.0,09:20A,PAS,26.0,POLICE DEPARTMENT,10.88
4639356316,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWsxNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,03:30P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.11
1447588484,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJQUkZFMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,07:00P,PAS,111.0,POLICE DEPARTMENT,0.0
8214005267,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRPVkVreVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",60.0,60.0,07:22A,PAS,114.0,TRAFFIC,0.06
7840916016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
7840913520,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hOZWxWNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,IRP,,,
4639356250,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWtreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,03:28P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.04
1447587133,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJPZWtWNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",125.0,10.0,01:04A,PAS,111.0,POLICE DEPARTMENT,0.0
4639356766,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYW1NeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,03:52P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
7840914718,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkdONFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,COM,,,
5103115580,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZSWGhPVkZVMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,05:46P,PSD,0.0,DEPARTMENT OF TRANSPORTATION,0.0
7883806269,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPYWtreVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
8214008402,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRQUkZGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,30.0,11:13A,PAS,109.0,TRAFFIC,0.0
8622986652,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelJPYWxreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,12:46P,PAS,33.0,TRAFFIC,0.0
1452472221,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtsNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",82.0,0.0,10:58A,COM,19.0,POLICE DEPARTMENT,0.0
7883800711,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2ROUkdONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
8602945723,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFhekJPVkdONVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,01:25P,PAS,121.0,TRAFFIC,0.0
8286521249,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkVrd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,08:10A,IRP,18.0,TRAFFIC,0.0
8123037016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBPZWtGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,11:24A,COM,10.0,TRAFFIC,0.0
7840916144,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtVd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
4639357163,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtVeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,04:22P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.02
1448258704,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVTVEZQUkdOM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,09:15P,PAS,72.0,POLICE DEPARTMENT,0.0
8752736684,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZM3BPYWxrMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",60.0,0.0,03:05P,PAS,32.0,TRAFFIC,0.0
5102499750,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFVVFZQVkdNeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,06:49P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
7031866182,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYWtVMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",97.19,60.0,01:02P,OMT,46.0,TRAFFIC,2.21
8123039300,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQVkUxM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,11:49A,TRC,14.0,TRAFFIC,0.0
1452472208,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,11:10A,PAS,19.0,POLICE DEPARTMENT,0.0
1439877476,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOVVaek5PZWxFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",106.39,60.0,08:56A,PAS,63.0,DEPARTMENT OF SANITATION,1.42
4647471895,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdjMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,11:05A,SRF,0.0,DEPARTMENT OF TRANSPORTATION,0.0
8286521924,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkd0NVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,06:05A,PAS,18.0,TRAFFIC,0.0
5102499774,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFVVFZQVkdNelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,06:50P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
4639356870,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYW1jelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.04,25.0,03:59P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.17
8119500222,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROUkVsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,10.0,03:21P,PAS,18.0,TRAFFIC,0.0
8070074747,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdNd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",95.0,0.0,07:50A,OMS,30.0,TRAFFIC,0.0
4636446781,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrNXFVVEJPYW1NMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",77.25,25.0,10:56A,PAS,0.0,DEPARTMENT OF TRANSPORTATION,2.34
8214011530,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGhOVkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",45.0,10.0,06:18P,PAS,114.0,TRAFFIC,0.0
7883804662,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPUkZreVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
7883807985,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPZW1zMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
8286522874,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOYW1jelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,06:58A,IRP,18.0,TRAFFIC,0.0
8622997911,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZPZW10NFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",35.0,0.0,11:21A,COM,19.0,TRAFFIC,0.0
8070074814,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdkNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",45.0,0.0,08:16A,PAS,32.0,TRAFFIC,0.0
4647471809,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdkM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,11:04A,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
7840916132,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtWNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
8108508241,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVrd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,02:08P,OMT,17.0,TRAFFIC,0.0
8070074711,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",45.0,0.0,07:42A,PAS,30.0,TRAFFIC,0.0
8123038434,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQUkZGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,07:07A,PAS,10.0,TRAFFIC,0.0
8070074735,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdONlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,07:46A,PAS,30.0,TRAFFIC,0.0
8108508198,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVVMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,01:48P,PAS,17.0,TRAFFIC,0.0
8119063478,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWxFelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",28.0,0.0,02:29P,COM,13.0,TRAFFIC,0.0
7840913490,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hOZWxFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,IRP,,,
4639356559,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxVeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.04,25.0,03:39P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.17
4650171660,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSVE5OVkZreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,02:58P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
1452472105,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,10:21A,COM,14.0,POLICE DEPARTMENT,0.0
4639356687,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxrMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,03:45P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.04
8752757171,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekZPZWtVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",95.0,30.0,01:07P,COM,106.0,TRAFFIC,0.0
8286521833,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkdkNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",105.0,0.0,10:19A,COM,18.0,TRAFFIC,0.0
8286523350,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOZWsweFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,09:25A,COM,18.0,TRAFFIC,0.0
1452471770,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdNelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",92.0,0.0,09:33A,COM,0.0,POLICE DEPARTMENT,0.0
8752736672,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZM3BPYWxrelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,03:03P,PAS,32.0,TRAFFIC,0.0
8244508607,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1FNUVWWGRQUkZsM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",114.02,60.0,09:10A,PAS,100.0,TRAFFIC,9.09
8123038707,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQUkdOM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,0.0,06:19A,PAS,13.0,TRAFFIC,0.0
8622997066,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZPZWtFeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",65.0,10.0,11:57A,PAS,20.0,TRAFFIC,0.0
4647929772,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZhM2xQVkdNelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,02:31P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
1452471769,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdNeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",92.0,0.0,08:55A,COM,0.0,POLICE DEPARTMENT,0.0
8328526785,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVVOUVWWGxPYW1NMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",126.31,60.0,09:21A,COM,19.0,TRAFFIC,1.31
4639357072,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtFelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.04,25.0,04:17P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.17
8622947452,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhekJPZWxFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",105.41,60.0,11:51A,PAS,25.0,TRAFFIC,0.59
8070074796,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdNMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",45.0,0.0,08:12A,OMT,32.0,TRAFFIC,0.0
7031866819,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYW1kNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",176.3,60.0,01:03P,PAS,40.0,TRAFFIC,1.3
4009270743,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVTVE5OUkdNd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",140.07,25.0,01:12P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.11
1452472210,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtsNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",100.0,0.0,11:05A,COM,19.0,POLICE DEPARTMENT,0.0
8123039530,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQVkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,10.0,08:12A,PAS,18.0,TRAFFIC,0.0
8221506205,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVVMVVWWGRPYWtsM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,10.0,04:35P,PAS,114.0,TRAFFIC,0.0
8752762592,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpOYWxVMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",95.0,10.0,09:37A,PAS,112.0,TRAFFIC,0.0
7031866972,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYW1zelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",123.0,60.0,09:50A,OMT,46.0,TRAFFIC,3.03
8286520051,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOUkVFeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0.0,0.0,05:47A,COM,18.0,TRAFFIC,0.0
7840914196,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkVVMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
8752765570,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPVkZVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",35.0,0.0,12:41P,PAS,102.0,TRAFFIC,0.0
1452471940,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdzd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",40.0,0.0,11:09A,COM,14.0,POLICE DEPARTMENT,0.0
8108508113,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVWNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,12:07P,PAS,18.0,TRAFFIC,0.0
7031866248,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYWtrd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,02:33P,PAS,46.0,TRAFFIC,0.0
8281073998,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FMVVRVE5OZW1zMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",70.0,10.0,01:22P,PAS,78.0,TRAFFIC,0.0
7768370995,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak1rOUVUVE5OUkdzMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",45.0,60.0,03:47P,PAS,78.0,TRAFFIC,1.61
7031867010,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPZWtGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",128.73,60.0,10:31A,PAS,52.0,TRAFFIC,4.52
4650171623,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSVE5OVkZsNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",46.01,0.0,02:57P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
4639356470,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,03:35P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
8286521821,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkdkNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",28.0,0.0,10:02A,COM,18.0,TRAFFIC,0.0
8070074851,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdjeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",45.0,0.0,08:20A,PAS,32.0,TRAFFIC,0.0
8752756907,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekZPYW10M1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,10.0,06:17P,PAS,112.0,TRAFFIC,0.0
8729075002,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVVOVVRVE5PVkVGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,10.0,06:15P,PAS,5.0,TRAFFIC,0.0
8214009777,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRQVkdNelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,30.0,11:13A,PAS,109.0,TRAFFIC,0.0
4639357000,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtGM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,25.0,04:13P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
8108508101,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,12:00P,PAS,17.0,TRAFFIC,0.0
7883710096,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZZM2hOUkVFMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,PAS,,,
4639357126,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtWNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.04,25.0,04:21P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.11
