project_description,organization_address,funded_amount,community_board,building_number,zip
"Installation of new windows, insulation, boiler and hot water heating systems, roof work, exterior pointing and waterproofing, and various apartment rehab. Low flow shower heads, Energy Star appliances and other upgrades  to enhance efficiency of utility ",108 Norfolk Street,0.0,CB3,,10002
"Renovation of space that was left behind when the NYC Opera left. They seek to create a new public gathering space, convert and expand rehersal space, and expand office space. ","20 Lincoln Center Plaza, 4th Floor",0.0,CB7,,10023
Complete Renovation of to 541 & 545 West 22nd Street to house exhibitions and programming spaces for new commissions and a variety of events.  Additional capital renovations at 535 West 22nd Street will create an expanded area for hosting Dia's ongoing pu,535 West 22nd Street,0.0,CB4,,10011
"The Medical Emergency Evacuation Vehicle is a multi-purpose vehicle capable of acting a mass evacuation ambulance for patients ranging from ambulatory to wheelchair and stretcher bound to patients requiring advanced life support treatments. It could also be utilized as mobile command center, triage and treatment center.",100 East 77th Street,0.0,CB8,,10075
"Create 1500 square feet in the School 3rd floor internal courtyard for a hydroponic ""Greenhouse Lab"" classroom.",270 West 70th Street,250000.0,CB7,03M199,10023
"Installation of bleachers, padding on gym walls, repainting/polishing of floor, repainting gym walls, installation of scoreboard equipment, and installation of new doors, lockers, and shelving in locker room equipment storage spaces.",439 West 49th Street,0.0,CB4,02M393,10019
Purchase (4) carts of Macbook laptops  and (7) Smart Boards to bring classrooms into the 21st Century.,"351 West 18th Street, 4th Fl.",200000.0,CB4,02M422,10011
"Redesign existing classroom space with built in shelving, pucchase glass top computer tables with 30 desktop computers, 4 laser printers, electrical upgrade. ",19 East 103rd Street,300000.0,CB11,04M171,10029
"Renovate, upgrade and expand their facilities - restore building facades and replace the main building roof in order to preserve the integrity of its NYC Landmark and National Historic Landmark buildings.",613 West 155th Street,0.0,CB12,,10032
Demolish existing areas to receive a new 30 LF thermal Glass storefront inclusive of interior vestibule and installation of a 30 LF x 20'D sculptural façade art piece consisting of 75 theater chairs with approximately 20 coats and other miscellaneous arti,155 First Avenue ,100000.0,CB3,,10003
"Purchase 36 Lenovo X131e (yellow Cover) laptops with computrace, 2-datamation DS-Netvault Notebook wheeled carts to store and move them securely, 8-Epson projectors, 16-Epson Brightlink, 16-Epson Interactive Pen A for BrightLink, 8-Elite Whiteboard Universal Screen, 8-B&H Photo Projector Screen Mounting/Reg, 8- B&H Photo A/V Installation of Whiteboard Screen/Cables.  Current technology/computers are out of warranty or broken.",328 West 48th Street,61000.0,CB4,02M408,10036
"Reconstruction of the sidewalk, expansion of treepits, and installation of permeable pavers in the street at the curb line as a means to address strom water overflow.",61 East 4th Street,292000.0,CB3,,10003
"Purchase desktop computers and monitors, a photocopier, printers, file cabinets, desks, waiting room chairs and tables, stackable classroom chairs, classroom and computer tables, meeting room table and chairs, therapy room pneumatic chairs, and desk guest","346 Broadway, 3rd Fl.",0.0,CB10,,10013
"Replace tiles, remove sink, add a new shade, replace two doors, add outlets, install four light fixtures, and replace the ceiling walls, plaster and paint.  Current room is is disrepair.  (See attached image).",234 West 109th Street,35000.0,CB7,03M862,10025
Increase technology in their classrooms and computer labs.,144-176 East 128th Street,80000.0,CB11,75M138,10035
"Upgrade the Subotnick Center/Trading Floor Simulator LED Ticker, LED wall boards and CRT televisions with new, modern, energy-efficient equipment that supports the College's pedagogical needs. ",1 Bernard Baruch Way,0.0,CB6,,10010
"comprehensive plan of energy-efficiency and environmental soundness. Includes the purchase and installation of a) rooftop equipment that will provide central heating and air conditioning, eliminating need for individual air conditioning units in rooms; b) ""Low E"" thermally-broken windows with insulated glass; and c)rain screened cladding integrated with Trespa for the facade. ",54 Nagle Avenue ,513000.0,CB12,,10040
Vehicle will support their food rescue and delivery operations.,"6 East 32nd Street, 5th Fl.",94000.0,CB5,,10016
"Copnstruction of curbs and pedestrian ramps for enhanced traffic delineation and tactile warnings for blind pedestrians.  Fixed seating, in-ground plantings, lighting are some of the amenities.","55 Water Street, ",0.0,CB1,,10041
Funding is for Greenroof ,32 West 92nd Street ,200000.0,CD7,,10025
"Purchase 380 Mid-size laptops,180 USB Headsets, 13 Laptop Security Carts, and 145 Lockers. Computers will allow students to develop essential skills; and the new lockers will replace the broken onesin the hallways.",21 Jumel Place,150000.0,CB12,06M324,10032
"Repair/replace wood on entire stage floor (sanding/vanishing), replace old curtains with new ones, install safety rails to stairs leading to stage, remove/replace 422 seats, paint ceiling and floor under under seating, install new flooring on the walkways, install handicap lift and seating, (8) wall-ceiling fans mounted for ventillation, install any additional electric needs to support the current light and sound system.",1700 Third Avenue ,,CB8,02M198,10128
"Architectural, structural, electrical, plumbing, and general construction work.  Work will meet current life safety and ADA regulations.  (Componenet of capital plan set forth in 2008).",167 West 89th Street,230000.0,CB7,,10024
"Phase II of Main Campus Library Renovation - Construction/transformation of 6th and 7th floors of library into a technology-enhanced student success center, as well as; areas for studying and gathering.",695 Park Avenue ,0.0,CB8,,10065
Upgrade their sound with accompanying microphones and lighting system in auditorium.,4862 Broadway,70000.0,CB12,06M314,10034
"Purchase 32 new desktop computers for their Lab and Media Center. (Lenovo M7 all-in one computer, installation of computer and lock-down devices, datamation Computer Lock Down).",250 West 127th Street,35000.0,CB10,05M154,10027
"Morgan Stanley Children's Hospital of Presbyterian Hospital - Pediatric Operating Rooms is in dire need of technology to support complex surgical casesin urology, ear, nose and throat, gastroenterology; neurology; and orthopedics. The following instrument","525 East 68th Street, W 104",500000.0,CB12,,10065
"Replacement/maintenance of all curtains and flooring, upgrade of audio/visual performance, replace seating and paint",103 West 107th Street,136000.0,CB7,03M054,10025
"This equipment servesas a critical technology in biomedical research diagnostics, treat and prevent heartdisease, diabetes, sickle cell disease, thalassemia, HIV/AIDS, influenza, and SARS.",310 East 67th Street,0.0,CB8,,10065
Installation of 404 seats in the auditorium and Installation of 24 light fixtures in the gymnasium.,185 First Avenue ,200000.0,CB3,01M019,10003
"Phase I - Contract with preservation experts for a complete assessment of the Monument's overall condition, and make initial repairs to arrest the monument accelerating deterioration and eliminate public safety hazards.","475 Riverside Drive, Suite 455",0.0,CB7,,10115
"(1)Reconfiguration of space to create additional classrooms and non-science instructional lab.  (2)Installation of air-conditioning units for the college's 17 IT closets on each floor of the North and South Towers. (3) Installation of new 350-ton rooftop air-conditioning unit on the South  tower penthouse, current unit has not functioned for years.",199 Chambers Street,750000.0,CB1,,10007
"Installall hard wood floors on the auditorium stage, mirrors for dance classes backstage, new control room/projection room, electrical wiring for AV equipment, accommodating seats, curtains, lighting deck, lighting equipment, surround sound system, video projection system with monitors on the side and main stage, AV rack to control sound and visual input and output, a PPD system to broadcast throughout building and into atrium and garden space directly next to auditorium, acoustical panels, proper ventillation/air conditioning, and mosiac mural that reflects the technology and arts theme that runs through the building.",150 WEST 105 STREET,,CB7,03M421,10025
"Purchase a projection of high-definition Panasonic Projector, lens, projector mount",540 West 21st Street,0.0,CB4,,10011
"(1) - Strip existing roof surface to remove the remainingineffective waterproofing membrane, demolish seteriorated concrete structural planks, repair and patch the existing concrete from the mezzanine level to maintain structural capacity sufficient for c","353 West Street @ Hudson Street (Pier 40, 2nd Fl.)",500000.0,CB2,,10014
Conduct a Feasibility Study of Roof to ascertain whether their roofcan withstand the added weight of a Green Roof.,131 East 104th Street,35000.0,CB11,04M072,10029
"Replace the roofing system over the 8th Floor Stafe Roof, and 7th Floor North and 7th Floor South Roofs (Siplast Roof-torched applied modified bitumen roofing system, including fully adjered insulation and cover board. Third floor South roof will be repla",30 Lincoln Center ,250000.0,CB7,,10023
Add funding to the FY12 and FY13 appropriation Boiler Project ID#126PV206-BLR  Additional funds will aid in moving system to a higher floor since museum was impacted by Storm Sandy.,100 Old Slip,0.0,CB1,,10005
Replace fire alarm system in all of its (5) academic buildings with a new state-of-the-art fully addressable fire alarm and detection system using microprocessor technology and graphics display.,227 West 27th Street,0.0,CB5,,10001
"Repairs to sinking roadways, curbs, and sidewalksalong Fairview Avenue to West 190th Street.  (project in final design at DDC).","55 Water Street, ",0.0,CB1,,10041
"Repalce 177 lampposts on City sidewalks in the Garment District from 35th Street to 40th Street, 5th Avenue to 9th Avenue; currentlighting styles are not energy efficient.",209 West 38th Street,225000.0,CB5,,10018
Complete structural renovation with technological upgrades to the information services offered.,209 West 38th Street,0.0,CB5,,10018
"Renovation = Re-engineering of cathodic protection against corrosion, replacing corroded structural steel, and re-welding a failed structural pile, without this work the boathouse will sink.","254 West 31st Street,    10th Fl",257000.0,CB12,,10001
"(1) Elevator upgrades; roof top track system, davits and window washing rig; new marquees for Zankel Hall and Isaac Stern Auditorium/Perelman Stage; exterior architectural Lighting; a rooftop tent; new fire alarm systems for two of the three performance s",881 Seventh Avenue,500000.0,CB5,,10019
Upgrade school auditorium technology and ventilation system  which is windowless to meet the technical needs of present theater productions providing technical training opportunities for the students. ,100 West 84th Street,125000.0,CB7,03M009 03M243,10024
Design and construct a wetland for its compost operation in EastRiver Park.  This will create a green infrastructure that will protect low-lying residential areas from floodwaters during storm events.,P.O. Box 20488,0.0,CB3,,10009
"Repair seats, replace drapes, upgrade sound and lighting system, purchase a technology cart/tv screens. ",160 West 78th Street,150000.0,CB7,03M087,10024
"Purchase Laptop computer carts and computers for the various grades Kindergarten through 5th Grade.  (Equipment = Lenovo x1 Carbon model or similar, 16 unit laptop mobile cart, printer, cables, extension cords, 6 outlet power strip, document scanner, extra key set for laptop carts, iPad 32 GB, integrator fees. ",3703 Tenth Avenue ,200000.0,CB12,06M005,10034
"Furnish and Install 28 lamp posts along Laurel Hill Terrace between 182nd Street thru 187th Streets to improve pedestrian safety and to add lighting to the Street during night hours.  Hire desigh consultants, expedite permits, excavation of the area, inst",500 West 185th Street,500000.0,CB12,,10033
"Purchase 50 ActivTables (1 for every classroom). 10- Ultimate Polycarbonate Basketball System, (2) Pro premier Soccer Goal 8'Hx24'Wx3'Dx9', (10) Soccer Flags, (30)Mis-Size Laptop School Image Lenovo L430 for Classroom Use, (150 all in Ine Space Saving PC School Image Lenovo.","21 Jumel Place, C202",125000.0,CB12,06M319,10032
Purchase laptops and security carts for the use of providing technology access for their K - 5 classes.  Limited space in school does not provide them with a lab.,219 East 109th Street,71000.0,CB11,04M182,10029
Improvements to Times and Duffy Squares bringing the roadway infrastructure up to a state of good repair which will enhance public safety.,"55 Water Street, ",0.0,CB1,,10041
,"40 West 116th Street, #B1004",0.0,CB10,,10026
replacement of fire alarm and security systems and the auditorium floors and stage.,1011 First Avenue,0.0,CB6,,10022
Cleaning and/or replacement of their expansive duct system; change out of the sump pump and heater incorporating the cooling tower into the automation system; installation of an additional set of double fire proof glass doors at their Café entrance; insta,1230 Fifth Avenue ,250000.0,CB11,,10029
"Purchase and Install site elements such as a comprehensive architectural site lighting package, landscape elements including bioswales and new plant materials.","90 West Broadway, #4",300000.0,CB1,,10007
"Convert their Studios for rehearsal space to performance space allowing NYC nonprofits to use the space for a wide range of public presentations, rehearsals, workshops, showcases and events.  There will be upgrades to to the audio and lighting systems, mo",229 West 42nd Street,0.0,CB5,,10036
"Install and upgrade hardware in all classrooms, purchase additional iMac desktop computers,video equipment, digital cameras,  adaptive technology, add Macbook laptops to each classroom so that; students have an equal learning opportunity.",345 East 15th Street,125000.0,CB6,75M226,10003
"Purchase moveable equipment for Urgent Care Center which will improve quality by reducing patient length of stay, avoiding the potential of complications and having improved surgical outcomes.",100 East 77th Street,0.0,CB8,,10075
"Implementation of a modern State of the Art EMR system for their Mental Health program.  This system will be shared by all clinic staff, through internet or a proprietyary network, allowing centralized, accessible, secure record- keeping and collaboration",237 East 104th Street,0.0,CB11,,10029
Reorganize and Renovate the public and program spaces to obtain a Certificate of Occupancy for building which houses (3) working theatres.  Building lacks basic elements needed to obtain a C of O.  New renovation will include a ADA compliant  street acces,150 First Avenue,400000.0,CB3,,10009
"Gut renovation of water-damaged building to code, create a new entrance and install an elevator to make the entire building accessible, repair/replace the existing façade and roof, and finish the ground and 1st floors with basic finishes",61 East 4th Street,0.0,CB2,,10003
"Demolition of existing building to double the size of gallery and performance space, install insulation and soundproofing, install an elevator and make building ADA compliant, install new energy-and-water-efficient building-wide systems.",156 Rivington Street,125000.0,CB3,,10002
"Renovation/Update of building, including the roofing, common areas, and interior of (8) apartment uniits.",419 East 86th Street,0.0,CB11,,10028
"Purchase (2) High Quality printers, (1) scanner, (25) Apple iPads, (2) Laptops, and presentation equipment (ELMO) for attorneys, social workers and paralegals, to print client letters, motions, research, etc. ","317 Lenox Avenue, 10th Fl.",0.0,CB10,,10027
"Concrete Masonry - we will perform a comprehensive overhaul of the sidewalk in front of the theatre. We propose to replace the curb, pitch and street so that rainwater will drain to the nearest drain and not pool in the entrance.",261 West 47th Street,257000.0,CB5,,10036
Purchase and install (12) sound isolation rooms in the basement level of the Martin Luther King Jr. Campus.  Students will participate in private music instruction and ensemble courses  throughout the school day. ,129 West 67th Street,165000.0,CB3,03M859,10314
"Create a new Battery Family Comfort Station and District One Park Office. Bathrooms are dilapidated and crumbling. Rusty stall doors and missing toilet seats, new attractions in the park desires better amenities.","1 Whitehall Street, 17th Fl.",0.0,CB1,,10004
"Construction of a 10-story building with 60 affordable rental units including 12 studio units set aside for youth aging out of foster care and veterans on the 9th and 10th floors.  The cellar will consists of 16,000 square feet of program and administrati","2090 Adam Clayton Powell, Jr. Blvd.",500000.0,CB10,,10027
"Renovation of exterior envelope of building, Infrastructure 9plumbing, HVAC, electrical, etc.) Interior space.  Construction of new addition either adjacent to its current building or adding floors to the current building.",235 East 11th Street,0.0,CB3,,10003
(1) Redesign the campus network to optimize computing. (2) Build/Create a home for the Max Bond Centerthat facilitates collaboration and exchange both within and outside The City College of New York. (3) Renovate/restore the Wingate Pool mechanical infras,160 Convent Avenue ,0.0,CB9,,10031
"Replace (20 existing pool filtration system at the AquaCenter.  These filters provide clean water to both Warm water Therapy Pool and Olympic Pool which serves in excess of 1,400 people daily.",555 East 90th Street,0.0,CB8,,10128
"Purchase of 5 Bishop's Crook lampposts to replace the existing lampposts on West 95th Street, between Central Park West and Columbus Avenue. ","c/o David Lopez, 17 West 95th Street, Apt 1",52000.0,CB 7,,10025
Purchase 35 - 21.5 inch iMac computers for their computer lab; 60-MacBook Laptops for grades 6 and 7; Security carts to hold the laptops; 3- printers for computer lab and carts; MacPro Servcer to stroe and share information on all computers.,1615 Madison Avenue ,126000.0,CB11,04M108,10029
"Outfitting of freshman class of 2017 with one-to-one laptops to be used throughout high school; computer storage carts, 125 Macbook Pro; and Dedicated Circuits.",439 West 49th Street,125000.0,CB4,02M507,10019
Fabrication and installation of new mass and rigging.,12 Fulton Street,0.0,CB1,,10038
"Org is seeking funding for components that were not included onto the project, such as enhancement to green components, including landscaping of the entrance, rooftop farm, and upgrading flooring materials. ",583 Riverside Drive ,0.0,CB9,,10031
Conversion of adjacent 4th floor spaces into a state of the arts Media Lab Space.  Modify the fourth-floor library space into a multimedia  and mulitmodal Media Commons to serve as a stdent-sentered space for collaboration and critical thinking.  Upgrade audiovisual and lighting for the basement-level auditorium into the CAS Media Center for the exhibition of work.,16 Clarkson Street,306000.0,CB2,02M560,10014
"Construction of 40,000 sq. ft facility inot a 199 seat Performing Arts Venue for live nusic and dance engagements, off-broadway theatre, film festival screenings, special events, and rental opportunities; reharsal space and dressing areas, exhibition spac",553 West 51st Street,0.0,CB4,,10019
"Phase I: Development the design for entire building. PhaseII: Window repalcement, removal of hazardous material caulking at windows, masonry façade and cornices, remove and replace parapet, remove and replace windows, recaulking windows, encapsulating lea",1230 Fifth Avenue ,300000.0,CB11,,10029
"Purchase speakers for PA system to be installed throughout the building (8 floors) including clasrooms and hallways, along with a control panel in each office allowing for proper communication in the event of an emergency.",154 West 93rd Street,80000.0,CB7,03M258,10025
"Removal of existing roof membrane, repairs to roof as needed, Installation of a new waterproof membrane and vegetative green roof; and final phase of the project will be to install Solar Panels, including racking and inverters to connect power outputf at ",890 Broadway,0.0,CB5,,10003
"Purchase of a broadcast quality high-def cameras, computers and software to operate rthe robotic cameras remotely, necessary mixing equipment, and state of the artmicrophones and audio equipment.",123 West 43rd Street,89000.0,CB5,,10036
Conversion of (1) classroom into a news network consisting of a sound proof roomallowing editors to monitor the visual and audio displayed and heard on the monitors.,150 West 105th Street,125000.0,CB7,03M145,10025
"Replacement of the current tile floor throughout the Center, replace existing doors with fire rated and unrated door openings, Wall repair, including: repairing, patching, priming and painting, upgrade elictrical systems, installation of door alarms on al",441 West 26th Street,0.0,CB4,,10001
"Purchase 7 TeqRetrofit Kits, (1) Smart USB Audio System, (1) Smart Board move, (1) ""77"" Smart Board Teq Ultra Short Throw Projector with rail System, Audio & Cover, (4) Teq Professional Development hours for participants, (10) 1-hr service calls.  Purchase and install an electronic message board in lobby.",213 East 63rd Street,48000.0,CB8,02M267,10065
"Restoration of deteriorated roadways and sidewalks along Ninth Avenue, from Ganswvoort Street to West 16th Street.","55 Water Street, ",0.0,CB1,,10041
"reconfigure the balcony in the Peter Jay Sharp Theatre to create patron lounge, improve audience circulation in both theatres, expand administrative work area, improve artists access in both theatres, enhance technical capabilities of both theatres, inclu",2537 Broadway,450000.0,CB7,,10025
"Complete Interior Renovation of landmarked façade will be restored and the sidewalk and underground vault will be rebuilt. A mechanical bulkhead will be added.  Two theatre spaces will be renovated with ne theater systems for rigging, audio, video, improve",74A East 4th Street,500000.0,CB3,,10003
,465 West 167th Street,,CB12,06M008,10032
"Renovation of Welcome Center space, additional space for for the various activities, add offices and event space with new furniture, lighting and signage.",1 Bernard Baruch Way,275000.0,CB6,,10010
"Purchase desktop computers, cables, color laser printer, a SMART Table and a  large interactive whiteboard, as well as an updated lending library CICO IntelliTrack Software and materials, install book shelves, sink and cabinet removal and installation, window shades and door, elcetrical outlets, plus management cost (11.5%).",20 West 112th Street,123000.0,CB10,03M185,10026
Purchase (2) 15 passenger vans to transport people with autism to and from their group homes and homes in Manhattan to their Day Habilitation Program Site.,"253 West 35th Street, 16th Fl.",0.0,CB5,,10001
"Used as a Communication and Operations hub during emergency situations such as major snow storms, natural disasters, and localized operations.","125 Worth Street, Rm. 728",0.0,CB,,10013
"Partial Demolition of Recreation Hall existing space, removal of existing fixtures, ciling tiles, wallpaper, flooring, etc. Replacing with the washington Heights Assembly and telecommunications HUB, a state-of-the art, free-to-the-community meeting venue,",515 Audubon Avenue,0.0,CB12,,10040
Update Theatrical equipment and expand their (2) theatres located at 145 Sixth Avenue in the Hudson Square neighborhood.  ,145 - 6th Avenue ,62000.0,CB3,,10013
CMP will renovate existing classroom space and expand bathroom facilities to accommodate the number of students that they serve. ,"70 Mulberry Street, 3rd Fl.",273000.0,CB1,,10002
"Full Renovation of existing building at 20 Thomas Street  to create a single complex with three theaters, attendant lobby and public spaces, technical/dressing room/program support space, office space and a conference area.",41 White Street,500000.0,CB1,,10013
"Paint and cement, replace the fencing around the entire yard to ensure better safety for the children, extend/replace the rubber matting that is already in place, oaint a mini-track to provide students with another sports option, paint a half court for basketball as a structured play option, 3 new backboards for basketball, paint bases for basketball/softball and a baseball diamond.",234 West 109th Street,54000.0,CB7,03M165,10025
"Upgrade of their sound, lighting, rigging and HVAC systems; repairs of the backstage area; renovation of the stage and public spaces",120 Claremont Avenue ,0.0,CB9,,10027
"Renovation of inpatient clinical areas = install handicapped accessible bathrooms for (5) inpatient rooms, demolition of 3,000 sq ft., carpentry, ceilings, bedroom finishes, HVAC Improvements, Sprinklers, Asbestos Abatement, etc.",506 Lenox Avenue,500000.0,"CB 9,10,11",,10037
"Replacement of windows at side and rear of building and shared air shafts, repair of two main fire escapes and replacement ofmissing sections, replacement of both sidewalk vaults including repair of structural beams and supports and existing openings; rep",59-61 East 4th Street,0.0,CB3,,10003
"Replace existing hydraulic freight elevator - cab, frame, platform, door operator, all hydraulic equipment, entrance frame, all wiring, controls and motors.",12 Fulton Street,300000.0,CB1,,10038
Feasibility Study for project,645 Main Street,35000.0,CB8,02M217,10044
"Create an enclosed greenroof of 1200 square feet, new roof, pavers, relocation of vents, new bulkhead to roof for two means of access and chain-link fencing around the roof. This project will be ancillary to the school's science curriculum.",311 East 82nd Street,,CB8,02M290,10028
Construction of new York City's first free-standing memorial to the AIDS crisis adjacent to to the former St. Vincent's Hospital.,P.O. Box 23,1000000.0,CB2,,10159
"Convert existing cafeteria into a multiuse space, currently they have no auditorium nor place for students to study/gather.",55 East 25th Street,200000.0,CB6,02M411,10010
"Replacement and reconstruction of roof dormers and skylights on historic red slate roofs along Columbus Avenue, 77th Street and / or Central Park West that are past their useful life and are actively leaking.",200 Central Park West,500000.0,CB7,,10024
"Renovate/upgrade (2) rtesident service elevators with new pumps, isolation pads, digital in-car operating stations, new flooring, car travel lanterns, hatchway door equipment, hall/call buttons with digital indicators, Fireman's service, hoist-way wiring ",270 East 2nd Street,0.0,CB3,,10009
"Purchase a 6000 lumen projector, a BlueRay player, a quad channel receiver, 16 wireless microphone systems, 4 wired microphones, a digital snake stagebox with CAT5 cables connecting to a 16 channel digital mixing console and digital recorder, 6 powered lo",1633 Broadway,67000.0,CB5,,10019
"Construction of a new 222,000-sq. ft facility in the Meatpacking District of Lower Manhattan - 93 Gansvoort Street includes: an 7,000 sq. ft Outdoor Plaza, 13,000 sq. ft. Outdoor Exhibition Space.",93 Gansevoort Street,500000.0,CB2,,10014
"Installation of a much-needed Elevator and Green-Roof at Casa Mutua 54 unit walk-up supportive housing for formerly homeless, mentally ill single adults. This will help decrease isolation, increase socialization and improve the mental and physical health ",331 East 70th Street,0.0,CB8,,10021
"Implement more green technologiess in Student Computer Lab such as storage space, 25 servers, VDI Software, and smart classroom technology equipment and replacements.",899 - 10th Avenue ,300000.0,CB4,,10019
"Total upgrade of auditorium  = seating, lighting, cracked flooring, missing tiles, uneven and hazardous surface, broken stage curtain.  Space used by (3) schools.",333 West 17th Street,200000.0,CB4,02M312 02M412 02M414,10011
"Upgrade 2 elevators, roof repair, plumbing, water heating system, new water tower, renovate onsite food pantry, fire escapes, security system, enhance the internal structure of the building, energy efficient windows and boiler (oil to gas) will be used to",145 West 15th Street,0.0,CB4,,10011
"Purchase 25 Smart Boards, including necessary projector, installation, and computer to be used for classroom teaching.",735 West End Avenue ,152000.0,CB7,03M075,10025
"Create new Riverfront parkland by transforming an abandoned parking lot in Riverside Park into a landscaped overlook of the Hudson River and the Hudson River Greenway.  (development, design and construction, restrooms, maintenance building, solar power, c","475 Riverside Drive, Suite 455",0.0,CB7,,10115
"Create an Auditorium/Performance/Community Space at Park East High School to organize school events, and student performances for the entire school population and the broader East Harlem Community.",230-24 East 105th Street,,CB11,04M495,10029
