phone,friday,condoms_male,additionalinfo,tuesday,facilityname-service_category
718-742-7622,9:00 AM - 5:00 PM,True,Find free safer sex products inside a bowl located on the counter in front at this pharmacy. Last Updated: 9/3/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 7:00 PM,SmartRX Specialty Pharmacy-Free Safer Sex Products
718-676-6205,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Zt Mobile-Free Safer Sex Products
718-600-9324,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Zaruma Beauty Spa-Free Safer Sex Products
347-587-3616,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Metro 107th St-Free Safer Sex Products
347-654-6386,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,LIC Tonsorial Barber-Free Safer Sex Products
347-291-2058,,True,Find free safer sex products at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Rising Phoenix Ink-Free Safer Sex Products
646-595-6718,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,39Th & 9Th Grocery Inc.-Free Safer Sex Products
347-557-9386,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Subway-Free Safer Sex Products
718-942-5515,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Glenny's Beauty Salon-Free Safer Sex Products
718-552-2926,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,I Love Tory Hammond Unisex Salon-Free Safer Sex Products
917-717-3632,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Manaa Soul Food Restaurant-Free Safer Sex Products
347-396-7959,8:30 AM - 3:30 PM,True,Find free safer sex products inside a fishbowl located in the clinic waiting areas at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:30 AM - 3:30 PM,Central Harlem Sexual Health Clinic-Free Safer Sex Products
3474651568,9:00 AM - 3:00 PM,True,Find free safer sex products inside a none located rm 144 and 133 at this government agency. Last Updated: 9/22/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 3:00 PM,NYC DOHMH Worth Street-Free Safer Sex Products
929-339-2191,6:00 PM - 4:00 AM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,11:00 AM - 4:00 AM,Platinums Clothing Store-Free Safer Sex Products
718-635-5350,9:00 AM - 5:00 PM,True,Find free safer sex products inside a bowls located at the check in and check out stations at this physician. Last Updated: 8/4/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,Sunrise Medical Group-Free Safer Sex Products
(718) 255-1065,10:30 AM - 6:30 PM,True,Find free safer sex products at this location.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,10:30 AM - 6:30 PM,Roosevelt City Pharmacy-Free Safer Sex Products
,,True,Find free safer sex products inside a fishbowl located at the cashier at this restaurant. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Peedee Restaurant-Free Safer Sex Products
212-367-1000,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Gay Men's Health Crisis (GMHC)-Free Safer Sex Products
718-922-7250,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Turner Barber & Beauty Salon-Free Safer Sex Products
718-513-3437,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,E-Z Fix Wireless-Free Safer Sex Products
917-697-1318,9:00 AM - 5:00 PM,True,Find free safer sex products inside a basket located waiting room at this social service. Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,BronxWorks - Townsend Ave.-Free Safer Sex Products
646-697-2274,9:30 AM - 4:30 PM,True,Find free safer sex products at this college/university.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:30 AM - 4:30 PM,Columbia Community Partnership for Health-Free Safer Sex Products
917-334-5856,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Stephlova'S Cafe-Free Safer Sex Products
718-484-8811,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Ohlala Restaurant & Bakery-Free Safer Sex Products
718-792-6000,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located in the front near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Friend's Tavern-Free Safer Sex Products
718-293-4352,8:30 AM - 5:30 AM,True,Find free safer sex products at this social service.Last Updated: 9/25/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:30 AM - 5:30 PM,"156, West 164 Street-Free Safer Sex Products"
347-591-3948,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Patron (El Larry) Barber Shop-Free Safer Sex Products
347-720-5137,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Black Hair Salon-Free Safer Sex Products
718-809-9796,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Redz Exclusive Cutz-Free Safer Sex Products
718-802-1111,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located in the back near the restroom at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,La Boom-Free Safer Sex Products
,11:00 AM - 2:00 AM,True,Find free safer sex products inside a fishbowl located in the front at this sex store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Pink Pussycat Boutique-Free Safer Sex Products
212-567-3688,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,D&D BEAUTY SALON-Free Safer Sex Products
212-932-6502,1:00 PM - 7:30 PM,True,Find free safer sex products inside a bowl located gyn department. peds department and adult medicine second floor at this clinical facility. Last Updated: 3/12/2020 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 7:30 PM,Renaissance Healthcare Network Diagnostic and Treatment Center-Free Safer Sex Products
2127365900,7:30 AM - 2:30 PM,True,Find free safer sex products inside a jar located all floors at this location.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,7:30 AM - 2:30 PM,West Midtown Medical Group-Free Safer Sex Products
347-486-0861,11:00 AM - 4:00 AM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,11:00 AM - 4:00 AM,The Bad Old Days-Free Safer Sex Products
718-498-1577,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,EDDIE BARBERSHOP-Free Safer Sex Products
212-982-1633,9:00 AM - 7:00 PM,True,Find free safer sex products inside a fishbowl located in the cafe area and reading area at this book store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 7:00 PM,Bluestockings-Free Safer Sex Products
7188726090,11:00 AM - 8:00 PM,True,Find free safer sex products inside a transparent plastic bin located by the front  door at this location.Last Updated: 9/24/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,11:00 AM - 8:00 PM,Shazia's Pharmacy-Free Safer Sex Products
646-393-4000,9:00 AM - 5:00 PM,True,Find free safer sex products inside a basket located reception area -main admin at this social service. Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,60 E. Tremont Ave.-Free Safer Sex Products
917-271-3332,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Zeke'S Bar & Lounge-Free Safer Sex Products
347-692-7922,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Planet Jamaica Games & Music-Free Safer Sex Products
