facility_pk,facilityname,address,website,service_type
329522734,Friend's Tavern,"78-11 Roosevelt Avenue,Ground",,Condoms and Lubricant
329523110,Villa Unisex Beauty Salon,3175 Villa Avenue,,Condoms and Lubricant
329523139,Zeke'S Bar & Lounge,1452 Fulton Street,,Condoms and Lubricant
329522521,Blind Tiger,281 Bleecker Street,,Condoms and Lubricant
329523102,UNIVERSITY MEDICAL AND DENTAL CENTER,"1715 University Avenue,NA",,Condoms and Lubricant
329522830,Kev'S Unique Barbershop,793 Crown Street,,Condoms and Lubricant
329522834,Kingsbrook Jewish Medical Center,"585 Schenectady Avenue,DMRI building/3rd fl/room 326A",,Condoms and Lubricant
329522839,KWEEN'S KLOSET,782 NORTRAND AVE,,Condoms and Lubricant
329523047,Sujey Salon,2941 Fulton Street,,Condoms and Lubricant
329523104,Valentina's Beauty Salon,2470 Beaumont Avenue,,Condoms and Lubricant
329522640,Darlyn Unisex Corp.,1710 University Avenue,,Condoms and Lubricant
329522774,Health Rite Pharmacy,1880 Amsterdam Ave.,,Condoms and Lubricant
329522854,Level One Salon,2839 Church Avenue,,Condoms and Lubricant
329522975,Pride Center of Staten Island,"25 Victory Boulevard,3rd Fl.","""http://www.pridecentersi.org/community-services-1/""",Condoms and Lubricant
329522724,Five Star Barber Shop,2425 Grand Avenue,,Condoms and Lubricant
329522745,Good Vibez Barber Shop,2167 Crotona Avenue,,Condoms and Lubricant
329522509,Betances Health Center,"280 Henry Street,1st Floor","""http://www.betances.org""",Condoms and Lubricant
329523127,womens health pavilion,"109-33 71ST RD,STE 2 G",,Condoms and Lubricant
329522738,Gantry,47-02 Vernon Blvd.,,Condoms and Lubricant
329522837,Kundalin Ink (Formerly Omega Tattoos),81-09 Roosevelt Avenue,,Condoms and Lubricant
329522688,EL GABY BARBERSHOP,3154 Fulton St,,Condoms and Lubricant
329522896,Mihail  Medvedovsky  physician  pc,"3039 Ocean Parkway,medical office left door",,Condoms and Lubricant
329522932,NYC DOHMH Worth Street,"125 Worth Street*,gound",,Condoms and Lubricant
329522709,EZ Pawn (95),95-54 Roosevelt Ave.,,Condoms and Lubricant
329522985,QUEENS DRUGS AND SURGICAL PHARMACY,"146-14 JAMAICA AVENUE,-",,Condoms and Lubricant
329522765,HASA Center #24 Amsterdam,"400 8 Avenue,1st floor",,Condoms and Lubricant
329523098,Twisted Rootz Juice Bar & Cafe,7905 Flatlands Avenue,,Condoms and Lubricant
329523024,Siata's Hair Braiding,1774 Pitkin Ave,,Condoms and Lubricant
329522497,Barbershop Shave & Cut,"119 Christopher Street,n/a",,Condoms and Lubricant
329522587,Celebrities Beauty Center,170 E. 174th Street,,Condoms and Lubricant
329522505,Bella Ciao Hair Studio,472 Marcus Garvey Boulevard,,Condoms and Lubricant
329522565,Brownsville Multi-Service Family Health Center @  Ashford,"650 Ashford Street,1 fl","""http://www.bmsfhc.wix.com/bms-family-health""",Condoms and Lubricant
329522870,M Reyes Barber Shop,186 East 104 Street,,Condoms and Lubricant
329522693,Elite Barber & Beauty Salon Express,986 E. 163rd Street,,Condoms and Lubricant
329522953,Paddles,250 West 26 Street,,Condoms and Lubricant
329522735,Frodi Dominican Style & Barbershop,1025 Rutland Road,,Condoms and Lubricant
329522525,Boca Pharmacy,"736 EAST 152 STREET,NA",,Condoms and Lubricant
329522592,Central Harlem Sexual Health Clinic,"2238 5th Avenue,1st Floor","""http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page""",Condoms and Lubricant
329522681,Eagle,"554 West 28 Street,Ground Floor",,Condoms and Lubricant
329522736,Fulton Ale House,1446 Fulton Street,,Condoms and Lubricant
329523073,The Graham,"151 Meserole Street,THE BAR",,Condoms and Lubricant
329522556,BronxWorks - Townsend Ave.,"1477 Townsend Avenue,BronxWorks - Basement","""http://www.bronxworks.org/walk-in-offices""",Condoms and Lubricant
329522503,Bedstyle Unisex Salon,531 Nostrand Avenue,,Condoms and Lubricant
329522997,Renaissance Healthcare Network Diagnostic and Treatment Center,"264 West 118 Street,1st Floor","""http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Renaissance.shtml""",Condoms and Lubricant
329523042,Stephlova'S Cafe,952 Utica Avenue,,Condoms and Lubricant
329522840,La Boom,56-15 Northern Boulevard,,Condoms and Lubricant
329522815,Jhonkirs Salon/ Beauty Spa,150 Sherman Ave.,,Condoms and Lubricant
329522885,Mediserv Pharmacy,"2611 Webster Ave,N/a",,Condoms and Lubricant
329523049,Sunrise Medical Group,"535 Clinton Avenue,Basement","""http://www.sunrisebrooklyn.org""",Condoms and Lubricant
329522471,Ahma Rx,2381 Frederick Douglass Boulevard,,Condoms and Lubricant
329523082,The Shop Beauty Bar,"111-34 Farmers Boulevard,Ground",,Condoms and Lubricant
329523028,SmartRX Specialty Pharmacy,1706 Lexington Avenue,"""http://www.smartrxnyc.com""",Condoms and Lubricant
329522541,BRANDY BARBERSHOP,3580 BROADWAY AVE.,,Condoms and Lubricant
329522604,CLASSIC FADEZ,"1455B ST. JOHNS PLACE, BROOKLYN NY 11213",,Condoms and Lubricant
329522702,Etelworks Inc.,"164-07 Northern Blvd,2nd FL",,Condoms and Lubricant
329523063,The Bad Old Days,1684 Woodbine Street,,Condoms and Lubricant
329522966,Pink Pussycat Boutique,167 West 4 Street,,Condoms and Lubricant
329522518,Black Hair Salon,1028 Rutland Road,,Condoms and Lubricant
329522739,Gay Men's Health Crisis (GMHC),307 W. 38th Street,,Condoms and Lubricant
329522942,Office of Birth Certificates,125 Worth Street,,Condoms and Lubricant
329522631,CUTS N' SLICES,"93 Howard Avenue Brooklyn, NY 11233",,Condoms and Lubricant
329522699,Erin'S Pharmacy,360 East 4 Street,,Condoms and Lubricant
329522756,Haitian American Community Coalition,"3807 Church Avenue,n/a","""http://www.hccinc.org""",Condoms and Lubricant
329522726,FLATBUSH AVENUE AND NOSTRAND AVE,FLATBUSH AVENUE AND NOSTRAND AVE,,Condoms and Lubricant
329523097,Turner Barber & Beauty Salon,5604 Church Avenue,,Condoms and Lubricant
329522905,Monkey Room,589 Ft Washington Avenue,,Condoms and Lubricant
329522498,Barrow's Pub,463 Hudson Street,,Condoms and Lubricant
329522489,Atlas Social Club,753 9 Avenue,,Condoms and Lubricant
329522884,Medilane Pharmacy Corp,204 Clinton street,,Condoms and Lubricant
329522612,Columbia Pharmacy,3921 Broadway,,Condoms and Lubricant
329522744,Glenny's Beauty Salon,56 E. Kingsbridge Road,,Condoms and Lubricant
329522490,Avenue Barbershop,"68-32 Myrtle Avenue,Ground",,Condoms and Lubricant
329523007,Rose African Hair Braiding,708 Ralph Avenue,,Condoms and Lubricant
329522686,El Classico Barber Shop,1416 Jerome Avenue,,Condoms and Lubricant
329522867,Lucky 13 Saloon,646 Sackett Street,,Condoms and Lubricant
329522877,Maria Estilistas Profesionales,3785 Broadway,,Condoms and Lubricant
329522671,Dr. Smoke,29-23 Astoria Blvd,,Condoms and Lubricant
329522800,J Cleaner's,489 Rockaway Ave,,Condoms and Lubricant
329522939,NYU Langone Medical Associates Penn District,"360 W. 31st St,3rd floor",,Condoms and Lubricant
329522590,"Center for Women's Health, Staten Island University Hospital","440 Seaview Avenue,2nd Floor",,Condoms and Lubricant
329522705,Executive Fitness Center,86-10 Roosevelt Ave,,Condoms and Lubricant
329523055,Tamara'S Beauty Bar,65 Lenox Avenue,,Condoms and Lubricant
329522777,Heidi Pharmacy,522 West 181 Street,,Condoms and Lubricant
329522968,Planet Jamaica Games & Music,1399 Fulton Street,,Condoms and Lubricant
329523050,SUNY Downstate Medical Center,"470 Clarkson Avenue,""MSC 1240; Suite J, 1st. Floor""",,Condoms and Lubricant
329523116,Vp Universal Salon,1464 St Johns Place,,Condoms and Lubricant
329522682,East Side Club,"227 East 56 Street,6th Floor",,Condoms and Lubricant
329522879,Mary Beauty Salon,630 Morris Avenue,,Condoms and Lubricant
329522881,MC Bar at Land of Plenty,204 East 58 Street,"""https://mc58bar.com/""",Condoms and Lubricant
329522964,Pieces Bar,8 Christopher Street,,Condoms and Lubricant
329523040,Stay Sharp Barber Shop,681 Melrose Avenue,,Condoms and Lubricant
329522683,EDDIE BARBERSHOP,369 Mother Gaston Blvd,,Condoms and Lubricant
329523092,Trendsettas Too Salon,577 New Lots Avenue,,Condoms and Lubricant
329522759,Harlem Care Pharmacy,"165 West 127 Street,N/A",,Condoms and Lubricant
329522907,Montefiore Prevention Center,"3058 Bainbridge Avenue,1",,Condoms and Lubricant
329522502,Bedford Stuyvesant Family Health Center - Broadway Family Health Center,1238 Broadway,"""http://www.bsfhc.org""",Condoms and Lubricant
329522684,El & Johns Barbershop,741 Riverdale Avenue,,Condoms and Lubricant
329522844,Ladies Stop Shoes & Accessories,208 Utica Avenue,,Condoms and Lubricant
329522915,Nahel Beauty Salon,280 E. 174th Street,,Condoms and Lubricant
329522611,Columbia Community Partnership for Health,"390 Fort Washington Avenue,Ground Floor",,Condoms and Lubricant
329523001,Ritmos 60,32-17 Steinway Street,,Condoms and Lubricant
329523068,The Brooklyn Sweet Shop,366 Myrtle Avenue,,Condoms and Lubricant
329522495,Barbers Studio,194 Utica Avenue,,Condoms and Lubricant
329522602,Claremont Family Health Center,"262-4 East 174th Street,Ground","""https://acacianetwork.org/""",Condoms and Lubricant
329522822,Juan Barber Shop,39-06 104th St,,Condoms and Lubricant
329522999,Rising Phoenix Ink,"88-54 165 Street,Ground",,Condoms and Lubricant
329523085,TOBACCO GRAB & GO,3087 Fulton St,,Condoms and Lubricant
329522767,HASA Center #43  Kingsbridge Ctr,"888 Garrison Avenue,3rd Floor",,Condoms and Lubricant
329522871,Mabel Hair Extension,6 E.1 84th Street,,Condoms and Lubricant
329522453,39Th & 9Th Grocery Inc.,526 9 Avenue,,Condoms and Lubricant
329522663,Doctors Medical Group,"3455 Boston Road,FLOOR",,Condoms and Lubricant
329522446,"156, West 164 Street","156 West 164 Street,first",,Condoms and Lubricant
329522708,E-Z Fix Wireless,772 East 80 Street,,Condoms and Lubricant
329522790,Icon,31-84 33 Street,,Condoms and Lubricant
329522889,Metro 107th St,909 East. 107th St,,Condoms and Lubricant
329522863,Longwood Barber Shop,1016 Longwood Avenue,,Condoms and Lubricant
