publication_date,fiscal_year,revenue_category,revenue_class,revenue_amount
20171130,2002,Federal Categorical Grants,Education,1364
20171130,2002,Taxes,Real Property Tax,8761
20171130,2008,Federal Categorical Grants,Community Development,260
20171130,2006,Federal Categorical Grants,Education,1693
20171130,2003,Miscellaneous Revenue,Permits,99
20171130,2004,Miscellaneous Revenue,Fines & Forfeitures,697
20171130,2007,State Categorical Grants,Higher Education,165
20171130,2004,Miscellaneous Revenue,Miscellaneous,683
20171130,2005,Capital IFA,Capital IFA,346
20171130,2002,State Categorical Grants,Health and Mental Hygiene,434
20171130,2008,Taxes,Other Taxes,5420
20171130,2008,Miscellaneous Revenue,Miscellaneous,1238
20171130,2005,Miscellaneous Revenue,Fines & Forfeitures,745
20171130,2003,Taxes,Sales Tax,3535
20171130,2003,State Categorical Grants,Other,358
20171130,2004,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,963
20171130,2007,Taxes,Real Property Tax,13123
20171130,2003,Miscellaneous Revenue,Miscellaneous,2242
20171130,2007,Miscellaneous Revenue,Interest,472
20171130,2004,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-27
20171130,2004,Miscellaneous Revenue,Water & Sewer,885
20171130,2006,Miscellaneous Revenue,Licenses,50
20171130,2005,Taxes,Other Taxes,4546
20171130,2008,Miscellaneous Revenue,Water & Sewer,1202
20171130,2006,Miscellaneous Revenue,Miscellaneous,553
20171130,2007,Miscellaneous Revenue,Charges,613
20171130,2006,Taxes,Sales Tax,4418
20171130,2006,Taxes,Real Property Tax,12636
20171130,2005,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,603
20171130,2008,Capital IFA,Capital IFA,455
20171130,2007,Miscellaneous Revenue,Fines & Forfeitures,741
20171130,2002,Federal Categorical Grants,Other,1911
20171130,2008,Federal Categorical Grants,Education,1739
20171130,2004,State Categorical Grants,Other,341
20171130,2007,Other Categorical Grants,Other Categorical Grants,1038
20171130,2003,Miscellaneous Revenue,Licenses,46
20171130,2008,State Categorical Grants,Health and Mental Hygiene,487
20171130,2008,Taxes,Personal Income Tax,9861
20171130,2004,Miscellaneous Revenue,Charges,592
20171130,2003,State Categorical Grants,Social Services,1576
20171130,2002,Miscellaneous Revenue,Licenses,47
20171130,2008,Taxes,Sales Tax,4868
20171130,2004,Miscellaneous Revenue,Permits,107
20171130,2003,Taxes,Business Taxes,2282
20171130,2006,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-542
20171130,2007,Miscellaneous Revenue,Licenses,46
20171130,2003,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-47
20171130,2002,Federal Categorical Grants,Social Services,2541
20171130,2004,Other Categorical Grants,Other Categorical Grants,957
20171130,2002,State Categorical Grants,Other,290
20171130,2005,Miscellaneous Revenue,Water & Sewer,899
20171130,2003,Miscellaneous Revenue,Fines & Forfeitures,549
20171130,2005,Miscellaneous Revenue,Interest,150
20171130,2003,Taxes,Other Taxes,3017
20171130,2007,Miscellaneous Revenue,Franchises,278
20171130,2004,Taxes,Business Taxes,2863
20171130,2004,State Categorical Grants,Higher Education,139
20171130,2004,Federal Categorical Grants,Social Services,2448
20171130,2006,Miscellaneous Revenue,Interest,364
20171130,2005,State Categorical Grants,Education,6177
20171130,2002,Taxes,Business Taxes,2440
20171130,2003,Federal Categorical Grants,Education,1595
20171130,2004,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,47734
20171130,2007,Taxes,Other Taxes,6154
20171130,2008,Federal Categorical Grants,Social Services,2619
20171130,2007,State Categorical Grants,Health and Mental Hygiene,428
20171130,2005,State Categorical Grants,Social Services,1741
20171130,2008,Miscellaneous Revenue,Permits,161
20171130,2006,Federal Categorical Grants,Other,1108
20171130,2007,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,35
20171130,2007,Miscellaneous Revenue,Rental,211
20171130,2005,Taxes,Business Taxes,3711
20171130,2005,Taxes,Sales Tax,4355
20171130,2008,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,62594
20171130,2007,State Categorical Grants,Social Services,1889
20171130,2003,State Categorical Grants,Health and Mental Hygiene,416
20171130,2003,Miscellaneous Revenue,Water & Sewer,846
20171130,2002,Federal Categorical Grants,Community Development,281
20171130,2006,Miscellaneous Revenue,Rental,209
20171130,2008,State Categorical Grants,Other,689
20171130,2007,State Categorical Grants,Education,7145
20171130,2002,Taxes,Personal Income Tax,4990
20171130,2008,Taxes,Business Taxes,5412
20171130,2006,Other Categorical Grants,Other Categorical Grants,1150
20171130,2004,Federal Categorical Grants,Community Development,240
20171130,2006,Miscellaneous Revenue,Fines & Forfeitures,723
20171130,2004,Taxes,Personal Income Tax,6093
20171130,2002,State Categorical Grants,Higher Education,129
20171130,2002,Disallowance of Categorical Grants,Disallowance of Categorical Grants,0
20171130,2009,Taxes,Business Taxes,5204
20171130,2006,State Categorical Grants,Health and Mental Hygiene,415
20171130,2007,Capital IFA,Capital IFA,421
20171130,2003,Miscellaneous Revenue,Franchises,212
20171130,2006,State Categorical Grants,Higher Education,153
20171130,2004,Miscellaneous Revenue,Rental,108
20171130,2007,Federal Categorical Grants,Community Development,241
20171130,2008,Miscellaneous Revenue,Rental,257
20171130,2003,Miscellaneous Revenue,Charges,501
