address,borough,facility_type,bin,bbl
2175 86TH ST,BROOKLYN,Non-Hospital X-Ray,3165897,3063470043
7206 7 AVENUE,BROOKLYN,Non-Hospital X-Ray,3147542,3059110031
789 FLATBUSH AVENUE,BROOKLYN,Dental X-Ray,3116606,3050830016
8684 15TH AVE,BROOKLYN,Dental X-Ray,3166134,3063590070
5902 18TH AVE,BROOKLYN,Non-Hospital X-Ray,3131783,3055110038
7601 3RD AVE,BROOKLYN,Dental X-Ray,3149191,3059500011
1545 ATLANTIC AVENUE RADIOLOGY,BROOKLYN,Hospital X-Ray,3048072,3017050001
4401 AVENUE D,BROOKLYN,Dental X-Ray,3112156,3049610051
120 RICHARDS STREET 2ND FLOOR,BROOKLYN,Dental X-Ray,3008506,3005460033
86 PIERREPONT ST,BROOKLYN,Dental CBCT X-Ray,3001992,3002430027
2148 OCEAN AVE STE 401,BROOKLYN,Dental X-Ray,3413743,3067820038
1783 STILLWELL AVENUE,BROOKLYN,Radioactive Materials,3176370,3066430055
2235 WEST 9 STREET,BROOKLYN,Podiatric X-Ray,3193240,3071420027
3051 OCEAN AVENUE,BROOKLYN,Dental X-Ray,3205067,3074650040
2001 AVENUE P SUITE A2,BROOKLYN,Dental X-Ray,3182092,3067670052
3245 NOSTRAND AVE,BROOKLYN,Dental CBCT X-Ray,3256875,3073090001
8115 7TH AVENUE,BROOKLYN,Radioactive Materials,3151846,3060010005
907 ST MARKS AVENUE,BROOKLYN,Dental X-Ray,3030805,3012230005
2841 BRAGG STREET,BROOKLYN,Dental X-Ray,3247938,3088070142
224 PROSPECT PARK W FRNT,BROOKLYN,Veterinary X-Ray,3026919,3011090045
2148 OCEAN AVE STE 401,BROOKLYN,Dental CBCT X-Ray,3413743,3067820038
1916 KINGS HWY FL 2,BROOKLYN,Dental X-Ray,3182549,3067820074
1302 81 ST ST.,BROOKLYN,Dental X-Ray,3163596,3062920006
1475 48TH ST DEPT 1,BROOKLYN,Dental X-Ray,3137287,3056300048
86 PIERREPONT ST,BROOKLYN,Dental X-Ray,3001992,3002430027
309 47TH ST,BROOKLYN,Dental X-Ray,3011821,3007550022
1512 AVENUE Z,BROOKLYN,Dental CBCT X-Ray,3204953,3074600006
76 BELMONT AVE,BROOKLYN,Non-Hospital X-Ray,3081146,3035260310
999 FULTON STREET,BROOKLYN,Dental X-Ray,3056736,3019800161
2001 EAST 55 STREET,BROOKLYN,Dental X-Ray,3242191,3085470043
1270 67 STREET,BROOKLYN,Dental X-Ray,3330934,3057670028
3103 AVENUE N 1ST FLOOR,BROOKLYN,Dental X-Ray,3210382,3076670008
2865 NOSTRAND AVENUE,BROOKLYN,Dental X-Ray,3211327,3076910030
2985 QUENTIN ROAD,BROOKLYN,Non-Hospital X-Ray,3212048,3077020009
2700 OCEAN AVE,BROOKLYN,Non-Hospital X-Ray,3200952,3073800040
405 AVENUE I,BROOKLYN,Dental X-Ray,3170447,3065070025
7500 4 AVENUE,BROOKLYN,Dental X-Ray,3148731,3059400038
466 BAY RIDGE PKWY FL 1,BROOKLYN,Dental X-Ray,3148775,3059410034
415 BAY RIDGE PKWY,BROOKLYN,Dental X-Ray,3148354,3059300084
1300 AVENUE P,BROOKLYN,Hospital X-Ray,3182372,3067760001
163 8TH ST,BROOKLYN,Dental X-Ray,3330546,3009970001
427 38TH ST FL 3,BROOKLYN,Dental X-Ray,3346119,3007010001
207 OCEAN PARKWAY,BROOKLYN,Dental X-Ray,3347526,3053390001
441 77TH ST,BROOKLYN,Podiatric X-Ray,3149279,3059510068
319 6TH AVE,BROOKLYN,Dental X-Ray,3020982,3009760001
2001 AVENUE P,BROOKLYN,Dental X-Ray,3182092,3067670052
2233 WEST 9 STREET,BROOKLYN,Dental X-Ray,3193240,3071420027
4522 18TH AVE,BROOKLYN,Dental X-Ray,3128550,3054350052
1201 OCEAN PARKWAY,BRROKLYN,Dental X-Ray,3171753,3065420001
528 PROSPECT PLACE,BROOKLYN,Non-Hospital X-Ray,3393245,3011630010
6315 AVENUE N,BROOKLYN,Veterinary X-Ray,3396632,3083630005
65 COURT ST,BROOKLYN,Radioactive Materials,3002557,3002660020
2005 CONEY ISLAND AVE,BROOKLYN,Non-Hospital X-Ray,3182313,3067740052
1916 AVENUE K,BROOKLYN,Dental X-Ray,3180555,3067300059
291 KINGS HIGHWAY,BROOKLYN,Veterinary X-Ray,3176813,3066500016
773 MONTGOMERY STREET,BROOKLYN,Dental X-Ray,3038211,3014170089
2650 OCEAN PARKWAY,BROOKLYN,Podiatric X-Ray,3196066,3072380115
1504 AVENUE U FRNT,BROOKLYN,Dental X-Ray,3337284,3073480001
2940 OCEAN PKWY,BROOKLYN,Dental X-Ray,3196582,3072740020
81 WILLOUGHBY STREET,BROOKLYN,Dental X-Ray,3000350,3001480046
1513 VOORHIES AVENUE,BROOKLYN,Non-Hospital X-Ray,3204938,3074590061
1908 FLATBUSH AVENUE,BROOKLYN,Dental X-Ray,3217009,3078100036
207 OCEAN PARKWAY,BROOKLYN,Dental X-Ray,3347526,3053390001
7505 FORT HAMILTON PARKWAY,BROOKLYN,Dental X-Ray,3148931,3059450008
337 COURT STREET,BROOKLYN,Non-Hospital X-Ray,3007005,3004280004
1918 AVENUE U,BROOKLYN,Dental X-Ray,3199757,3073520007
874 FLATBUSH AVE,BROOKLYN,Non-Hospital X-Ray,3116592,3050820047
8100 19 AVENUE,BROOKLYN,Dental X-Ray,3163821,3062960038
656 72 STREET,BROOKLYN,Non-Hospital X-Ray,3147542,3059110031
153 4 AVENUE,BROOKLYN,Dental X-Ray,3019322,3009460009
1951 FLATBUSH AVE,BROOKLYN,Dental X-Ray,3217250,3078200052
1154 FULTON STREET,BROOKLYN,Dental X-Ray,3057752,3020170024
240 ATLANTIC AVE,BROOKLYN,Non-Hospital X-Ray,3424484,3002787501
1580 DAHILL ROAD,BROOKLYN,Dental X-Ray,3253559,3066060015
833 58 STREET FLOOR 1,BROOKLYN,Non-Hospital X-Ray,3140215,3056930064
409 FULTON ST,BROOKLYN,Non-Hospital X-Ray,3000281,3001440001
1087 FLUSHING AVE,BROOKLYN,Veterinary X-Ray,3070752,3030140014
1312 38 STREET,BROOKLYN,Non-Hospital X-Ray,3123349,3052990011
491 FLUSHING AVENUE,BROOKLYN,Podiatric X-Ray,3061401,3022630074
3502 KINGS HIGHWAY STE A9,BROOKLYN,Dental X-Ray,3209847,3076530001
4013 AVENUE U,BROOKLYN,Non-Hospital X-Ray,3241851,3085400005
4119 13 AVENUE,BROOKLYN,Dental X-Ray,3135716,3055940003
264 JAMAICA AVENUE,BROOKLYN,Dental X-Ray,3086852,3039190010
410 DITMAS AVE,BROOKLYN,Non-Hospital X-Ray,3127139,3053980004
5417 5TH AVE,BROOKLYN,Dental X-Ray,3014643,3008240003
1471 46 STREET,BROOKLYN,Dental X-Ray,3136782,3056180051
4522 18TH AVE,BROOKLYN,Dental X-Ray,3128550,3054350052
2148 OCEAN AVE,BROOKLYN,Podiatric X-Ray,3413743,3067820038
1783 STILLWELL AVE,BROOKLYN,Non-Hospital X-Ray,3176370,3066430055
76/78 BELMONT AVE,BROOKLYN,Radioactive Materials,3081146,3035260310
443 9 STREET,BROOKLYN,Dental X-Ray,3025917,3010900072
7713 13 AVENUE,BROOKLYN,Dental X-Ray,3161194,3062440005
1456 FULTON STREET,BROOKLYN,Dental X-Ray,3399697,3018630160
