the_geom,dateprot_1
"{'type': 'MultiLineString', 'coordinates': [[[-73.98768320914463, 40.732603709532185], [-73.98718049621665, 40.73329214716898]]]}",2028-11-09T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94051828077599, 40.79726070104779], [-73.94070159692488, 40.79701028276425], [-73.94075667003825, 40.79693505091172], [-73.94085391878491, 40.7968022050906], [-73.94090897613145, 40.796726993866436], [-73.9409804112163, 40.79662940907849], [-73.94103477069672, 40.79655514566135], [-73.94109782967331, 40.79646900186636], [-73.94115617743996, 40.79638929420498], [-73.94133541722279, 40.79614443698935], [-73.9413872015259, 40.79607369304479], [-73.94142001717387, 40.79602886483058], [-73.94170257563373, 40.79564285479419], [-73.94176092076724, 40.7955631468157], [-73.9418760470336, 40.79540586866616]]]}",2030-05-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98942914193304, 40.72618746315747], [-73.98898482024869, 40.72677887487816]]]}",2029-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95347673231439, 40.80191664018077], [-73.95302696998839, 40.80253313749494]]]}",2030-07-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96806568894296, 40.75550420335164], [-73.96760620901459, 40.75613198837894]]]}",2029-07-09T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97121704489989, 40.755193323953705], [-73.97075919386064, 40.75582485097656]]]}",2026-10-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94051828077599, 40.79726070104779], [-73.94002175130942, 40.79794639941218]]]}",2030-05-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98143352012805, 40.763594359520184], [-73.98098064791802, 40.76422265745343]]]}",2026-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98718049621665, 40.73329214716898], [-73.98667933249742, 40.73397805499999]]]}",2028-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94569522962018, 40.78617300716087], [-73.94610370474187, 40.785609610251505], [-73.94615396053572, 40.78554029243638], [-73.94636674827728, 40.785246796688384], [-73.94645057575282, 40.78513117256573], [-73.94658817799579, 40.78494137739892]]]}",2028-05-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97628766920627, 40.74824542122936], [-73.97643926322125, 40.748036123359206], [-73.97651086800498, 40.74793726419773], [-73.97673494373818, 40.74762789031359]]]}",2030-10-29T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95111294826279, 40.80515401772735], [-73.950654148626, 40.80578467549632]]]}",2028-07-24T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9432725119286, 40.793488102876154], [-73.94281007343203, 40.79413145196438]]]}",2030-05-19T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96897803788579, 40.75425053582636], [-73.96852047091878, 40.75487619002669]]]}",2029-07-10T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98450757517078, 40.73696248678951], [-73.98408212944203, 40.737545516449984]]]}",2028-10-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97401054833067, 40.743098507905714], [-73.97417384929119, 40.74289027720395], [-73.97486774866918, 40.74192583015186], [-73.9748678386968, 40.741925706802036], [-73.97486832554605, 40.741925067548266], [-73.97489992997207, 40.741881706021324], [-73.97534263623236, 40.74127467977894]]]}",2027-05-26T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.968907972376, 40.75011244361418], [-73.96890956251983, 40.75011014595205], [-73.96932031464235, 40.74951697388942]]]}",2029-07-26T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97854094700965, 40.736887659101114], [-73.97805226554983, 40.73755395345224]]]}",2027-05-31T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99827419043147, 40.73539113939432], [-73.99780751043875, 40.736035906735985]]]}",2027-06-03T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96013787747178, 40.762105652197626], [-73.959694398221, 40.76273957008532]]]}",2029-09-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97805226554983, 40.73755395345224], [-73.9776027017767, 40.7381717951741]]]}",2027-05-31T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98176150811346, 40.74073311249584], [-73.98131180575278, 40.74135092337145]]]}",2026-10-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99780751043875, 40.736035906735985], [-73.99734132861981, 40.736667889433974]]]}",2027-06-06T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99013379260678, 40.751658808281775], [-73.99033205836584, 40.7513880231954], [-73.99037292955933, 40.75133220246323], [-73.9906221998381, 40.75099175348216]]]}",2029-07-02T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96060027643453, 40.761484853967026], [-73.96013787747178, 40.762105652197626]]]}",2029-09-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99081902422084, 40.72427429772362], [-73.99034165842448, 40.724932133745774]]]}",2029-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97718733816704, 40.74701018032204], [-73.97673494373818, 40.74762789031359]]]}",2030-10-28T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95019638525949, 40.806412566396446], [-73.94973979895921, 40.80703968330489]]]}",2028-07-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98898482024869, 40.72677887487816], [-73.98853796281787, 40.72740161869006]]]}",2029-10-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98131180575278, 40.74135092337145], [-73.98085965460861, 40.741969767614876]]]}",2026-10-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9694310259929, 40.753623508870135], [-73.96897803788579, 40.75425053582636]]]}",2029-07-10T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95252222674863, 40.79234762218687], [-73.95207127213337, 40.79298117166512]]]}",2028-05-08T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99501798588508, 40.73986001137119], [-73.99459264923739, 40.74044198100269]]]}",2028-10-11T00:00:00.000
