omoid,bin,council_district,bbl,omoawardamount,block,boro,omodescription
5299952,1064190.0,10.0,1021740119.0,325.0,2174,Manhattan,"at apt #3e as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of t"
5395230,3018345.0,38.0,3009250021.0,3786.0,925,Brooklyn,"at 4th story public hall and bulkhead, 4th story at ceiling: 1.	trace and repair water leaks at roof above bulkhead, 4th story; stop the lea"
5314143,1063940.0,10.0,1021650006.0,220.0,2165,Manhattan,"at apt #4c as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. repair total of fo"
5298709,1053233.0,9.0,1017180004.0,16000.0,1718,Manhattan,immediate emergency for permanent sidewalk shed and seal up. please expedite. (1) dismantle entire existing sidewalk shed fr
5034148,4281113.0,31.0,4130790034.0,900.0,13079,Queens,nyc hpd emergency operations division - ''essential service work '' at driveway/ courtyard ---- remove all accumulation of refuse/ rubbish
5380391,2011442.0,15.0,2030440029.0,2070.0,3044,Bronx,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel"
5234549,3105042.0,42.0,3047540031.0,0.0,4754,Brooklyn,nationalgrid provide gas to boiler/hot water heater.
5278308,3057555.0,35.0,3020110021.0,0.0,2011,Brooklyn,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 19, 5th story, 2nd"
5247424,2014646.0,14.0,2032130085.0,1480.0,3213,Bronx,nyc hpd emergency operations division-essential service work. at building court yard: remove the accumulation of construction and hous
5160549,5001620.0,49.0,5000660107.0,10062.0,66,Staten Island,erp/ ehu doh lead abatement violation # 14430442 : in accordance to new york city health order to abate nuisance order # 2020-0480 p and li #- 9378360
5302682,3180704.0,44.0,3067380031.0,2000.0,6738,Brooklyn,at apt #1st fl>>>>>>>>>>>> location>>> private hall ceiling at ceiling private hall properly repair with similar material the broken / d
5349105,3196598.0,48.0,3072820062.0,1125.0,7282,Brooklyn,as per hpds lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5247686,3011896.0,38.0,3007570010.0,545.0,757,Brooklyn,***nyc hpd emergency operations division - ''essential service work ''*** at roof bulkhead --- install hinges to make door self - closing at roof
5272679,3075761.0,37.0,3033100048.0,0.0,3310,Brooklyn,building renovation
4956438,1013027.0,3.0,1007380056.0,165.0,738,Manhattan,"scope of work: install hinges to make door self-closing at bulkhead at public hall, 4th story total doors = (1) note: self-closing doo"
5411408,4472577.0,25.0,4018540071.0,903.75,1854,Queens,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
5256358,3115014.0,40.0,3050330039.0,1890.0,5033,Brooklyn,nyc - ''essential hpd emergency operations service work'' division replace broken/defective door and jamb with new properly fire rate
5270264,2092173.0,15.0,2029850057.0,295.0,2985,Bronx,"hpd emergency operations service work division install hinges to make door self-closing at the entrance located at apt 6, 1st story, 1st"
5259636,2047775.0,13.0,2042490037.0,13775.0,4249,Bronx,as per attached hpd's lead abatement scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 and as
4948371,2016634.0,15.0,2032870081.0,275.0,3287,Bronx,scope of work- install hinges to make door self-closing at the foyer located at apt eb. total doors= (1) note: self-closing door hinges to be
5271959,2014256.0,14.0,2031980034.0,295.0,3198,Bronx,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at apt 7h, 4th s"
5381528,3113113.0,45.0,3049800067.0,3150.0,4980,Brooklyn,at 2nd floor (roof). trace and repair the source of water leak at roof with similar material approximately 70 sq ft. remove the damaged materials. en
5277001,2017043.0,15.0,2033010033.0,295.0,3301,Bronx,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at bsmt-apt 9, 1st"
5349450,3049601.0,36.0,3017780015.0,2020.0,1778,Brooklyn,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel"
5271174,2014522.0,14.0,2032080028.0,295.0,3208,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 2c, 3rd story, 1"
5381089,2017789.0,11.0,2033280003.0,2198.0,3328,Bronx,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel"
5336619,1061612.0,7.0,1020670012.0,200.0,2067,Manhattan,"at apt #26 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of"
4986688,3196929.0,48.0,3072960029.0,25.0,7296,Brooklyn,perform total lead analysis of 04 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt
5251310,3170298.0,44.0,3065010018.0,225.0,6501,Brooklyn,"at apt #b9 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of"
5380628,2071915.0,11.0,2051150024.0,44.0,5115,Bronx,perform total lead analysis of 04 dust wipe sample(s) via environmental protection agency (epa) sw8453050-7000b method utilizing flame atomic absorpti
5132848,3245643.0,48.0,3087160064.0,250.0,8716,Brooklyn,division nyc - ''essential hpd emergency operations service work'' install hinges to make door self-closing arrange and make self-closing the door
4956441,2007622.0,14.0,2028050031.0,295.0,2805,Bronx,"scope of work: install hinges to make door self-closing at apartment entrance located at apt 5q, 5th story, total doors = (1) note: self-closing"
5237438,5004464.0,49.0,5001580081.0,650.0,158,Staten Island,"nyc hpd emergency operations division essential services work located at apt 1, 1st story, 1st apartment from south at west properly repair the"
4988088,1062824.0,7.0,1021190012.0,977.0,2119,Manhattan,nyc hpd emergency operations division - '' essential service work '' at apt # 2a trace and repair concealed leak: at (apt 2a) bathroom approx 1
5378101,2028308.0,18.0,2039020026.0,437.0,3902,Bronx,make all necessary repairs at vestibule door. replace defective hinges with self closing hinges and install new passage lock. ensure door self closes
5077612,4113238.0,20.0,4050050064.0,180.0,5005,Queens,"as per the requirement contract with hpd, provide and install window guards throughout entire apartment 3n. install total of three (3) window guards"
5402375,2042268.0,18.0,2039980022.0,50.0,3998,Bronx,"at apt #1h as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all works"
5271571,3099890.0,41.0,3046110010.0,3375.0,4611,Brooklyn,as detailed in hpd's lead abatement attached scope of work thoroughly remove all lead violations by following new york city administrative code ï¿½ 27-2
5281677,2008226.0,14.0,2028510029.0,295.0,2851,Bronx,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at apt 4a, 1st sto"
5281667,2015134.0,14.0,2032370067.0,295.0,3237,Bronx,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at apt 3f, 2nd st"
5243454,1063417.0,10.0,1021390185.0,780.0,2139,Manhattan,nyc hpd emergency operations division - ''essential service work at building entrance door public hall replace broken entran
5278954,2007634.0,14.0,2028050065.0,295.0,2805,Bronx,nyc hpd emergency operations division - ''essential service work'' public area: at bulkhead door leading to roof: install new hinges to make door
5376509,4042880.0,21.0,4017277501.0,550.0,1727,Queens,"*nyc hpd emergency operations division  ''essential service work'' * -at compactor closet door at public hall, 6th story: (1) door make all necess"
5374328,4040559.0,21.0,4016210026.0,27455.0,1621,Queens,remediation of lead-based paint hazards using approved work methods by firms and workers properly certified to perform lead-based paint activities. a
5314762,1064716.0,10.0,1022170039.0,235.0,2217,Manhattan,"at apt #3j as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of t"
5231069,1026462.0,3.0,1010550041.0,1672.0,1055,Manhattan,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
5334626,1060668.0,9.0,1020410047.0,1477.0,2041,Manhattan,"nyc hpd emergency operations divisionessential service work  at apartment 3a, 4th story. 1st apartment from north at east at bathtub in bat"
5159031,3130618.0,44.0,3054880004.0,2900.0,5488,Brooklyn,"nyc hpd emergency operations division - ''essential service work '' at public hall, 2nd story ---- replace with new similar material the self cl"
5258329,3207227.0,45.0,3075960075.0,1025.0,7596,Brooklyn,"as per mini rc # 20211400646 (cuno enviornmental), perform project monitoring, air sampling and analysis in accordance with hpd mini requirement contr"
5231752,3085924.0,42.0,3038660001.0,1110.0,3866,Brooklyn,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
5231769,4112482.0,20.0,4049780076.0,1930.0,4978,Queens,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
4956436,2010432.0,16.0,2029720038.0,295.0,2972,Bronx,"scope of work: install hinges to make door self-closing at bulkhead , 5th story total doors = (1) note: self-closing door hinge"
5267309,1064870.0,10.0,1022290005.0,1750.0,2229,Manhattan,"location: apt. #4h, living room and kitchen trace, locate and properly repair the sources of concealed water leak(s) at ceiling and walls. the pro"
5195751,3037375.0,41.0,3013910053.0,50.0,1391,Brooklyn,"at pub. hall as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all wor"
5285500,2015139.0,14.0,2032370100.0,580.0,3237,Bronx,"at apt #1g as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of f"
5270155,2051220.0,15.0,2044240022.0,295.0,4424,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt b9, 2nd story, 1s"
4980488,3037516.0,35.0,3013950033.0,1125.0,1395,Brooklyn,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5249955,3117147.0,40.0,3051010044.0,150.0,5101,Brooklyn,"at apt #6k as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of t"
5210518,1055821.0,9.0,1018470068.0,577.0,1847,Manhattan,"nyc hpd emergency operations division - ''essential service work '' apt# 29, in the 4th room from north: properly replace with new the broken / defe"
4817368,3174042.0,44.0,3065920057.0,892.0,6592,Brooklyn,at east end of south fire passage way. properly repair with similar material the broken / defective masonary tread 3rd from bottom up and restore t
5382057,3327545.0,45.0,3049810001.0,5280.0,4981,Brooklyn,"at apt # 6f>>>>>>>>>>>> at roof : make necessary repairs to the roof [approx 250 sq.ft. cut-out all defective spots, dry out all underlayin"
5246709,4303164.0,31.0,4160530049.0,264.0,16053,Queens,70-04 beach channel drive ***apt.1 - entrance door*** [1]*supply and install self-closing hinges to the apt.1 entrance door; ensure to restore door
5277764,2015035.0,14.0,2032280097.0,295.0,3228,Bronx,"nyc - ''essential hpd emergency operations service work'' division make the dooe self closing at entrance located at apt 1b, 1st story, 1st apartm"
4809209,4005944.0,22.0,4005340103.0,4850.0,534,Queens,no gas service make all necessary repairs in order to obtain gas authorization from
5120069,2001283.0,16.0,2023710001.0,210.0,2371,Bronx,"at pub. hall as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total"
5273079,2016384.0,15.0,2032780038.0,295.0,3278,Bronx,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at apt 12, 3rd s"
5268709,3064045.0,33.0,3025120058.0,1455.52,2512,Brooklyn,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
5228749,3079243.0,37.0,3034220055.0,11152.0,3422,Brooklyn,permanent shd 1. install standard steel post three-legged shed with lights at exposure #1 (front yard). shed to extend 7 ft beyond lot line to pr
5350196,4298968.0,31.0,4156100001.0,2650.0,15610,Queens,***nyc hpd emergency operations division  ''essential service work'' *** public areas (3) doors bldg a at bulkhead at 18 th story hopper door at
5246510,4209762.0,27.0,4098040048.0,1500.0,9804,Queens,nyc hpd emergency operations division - '' essential service work '' at vestibule make all necessary repairs to door and frame (metal) to restore t
5301793,3208312.0,45.0,3076200005.0,405.0,7620,Brooklyn,"at apt #2g as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of t"
5225338,4217949.0,27.0,4102310113.0,250.25,10231,Queens,nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing arrange and make self-closing th
4986028,2013823.0,14.0,2031670064.0,1590.0,3167,Bronx,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5283639,2007821.0,16.0,2028190051.0,295.0,2819,Bronx,"at apartment st1: provide and install self closing hinges at entrance door of this apartment in conformity with nyc construction code, chapter 7,515."
5263773,2056274.0,15.0,2045980015.0,10035.0,4598,Bronx,as per hpd's lead abatement scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 and as noted in
5280809,2014265.0,14.0,2031980055.0,295.0,3198,Bronx,nyc hpd emergency operations division - ''essential service work'' public hall: at bulkhead door leading to roof: install new hinges to make door
5281654,2013582.0,15.0,2031520032.0,295.0,3152,Bronx,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at apt 4c, 4th sto"
5374698,1064011.0,10.0,1021680046.0,260.0,2168,Manhattan,"at apt #2d as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. repair total of"
5310979,1063823.0,10.0,1021580045.0,270.0,2158,Manhattan,"at apt #4c as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of t"
5350197,4302608.0,31.0,4160320006.0,1690.0,16032,Queens,nyc hpd emergency operations division  essential service work at bathroom: replace defective faucet and shower body at tu
5023388,2016178.0,11.0,2032700049.0,275.0,3270,Bronx,"scope of work: install hinges to make door self-closing at apartment entrance located at apt 21, 4th story, 1st apartment from north at east. total"
4971951,3043647.0,36.0,3016120019.0,1200.0,1612,Brooklyn,"apt#6 @ bathroom: remove mold from ceiling approx.25 sq. ft., all walls approx. 70 sq. ft. use 50:50 bleach / water solution and allow to dry. app"
5216389,2028308.0,18.0,2039020026.0,350.0,3902,Bronx,provide and install window guards and repair window guards throughout entire apartment 2f. install total of five (5) window guards as follow:
5081639,1063417.0,10.0,1021390185.0,333.87,2139,Manhattan,hpd emergency operations division nyc - ''essential service work'' install hinges to make door self-closing arrange and make self-closing the door
5363028,5109255.0,49.0,5029220265.0,3500.0,2922,Staten Island,all mold remediation work to be done following safe work practice per new york state department of labor law article 32 & nyc-dep local law 61 of 2
5186928,4035855.0,25.0,4014600040.0,50.0,1460,Queens,"at apt #1f as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all wo"
5257251,3172174.0,44.0,3065510064.0,2160.0,6551,Brooklyn,as per hpd's lead abatement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-
5231754,,,,1375.0,2619,Bronx,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
5302073,3255315.0,36.0,3013800054.0,50.0,1380,Brooklyn,"at apt #5i as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all works"
5246471,3117147.0,40.0,3051010044.0,1560.0,5101,Brooklyn,nyc hpd emergency operations division - '' essential service work '' at public parts properly replace the broken guide rails drom drop ladder at
5371519,3324277.0,42.0,3043770001.0,478.0,4377,Brooklyn,"nyc hpd emergency operations division  essential service work  at fire door 2nd from east at south at public hall, 1st story install door clo"
5259628,2048981.0,13.0,2042980022.0,4450.0,4298,Bronx,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5401150,5106237.0,49.0,5029220001.0,1125.0,2922,Staten Island,remediation of lead-based paint hazards using approved work methods by firms and workers properly certified to perform lead-based paint activities. a
4955328,4285491.0,31.0,4133130028.0,7175.0,13313,Queens,***nyc hpd emergency operations division - ''essential service work'' *** ***work in conjunction with omo#-ek25118 - carpentry repairs*** at base
5270258,2008835.0,14.0,2028760112.0,295.0,2876,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 1c, 1st story, 2n"
5068617,4114712.0,20.0,4050490038.0,150.0,5049,Queens,"as per the requirement contract with hpd, provide and install window guards throughout entire apartment 306. install total of two (2) window guards"
5270260,2008835.0,14.0,2028760112.0,295.0,2876,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 1h, 1st story, 1s"
5305931,2009825.0,16.0,2029370045.0,525.0,2937,Bronx,"at apt #2d as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of f"
4955188,2042070.0,18.0,2039920006.0,4000.0,3992,Bronx,at building -------- seal up total five (5) doors and twenty two (22) windows and one (1) scuttle opening at the buillding as stated below. at b
5183308,1048411.0,4.0,1015220158.0,1480.0,1522,Manhattan,"location:bathroom trace,locate and repair the source of water leaks coming from the above apartment #6e.vendor must ensure that sources of leaks a"
4988109,1063572.0,10.0,1021450047.0,600.0,2145,Manhattan,nyc hpd emergency operations division - '' essential service work '' at apt # 25-- bathroom replace with the new te broken/ defective cracked wa
5266492,3030616.0,35.0,3012170069.0,942.0,1217,Brooklyn,( apt # ground flr ) at room north (3) == provide approximately (8) s.f. of restoration for ceiling damages as a result of the repaired leak(s).
5402768,2017414.0,14.0,2033140014.0,50.0,3314,Bronx,"as per the requirement contract with hpd, provide and install window guard and repair window guards throughout entire apartment 5g. remove all work"
5246990,1062924.0,7.0,1021220058.0,0.0,2122,Manhattan,"pursuant to a department of buildings reoccurring immediately hazardous elevator violation, the elevator at this location remains out of service. per"
5265495,3155638.0,43.0,3061180004.0,250.0,6118,Brooklyn,"***nyc hpd emergency operations division - ''essential service work'' *** at bulkhead, 3rd story --- one door 1.	properly replace fire doo"
5241479,2013037.0,15.0,2031140035.0,1840.0,3114,Bronx,nyc hpd emergency operations division essential serive work at apartment# 2d install new apartment entrance steel door and buck to include sta
5370669,4087906.0,30.0,4036190065.0,250.25,3619,Queens,install hinges to make door self-closing at (entrance to apt 1l). total doors= (1) contractor must contact hpd @ 212 863-5496; 5976; 6046; 6132; 61
5263496,1081709.0,3.0,1010660057.0,2400.0,1066,Manhattan,nyc - ''essential hpd emergency operations service work'' division replace broken/defective door and jamb with new properly fire rate
5350254,3327225.0,45.0,3049670040.0,690.0,4967,Brooklyn,"nyc hpd emergency operations division   essential service work  at building entrance door , at public hall 1st story. at building entran"
5271170,2017599.0,14.0,2033190093.0,295.0,3319,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 3dn, 3rd story, 1"
5303423,4032965.0,21.0,4013760032.0,250.25,1376,Queens,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt c3, 1st story, 1s"
4987510,3070672.0,34.0,3030040034.0,1125.0,3004,Brooklyn,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5378208,4002516.0,26.0,4001910040.0,250.25,191,Queens,"nyc hpd emergency operations division   essential service work install new self closing hinges at the entrance door to apartment # 12, 1st stor"
5270229,2095196.0,15.0,2030450019.0,295.0,3045,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 3, 3rd story, 1st"
5227910,3063312.0,34.0,3024330032.0,50.0,2433,Brooklyn,"at apt #6 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all work"
5381099,2115017.0,8.0,2025230138.0,670.0,2523,Bronx,"make all necessary repairs to make door self closing and latching as per nyc guidelines, also install hinges and mortise lock at ( boiler room ,1st"
4807069,3100535.0,41.0,3046280059.0,0.0,4628,Brooklyn,dummy omo for pointing - no access bldg. waiting for accc. warrant. *provide restoration the broken/cracked and loose brick and mortar at northwest
4956486,4051279.0,29.0,4021370027.0,165.0,2137,Queens,"scope of work- install hinges to make door self-closing at apt 6w, 6th story, 1st apartment from south at west. total doors= (1) note: self-"
5159711,1060186.0,9.0,1020140020.0,333.87,2014,Manhattan,division nyc - ''essential hpd emergency operations service work'' install hinges to make door self-closing total doors = (1) self-closing doo
5211338,1053322.0,9.0,1017200009.0,333.87,1720,Manhattan,division nyc - ''essential hpd emergency operations service work'' install hinges to make door self-closing arrange and make self-closing the
5027912,2008651.0,16.0,2028720029.0,300.0,2872,Bronx,"at public hall: as per the requirement contract with hpd, provide and install new window guards as requried throughout entire public hall. rem"
5269969,4204520.0,28.0,4095780015.0,1900.0,9578,Queens,"as per mini rc # 2021140064608 (cuno enviornmental), perform project monitoring, air sampling and analysis in accordance with hpd mini requirement con"
4988609,3117904.0,40.0,3051350039.0,75.0,5135,Brooklyn,perform total lead analysis of 12 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt
5264409,2014609.0,14.0,2032120053.0,1800.0,3212,Bronx,nyc hpd emergency operations division essential service work north (left) of building entrance door at front yard: repair with similar material
5375556,2008361.0,14.0,2028610057.0,400.0,2861,Bronx,"at apt #3i as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of"
5102989,1062662.0,10.0,1021110084.0,50.0,2111,Manhattan,at apt# 6 replace/ repair the window guards in the entire apartment. in accordance to the specifications of the city health code section 24 rcny
4964968,4303193.0,31.0,4160650030.0,2575.0,16065,Queens,"nyc hpd emergency operations division - ''essential service work'' at apt#: 1, multiple areas ----- broken / defective plastered ceiling due to ro"
5281293,4006095.0,22.0,4005390035.0,250.0,539,Queens,"at apt #14 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of o"
5125048,2014962.0,14.0,2032250148.0,160.0,3225,Bronx,"at apt #4g as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total o"
5173448,3116652.0,40.0,3050840042.0,1285.0,5084,Brooklyn,"location : at bathroom and private hall -2 trace, locate and properly repair the sources of the leaks causing excessive damage to ceiling and wall"
5332348,2009249.0,16.0,2028810056.0,1750.0,2881,Bronx,"perform asbestos investigation in accordance with title 15, chapter 1, rules of the city of new york, new york industrial code rule 56 and other regul"
4986769,3121385.0,45.0,3052400107.0,81.25,5240,Brooklyn,perform total lead analysis of 13 dust wipe sample(s) via environmental protection agency (epa) sw8453050-7000b method utilizing flame atomic absorpti
