omoid,omonumber,buildingid,omocreatedate,boro_id,housenumber,census_tract,netchangeorders
5259628,EM24974,93369,2022-05-19T00:00:00.000,2,900,246.0,0
5281293,EN05848,406939,2022-09-07T00:00:00.000,4,27-24,83.0,0
5278954,EN04707,98082,2022-08-23T00:00:00.000,2,111,23301.0,0
5280928,EN05698,116660,2022-09-02T00:00:00.000,2,2422,263.0,0
5381074,EO11567,62917,2023-10-27T00:00:00.000,2,403,39.0,0
5270155,EN01347,52016,2022-07-13T00:00:00.000,2,2440,33202.0,0
5402768,EO18760,59251,2024-01-08T00:00:00.000,2,2682,40304.0,0
5370891,EO08361,21289,2023-09-27T00:00:00.000,1,385,23501.0,0
5269969,DN00022,538405,2022-07-12T00:00:00.000,4,104-16,15802.0,0
5378208,EO10855,427397,2023-10-19T00:00:00.000,4,43-38,17901.0,0
5375551,EO10059,42484,2023-10-12T00:00:00.000,1,208,236.0,0
5207256,EM07394,809072,2021-10-10T00:00:00.000,3,3100,35602.0,0
4986769,EL01943,347166,2020-08-06T00:00:00.000,3,1096,764.0,0
5314143,EN17676,43445,2023-01-25T00:00:00.000,1,620,271.0,0
4964968,EK26700,641304,2020-06-09T00:00:00.000,4,72-23,954.0,0
5402377,EO18634,44721,2024-01-05T00:00:00.000,2,767,33802.0,0
5411408,DO00269,1011656,2024-02-02T00:00:00.000,4,90-11 GARAGE,459.0,0
5187088,EM04522,672888,2021-08-31T00:00:00.000,4,85-21,140.0,0
5265495,EM27146,131532,2022-06-23T00:00:00.000,3,9425,162.0,0
5350254,EO02140,808313,2023-07-22T00:00:00.000,3,3403,830.0,0
5160549,EM01038,799613,2021-07-14T00:00:00.000,5,171,81.0,0
4809209,EK01284,417081,2019-07-23T00:00:00.000,4,14-51,79.0,0
5375557,EO10065,114409,2023-10-12T00:00:00.000,2,2120,379.0,0
5395230,EO16193,149861,2023-12-08T00:00:00.000,3,838,9202.0,0
4956444,EK25401,57106,2020-05-05T00:00:00.000,2,2117,371.0,0
5231754,DM00396,1000958,2022-02-03T00:00:00.000,2,861 REAR,,0
5266311,EM27484,374127,2022-06-28T00:00:00.000,3,763,31702.0,0
4982648,EL01469,67520,2020-07-29T00:00:00.000,2,374,42901.0,0
5380628,EO11444,73382,2023-10-26T00:00:00.000,2,707,442.0,0
5350554,EO02197,118827,2023-07-25T00:00:00.000,2,2181,22403.0,0
4979930,EL01123,96761,2020-07-24T00:00:00.000,2,2095,363.0,0
5258329,DM00603,343662,2022-05-16T00:00:00.000,3,1846,742.0,0
5247424,EM21346,81591,2022-04-04T00:00:00.000,2,2487,263.0,0
4987510,EL02001,303345,2020-08-07T00:00:00.000,3,107,453.0,0
4956438,EK25395,30455,2020-05-05T00:00:00.000,1,328,83.0,0
5301793,EN13231,190393,2022-12-06T00:00:00.000,3,2005,760.0,0
5332348,DN00463,55898,2023-04-20T00:00:00.000,2,1886,247.0,0
5245808,EM20713,114410,2022-03-25T00:00:00.000,2,2123,379.0,0
5163808,EM01450,810769,2021-07-21T00:00:00.000,4,32-56,353.0,0
5247686,EM21443,151959,2022-04-04T00:00:00.000,3,514,96.0,0
4971951,EL00300,321951,2020-07-09T00:00:00.000,3,1050,387.0,0
4955288,EK25152,400524,2020-04-30T00:00:00.000,4,34-19,39.0,0
5210518,EM07898,25225,2021-10-18T00:00:00.000,1,320,19702.0,0
5183308,EM03936,23887,2021-08-25T00:00:00.000,1,1442,15801.0,0
5270229,EN01361,806269,2022-07-13T00:00:00.000,2,2078,395.0,0
5173448,EM02727,324088,2021-08-05T00:00:00.000,3,180,822.0,0
4952248,EK24725,351185,2020-04-14T00:00:00.000,3,193,211.0,0
5266232,EM27469,287847,2022-06-27T00:00:00.000,3,476,321.0,0
5381089,EO11571,73719,2023-10-27T00:00:00.000,2,19,43101.0,0
5234549,EM17234,283329,2022-02-15T00:00:00.000,3,625,928.0,0
5440168,EO30866,34902,2024-05-01T00:00:00.000,1,342,159.0,0
4956440,EK25397,64839,2020-05-05T00:00:00.000,2,865,131.0,0
4948371,EK23911,94401,2020-03-26T00:00:00.000,2,2701,40502.0,0
5268709,DN00001,303614,2022-07-07T00:00:00.000,3,143,563.0,0
5375556,EO10064,60430,2023-10-12T00:00:00.000,2,1726,217.0,0
5211338,EM08270,38831,2021-10-20T00:00:00.000,1,15,200.0,0
5110912,EL20353,230100,2021-04-10T00:00:00.000,3,1610,445.0,0
5270260,EN01374,116839,2022-07-13T00:00:00.000,2,1738,21502.0,0
5249955,EM22127,249525,2022-04-13T00:00:00.000,3,280,51002.0,0
5246709,EM21082,637161,2022-03-30T00:00:00.000,4,70-04,954.0,0
5334626,EN26118,4095,2023-05-02T00:00:00.000,1,2591,22102.0,0
4956436,EK25393,51559,2020-05-05T00:00:00.000,2,1339,153.0,0
5225339,EM14027,577067,2022-01-05T00:00:00.000,4,106-24,440.0,0
5264449,EM26842,94062,2022-06-16T00:00:00.000,2,1035,5001.0,0
4986028,EL01856,81844,2020-08-05T00:00:00.000,2,2545,401.0,0
5281677,EN05982,119081,2022-09-08T00:00:00.000,2,1857,23301.0,0
5231069,DM00373,33345,2022-02-02T00:00:00.000,1,412,121.0,0
5363028,EO06041,812535,2023-09-01T00:00:00.000,5,160,4003.0,0
5279318,EN04896,806248,2022-08-24T00:00:00.000,2,2320,253.0,0
5381528,EO11685,265461,2023-10-28T00:00:00.000,3,833,840.0,0
5378101,EO10816,91591,2023-10-18T00:00:00.000,2,1460,21601.0,0
5264409,EM26827,116949,2022-06-15T00:00:00.000,2,2348,253.0,0
4941509,EK22726,715935,2020-03-10T00:00:00.000,5,142,201.0,0
5376853,EO10476,999509,2023-10-16T00:00:00.000,2,808,36502.0,0
5271117,EN01761,897264,2022-07-18T00:00:00.000,2,187,413.0,0
5237438,EM18287,734220,2022-02-24T00:00:00.000,5,90,97.0,0
5498285,DP00191,409623,2024-11-22T00:00:00.000,4,98-15,357.0,0
5265823,EM27339,520396,2022-06-24T00:00:00.000,4,109-15,414.0,0
5034148,EL08286,582457,2020-11-16T00:00:00.000,4,143-12,330.0,0
5266268,EM27477,461041,2022-06-27T00:00:00.000,4,62-10,581.0,0
5367313,EO07374,812538,2023-09-18T00:00:00.000,5,260,4003.0,0
4981168,EL01277,353248,2020-07-28T00:00:00.000,3,741,1104.0,0
5374328,EO09624,646832,2023-10-09T00:00:00.000,4,96-31,411.0,0
4979969,EL01126,108628,2020-07-24T00:00:00.000,2,1515,225.0,0
5246949,EM21153,459832,2022-03-31T00:00:00.000,4,98-30,71306.0,0
5195751,EM05813,287547,2021-09-17T00:00:00.000,3,1181,349.0,0
5281667,EN05972,89764,2022-09-08T00:00:00.000,2,2630,269.0,0
5081639,EL16320,43157,2021-02-20T00:00:00.000,1,709,255.0,0
