new_name,introduced_by_council_members,enactment_year,borough
Firefighter Anthony Rodriguez Avenue,"Addabbo Jr., Miller, Avella, Baez, Brewer, Comrie, Felder, Fidler, Gentile, Gerson, Jackson, Katz, Liu, Lopez, Martinez, McMahon, Monserrate, Quinn, Recchia Jr., Rivera, Sanders Jr., Serrano, Yassky, Weprin, Gallagher, Lanza and Oddo.",2003-08-05T00:00:00.000,Staten Island
Clement A. Fumando Way,"Addabbo Jr., Avella, Fidler, Gioia, Nelson, Quinn, Sears, Vallone Jr., Oddo, Barron, Comrie, Davis, Jackson, Koppell, Liu, McMahon, Perkins, Sanders Jr., Stewart, Weprin, Gallagher and Lanza.",2003-08-05T00:00:00.000,Staten Island
Veta I. Brome Way,Moya,2025-01-01T00:00:00.000,Queens
Assemblywoman Geraldine L. Daniels Way,Perkins,2017-07-23T00:00:00.000,Manhattan
Julius Freeman Way,Richards,2017-07-22T00:00:00.000,Queens
Crossing Guard Doris Allen Way,McMahon,2008-08-01T00:00:00.000,Staten Island
Andrew Sandler Way,Cohen,2017-07-22T00:00:00.000,Bronx
Detective Daniel Enchautegui Way,Vacca,2006-08-05T00:00:00.000,Bronx
Theresa Irene Merritt Way,Miller,2022-07-16T00:00:00.000,Queens
Chief Christian Hoobs Way,Ulrich,2017-07-23T00:00:00.000,Queens
Reggie “Combat Jack” Ossé Place,Ossé,2023-07-08T00:00:00.000,Brooklyn
Edward H. Alleva Sr. Corner,"Recchia, Jr.",2004-01-01T00:00:00.000,Brooklyn
Detective Brian Simonsen Way,Koslowitz,2022-07-15T00:00:00.000,Queens
Johnnie Mae Johnson Way,Perkins,2017-07-22T00:00:00.000,Manhattan
Alexander Felix Place,Jackson,2009-08-02T00:00:00.000,Manhattan
Alejandro Nino Place,Van Bramer,2012-07-29T00:00:00.000,Queens
Lew M. Simon Way,Ulrich,2022-01-01T00:00:00.000,Queens
Kenneth Giordano Way,Farías,2025-09-18T00:00:00.000,Bronx
Anne Bancroft Way,Torres,2021-07-17T00:00:00.000,Bronx
Joseph W. Reda Way,Marmorato,2025-09-18T00:00:00.000,Bronx
Susan M. Bochino Avenue,"Addabbo, Jr., Avella, Fidler, Gioia, Liu, McMahon, Vallone, Jr., Yassky, Gallagher, Lanza and Oddo",2003-08-04T00:00:00.000,Staten Island
Richard A. Carabba Way,McMahon,2006-08-05T00:00:00.000,Staten Island
John G. Scarangella Park,"Horwitz, Cerullo III, Fusco, Castaneira-Colon, and O'Donovan",1992-07-23T00:00:00.000,Brooklyn
Hiram Maristany Way,Ayala,2022-07-09T00:00:00.000,Manhattan
Jules Taylor Way,Richards,2021-07-17T00:00:00.000,Queens
Victor Aurelio Tapia “Clasico” Way,De La Rosa,2023-07-02T00:00:00.000,Manhattan
Glenn J. Travers Sr. 9/11 Memorial Way,"Addabbo, Jr., Avella, Barron, Brewer, Clarke, Comrie, deBlasio, Dilan, Fidler, Gallagher, Gennaro, Gentile, Gerson, Gioia, Jackson, James, Jennings, Koppell, Lanza, Liu, Lopez, Martinez, McMahon, The Speaker (Council Member Miller), Monserrate, Moskowitz",2004-08-05T00:00:00.000,Queens
Corporal Julian Alberto Ramon Avenue,Liu,2008-08-01T00:00:00.000,Queens
Michael “Coach Mike” Colini Way,Carr,2025-01-01T00:00:00.000,Staten Island
David Dinkins Plaza,Marte,2025-09-18T00:00:00.000,Manhattan
St. John’s Episcopal Hospital Way,Brooks-Powers,2023-07-02T00:00:00.000,Queens
Frederick Cabbell Park,"Spigner, Castaneira Colon, Dear, Lisa, O'Donovan, Foster, and McCaffrey",1989-01-01T00:00:00.000,Queens
St. John Baptist Church Place,Ariola,2024-01-01T00:00:00.000,Queens
Kings 5 Way,King,2016-07-18T00:00:00.000,Bronx
Harold Schneiderman Playground,"Ward, Castaneira-Colon, Koslowitz, O'Donovan, Williams and Povman",1993-07-24T00:00:00.000,Queens
Turid S. Brandt Road,Oddo,2008-08-01T00:00:00.000,Staten Island
Reverend Dr. Samuel G. Simpson Way,King and Torres,2018-07-15T00:00:00.000,Bronx
Thomasina Bushby Way,Sanchez,2023-07-02T00:00:00.000,Bronx
Ed Sedarbaum & Howard Cruse Corner,Krishnan,2025-09-18T00:00:00.000,Queens
Tina Zaffuto Square,"DeMarco, O'Donovan, Williams, Ward and Foster",1988-07-28T00:00:00.000,Bronx
John V. LaFemina Way,Matteo,2018-07-12T00:00:00.000,Staten Island
Mary Whalen Playground,"Katzman, Castaneira Colon, Dear, Gerges, O'Donovan, Ward and Povman",1988-01-01T00:00:00.000,Queens
Edwin Eddie Ellis Way,Salaam,2025-01-01T00:00:00.000,Manhattan
Joe ‘The Great’ Rollino Corner,Gentile,2012-07-29T00:00:00.000,Brooklyn
Susan B. Anthony and Elizabeth Cady Stanton Corner,Gerson,2004-08-06T00:00:00.000,Manhattan
Major Joseph R. Sciacca Way,Matteo,2019-07-08T00:00:00.000,Staten Island
Sakya Tsechen Way,Won,2025-09-18T00:00:00.000,Queens
John Connelly Way,"Addabbo Jr., Avella, Brewer, Felder, Fidler, Gallagher, Gioia, Jackson, Katz, Koppell, Lanza, Lopez, McMahon, Oddo, Perkins, Comrie, Davis, Gennaro and Weprin.",2003-08-01T00:00:00.000,Staten Island
Joseph Papp Way,Rivera,2018-07-15T00:00:00.000,Manhattan
Cinco de Mayo Way,Cabrera,2017-07-16T00:00:00.000,Bronx
Sgt. Doreen Scrimenti Place,McMahon,2005-08-08T00:00:00.000,Staten Island
Chief Charles A. Joshua Plaza,"Boyland,  Fisher and Pinkett (by request of the Brooklyn Borough President), Foster, Nelson, O’Donovan, Robinson and Abel",2001-08-22T00:00:00.000,Brooklyn
Wes Joice Corner,"Duane, Freed, Lopez and Golden",1999-01-01T00:00:00.000,Manhattan
Max Bond Way,Rodriguez,2015-07-22T00:00:00.000,Manhattan
Dave Brennan’s Elks Way,Ignizio,2008-08-01T00:00:00.000,Staten Island
Catherine McAuley High School Way,Williams,2015-07-18T00:00:00.000,Brooklyn
Diego “Dickie” Palemine Corner,Oddo,2006-08-05T00:00:00.000,Staten Island
Tracy Brown Way,Hanks,2024-08-07T00:00:00.000,Staten Island
Kristen L. Montanaro Way,"Addabbo, Avella, Clarke, Comrie, DeBlasio, Fidler, Gallagher, Gioia, Golden, Katz, Koppell, Lanza, Liu, Lopez, McMahon, Oddo, Quinn, Recchia, Reyna, Rivera, Sanders, Jr., Serrano, Davis, Dilan, Felder, Jackson, Monserrate, Nelson, Vann and Weprin; also C",2002-08-01T00:00:00.000,Staten Island
Michael “Tiger” Heaney Street,Rose,2010-01-01T00:00:00.000,Staten Island
Sal Anzalone Place,Gioia,2005-08-05T00:00:00.000,Queens
Basil “Bob” Stonbely Way,Gonzalez,2010-01-01T00:00:00.000,Brooklyn
Firefighter LT Robert F. Wallace Street,"Addabbo Jr., Avella, Baez, Comrie, Gennaro, Gentile, Gerson, Gioia, Gonzalez, Katz, Martinez, McMahon, The Speaker (Council Member Miller), Oddo, Provenzano, Quinn, Recchia Jr., Reed, Sanders Jr., Vann, Yassky, Nelson, Palma, Weprin, de Blasio, James, Di",2005-09-15T00:00:00.000,Queens
Edgar Moya Way,Moya,2024-08-07T00:00:00.000,Queens
Paul V. Barbaro Way,"Addabbo, Jr., Avella, Fidler, Gioia, Liu, McMahon, Vallone, Jr., Yassky, Gallagher, Lanza and Oddo",2003-08-04T00:00:00.000,Staten Island
Dorothy Pamela Gomes Way,Seabrook,2010-01-01T00:00:00.000,Bronx
Angela Padavano Way,McMahon,2007-08-01T00:00:00.000,Staten Island
Luke Nee 9-11-01,Rivera,2006-08-06T00:00:00.000,Bronx
Louis Valentino Jr. Ballfield,"DiBrienza, Wooten, Berman, Lasher, McCabe, Albanese, Clarke, Dear, Fisher, Henry, Malavé-Dilán, Pinkett, Robinson, Robles, Weiner, Williams, Fields, McCaffrey, Spigner, Foster, Eisland, Leffler, O'Donovan, Powell IV, Rivera and Fusco.",1996-01-01T00:00:00.000,Brooklyn
Allama Iqbal Avenue,Adams,2023-07-02T00:00:00.000,Queens
Coleman Square,"Addabbo, Jr.",2004-08-08T00:00:00.000,Queens
Justice John Leone Way,McMahon,2004-08-06T00:00:00.000,Staten Island
Detective James V. Nemorin Way,Rose,2022-07-16T00:00:00.000,Staten Island
Bernard L. Shapiro Boulevard,Liu,2009-08-02T00:00:00.000,Queens
Charles J. Mauro 9/11 Memorial Way,"Addabbo, Jr., Avella, Barron, Brewer, Clarke, Comrie, deBlasio, Dilan, Fidler, Gallagher, Gennaro, Gentile, Gerson, Gioia, Jackson, James, Jennings, Koppell, Lanza, Liu, Lopez, Martinez, McMahon, The Speaker (Council Member Miller), Monserrate, Moskowitz",2004-08-05T00:00:00.000,Brooklyn
Firefighter James M. Gray Way,"Addabbo Jr., Avella, Fidler, Gioia, Nelson, Quinn, Sears, Vallone Jr., Oddo, Barron, Comrie, Davis, Jackson, Koppell, Liu, McMahon, Perkins, Sanders Jr., Stewart, Weprin, Gallagher and Lanza.",2003-08-05T00:00:00.000,Staten Island
Frank J. Reali III’s Way,McMahon,2008-01-01T00:00:00.000,Staten Island
Principal Rhonda Whitfield Way,Rose,2017-07-16T00:00:00.000,Staten Island
Rev. Walter A. & Doris L. Jones Way,Miller,2019-07-09T00:00:00.000,Queens
Stan Brooks Way,Johnson,2014-07-22T00:00:00.000,Manhattan
Margarita “Margot” Correa Santana Way,Abreu,2023-07-05T00:00:00.000,Manhattan
Marie Christopher Way,Mendez and Chin,2014-07-22T00:00:00.000,Manhattan
Samuel N. Bennerson Park,"Castaneira Colon, Gerges and Foster",1990-01-01T00:00:00.000,Manhattan
Armenia Way,Grodenchik,2018-07-12T00:00:00.000,Queens
Jonathan M. Acierno Way,Oddo,2012-07-29T00:00:00.000,Staten Island
Ismail Qemali Way,Carr,2023-07-09T00:00:00.000,Staten Island
Sgt. Cornelius H. Charlton Way,Ayala and Stevens,2024-08-06T00:00:00.000,Bronx
Nancy Muniz Street,"Council Members Vann, Boyland, Fidler, Gentile, Gerson, Katz, Koppell, Lopez, the Speaker (Council Member Miller), McMahon, Monserrate, Moskowitz, Oddo, Provenzano, Reed, Reyna, Weprin, Avella, Barron, Jackson, James, Liu, Quinn, Addabbo, Jr., Dilan, Fel",2004-08-01T00:00:00.000,Queens
Patrolman George R. Connelly Way,"Krishnan, Abreu, Ariola, Avilés, Ayala, Banks, Bottcher, Brewer, Brooks-Powers, Cabán, Carr, De La Rosa, Dinowitz, Farías, Gennaro, Gutiérrez, Hanif, Hanks, Holden, Hudson, Joseph, Marmorato, Marte, Mealy, Menin, Morano, Moya, Narcisse, Nurse, Ossé,",2025-09-18T00:00:00.000,Manhattan
Mary Vallati Place,Cohen,2018-07-12T00:00:00.000,Bronx
P.O. Calabrese and P.O. Keegan Plaza,Brewer,2013-07-29T00:00:00.000,Manhattan
Charles Rogers Way,Narcisse,2023-07-02T00:00:00.000,Brooklyn
Children’s Court Way,Mendez,2017-07-23T00:00:00.000,Manhattan
Maspeth Memorial Square,"McCaffrey, Ward, Povman",1986-01-01T00:00:00.000,Queens
Firefighter Robert Curatolo Lane,"Addabbo, Jr., Avella, Fidler, Gioia, Liu, McMahon, Vallone, Jr., Yassky, Gallagher, Lanza and Oddo",2003-08-04T00:00:00.000,Staten Island
Tiananmen Square Corner,"Messinger, Warrd, McCaffrey, Pinkett Alter, Eisland, Frieldlander, Gerges, Greitzer, Molinari, Povman, Rivera, Robles, and Spigner",1989-07-31T00:00:00.000,Manhattan
Samyia Spain Place,Hanif,2025-09-18T00:00:00.000,Brooklyn
Saint Cecilia’s Parish Way,Ayala,2023-07-02T00:00:00.000,Manhattan
Father John J. Murray Way,Grodenchik,2017-07-22T00:00:00.000,Queens
Sesame Street,Rosenthal,2019-07-09T00:00:00.000,Manhattan
Larry Selman Way,Johnson,2015-07-18T00:00:00.000,Manhattan
Giuseppa Vendome Way,Cabán,2025-01-01T00:00:00.000,Queens
Sergeant Adrienne Morris Rodriguez Way,Moya,2025-09-18T00:00:00.000,Queens
FDNY Lt. James J. Winters Avenue,Borelli,2023-07-02T00:00:00.000,Staten Island
Paula Frassinetti Way,Oddo,2006-08-06T00:00:00.000,Staten Island
Thelma Martin Way,Levin,2019-07-02T00:00:00.000,Brooklyn
Priscilla Carrow Way,Moya,2021-07-16T00:00:00.000,Queens
Christopher Rose Way,Williams,2013-07-29T00:00:00.000,Brooklyn
Geraldine Ferraro Way,Koslowitz,2011-01-01T00:00:00.000,Queens
Justice Arthur M. Schack Way,Brannan,2020-07-05T00:00:00.000,Brooklyn
Grace Belkin Way,Cohen,2016-08-19T00:00:00.000,Bronx
Vincent “Jimmy” Anthony Navarino Way,Carr,2023-07-02T00:00:00.000,Staten Island
Lieutenant Howard Carpluk Place,Baez,2007-08-01T00:00:00.000,Bronx
P.O. Thomas Schimenti Jr. Corner,Oddo,2003-08-22T00:00:00.000,Staten Island
Police Officer Edward Byrne Park,"Povman, Ward, Albanese, Berman, Crispino, Dear, Dryfoos, Eisland, Gerges, Harrison, Leffler, Lisa, McCaffrey, Michels, O'Donovan, Pinkett, Rivera, Williams, Wooten, Foster, Maloney and DiBrienza",1988-01-01T00:00:00.000,Queens
Joe DeSimone Way,Gjonaj,2021-07-16T00:00:00.000,Bronx
Pfc. Ronald Jones Way,Mitchell,2009-07-30T00:00:00.000,Staten Island
José Ángel Hernández Way,Stevens,2023-07-08T00:00:00.000,Bronx
Richie’s Corner,Bottcher,2024-08-07T00:00:00.000,Manhattan
W. Haywood Burns Corner,"Michels, Marshall, Foster, Rivera, Carrion and Golden; also Council Members Leffler, Linares and O’Donovan",2000-07-11T00:00:00.000,Manhattan
Nos Quedamos Way,Salamanca,2022-07-16T00:00:00.000,Bronx
Richard Akbar Salahuddin Drive,Barron,2011-01-01T00:00:00.000,Brooklyn
Ann Jawin Way,Vallone,2022-07-16T00:00:00.000,Queens
George A. Romero Way,Farías,2024-08-07T00:00:00.000,Bronx
Kenneth Cubas Way,Rose,2014-07-22T00:00:00.000,Staten Island
Police Officer Jose Collazo Sr. Way,"Salamanca, Jr.",2025-09-18T00:00:00.000,Bronx
Pastor Marie C. Norwood Way,Torres,2021-07-17T00:00:00.000,Bronx
Lt. Michael T. Quilty Way,"Addabbo, Avella, Clarke, Comrie, DeBlasio, Fidler, Gallagher, Gioia, Golden, Katz, Koppell, Lanza, Liu, Lopez, McMahon, Oddo, Quinn, Recchia, Reyna, Rivera, Sanders, Jr., Serrano, Davis, Dilan, Felder, Jackson, Monserrate, Nelson, Vann and Weprin; also C",2002-01-01T00:00:00.000,Staten Island
Sheila Nelson Way,Nelson,2009-08-02T00:00:00.000,Brooklyn
Aaron Adler Way,Koslowitz,2020-07-05T00:00:00.000,Queens
Vinegar Hill Corner and Amsterdam Avenue,"Michels, O'Donovan and Abel",1998-07-15T00:00:00.000,Manhattan
Mr. Joe Marotta Way,Mitchell,2009-07-30T00:00:00.000,Staten Island
Benjamin Wheeler Place,Van Bramer,2013-07-29T00:00:00.000,Queens
Jack Hastings Square,"McCaffrey, Sabini; Castaneira-Colon, Koslowitz, and O'Donovan.",1992-07-23T00:00:00.000,Queens
Korean War Veterans Way,Ignizio,2013-07-30T00:00:00.000,Staten Island
Edward F. Guida Sr. Way,Ferreras-Copeland,2016-07-15T00:00:00.000,Queens
Howard Lasher Way,"Recchia, Jr.",2008-08-02T00:00:00.000,Brooklyn
Melvin A. Faulkner Way,Barron,2022-07-09T00:00:00.000,Brooklyn
John McNamara Square,"DeMarco, Castaneira Colon, Crispino, Dear, and Wooten",1985-08-12T00:00:00.000,Bronx
William “Pop” Marsh Avenue,Borelli,2017-07-16T00:00:00.000,Staten Island
Educational Alliance Corner,"Friedlander, Castaneira Colon, Crispino, Gerges, O'Donovan, Rivera, and Wooten",1989-07-29T00:00:00.000,Manhattan
Gjergj Kastrioti Skenderbeu Way,Gjonaj,2022-07-15T00:00:00.000,Bronx
Sergeant Finbar Devine Corner,"Freed, Michels, Foster, Linares, Robinson, O'Donovan. Robles, Sabini, Williams and Abel",1997-07-17T00:00:00.000,Manhattan
"Firefighter Gary Geidel, Rescue Co. 1, FDNY Avenue","Addabbo Jr., Miller, Avella, Baez, Brewer, Comrie, Felder, Fidler, Gentile, Gerson, Jackson, Katz, Liu, Lopez, Martinez, McMahon, Monserrate, Quinn, Recchia Jr., Rivera, Sanders Jr., Serrano, Yassky, Weprin, Gallagher, Lanza and Oddo.",2003-08-05T00:00:00.000,Staten Island
Joseph Kellett Way,"Addabbo, Barron, Boyland, Brewer, Clarke, Comrie, de Blasio, Foster, Gentile, Gerson, Gioia, Gonzalez, Jackson, James, Lanza, Lopez, McMahon, The Speaker (Miller), Oddo, Perkins, Reed, Rivera, Sanders, Sears, Stewart, Vallone, Weprin and The Public Advoc",2005-09-15T00:00:00.000,Manhattan
Msgr. John A. Steltz Square,"Foster, Crispino, Dear, Lisa and Wooten",1990-01-01T00:00:00.000,Bronx
Leverich Memorial Church Way,Monserrate,2008-08-02T00:00:00.000,Queens
GLORIA DENARD WAY,Ayala,2025-09-18T00:00:00.000,Manhattan
Jody Haggerty Way,Rose,2019-07-09T00:00:00.000,Staten Island
Sandra Conaty Brace Way,"Addabbo Jr., Avella, Fidler, Gioia, Nelson, Quinn, Sears, Vallone Jr., Oddo, Barron, Comrie, Davis, Jackson, Koppell, Liu, McMahon, Perkins, Sanders Jr., Stewart, Weprin, Gallagher and Lanza",2003-08-05T00:00:00.000,Staten Island
Carmelo Tirone Way,McMahon,2006-08-05T00:00:00.000,Staten Island
Firefighter Thomas C. Brick Way,Martinez,2006-08-06T00:00:00.000,Manhattan
Army SPC. Alex Jimenez Way,Monserrate,2008-08-02T00:00:00.000,Queens
DiDi Ford Way,Brewer,2023-07-08T00:00:00.000,Manhattan
Sylvester Royer Corner,Cabrera,2022-07-15T00:00:00.000,Bronx
Betty Brady Square,"Crispino, Castaneira-Colon, Dear, Eisland, O'Donovan and Foster",1991-07-22T00:00:00.000,Bronx
Father David Casella Triangle,Baez,2003-08-19T00:00:00.000,Bronx
Benjamin W. Schaeffer Way,Vernikov,2023-07-05T00:00:00.000,Brooklyn
Lisa Moudatsos Way,Mitchell,2009-07-30T00:00:00.000,Staten Island
Paul J. Simon Avenue,"Addabbo Jr., Avella, Fidler, Gioia, Nelson, Quinn, Sears, Vallone Jr., Oddo, Barron, Comrie, Davis, Jackson, Koppell, Liu, McMahon, Perkins, Sanders Jr., Stewart, Weprin, Gallagher and Lanza.",2003-01-01T00:00:00.000,Staten Island
SPC Marcus Brown Way,Matteo,2018-07-12T00:00:00.000,Staten Island
Pvt. Leon J. Stasiak Way,McMahon,2006-08-05T00:00:00.000,Staten Island
John H. Bunyan Way,Joseph,2025-01-01T00:00:00.000,Brooklyn
Firefighter Arthur T. Barry Way,"Addabbo, Jr., Avella, Fidler, Gioia, Liu, McMahon, Vallone, Jr., Yassky, Gallagher, Lanza and Oddo",2003-08-04T00:00:00.000,Staten Island
Reverend Dr. Jerry Mosby Way,Palma,2009-07-30T00:00:00.000,Bronx
Sylvia P. Woods Way,Dickens,2013-07-30T00:00:00.000,Manhattan
Mother Maude Ford Way,Adams,2022-07-15T00:00:00.000,Queens
Lee Ludwig Way,"Addabbo, Jr., Avella, Fidler, Gioia, Liu, McMahon, Vallone, Jr., Yassky, Gallagher, Lanza and Oddo",2003-08-04T00:00:00.000,Staten Island
Dominick (Dom) Lambert Way,Rose,2015-07-18T00:00:00.000,Staten Island
Rabbi Melvin I. Burg Way,Vernikov,2022-07-10T00:00:00.000,Brooklyn
Gleason’s Gym Way,Restler,2024-01-01T00:00:00.000,Brooklyn
FF Michael C. Reilly Way,Baez,2007-08-01T00:00:00.000,Bronx
"Tony ""The Barber"" Nobile Way",Gentile,2004-08-08T00:00:00.000,Brooklyn
Johnny Pacheco Way,Cabrera,2022-07-15T00:00:00.000,Bronx
Tony Mazzarella Way,Van Bramer,2017-07-16T00:00:00.000,Queens
Mary Ann Carey Way,Ariola,2024-06-25T00:00:00.000,Queens
Dr. Daniel Malakov Way,Schulman,2024-08-07T00:00:00.000,Queens
Donna and Michele Blanchard Plaza,"Golden, O’Donovan and Abel",2001-08-22T00:00:00.000,Brooklyn
Alafia Rodriguez Way,Hanks,2023-07-02T00:00:00.000,Staten Island
