coordinates,biographical_information,intro_number,zip_code,enactment_date
"{'type': 'Point', 'coordinates': [-73.75510407299998, 40.734431382000025]}","Father Murray was ordained as a Roman Catholic priest on May 29, 1965.  He was an alcoholic who struggled with the disease for years and decided to seek help.  He joined Alcoholics Anonymous (AA) and later became a leader of the local chapter.  Over the",Int. No. 1613,11364.0,2017-06-24T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94501782699996, 40.808426997000026]}","Sylvia P. Woods was known as “The Queen of Soul Food.”  She worked at various jobs, including a beauty shop, hat factory and from 1954 to 1962, she worked in a restaurant.  In 1962, she bought her own restaurant with an initial total capacity limited",Int. No. 1188-A,10027.0,2013-12-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85149302599996, 40.731605012000045]}","Dr. Daniel Malakov was born on January 13, 1974, in Shahrisabz, Uzbekistan, before his family relocated to Tashkent, when he was just nine months old. He pursued a career in the medical field. His affinity for science, coupled with his nursing background",Int. No. 968,11375.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.11714317399998, 40.63455126500003]}",Doris Allen always loved children and became a crossing guard in 1986 and was an active crossing guard until the age of 78.  She was said to have treated each child as if they were her own and received a certificate of service achieving 20 years as a cro,Int. No. 825,10310.0,2008-10-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98861467999996, 40.71412703200008]}","During the 1880s, almost 200,000 Eastern European Jews migrated to the United States. With most of them settling on the Lower East Side, this section became the most densely populated area in the city. The overcrowded neighborhood, combined with the gene",Int. No. 1162,10002.0,1989-02-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.03459997599998, 40.62200001900004]}",Arthur Schack was known as a “champion for the little guy” in foreclosure cases. He was a former teacher at Bay Ridge High School and a Troop 20 leader who later became a judge when he was elected to the Kings County Criminal Court. He served as lega,Int. No. 1825,11209.0,2020-01-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90849734399995, 40.893564722000065]}","Grace Belkin was the first District Manager of Bronx Community Board 8 (CB 8).  Upon the establishment of the current community board system in the late 1970’s, she became one of the first to serve in the capacity of a professional manager. She remaine",Int. No. 1227,10471.0,2016-08-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.83017399099998, 40.68877901900004]}","This co-naming will commemorate the 403rd birth anniversary of Guru Tegh Bahadur Marg Ji, the ninth of the ten gurus in the religion of Sikhism. Guru Tegh Bahadur Marg Ji was born on April 1, 1621, and martyred on November 24, 1675. He was considered a p",Int. No. 1153,11419.0,2025-01-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00531000199999, 40.629227986000046]}","Antonio Nobile was born in Calatafimi, Sicily on January 26, 1928.  He was one of nine brothers.  Having only a 5th grade education, Tony began cutting hair at the age of 10, taking lessons from a local barber in his hometown.  At the age of 19, he moved",Int. No. 471-A,11219.0,2004-12-21T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00525428399999, 40.71199311100003]}","David Dinkins was an American politician, who served as the first African American mayor of New York City from 1990 until 1993. After graduating from high school in 1945, he attempted to enlist in the United States Marine Corps but was told that th",Int. No. 1338,10038.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.74289939299996, 40.68914678700003]}","This legislation will name an unnamed park, Frederick Cabbell Park. It is an existing park bounded by Francis Lewis Boulevard, 120th Avenue and 121st Avenue.
Frederick Cabbell was a long time resident of the Cambria Heights section of Queens and he was v",Int. No. 1347,11411.0,1989-12-28T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00681786599995, 40.720386219000034]}","Finbar Devine was born in Washington Heights on October 15, 1929. He was raised in the Inwood section of Manhattan, educated by the Irish Christian Brothers at Power Memorial Academy and studied business at New York University.After leaving school, he jo",Int. No. 940,10013.0,1997-07-11T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.93636163999997, 40.82546880900003]}","Edwin “Eddie” Ellis was an activist, a member of the Black Panthers and a broadcaster on WBAI for many years, on their weekend “On the Count” show produced by ex-prisoners. He founded the NuLeadership Policy Group in 2001, which conducts research",Int. No. 1153,10039.0,2025-01-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98483763999997, 40.682909352000024]}",Samyia Spain was a victim of violence when she and her twin sister were attacked outside a store by a man after she refused to give him her number. She died of stab wounds.,Int. No. 1338,11217.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.92443971399996, 40.86526597000005]}","Thomas C. Brick was born in Flushing, New York and attended St. Kevin’s Grammar School where he served as an altar boy in the church. He later attended Holy Cross High School and Nassau Community College in Garden City. As an adult, Thomas volunteered",Int. No. 457,10034.0,2006-12-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85068601599994, 40.89126601900006]}",Dorothy Gomes was very active in political and social work as a founding member of the Northeast Bronx Democratic Committee and active with Community Board 12 and the 47th Precinct Council.  She became an independent Licensed Automobile Insurance Broker,Int. No. 428-A,10466.0,2010-12-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.79318555499998, 40.691586219000044]}","Mother Maude Ford, was born in Barbados.  She became a dedicated member of the Salvation Army working first in Harlem in the 1920s with young women.  After becoming First Chaplain she was called to minister in Jamaica Queens where she went door to door",Int. No. 2477,11434.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.84056302399995, 40.718369987000074]}","Geraldine Ferraro was a Democratic Party politician, a member of the United States House of Representatives and was the first female Vice Presidential candidate for former Vice President Walter Mondale.  She served as an assistant district attorney in",Int. No. 590-A,11375.0,2011-07-11T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94703373999994, 40.796814115000075]}","Hiram Maristany was an activist and official photographer for the Young Lords, a Puerto Rican activist group in the United States during the 1960’s and 70’s. He documented the political activism occurring the City’s East Harlem area referred to as",Int. No. 480-A,10029.0,2022-08-14T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94730318099994, 40.82333595600005]}","The following biographical information is derived from material that was provided by the City University of New York Law School at Queens College, the law firm of Van Lierop, Burns and Schaap and from """"Lawyers You'll Like, Putting Human Rights First"""",",Int. No. 722,10031.0,2000-06-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94005244299996, 40.83611527900007]}","J. Max Bond was a prominent African-American architect who served as head of the Architects Renewal Committee of Harlem.  In 1970, he founded the firm of Bond Ryder & Associates which was responsible for the design of the Martin Luther King Jr. Center fo",Int. No. 620,10032.0,2015-02-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.16978414799996, 40.56022861100007]}","Dave Brennan, a veteran of the Korean War, was very active in veterans’ affairs, serving as among other capacities, County Commander of the American Legion, and as a member of Catholic War Veterans and Korean War veterans.  He was also trustee chairman",Int. No. 825,10312.0,2008-10-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.13765530799998, 40.60328653000005]}","Turid S. Brandt worked for the Social Security Administration from 1967 – 1990.  Shortly after her retirement, she began volunteering at P.S. 54 serving as PTA president.  She started the Reading for Life Program and the Valentines Dance enriching the",Int. No. 877-A,10314.0,2008-12-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07796475799995, 40.60209559000003]}",Jonathan M. Acierno graduated from Wagner College in 2002 with a B.A. in Sociology and a Minor in Religion.  He was president of the Wagner College Rotary Club and tutored amputee refugees from Sierra Leone and succeeded with securing Wagner College Scho,Int. No. 761-A,10305.0,2012-03-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98881378699997, 40.70318238900006]}","Peter Robert Gagliardi, a flyweight turned bantamweight, who changed his name to Bobby Gleason in order to appeal to the predominantly Irish New York fight crowd of the era, opened Gleason’s Gym in 1937. The gym was located in the “Hub” district of",Int. No. 968,11201.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86531984799996, 40.69570895100003]}","This legislation will name a presently unnamed playground in Queens, Mary Whalen Playground. It is an existing playground within Forest Park located on the north side of Park Lane South at its intersection with 79th Street.

Mary Whalen was born on Augus",Int. No. 989,11421.0,1988-03-22T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95318302999993, 40.77165198500006]}",George R. Connelly served with the NYPD for eleven years. He died in the line of duty when he suffered a heart attack while rescuing a heat-stricken individual from the fourth floor of a building during a heat wave.,Int. No. 1338,10075.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.08221344399993, 40.621423778000064]}",Awaiting Biographical Information,Int. No. 437-A,10304.0,2003-06-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.99538455099997, 40.68113543700008]}",Louis Valentino Jr. was born on 1958 to Louis Valentino Sr. and Phyllis Valentino. He was raised in the Red Hook section of Brooklyn where he attended grammar school and played ball in the ballfield which this legislation names. Upon graduating from Xave,Int. No. 807,11231.0,1996-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.83060699999999, 40.66050598000004]}",This street name change is being done to help alleviate a confusion at this intersection.,Int. No. 471-A,11414.0,2004-12-21T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.06366020399997, 40.61074851600006]}",Awaiting Biographical Information,Int. No. 437-A,10305.0,2003-06-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00545299699996, 40.732449992000056]}","Larry Selman lived on Bedford Street for nearly 50 years and was a member of the Bedford Barrow Commerce Block Association (BBC) for over 35 years.  As a member of the BBC, he was involved in many charitable events and was involved in many fundraisers fo",Int. No. 849,10014.0,2015-08-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98257900499993, 40.76402639300005]}","John J. FitzGerald, born in 1893, was a horseracing writer for The Morning Telegraph in the 1920's and was the first to popularize the term ""The Big Apple."" While on assignment in New Orleans, FitzGerald overheard African-American stable hands refer to N",Int. No. 856-A,10019.0,1997-02-12T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94741200599998, 40.583770997000045]}","Sheila Nelson was a community activist and educator for over 34 years.  She was a special education teacher, a Dean at Boody Junior High School, a Teacher Trainer, headed the Gifted Program in District 21, Coordinator of the Sigma Program and the Directo",Int. No. 1103-A,11235.0,2009-12-28T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94761488499995, 40.79294262500008]}",This co-naming will commemorate the 150th anniversary of Saint Cecilia’s Parish.,Int. No. 897,10029.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07172640699997, 40.610357873000055]}",Awaiting Biographical Information.,Int. No. 252-A,10305.0,2002-09-27T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.17055955799998, 40.604905332000044]}",Marcus Brown served in the United States Army for 11 years and was a decorated Iraq Combat Veteran receiving the Bronze Star with valor in 2008 for his service.  He was able to establish a perimeter around his vehicle preventing another attack after it w,Int. No. 988,10314.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89647928699998, 40.81971817300007]}","Mothers on the Move (MOM) started as the Parent Organizing and Education Project (POEP) in 1992 with a group of adult literacy students enrolled in the Bronx Educational Services (BES) to support a parent involvement project at PS 62, located on Fox Stre",Int. No. 1278,10459.0,2024-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89913151599995, 40.82570283900003]}","Monsignor John A. Steltz was born January 5, 1922, in Kingston, New York. Monsignor Steltz attended grammar school in Kingston and later attended Cathedral Preparatory Seminary in New York City. He went on to attend Cathedral College and St. Joesph's Sem",Int. No. 408,10459.0,1990-06-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.77822150999998, 40.77623190200006]}",Awaiting Biographical Information.,Int. No. 471-A,11360.0,2004-12-21T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.11386735999997, 40.580167551000045]}","Thomas Schimenti, Jr. was born on October 19, 1943 to Thomas Sr. and Angelina Schimenti. He grew up on Staten Island where he attended Saint Sylvester Grammar School and New Dorp High School. Tom also attended McKee Evening classes and became a journeyma",Int. No. 565,10306.0,2003-10-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89778715399996, 40.81725448900005]}",Jose Collazo Sr. served with the NYPD for 20 years in both the 30th and 41st Precincts. He worked at Ground Zero as part of the search and rescue efforts after the terrorist attacks on 9/11. He died as a result of 9/11 related illness.,Int. No. 1338,10455.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.83464498199999, 40.687499983000066]}","Allama Iqbal was a writer, philosopher and politician who is widely revered in the Asian subcontinent. He was a scholar, politician, lawyer, and well-known poet whose poetry in the Urdu language is among the greatest in the world. He is commonly referred",Int. No. 897,11419.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91008764199995, 40.854439729000035]}","Thomasina Bushby was a community leader dedicated to improving the lives of her fellow Bronxites. She provided food for her community through her work with Southern Christian Leadership Conference, she worked to increase participation in politics and dev",Int. No. 897,10453.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00260983899994, 40.73370567300003]}","John Wesley ""Wes"" Joice was born in the Bronx. He grew up in Chicago, where his father was the Chairman of the Chicago Board of Trade. At the age of 13, his father died and he was stricken with polio. The struggle against polio left him with a withered l",Int. No. 474,10014.0,1999-03-11T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.97402429699997, 40.59682003900008]}","Edward H. Alleva Sr. served his Brooklyn community for over 50 years as the owner-operator of the Edward Alleva Travel and Insurance Agency, located at 282 Avenue U. During that time he became an integral part of the Gravesend Neighborhood. Mr. Alleva wa",Int. No. 471-A,11223.0,2004-12-21T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.10747249299999, 40.63956701500007]}","Richard A. Carabba wanted to be a Marine since he was a young boy. He entered the Marine Corps at the age of 17 years old after graduating from Curtis High School. He was killed in action on September 27, 1969 in Vietnam. He died an honorable death defen",Int. No. 289-A,10310.0,2006-05-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.84486499999997, 40.869763000000034]}","Betty Brady was born in New Jersey and came to the Bronx with her husband James when they were married in 1937. In 1950 they moved to the Chester Civic section, where they raised five children. Both Betty and her husband became involved in the Chester Ci",Int. No. 813,10469.0,1991-12-16T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.84575569699996, 40.879503389000035]}",Ms. Ludie Brown was a community activist for over 50 years. Ms. Brown passed last year during the pandemic. Ms. Brown was a community activist who served her community in various ways. Ms. Brown was the President of the Kingsland Avenue Block Association,Int. No. 2477,10469.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91485241899994, 40.82229738700005]}","WE STAY/Nos Quedamos (NQ) is a South Bronx-based CDC committed to our collective self-determination. Our sustainable development work creates the conditions that maintain our health and culture. Our work engages, empowers, and transforms marginalized com",Int. No. 2477,10451.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00323514999997, 40.74898438800005]}","Richard Henderson was shot and killed when he tried to intervene and break up a dispute on the subway. He worked at the Avenues The World School where students and associates raised more than $275,000 for his family through a GoFundMe campaign.",Int. No. 968,10001.0,2024-07-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.75400939699995, 40.599479479000024]}",This co-naming will commemorate St. John’s Episcopal Hospital serving the Rockaway community for over 100 years.,Int. No. 897,11691.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86120437399995, 40.880522314000075]}","Kings 5 was a community-based basketball organization, which serviced more than 10,000 males, ages 8 to 40 in the northeast Bronx communities.  It was founded by Andy King Sr. in the 1970’s as an organization to get neighborhood youth off the city’s",Int. No. 1227,10467.0,2016-08-03T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.10602426799994, 40.64140171300005]}","Sgt. Doreen Scrimenti was a native of New Brighton, attended St. Paul’s Elementary School and graduated from Moore Catholic High School.  She earned a BA in 1988 from John Jay College of Criminal Justice.  She was a member of the college’s Police Cad",Int. No. 746-A,10310.0,2005-12-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.01003678299998, 40.62466960800003]}",Awaiting Biographical Information.,Int. No. 471-A,11228.0,2004-12-21T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.80201699899999, 40.58887302000005]}","St. John Baptist Church has been serving the Rockaways Community since 1929.  It was incorporated on May 22, 1943, and the first building purchased for worship was located on Beach 81st Street in Rockaway Beach.  In early 1953, land and houses were purch",Int. No. 1278,11692.0,2024-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.08451798099998, 40.64819401200003]}",Lisa Moudatsos was a lifelong Staten Islander who worked as a second-grade teacher for 12 years at St. Peter's Elementary School until she was appointed principal in 2000.  She was praised for her caring and selflessness and her capacity for working with,Int. No. 1033,10301.0,2009-07-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.92334177799995, 40.743685113000026]}","Benjamin Wheeler was born in New York City and lived in Sunnyside, Queens for the first year of his life before moving to Connecticut. He just six years old when he was killed in the massacre at Sandy Hook Elementary School in Newtown, Connecticut. Benja",Int. No. 1045-A,11104.0,2013-07-01T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.88223407499999, 40.87119499800008]}",Mary Vallati was a community activist who attended St. Philip Neri Church on a regular basis.  She was a tenant leader for a building on Decatur Avenue and later joined the Bedford Mosholu Community Association.  She was a community organizer for the Nor,Int. No. 988,10458.0,2018-07-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.01826398199995, 40.64443497900004]}",Basil Stonbely was born in Cobble Hill and later on became a pioneer in the carpet cleaning industry eventually becoming founder and president of Certified Carpets.  He gave back to the community and his church which lead him to become the Knight of Malt,Int. No. 428-A,11220.0,2010-12-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90464433999995, 40.64110722800007]}","Charles Rogers was the Managing Editor of The Canarsie Courier for over 32 years. At the Courier, he oversaw the day-to-day operations of the news and local activities, and also covered stories first-hand. Camera in hand, he would jump into his car to co",Int. No. 897,11236.0,2023-03-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.90012515699993, 40.87597923900006]}","David P. Casella was born on October 5, 1950 in the Yorkville section of Manhattan.  David Casella attended St.  Joseph’s school in Manhattan, and began his studies for the priesthood at Cathedral Preparatory Seminary (then located in Manhattan).  He g",Int. No. 342-A,10463.0,2003-02-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.99519790599999, 40.64229407700003]}","Stan Brooks was a Senior Correspondent for 1010 WINS News Radio.  He was born in the Bronx and attended DeWitt Clinton High School, City College of New York, and Syracuse University, where he received a Bachelor's Degree in English.  He worked as a repor",Int. No. 388,11219.0,2014-07-09T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85916627599994, 40.745143143000064]}","Eddie Guida was a City Marshal for 29 years who dedicated countless hours of his life to the betterment and to the advancement of those less fortunate.  In 1909, his grandfather, Edward Guida Sr., opened the doors to the Edward F. Guida Funeral Home for",Int. No. 1054,11368.0,2016-02-25T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.00082030599998, 40.76203901500003]}","This legislation will name the unnamed northeastern corner of the intersection of West
Forty-Second Street and Twelfth Avenue, Tiananmen Square Corner.
This legislation is designed to bring attention to the barbaric action by the government of the People",Int. No. 1305,10036.0,1989-09-25T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91594357499997, 40.742655428000035]}","Alejandro Nino was a member of the City Volunteer Corps and also served as a full time volunteer.  He was also a therapy aide at Coler Memorial Hospital, providing care and attention to developmentally challenged residents, a teacher’s aide at the Cora",Int. No. 935,11377.0,2012-10-02T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.83703491399996, 40.579810509000026]}","Lew Simon was a lifelong Rockaway resident and Democratic District Leader for the 23rd Assembly District since 1994. He died on November 6, 2021 of cancer. Lew was an outspoken advocate for better public transportation, expanded library services and the",Int. No. 2477,11694.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95187630799995, 40.79042502100003]}",John William Perry served with the NYPD for eight years and was assigned to the 40th Precinct. He was killed on 9/11 while attempting to rescue the victims trapped in the World Trade Center.,Int. No. 1338,10029.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.84869196199998, 40.82185799300004]}",Reverend Dr. Jerry Mosby was the Pastor for the Fellowship Covenant Church in the Bronx and a very active member of the community.  He also served as the Community Chaplain for the 43rd Precinct and was a retired Pastor for the Bronx Network Health and H,Int. No. 931-A,10473.0,2009-04-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.10992000899995, 40.62986792600003]}","Jody Haggerty was known for his charity and hospitality.  He owned Jody’s Club Forest for over 40 years, a bar restaurant that served as headquarters for Staten Island’s St. Patrick’s Day Parade, an event at which he served as Grand Marshall, the",Int. No. 1300,10310.0,2019-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.24240912699997, 40.51054845800007]}",Awaiting Biographical Information,Int. No. 565,10307.0,2003-10-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89736902599998, 40.662665996000044]}","While incarcerated in the 1970’s, Richard Akbar Salahuddin brought many lawsuits against the New York State Department of Corrections such as, getting his name change recognized by the penitentiary, which he won, and other lawsuits pertaining to inmate",Int. No. 590-A,11207.0,2011-07-11T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.21223052999994, 40.552726214000074]}","Julius J. Deak, affectionately known as the ""Mayor of Rossville,"" was a friendly, caring and considerate man who was dedicated to the community of Rossville in Staten Island. He was a graduate of Tottenville High School and a lifelong resident of the Ros",Int. No. 778,10309.0,1993-10-29T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89789716999996, 40.86668877000005]}","This co-naming will recognize the culture and heritage of the Mexican population in the Bronx.  Cinco de Mayo commemorates the Mexican Army’s victory over French forces at the Battle of Puebla on May 5, 1862.",Int. No. 1449-A,10468.0,2017-03-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.89601501399994, 40.86583591900006]}",Mr. Sylvester Royer was a longtime resident of the 14th council district. Mr. Royer was an immigrant from the Commonwealth of Dominica and raised his family here for over 45 years. Mr. Royer was instrumental in organizing and maintaining a tenant associa,Int. No. 2477,10468.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.80741855199994, 40.667327423000074]}","On February 26, 1988, Police Officer Edward Byrne was assassinated in the South Jamaica section of Queens while he was sitting in a patrol car providing protection for a witness to a drug sale.

The murder of this 22-year-old rookie police officer shocke",Int. No. 1119,11420.0,1988-12-09T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.92968818799994, 40.79697663600007]}",Randolph Holder served with the NYPD for five years and was assigned to Police Service Area 5. He was killed in the line of duty.,Int. No. 2477,10035.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85041014499996, 40.853390286000035]}","Joseph W. Reda served in the United States Army and later worked as a stationary fireman at Jacobi Hospital for 31 years. He was a founding member of the Morris Park Community Association, a founding member and longtime President of the 49th Precinct Com",Int. No. 1338,10461.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.15257953599996, 40.58061345700003]}",Arthur C. Leahy Jr. served in the United States Marine Corps and later worked for the Department of Parks and Recreation. He was murdered during a botched burglary while working an overnight shift as a security guard at LaTourette Park.,Int. No. 1338,10314.0,2025-08-13T00:00:00.000
