:@computed_region_f5dn_yrer,present_name,Intersection with biographical_information,Park with biographical_information,Playground with biographical_information
43.0,,"Tina Zaffuto, born on August 11, 1924, was a lifetime resident of New York City. She became a resident of the Bronx after her marriage, where her three children were raised.

For ten years, Tina Zaffuto served the community as a crossing guard at the 45t",,
47.0,,Margarita “Margot” Correa Santana was the founder of Margot Restaurant: El Basement for over 30 years. She was also very involved with the Dominican community and was an Ambassador for the Dominican Day Parade,,
38.0,,,,"This legislation will name a presently unnamed playground in Queens, Mary Whalen Playground. It is an existing playground within Forest Park located on the north side of Park Lane South at its intersection with 79th Street.

Mary Whalen was born on Augus"
20.0,,Officer Seraphin Calabrese was assigned to Transit District 1.  He was killed in the line of duty with his own weapon while attempting an arrest at the Columbus Circle subway station. The suspect immediately grabbed Officer Calabrese's gun and shot him.,,
62.0,,"Mary Ann Carey was born, raised, and lived much of her life at 106-27 79th Street. She was the quintessential and charismatic leader who served her community with honor, grace who dedicated her life to civic duty and service as a district manager for Com",,
29.0,,Dorothy Gomes was very active in political and social work as a founding member of the Northeast Bronx Democratic Committee and active with Community Board 12 and the 47th Precinct Council.  She became an independent Licensed Automobile Insurance Broker,,
5.0,,"Charles Rogers was the Managing Editor of The Canarsie Courier for over 32 years. At the Courier, he oversaw the day-to-day operations of the news and local activities, and also covered stories first-hand. Camera in hand, he would jump into his car to co",,
6.0,,"FF Michael C. Reilly always wanted to be a New York City firefighter.  Even at 4 years old, when his family moved to New Jersey, he complained it wasn’t Brooklyn, “where the action is.”  He seemed to have an almost predestined calling to put his li",,
4.0,,"Tracy Brown was an author, poet, playwright, and screenwriter with a passion for the art of storytelling. She authored eleven novels, which made the bestsellers’ lists of publications, such as Essence magazine and USA Today. She was a celebrity biograp",,
4.0,,"Joe Marotta was a life-long Tompkinsville resident  best known as a longtime mentor of Community Board 1, and its Chairman for eight years. He was appointed to the board in 1983 by former Borough President Anthony Gaeta, and was elected chairman in 1988.",,
40.0,,"Dr. Daniel Malakov was born on January 13, 1974, in Shahrisabz, Uzbekistan, before his family relocated to Tashkent, when he was just nine months old. He pursued a career in the medical field. His affinity for science, coupled with his nursing background",,
62.0,Lindenwood Playground,,,This legislation would add the name a playground located 155th Avenue between 83rd Street: and 84th Street. Harold Schneiderman lived in Howard Beach for over twenty-five years less than two blocks from where the playground which is to be named for him i
47.0,,"This was a Street Co-naming that was done in Int. No. 931-A, Local Law 25 for the year 2009.  This request will change the location of the naming from the southwest corner of West 161st Street and Riverside Drive to at the intersection of West 161st Stre",,
10.0,,,"The following biographical information was provided by the Bello family. 

Bobby Bello was born and raised in Bay Ridge. The youngest of nine children, he was born on June 4, 1927 to Tony and Netti Bello. He attended P.S. 105, Pershing Junior High School",
47.0,,"J. Max Bond was a prominent African-American architect who served as head of the Architects Renewal Committee of Harlem.  In 1970, he founded the firm of Bond Ryder & Associates which was responsible for the design of the Martin Luther King Jr. Center fo",,
65.0,,"Leverich Memorial Baptist Church is one of the oldest parishes in Corona, located at 102-19 32nd Avenue.  It is a New York City landmark, and recently celebrated its 100th anniversary.",,
47.0,,"Victor Tapia gave himself to his community, consistently showing up for those in need of assistance or advice. He was a leader in Upper Manhattan and a role model for the youth. He was an independent thinker who excelled in his studies and was constantly",,
66.0,,"Priscilla Carrow was a community activist and public servant who dedicated her life to the East Elmhurst/Corona community. She worked with the New York State Department of Labor and the New York State Senate. In 1994, she worked for the New York City Hea",,
14.0,,Samyia Spain was a victim of violence when she and her twin sister were attacked outside a store by a man after she refused to give him her number. She died of stab wounds.,,
57.0,,"John Wesley ""Wes"" Joice was born in the Bronx. He grew up in Chicago, where his father was the Chairman of the Chicago Board of Trade. At the age of 13, his father died and he was stricken with polio. The struggle against polio left him with a withered l",,
15.0,,This co-naming will honor the veterans who fought in the Korean War.,,
7.0,,This co-naming will commemorate the 150th anniversary of Saint Cecilia’s Parish.,,
15.0,,"Vincent “Jimmy” Anthony Navarino served in the United States Air Force from 1951 until 1953 and was a Corporal. He was an Usher at the Church of Assumption for over 60 years, Chaplain for Granito Smith Post #1296 for 70 years, a member of AARP Oakwoo",,
4.0,,Frank J. Reali III died at the age of 36 of a congenital heart condition.  He was a star athlete of football and basketball who was part of the 1986 Susan Wagner team that won the PSAL city championship. He worked for his family real estate business as a,,
62.0,,,"On February 26, 1988, Police Officer Edward Byrne was assassinated in the South Jamaica section of Queens while he was sitting in a patrol car providing protection for a witness to a drug sale.

The murder of this 22-year-old rookie police officer shocke",
16.0,,Reggie “Combat Jack” Ossé worked as a lawyer at Def Jam. He left the entertainment business and later became a blogger and podcaster. He worked closely with rappers Jay-Z and 50 Cent to get them signed to record labels.,,
30.0,,Awaiting Biographical Information,,
51.0,,"St. John Baptist Church has been serving the Rockaways Community since 1929.  It was incorporated on May 22, 1943, and the first building purchased for worship was located on Beach 81st Street in Rockaway Beach.  In early 1953, land and houses were purch",,
26.0,,This co-naming will commemorate the 60th Anniversary of the Armenian Church of Holy Martyrs.,,
29.0,,Ms. Ludie Brown was a community activist for over 50 years. Ms. Brown passed last year during the pandemic. Ms. Brown was a community activist who served her community in various ways. Ms. Brown was the President of the Kingsland Avenue Block Association,,
30.0,,"Ismail Qemali was a leader of the Albanian national movement. As founder of Independent Albania, he served as its first head of state and president of the provisional government until January 1914 when he was forced to step aside by the International Com",,
48.0,,"Grace Belkin was the first District Manager of Bronx Community Board 8 (CB 8).  Upon the establishment of the current community board system in the late 1970’s, she became one of the first to serve in the capacity of a professional manager. She remaine",,
15.0,,"Dave Brennan, a veteran of the Korean War, was very active in veterans’ affairs, serving as among other capacities, County Commander of the American Legion, and as a member of Catholic War Veterans and Korean War veterans.  He was also trustee chairman",,
60.0,,"Benjamin W. Schaeffer was an essential worker who lost his life due to COVID-19. He was an active member of the NYPD 70th Precinct Council and served as an Auxiliary Officer. In 2018, he was awarded the MTA Medal of Excellence for preventing an act of ar",,
4.0,,Awaiting Biographical Information.,,
68.0,,"Thelma Martin developed national, state and local-sponsored programs including the Youth Development Delinquency and Recreational Program, the Commercial Revitalization Program, the Community Achievement Project, the Work Incentive Program and the Struct",,
20.0,,"Sesame Street debuted in 1969 and has been reaching and teaching children ever since.  Sesame Workshop serves vulnerable children through a wide range of media, formal education and philanthropically funded social impact programs.  Sesame Street will be",,
15.0,,"William Marsh was a FDNY lieutenant, veteran, registered nurse and volunteer coach who was dedicated to his family and his faith.  He was born and raised in Tottenville and graduated from St. Mary's High School in Perth Amboy.  He served in the United St",,
65.0,,"Veta I. Brome served as the Democratic District leader of the 35th Assembly District in Queens, and was a member of The Kiwanis of LaGuardia Airport Club.  She was the former Secretary and advisor of the Kiwanis Key Clubs.  In 1997, she became pres",,
30.0,,"Michael “Coach Mike” Colini served with the MTA as a police officer. He was very involved in the Staten Island Little League for over 25 years as a coach, manager, vice president and president. He was also a member of the Dongan Hills loop’s Board",,
7.0,,"Gloria DeNard studied voice at the Juilliard School, sang on CBS Radio and toured the world as a USO performer. Throughout the 1950s, her and her husband traveled the world on USO tours, performing for United States troops in Alaska, Japan, South Korea,",,
45.0,,"While incarcerated in the 1970’s, Richard Akbar Salahuddin brought many lawsuits against the New York State Department of Corrections such as, getting his name change recognized by the penitentiary, which he won, and other lawsuits pertaining to inmate",,
56.0,,"Susan B. Anthony and Elizabeth Cady Stanton are of the many women that have made massive contributions to this nation. From 1868 to 1869 they published their women’s rights newspaper, The Revolution. These two women have worked hard and long for the ju",,
30.0,,"Turid S. Brandt worked for the Social Security Administration from 1967 – 1990.  Shortly after her retirement, she began volunteering at P.S. 54 serving as PTA president.  She started the Reading for Life Program and the Valentines Dance enriching the",,
24.0,,"As a boy, Luke Nee played all the games that a Bronx sidewalk offered to kids on Minerva Place, just off the Grand Concourse, such as stickball and street hockey. Right out of Cardinal Hayes High School, he answered a help-wanted advertisement for people",,
4.0,,Awaiting Biographical Information,,
68.0,,"Peter Robert Gagliardi, a flyweight turned bantamweight, who changed his name to Bobby Gleason in order to appeal to the predominantly Irish New York fight crowd of the era, opened Gleason’s Gym in 1937. The gym was located in the “Hub” district of",,
10.0,,"Antonio Nobile was born in Calatafimi, Sicily on January 26, 1928.  He was one of nine brothers.  Having only a 5th grade education, Tony began cutting hair at the age of 10, taking lessons from a local barber in his hometown.  At the age of 19, he moved",,
21.0,None (commonly known as Shady Park),,"Police Officer John G. Scarangella was a 12-year veteran of the police force when, on the morning of April 16, 1981, a dirty white van with New Jersey license plates appeared in front of the radio car in which Police Officer Scarangella was riding with h",
57.0,,"Joseph Papp was considered the single most creative and controversial figure in American theater.  He founded the New York Shakespeare Festival in 1954 which was the first company to offer free productions of Shakespeare, with an emphasis on an American",,
65.0,,Adrienne Morris Rodriguez served with the NYPD and died as a result of 9/11 related illness.,,
15.0,,"Gaetano Vincent Mangano was very active in the Eltingville community for over 50 years. He served on Community Board #4, served as President of the Memphis Avenue Civic Association and was elected as National Vice President of the American Postal Workers",,
15.0,,Awaiting Biographical Information,,
4.0,,Ronald Jones was a member of the 173rd Airborne Division who gave his life for his country. He was killed on duty in 1967 while serving in Vietnam.,,
15.0,,Awaiting Biographical Information,,
71.0,,This co-naming will commemorate the 100th Anniversary of the opening of the court and the significance of its impact in the improvement of the lives of New Yorkers.,,
59.0,,"Joseph W. Reda served in the United States Army and later worked as a stationary fireman at Jacobi Hospital for 31 years. He was a founding member of the Morris Park Community Association, a founding member and longtime President of the 49th Precinct Com",,
30.0,,"Joseph R. Sciacca was born, July 14, 1917 on Cherry Street in the Little Italy section of Manhattan and relocated with his family to Grant City as a young child and lived there until his death at the age of 100. He attended P.S. 33, P.S. 41 and Tottenvil",,
30.0,,"Paula Frassinetti was born in Genoa, Italy in 1809. She founded the Congregation of Saint Dorothy in 1834 in Quinto, Italy, dedicated to the moral and religious education of young girls. The Sisters of St. Dorothy were noted for their work with the sick",,
4.0,,Awaiting Biographical Information,,
4.0,,Carmelo Tirone was born in Sicily in 1885 and came to New York in 1916 to work with his brothers in a shoe repair shop located at 19 Richmond Avenue in Staten Island. He married and raised five children. The shop was too small so he finally ended up movi,,
22.0,,Bernard L. Shapiro was a community leader who gave most of his time to the Garden Jewish Center of Flushing and its members serving as the temple attorney for over thirty (30) years.  He gave legal advice to the Center’s board of directors and clergy o,,
4.0,,Detective James V. Nemorin was killed in the line of duty during an undercover gun buy operation.,,
26.0,,"Ann Juliano Jawin a Douglaston resident and founder of the Center for the Women of New York. Founder of The Center for the Women of New York, she was an educator, author and activist who was part of the Second Wave of women’s liberation in the 1970’s",,
4.0,,Rhonda Whitefield was a long-time educator who served as a public school principal prior to holding an appointed position with the District 31 Community Education Council.  She was a special education teacher at Prall Intermediate School and PS 18 before,,
4.0,,Alafia Rodriguez served in the United States Marine Corp and fought in Desert Storm. He played semi-pro football for the Staten Island Predators. He coached St. Peter’s football and basketball leagues. He was a victim of gun violence.,,
63.0,,"Jules Taylor, Jr. was born in Port-au-Prince, Haiti and later moved to the United States. He began his career in Human Resources and worked in various positions over the course of his more than 30-year career. His last position was at East Side House Set",,
4.0,,Awaiting Biographical Information,,
10.0,,Awaiting Biographical Information.,,
32.0,,"Edward H. Alleva Sr. served his Brooklyn community for over 50 years as the owner-operator of the Edward Alleva Travel and Insurance Agency, located at 282 Avenue U. During that time he became an integral part of the Gravesend Neighborhood. Mr. Alleva wa",,
65.0,,"Army Spc. Alex Jimenez was kidnapped after an ambush south of Baghdad in May 2007.  Approximately one year later, the U.S. military found and identified his body. He was killed in the line of duty.",,
4.0,,Awaiting Biographical Information,,
21.0,,"Hon. Howard Lasher was a political fixture in Brooklyn for over 35 years serving in the Assembly from 1973 – 1993, and later as Council Member from 1994 – 2001.",,
29.0,,"Kings 5 was a community-based basketball organization, which serviced more than 10,000 males, ages 8 to 40 in the northeast Bronx communities.  It was founded by Andy King Sr. in the 1970’s as an organization to get neighborhood youth off the city’s",,
29.0,,"Betty Brady was born in New Jersey and came to the Bronx with her husband James when they were married in 1937. In 1950 they moved to the Chester Civic section, where they raised five children. Both Betty and her husband became involved in the Chester Ci",,
48.0,,"David P. Casella was born on October 5, 1950 in the Yorkville section of Manhattan.  David Casella attended St.  Joseph’s school in Manhattan, and began his studies for the priesthood at Cathedral Preparatory Seminary (then located in Manhattan).  He g",,
10.0,,"The following background information was supplied by Council Member Golden and the Blanchard family. 

On June 7, 1994, Donna Blanchard dropped her five-year old son, Andrew, at P.S. 104.  She and her four-year old daughter Michele then went to the local",,
66.0,,"Eddie Guida was a City Marshal for 29 years who dedicated countless hours of his life to the betterment and to the advancement of those less fortunate.  In 1909, his grandfather, Edward Guida Sr., opened the doors to the Edward F. Guida Funeral Home for",,
69.0,,"The following biographical material was provided by the Merrick Park Baptist Church in Jamaica, New York. 

Chief Charles Adebowale Joshua was born in New York City on July 24, 1924, the son of Samuel and Ethel Joshua.  After graduation from Haaren High",,
63.0,,,"This legislation will name an unnamed park, Frederick Cabbell Park. It is an existing park bounded by Francis Lewis Boulevard, 120th Avenue and 121st Avenue.
Frederick Cabbell was a long time resident of the Cambria Heights section of Queens and he was v",
40.0,,"Geraldine Ferraro was a Democratic Party politician, a member of the United States House of Representatives and was the first female Vice Presidential candidate for former Vice President Walter Mondale.  She served as an assistant district attorney in",,
15.0,,Carmine Cantalino served on the NYPD for 25 years and died as a result of 9/11 illness after spending a great deal of his time at Ground Zero after 9/11.,,
21.0,,"Grace Nichilo was a landmark of the community in Coney Island.  She became a strong worker and supporter of Our Lady of Solace Church and her children attended the OLOS School.  When Neptune Avenue was host to the annual Coney Island Feast, it was Ms. Ni",,
1.0,,"Joe Rollino was known for his great physical strength, as well as, being an active volunteer promoting physical health to neighborhood children.  He once lifted 475 pounds using his teeth, used one finger to lift 634 pounds and was one of the last of the",,
20.0,,"DiDi Ford was the first African American women to teach at the River Park Nursery School. She created the annual River Park Bazaar, which gave an opportunity for those in need to find clothes, toys and household goods for $1 a bag. After she retired in 2",,
35.0,,Pastor Marie C. Norwood joined the Gospel Temple Church of God in Christ in 1952 and served as a missionary and charity board worker for over nine years. She then served was an Evangelist in the Deliverance Evangelistic Center for over a decade. She then,,
41.0,,"Julius Freeman served in WWII as a medic with the 332nd Tuskegee Airmen.  In 2007, he was awarded the Congressional Gold Medal by President George W. Bush.  After the war, he was a successful car salesman and became the first African-American spokesperso",,
7.0,,Randolph Holder served with the NYPD for five years and was assigned to Police Service Area 5. He was killed in the line of duty.,,
53.0,,"The New York Irish Center was founded in Long Island City in 2004, under the stewardship of Father Colm Campbell from Belfast, Ireland, and businessperson Paddy Reilly of County Cavan, Ireland, with a purpose to serve as a cultural and social hub for the",,
37.0,,"The following biographical information is derived from material that was provided by the City University of New York Law School at Queens College, the law firm of Van Lierop, Burns and Schaap and from """"Lawyers You'll Like, Putting Human Rights First"""",",,
15.0,,James J. Winters served on the FDNY for 41 years. He died of 9/11 related illness from working at Ground Zero as part of the search and rescue effort.,,
70.0,,"During the 1880s, almost 200,000 Eastern European Jews migrated to the United States. With most of them settling on the Lower East Side, this section became the most densely populated area in the city. The overcrowded neighborhood, combined with the gene",,
66.0,,"Edgar Moya was a dedicated member of his community. Originally from Ecuador, he moved to the United States and was later drafted into the Army and served in combat in Nha Trang, Vietnam, from 1965 to 1966. He was honorably discharged as a Private First C",,
39.0,,"Jack Hastings, one of seven children of Irish immigrant parents, was born on February 7, 1925, on West 154th Street in Harlem. His family moved to the Bronx while he was young, and Jack graduated from Monroe High School. In 1943, soon after his 18th birt",,
4.0,,"Dominick Lambert served on Community Board 1, advocating for issues such as the North Shore Railway as well as Staten Island residents and business owners for 25 years.  He served on the board in various capacities, including vice chair and chair of the",,
51.0,,"Christian Hoobs dedicated  his life to the Broad Channel community as an activist, local business owner and operator.  He voluntarily helped build both the Broad Channel Volunteer Fire Department (BCVFD) and St. Virgilius Church buildings, that both stro",,
4.0,,"John Leone was born in Brooklyn, New York on March 16, 1940. He attended the local public elementary and high schools. He received his J.D Degree from New York Law School in 1963 where he received awards in Evidence and Real Property. Upon graduating, he",,
49.0,,"WE STAY/Nos Quedamos (NQ) is a South Bronx-based CDC committed to our collective self-determination. Our sustainable development work creates the conditions that maintain our health and culture. Our work engages, empowers, and transforms marginalized com",,
15.0,,"Julius J. Deak, affectionately known as the ""Mayor of Rossville,"" was a friendly, caring and considerate man who was dedicated to the community of Rossville in Staten Island. He was a graduate of Tottenville High School and a lifelong resident of the Ros",,
4.0,,"Pvt. Leon J. Stasiak was among 1,015 U.S. soldiers killed when a new, radio-guided missile launched from a German bomber sunk the HMT Rohna off North Africa in late 1943. Though among the deadliest sea disasters involving American troops, it was cloaked",,
35.0,,George Castrioti Scanderbeg was an Albanian Nobleman and military commander who led the rebellion against the Ottoman Empire. In 1443 Scanderbeg seized and defended the Fortress of Croya against both Sultan Murad II and Sultan Mehmed II for roughly a qua,,
20.0,,,"Samuel Bennerson was born on December 19, 1923. He was a second-generation resident the Phipps Houses. His parents, from St. Croix Virgin Islands, were one of the original families to move into Phipps Houses which was an experiment in low-rent housing de",
4.0,,Awaiting Biographical Information,,
7.0,,John William Perry served with the NYPD for eight years and was assigned to the 40th Precinct. He was killed on 9/11 while attempting to rescue the victims trapped in the World Trade Center.,,
24.0,,Mr. Sylvester Royer was a longtime resident of the 14th council district. Mr. Royer was an immigrant from the Commonwealth of Dominica and raised his family here for over 45 years. Mr. Royer was instrumental in organizing and maintaining a tenant associa,,
41.0,,"Mother Maude Ford, was born in Barbados.  She became a dedicated member of the Salvation Army working first in Harlem in the 1920s with young women.  After becoming First Chaplain she was called to minister in Jamaica Queens where she went door to door",,
50.0,,"José Ángel Hernández, known as “Flow La Movie” was a Puerto Rican music producer. He died at the age of 36, when a charter plane Gulfstream IV carrying him, his wife and children crashed while attempting an emergency landing near Las Américas Int",,
47.0,,"Thomas C. Brick was born in Flushing, New York and attended St. Kevin’s Grammar School where he served as an altar boy in the church. He later attended Holy Cross High School and Nassau Community College in Garden City. As an adult, Thomas volunteered",,
46.0,,"Allama Iqbal was a writer, philosopher and politician who is widely revered in the Asian subcontinent. He was a scholar, politician, lawyer, and well-known poet whose poetry in the Urdu language is among the greatest in the world. He is commonly referred",,
71.0,,"This co-naming will commemorate the Manhattan-based School of Visual Arts (SVA), which has been a leader in the education of artists, designers and creative professionals for 75 years. SVA has approximately 6,000 students and 41,000 alumni who have contr",,
4.0,,"Angela Padavano was a prominent Staten Island fund-raiser helped garner hundreds of thousands of dollars for charity during four decades of philanthropy.  In an interview she gave before being named Woman of Achievement in 2001, she said, “I run wherev",,
30.0,,"Thomas Schimenti, Jr. was born on October 19, 1943 to Thomas Sr. and Angelina Schimenti. He grew up on Staten Island where he attended Saint Sylvester Grammar School and New Dorp High School. Tom also attended McKee Evening classes and became a journeyma",,
56.0,,"Finbar Devine was born in Washington Heights on October 15, 1929. He was raised in the Inwood section of Manhattan, educated by the Irish Christian Brothers at Power Memorial Academy and studied business at New York University.After leaving school, he jo",,
53.0,,"Sal Anzalone was much loved by his family, friends, neighbors and peers.  He was a civic activist dedicated to the improvement of the Hunters Point area.  Sal owned and operated the Cassino Restaurant in Long Island City for over 40 years and was a fixtu",,
18.0,,"Edwin “Eddie” Ellis was an activist, a member of the Black Panthers and a broadcaster on WBAI for many years, on their weekend “On the Count” show produced by ex-prisoners. He founded the NuLeadership Policy Group in 2001, which conducts research",,
47.0,,Awaiting Biographical Information,,
14.0,,,Louis Valentino Jr. was born on 1958 to Louis Valentino Sr. and Phyllis Valentino. He was raised in the Red Hook section of Brooklyn where he attended grammar school and played ball in the ballfield which this legislation names. Upon graduating from Xave,
11.0,,"John J. FitzGerald, born in 1893, was a horseracing writer for The Morning Telegraph in the 1920's and was the first to popularize the term ""The Big Apple."" While on assignment in New Orleans, FitzGerald overheard African-American stable hands refer to N",,
20.0,,"The Sakya Tsechen Association is an organization of the community members of the follower of the Sakya Order of Tibetan Buddhism in New York City and New Jersey. The organization is for, by and of the Sakya members and seeks to provide spiritual and cu",,
29.0,,"Samuel Simpson was born in Jamaica, West Indies and later relocated to the United States in the early 1960s.  He was ordained at Evergreen Baptist Church in Brooklyn, N.Y., in 1963 and pastored Bronx Baptist Church for 45 years and Wake-Eden Community Ba",,
43.0,,"Police Officer Daniel Enchautegui was a Bronx native and a three-year veteran of the NYPD. Early on the morning of December 11, 2005, he was off-duty and heard glass breaking from the house next door. He called 911 and placed his shield around his neck t",,
41.0,,"Reverend Walter A. Jones, Sr. (September 6, 1924 – April 7, 2017) became active in the church at a young age.  He started as a Sunday School Teacher and was elevated to the Superintendent of the Sunday School.  He was a World War II Veteran with an Hon",,
62.0,159th Avenue,This street name change is being done to help alleviate a confusion at this intersection.,,
70.0,,"Marie Christopher was a respected community leader for many decades who fought for affordable and sustainable housing and economic justice in Manhattan's Lower East Side.  She worked with Pueblo Nuevo, Citizens Committee for New York and the 7th Precinct",,
8.0,,"Mothers on the Move (MOM) started as the Parent Organizing and Education Project (POEP) in 1992 with a group of adult literacy students enrolled in the Bronx Educational Services (BES) to support a parent involvement project at PS 62, located on Fox Stre",,
35.0,,"Anne Bancroft was born in the Bronx and became an actress, director, screenwriter and singer. Through her career she received an Academy Award, three BAFTA Awards, two Golden Globe Awards, two Tony Awards and two Primetime Emmy Awards. She is also one of",,
45.0,,Melvin A. Faulkner was a veteran of the United States Air Force and later served as the Community Liaison in the 60th Assembly District for Hon. Charles Barron. He also served as Senior Programming and Services Liaison in the New York State Assembly unde,,
46.0,,"This co-naming will commemorate the 403rd birth anniversary of Guru Tegh Bahadur Marg Ji, the ninth of the ten gurus in the religion of Sikhism. Guru Tegh Bahadur Marg Ji was born on April 1, 1621, and martyred on November 24, 1675. He was considered a p",,
4.0,,Awaiting Biographical Information,,
