the_geom,long,landmark_1,biz_desc,openstre_2,lat,sidewalk_1,y,sidewalkar,:@computed_region_f5dn_yrer,creationda,bizzip,qualify_op,:@computed_region_sbqj_enih
"{'type': 'Point', 'coordinates': [-73.94410006388972, 40.68497573115656]}",-73.9441000639,,Other,,40.6849757312,9,188836.502954,81.0,69.0,2022-11-02T00:00:00.000,11216.0,no,51.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,Electronics Store; Cell Phone Store,,-1.78722274927e-10,26,-2280004.57969,442.0,,2022-11-02T00:00:00.000,11368.0,no,
"{'type': 'Point', 'coordinates': [-73.97247347717807, 40.693196827201405]}",-73.9724734772,,Furniture Store,,40.6931968272,12,191827.941197,408.0,68.0,2022-11-02T00:00:00.000,11205.0,no,55.0
"{'type': 'Point', 'coordinates': [-73.8933818391506, 40.86187697110088]}",-73.8933818392,,"Clothing, Shoe, Accessories Store",,40.8618769711,5,253300.57186,160.0,6.0,2022-11-02T00:00:00.000,10458.0,no,29.0
"{'type': 'Point', 'coordinates': [-73.94242200698713, 40.702472451195966]}",-73.942422007,,Electronics Store; Cell Phone Store,,40.7024724512,5,195211.373407,25.0,36.0,2022-11-02T00:00:00.000,11206.0,no,56.0
"{'type': 'Point', 'coordinates': [-73.99321357380751, 40.60157030408688]}",-73.9932135738,,Supermarket & Grocery Store,,40.6015703041,27,158444.755339,1080.0,1.0,2022-11-02T00:00:00.000,11214.0,no,37.0
"{'type': 'Point', 'coordinates': [-73.95517976658365, 40.61011670175856]}",-73.9551797666,,"Thrift Store (Used goods, etc.)",,40.6101167018,2,161561.53946,16.0,32.0,2022-11-02T00:00:00.000,11229.0,no,36.0
"{'type': 'Point', 'coordinates': [-73.95290378068727, 40.77213665462466]}",-73.9529037807,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7721366546,5,220590.502766,625.0,23.0,2022-11-02T00:00:00.000,10075.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.8454821122864, 40.720448657156574]}",-73.8454821123,,"Clothing, Shoe, Accessories Store",,40.7204486572,9,201793.179469,225.0,40.0,2022-11-02T00:00:00.000,11375.0,no,70.0
"{'type': 'Point', 'coordinates': [-73.98828199748768, 40.68829785570289]}",-73.9882819975,,Other,,40.6882978557,5,190042.120294,100.0,68.0,2022-11-02T00:00:00.000,11201.0,no,54.0
"{'type': 'Point', 'coordinates': [-73.95768386013768, 40.67134629474344]}",-73.9576838601,,Supermarket & Grocery Store,,40.6713462947,7,183868.796026,700.0,16.0,2022-11-02T00:00:00.000,11238.0,no,49.0
"{'type': 'Point', 'coordinates': [-73.90205499942697, 40.70499000014642]}",-73.9020549994,,"Clothing, Shoe, Accessories Store",,40.7049900001,5,196138.527064,50.0,54.0,2022-11-02T00:00:00.000,11385.0,no,62.0
"{'type': 'Point', 'coordinates': [-73.87745379201542, 40.828781403051494]}",-73.877453792,,Electronics Store; Cell Phone Store,,40.8287814031,14,241248.383366,322.0,58.0,2022-11-02T00:00:00.000,10472.0,no,26.0
"{'type': 'Point', 'coordinates': [-73.98620093938553, 40.68742073196608]}",-73.9862009394,,"Clothing, Shoe, Accessories Store",,40.687420732,20,189722.642586,600.0,68.0,2022-11-02T00:00:00.000,11217.0,no,54.0
"{'type': 'Point', 'coordinates': [-73.98555184417457, 40.6907767619631]}",-73.9855518442,,"Clothing, Shoe, Accessories Store",,40.690776762,20,190945.37144,1400.0,68.0,2022-11-02T00:00:00.000,11201.0,no,54.0
"{'type': 'Point', 'coordinates': [-73.99287854446523, 40.717780266370205]}",-73.9928785445,,Electronics Store; Cell Phone Store,,40.7177802664,5,200783.306488,100.0,70.0,2022-11-02T00:00:00.000,10002.0,no,2.0
"{'type': 'Point', 'coordinates': [-73.914597334524, 40.69912286341619]}",-73.9145973345,,Other,,40.6991228634,16,193997.315795,3200.0,42.0,2022-11-02T00:00:00.000,11237.0,no,53.0
"{'type': 'Point', 'coordinates': [-73.80850794344937, 40.7031366328506]}",-73.8085079434,,"Clothing, Shoe, Accessories Store",,40.7031366329,10,195506.141518,1000.0,41.0,2022-11-02T00:00:00.000,11435.0,no,61.0
"{'type': 'Point', 'coordinates': [-73.94424565756388, 40.68428992259368]}",-73.9442456576,,"Clothing, Shoe, Accessories Store",,40.6842899226,30,188586.617299,510.0,69.0,2022-11-02T00:00:00.000,11216.0,no,51.0
"{'type': 'Point', 'coordinates': [-73.99544541123167, 40.73996201961964]}",-73.9954454112,,Home Goods Store,,40.7399620196,13,208864.762438,975.0,12.0,2022-11-02T00:00:00.000,10011.0,no,7.0
"{'type': 'Point', 'coordinates': [-73.86972039648612, 40.7093834139339]}",-73.8697203965,,"Clothing, Shoe, Accessories Store",,40.7093834139,10,197750.856845,500.0,54.0,2022-11-02T00:00:00.000,11385.0,no,62.0
"{'type': 'Point', 'coordinates': [-73.93227190143162, 40.857282055240006]}",-73.9322719014,,Other,,40.8572820552,5,251615.76191,5000.0,47.0,2022-11-02T00:00:00.000,10040.0,no,22.0
"{'type': 'Point', 'coordinates': [-73.95229499726412, 40.776313025738276]}",-73.9522949973,,Other,,40.7763130257,15,222112.185747,300.0,23.0,2022-11-02T00:00:00.000,10028.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.82678367834238, 40.760436914795356]}",-73.8267836783,,"Clothing, Shoe, Accessories Store",,40.7604369148,5,216371.837975,65.0,22.0,2022-11-02T00:00:00.000,11354.0,no,67.0
"{'type': 'Point', 'coordinates': [-73.96750938565732, 40.768836117699784]}",-73.9675093857,,"Clothing, Shoe, Accessories Store",,40.7688361177,4,219386.169545,8.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.99277941257819, 40.73023794726852]}",-73.9927794126,,Electronics Store; Cell Phone Store,,40.7302379473,18,205322.026742,612.0,57.0,2022-11-02T00:00:00.000,10003.0,no,3.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.93445495761401, 40.84954194470298]}",-73.9344549576,,"Clothing, Shoe, Accessories Store",,40.8495419447,5,248795.285267,245.0,47.0,2022-11-02T00:00:00.000,10032.0,no,22.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.82758472373777, 40.75371087416648]}",-73.8275847237,,Supermarket & Grocery Store,,40.7537108742,20,213920.889137,340.0,22.0,2022-11-02T00:00:00.000,11355.0,no,67.0
"{'type': 'Point', 'coordinates': [-74.13595101461325, 40.624946510112224]}",-74.1359510146,,Bodega/Deli/Convenience Store,,40.6249465101,4,166990.529914,20.0,4.0,2022-11-02T00:00:00.000,10302.0,no,75.0
"{'type': 'Point', 'coordinates': [-73.96392911843785, 40.765036205070366]}",-73.9639291184,,Electronics Store; Cell Phone Store,,40.7650362051,14,218002.123757,280.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.91579236652434, 40.817417428173314]}",-73.9157923665,,"Clothing, Shoe, Accessories Store",,40.8174174282,5,237095.555058,50.0,49.0,2022-11-02T00:00:00.000,10455.0,no,23.0
"{'type': 'Point', 'coordinates': [-73.95787144650872, 40.72183158724093]}",-73.9578714465,,Other,,40.7218315872,7,202262.054843,336.0,36.0,2022-11-02T00:00:00.000,11249.0,no,57.0
"{'type': 'Point', 'coordinates': [-73.9696664605556, 40.76626099682437]}",-73.9696664606,,Jewellery  Store,,40.7662609968,12,218447.753443,240.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-74.0054649241495, 40.73379888862044]}",-74.0054649241,yes,"Hardware, Arts & Crafts",,40.7337988886,4,206619.353871,400.0,57.0,2022-11-02T00:00:00.000,10014.0,no,3.0
"{'type': 'Point', 'coordinates': [-73.96711844735154, 40.63214379929853]}",-73.9671184474,yes,"Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,40.6321437993,5,169585.121838,50.0,60.0,2022-11-02T00:00:00.000,11230.0,no,43.0
"{'type': 'Point', 'coordinates': [-73.79380214700497, 40.710419290857]}",-73.793802147,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7104192909,5,198168.68114,60.0,25.0,2022-11-02T00:00:00.000,11432.0,no,65.0
"{'type': 'Point', 'coordinates': [-74.00586211762656, 40.63907089744779]}",-74.0058621176,,Supermarket & Grocery Store,,40.6390708974,20,172107.191925,360.0,9.0,2022-11-02T00:00:00.000,11220.0,no,45.0
"{'type': 'Point', 'coordinates': [-74.01338965446662, 40.64908324815764]}",-74.0133896545,,Other,,40.6490832482,15,175755.194143,1650.0,9.0,2022-11-02T00:00:00.000,11220.0,no,45.0
"{'type': 'Point', 'coordinates': [-73.8543503335359, 40.84899364955888]}",-73.8543503335,,"Hardware, Arts & Crafts",,40.8489936496,12,248622.236401,240.0,59.0,2022-11-02T00:00:00.000,10461.0,no,32.0
"{'type': 'Point', 'coordinates': [-73.98915282938673, 40.74619908299749]}",-73.9891528294,,Other,,40.746199083,13,211137.276594,195.0,11.0,2022-11-02T00:00:00.000,10001.0,no,7.0
"{'type': 'Point', 'coordinates': [-74.00164240054318, 40.72237093572643]}",-74.0016424005,yes,"Clothing, Shoe, Accessories Store",,40.7223709357,6,202455.75229,90.0,57.0,2022-11-02T00:00:00.000,10013.0,no,1.0
"{'type': 'Point', 'coordinates': [-74.0111597773071, 40.71518657916929]}",-74.0111597773,,Electronics Store; Cell Phone Store,,40.7151865792,5,199838.46389,25.0,56.0,2022-11-02T00:00:00.000,10007.0,no,1.0
"{'type': 'Point', 'coordinates': [-73.82039767383873, 40.68767009262738]}",-73.8203976738,,"Gift store, Stationary",,40.6876700926,12,189864.253195,240.0,62.0,2022-11-02T00:00:00.000,11419.0,no,64.0
"{'type': 'Point', 'coordinates': [-73.99044645657715, 40.618835808807624]}",-73.9904464566,,"Clothing, Shoe, Accessories Store",,40.6188358088,15,164735.099057,600.0,1.0,2022-11-02T00:00:00.000,11204.0,no,37.0
"{'type': 'Point', 'coordinates': [-73.93964114314322, 40.6250017053163]}",-73.9396411431,,Supermarket & Grocery Store,,40.6250017053,12,166987.126049,300.0,5.0,2022-11-02T00:00:00.000,11219.0,no,38.0
"{'type': 'Point', 'coordinates': [-74.01332092193327, 40.642368505224894]}",-74.0133209219,,"Clothing, Shoe, Accessories Store",,40.6423685052,5,173308.826661,75.0,9.0,2022-11-02T00:00:00.000,11220.0,no,45.0
"{'type': 'Point', 'coordinates': [-73.99737812307032, 40.713836719064744]}",-73.9973781231,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7138367191,5,199346.48259,50.0,70.0,2022-11-02T00:00:00.000,10002.0,no,2.0
"{'type': 'Point', 'coordinates': [-73.99043009917371, 40.71567497717978]}",-73.9904300992,,Other,,40.7156749772,17,200016.350017,221.0,70.0,2022-11-02T00:00:00.000,10002.0,no,4.0
"{'type': 'Point', 'coordinates': [-73.9142679489783, 40.68507555924184]}",-73.914267949,,"Clothing, Shoe, Accessories Store",,40.6850755592,19,188879.561923,380.0,42.0,2022-11-02T00:00:00.000,11207.0,no,53.0
"{'type': 'Point', 'coordinates': [-73.98347371849968, 40.72299767758379]}",-73.9834737185,,"Clothing, Shoe, Accessories Store",,40.7229976776,13,202684.521518,247.0,70.0,2022-11-02T00:00:00.000,10009.0,no,5.0
"{'type': 'Point', 'coordinates': [-73.99843924096791, 40.72351340768835]}",-73.998439241,yes,"Clothing, Shoe, Accessories Store",,40.7235134077,18,202871.989647,234.0,57.0,2022-11-02T00:00:00.000,10012.0,no,1.0
"{'type': 'Point', 'coordinates': [-73.9614979422963, 40.801042676170844]}",-73.9614979423,,"Gift store, Stationary",,40.8010426762,24,231120.791089,120.0,20.0,2022-11-02T00:00:00.000,10025.0,no,15.0
"{'type': 'Point', 'coordinates': [-73.95125581916346, 40.80010438731124]}",-73.9512558192,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.8001043873,5,230780.351809,160.0,18.0,2022-11-02T00:00:00.000,10026.0,no,18.0
"{'type': 'Point', 'coordinates': [-73.92914082380031, 40.70598377883208]}",-73.9291408238,,Other,,40.7059837788,15,196493.354438,360.0,36.0,2022-11-02T00:00:00.000,11237.0,no,56.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,"Clothing, Shoe, Accessories Store",,-1.78722274927e-10,11,-2280004.57969,110.0,,2022-11-02T00:00:00.000,10003.0,no,
"{'type': 'Point', 'coordinates': [-73.83450000034179, 40.76982000022782]}",-73.8345000003,,"Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,40.7698200002,10,219786.266842,1000.0,22.0,2022-11-02T00:00:00.000,11429.0,no,67.0
"{'type': 'Point', 'coordinates': [-73.82034503571184, 40.687690922229514]}",-73.8203450357,,"Clothing, Shoe, Accessories Store",,40.6876909222,12,189871.871946,240.0,62.0,2022-11-02T00:00:00.000,11419.0,no,64.0
"{'type': 'Point', 'coordinates': [-74.00191058366222, 40.732151240065356]}",-74.0019105837,yes,"Hardware, Arts & Crafts",,40.7321512401,12,206019.022395,312.0,57.0,2022-11-02T00:00:00.000,10014.0,no,3.0
"{'type': 'Point', 'coordinates': [-73.99549588288933, 40.74462516720275]}",-73.9954958829,,Other,,40.7446251672,10,210563.694736,100.0,12.0,2022-11-02T00:00:00.000,10011.0,no,6.0
"{'type': 'Point', 'coordinates': [-73.89181593144494, 40.82368357095572]}",-73.8918159314,,"Clothing, Shoe, Accessories Store",,40.823683571,5,239385.823771,100.0,8.0,2022-11-02T00:00:00.000,10459.0,no,24.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.83004449002921, 40.75932518055935]}",-73.83004449,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7593251806,10,215965.028093,120.0,22.0,2022-11-02T00:00:00.000,11354.0,no,67.0
"{'type': 'Point', 'coordinates': [-73.82963679399262, 40.75861515033767]}",-73.829636794,,Supermarket & Grocery Store,,40.7586151503,25,215706.560763,750.0,22.0,2022-11-02T00:00:00.000,11355.0,no,67.0
"{'type': 'Point', 'coordinates': [-74.00735197269132, 40.7393075159865]}",-74.0073519727,,"Clothing, Shoe, Accessories Store",,40.739307516,17,208626.358716,357.0,57.0,2022-11-02T00:00:00.000,10014.0,no,3.0
"{'type': 'Point', 'coordinates': [-73.9281497114765, 40.864985133061325]}",-73.9281497115,,"Pharmacy, Optical Store, Health Store",,40.8649851331,20,254423.19888,500.0,47.0,2022-11-02T00:00:00.000,10040.0,no,22.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.91845412355228, 40.739489030086105]}",-73.9184541236,,Other,,40.7394890301,4,208702.922867,16.0,53.0,2022-11-02T00:00:00.000,11377.0,no,66.0
"{'type': 'Point', 'coordinates': [-73.9734730109172, 40.78356971691973]}",-73.9734730109,yes,"Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,40.7835697169,4,224753.558417,36.0,20.0,2022-11-02T00:00:00.000,10024.0,no,12.0
"{'type': 'Point', 'coordinates': [-74.01126090142222, 40.64422560024129]}",-74.0112609014,,"Clothing, Shoe, Accessories Store",,40.6442256002,18,173985.33679,270.0,9.0,2022-11-02T00:00:00.000,11220.0,no,45.0
"{'type': 'Point', 'coordinates': [-73.84997908736545, 40.90429933289814]}",-73.8499790874,,Other,,40.9042993329,12,268774.306005,360.0,29.0,2022-11-02T00:00:00.000,10470.0,no,30.0
"{'type': 'Point', 'coordinates': [-73.79600465921737, 40.70505508307664]}",-73.7960046592,,"Clothing, Shoe, Accessories Store",,40.7050550831,3,196212.914382,48.0,41.0,2022-11-02T00:00:00.000,11432.0,no,61.0
"{'type': 'Point', 'coordinates': [-74.01060501824227, 40.64477746405587]}",-74.0106050182,,Supermarket & Grocery Store,,40.6447774641,25,174186.373134,475.0,9.0,2022-11-02T00:00:00.000,11220.0,no,45.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.99180358415812, 40.71761019928147]}",-73.9918035842,,Home Goods Store,,40.7176101993,5,200721.371901,50.0,70.0,2022-11-02T00:00:00.000,10002.0,no,2.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.97093012119475, 40.75761336678974]}",-73.9709301212,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7576133668,12,215297.019259,240.0,71.0,2022-11-02T00:00:00.000,10022.0,no,9.0
"{'type': 'Point', 'coordinates': [-73.9592050078447, 40.71641738144927]}",-73.9592050078,,Office supply,,40.7164173814,15,200289.318959,180.0,36.0,2022-11-02T00:00:00.000,11211.0,no,57.0
"{'type': 'Point', 'coordinates': [-73.94831947610827, 40.7784279667121]}",-73.9483194761,,Home Goods Store,,40.7784279667,15,222883.35448,180.0,23.0,2022-11-02T00:00:00.000,10128.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.9971341725023, 40.71666967180273]}",-73.9971341725,,Jewellery  Store,,40.7166696718,11,200378.615697,154.0,57.0,2022-11-02T00:00:00.000,10013.0,no,2.0
"{'type': 'Point', 'coordinates': [-74.00430552860902, 40.73946732741964]}",-74.0043055286,,"Clothing, Shoe, Accessories Store",,40.7394673274,2,208684.526906,28.0,57.0,2022-11-02T00:00:00.000,10014.0,no,3.0
"{'type': 'Point', 'coordinates': [-73.93087945050301, 40.76770072934629]}",-73.9308794505,,Supermarket & Grocery Store,,40.7677007293,16,218978.39477,960.0,39.0,2022-11-02T00:00:00.000,11106.0,no,72.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,"Clothing, Shoe, Accessories Store",,-1.78722274927e-10,10,-2280004.57969,500.0,,2022-11-02T00:00:00.000,11212.0,no,
"{'type': 'Point', 'coordinates': [-73.98657976608177, 40.74363552610982]}",-73.9865797661,,"Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,40.7436355261,11,210203.389682,550.0,11.0,2022-11-02T00:00:00.000,10016.0,no,7.0
