base_market_value,local_currency_code,shares_par_value,base_total_cost,maturity_date,direct_group_trust_holding,security_name
283566.5,USD,350000.0,347250.0,2029-02-15T00:00:00.000,Direct,AMC NETWORKS INC
491552.65,USD,535000.0,535000.0,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
522427.05,USD,555000.0,693856.2,2045-05-14T00:00:00.000,Direct,ABBVIE INC
950950.0,USD,1235000.0,589712.5,2023-05-15T00:00:00.000,Direct,AHERN RENTALS INC
3259405.7,USD,3470000.0,4136656.4,,Direct,ABBVIE INC
786677.7,USD,930000.0,930000.0,2026-08-15T00:00:00.000,Direct,AIR CANADA
116724.0,USD,120000.0,143805.6,2035-03-15T00:00:00.000,Direct,ABBVIE INC
202890.0,USD,250000.0,250000.0,2029-08-01T00:00:00.000,Direct,ADT SEC CORP
176939.4,USD,220000.0,219916.4,2031-01-15T00:00:00.000,Direct,AES CORP/THE
1419112.85,USD,1655000.0,1674762.5,2028-11-15T00:00:00.000,Direct,ADVANTAGE SALES + MARKET
973770.0,USD,1050000.0,1060125.31,2027-02-15T00:00:00.000,Direct,APX GROUP INC
686332.5,USD,769000.0,764821.33,2028-03-01T00:00:00.000,Direct,ADTALEM GLOBAL EDUCATION
5454022.0,USD,6475000.0,6463215.5,2028-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
657367.34,USD,749000.0,688425.0,2026-08-15T00:00:00.000,Direct,ADIENT GLOBAL HOLDINGS
2969769.0,USD,3100000.0,3365833.5,,Direct,AT+T INC
5742055.3,USD,5765000.0,5750011.0,2023-01-23T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
755478.94,USD,811000.0,794849.02,2025-08-01T00:00:00.000,Direct,AMC NETWORKS INC
364406.25,USD,375000.0,375000.0,2026-02-15T00:00:00.000,Direct,AETHON UN/AETHIN UN FIN
408717.18,USD,551010.0,542361.28,2027-06-30T00:00:00.000,Direct,ARD FINANCE SA
481870.62,USD,594000.0,598425.3,2033-12-01T00:00:00.000,Direct,AT+T INC
418342.4,USD,490000.0,497350.0,2029-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
6446034.0,USD,6300000.0,6889602.0,2025-07-15T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
309812.8,USD,319000.0,358929.19,2026-08-01T00:00:00.000,Direct,ACRISURE LLC / FIN INC
419892.45,USD,435000.0,436425.0,2026-08-15T00:00:00.000,Direct,ACI WORLDWIDE INC
231026.04,USD,252000.0,256061.25,2027-10-01T00:00:00.000,Direct,AMN HEALTHCARE INC
1640407.68,USD,2124000.0,2049171.48,2057-12-01T00:00:00.000,Direct,AT+T INC
1354619.5,USD,1394000.0,1406282.5,2026-02-15T00:00:00.000,Direct,AETHON UN/AETHIN UN FIN
135483.25,USD,175000.0,175000.0,2029-07-15T00:00:00.000,Direct,APX GROUP INC
239804.19,USD,261000.0,245340.01,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
294750.0,USD,450000.0,261765.0,2025-05-15T00:00:00.000,Direct,AIR METHODS CORP
977233.96,USD,1076000.0,1140732.16,2027-07-21T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
5413554.0,USD,5925000.0,5916298.74,2026-03-25T00:00:00.000,Direct,AT+T INC
936769.9,USD,1210000.0,1210000.0,2029-07-15T00:00:00.000,Direct,APX GROUP INC
1913766.0,USD,2335000.0,2348425.0,2029-03-15T00:00:00.000,Direct,ACCO BRANDS CORP
2622240.0,USD,2700000.0,2934422.69,2026-08-01T00:00:00.000,Direct,ACRISURE LLC / FIN INC
712374.53,USD,1072934.0,1048073.02,2026-06-15T00:00:00.000,Direct,AMC ENTERTAINMENT HLDGS
1074445.0,USD,1150000.0,1180750.0,2028-07-01T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
1909107.2,USD,2080000.0,1855207.5,2045-06-15T00:00:00.000,Direct,AERCAP GLOBAL AVIATION T
256147.5,USD,287000.0,287000.0,2028-03-01T00:00:00.000,Direct,ADTALEM GLOBAL EDUCATION
2724236.64,USD,3636000.0,3395934.24,2055-09-15T00:00:00.000,Direct,AT+T INC
205967.85,USD,215000.0,256731.5,2039-03-01T00:00:00.000,Direct,AT+T INC
434512.82,USD,526000.0,588876.52,2047-08-15T00:00:00.000,Direct,AETNA INC
403864.75,USD,425000.0,443128.75,,Direct,AT+T INC
3047918.0,USD,4021000.0,4132824.01,2053-09-15T00:00:00.000,Direct,AT+T INC
416170.51,USD,445500.0,444386.24,2028-04-10T00:00:00.000,Direct,ADIENT US LLC
3892777.3,USD,4930000.0,4908801.0,2033-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
231875.0,USD,250000.0,251625.0,2025-02-15T00:00:00.000,Direct,ADAMS HOMES INC
498880.64,USD,544000.0,673001.87,2044-03-15T00:00:00.000,Direct,AETNA INC
6594556.35,USD,7545000.0,7399327.15,2026-01-30T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
431680.0,USD,475000.0,573040.0,2042-11-06T00:00:00.000,Direct,ABBVIE INC
954679.77,USD,981000.0,978257.44,2052-06-01T00:00:00.000,Direct,ADVANCED MICRO DEVICES
177735.74,USD,182000.0,182000.0,2030-06-15T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
1165031.25,USD,1275000.0,1279737.5,2027-11-15T00:00:00.000,Direct,ACADEMY LTD
2520383.3,USD,3085000.0,3070593.05,2032-02-01T00:00:00.000,Direct,AT+T INC
971750.0,USD,1150000.0,1142593.75,2029-04-15T00:00:00.000,Direct,AMN HEALTHCARE INC
742000.0,USD,800000.0,818451.25,2025-02-15T00:00:00.000,Direct,ADAMS HOMES INC
194772.0,USD,200000.0,199875.0,2025-07-15T00:00:00.000,Direct,ABERCROMBIE + FITCH MANA
407137.5,USD,495000.0,495750.0,2029-08-01T00:00:00.000,Direct,ADAPTHEALTH LLC
2911102.8,USD,4040000.0,4030506.0,2041-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
1239837.5,USD,1375000.0,1369458.75,2030-07-15T00:00:00.000,Direct,AES CORP/THE
629850.0,USD,780000.0,786156.25,2029-10-15T00:00:00.000,Direct,API ESCROW CORP
277472.0,USD,325000.0,324000.0,2029-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
622363.5,USD,675000.0,699975.0,2027-09-30T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
4336856.75,USD,4975000.0,4987785.75,2042-12-15T00:00:00.000,Direct,AT+T INC
69151.5,USD,75000.0,75000.0,2027-09-30T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
424836.63,USD,459000.0,553384.29,2046-05-15T00:00:00.000,Direct,AT+T INC
357272.0,USD,370000.0,403200.1,2026-12-01T00:00:00.000,Direct,AEP TRANSMISSION CO LLC
545431.25,USD,625000.0,638993.5,2028-03-01T00:00:00.000,Direct,AG ISSUER LLC
75333.5,USD,110000.0,75911.0,2050-09-15T00:00:00.000,Direct,ACTIVISION BLIZZARD
258115.0,USD,325000.0,325312.5,2029-07-15T00:00:00.000,Direct,API GROUP DE INC
4958560.8,USD,6210000.0,6192984.6,2041-06-01T00:00:00.000,Direct,AT+T INC
2541726.0,USD,2700000.0,3021769.0,,Direct,AERCAP IRELAND CAP/GLOBA
1421612.01,USD,1629000.0,1600181.75,2028-03-01T00:00:00.000,Direct,AG ISSUER LLC
73618.16,USD,76000.0,78755.01,2024-04-01T00:00:00.000,Direct,AMC NETWORKS INC
981452.85,USD,1005000.0,1005000.0,2030-06-15T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
1507444.68,USD,1676000.0,1672076.31,2025-11-15T00:00:00.000,Direct,ACRISURE LLC / FIN INC
6060256.75,USD,7675000.0,7641997.5,2033-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
965059.75,USD,1075000.0,1075000.0,2029-04-15T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
735420.0,USD,824000.0,824149.22,2028-03-01T00:00:00.000,Direct,ADTALEM GLOBAL EDUCATION
2115147.8,USD,2215000.0,2266187.4,2026-04-03T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
764056.5,USD,950000.0,937118.0,2031-01-15T00:00:00.000,Direct,AES CORP/THE
1039772.5,USD,1070000.0,1070000.0,2026-02-15T00:00:00.000,Direct,AETHON UN/AETHIN UN FIN
162038.0,USD,200000.0,200125.0,2029-02-15T00:00:00.000,Direct,AMC NETWORKS INC
225103.55,USD,245000.0,245000.0,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
1180639.75,USD,1525000.0,1525000.0,2029-07-15T00:00:00.000,Direct,APX GROUP INC
449435.35,USD,515000.0,505364.35,2028-03-01T00:00:00.000,Direct,AG ISSUER LLC
400393.7,USD,410000.0,413550.0,2030-06-15T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
99648.03,USD,111000.0,115162.5,2029-04-15T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
1505544.04,USD,1729000.0,1726095.28,2026-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
4248438.04,USD,4879000.0,4514733.86,2026-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
1528632.0,USD,1575000.0,1920807.0,2035-05-14T00:00:00.000,Direct,ABBVIE INC
5864361.3,USD,6230000.0,7724819.5,2045-05-14T00:00:00.000,Direct,ABBVIE INC
770603.61,USD,816749.98,816749.98,2027-10-18T00:00:00.000,Direct,AHEAD DB HOLDINGS LLC
398458.51,USD,450235.6,430580.09,2023-12-01T00:00:00.000,Direct,A L PARENT LLC
3310197.0,USD,3300000.0,3326433.0,,Direct,AT+T INC
9859865.6,USD,11180000.0,11173851.0,2026-01-15T00:00:00.000,Direct,AES CORP/THE
1589803.2,USD,1740000.0,1756912.8,2026-03-25T00:00:00.000,Direct,AT+T INC
658746.0,USD,825000.0,844503.0,2041-06-01T00:00:00.000,Direct,AT+T INC
450113.94,USD,534000.0,536521.04,2030-03-01T00:00:00.000,Direct,ADAPTHEALTH LLC
483402.15,USD,495000.0,495000.0,2030-06-15T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
3655672.14,USD,4118000.0,4830290.46,2049-11-21T00:00:00.000,Direct,ABBVIE INC
456237.5,USD,565000.0,570040.0,2029-10-15T00:00:00.000,Direct,API ESCROW CORP
1964710.75,USD,2425000.0,2349962.5,2029-02-15T00:00:00.000,Direct,AMC NETWORKS INC
949205.0,USD,1145000.0,1157937.5,2028-05-01T00:00:00.000,Direct,AHEAD DB HOLDINGS LLC
1720175.0,USD,2075000.0,2105605.0,2028-05-01T00:00:00.000,Direct,AHEAD DB HOLDINGS LLC
179546.0,USD,200000.0,200000.0,2029-04-15T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
1253070.0,USD,1326000.0,1299312.99,2027-03-15T00:00:00.000,Direct,AECOM
233575.0,USD,250000.0,250000.0,2028-07-01T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
1932780.0,USD,2000000.0,2207040.0,2025-10-01T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
2909670.75,USD,3885000.0,3614759.4,2059-09-15T00:00:00.000,Direct,AT+T INC
493751.5,USD,550000.0,550000.0,2029-04-15T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
357390.0,USD,450000.0,447550.0,2029-07-15T00:00:00.000,Direct,API GROUP DE INC
1541036.8,USD,1805000.0,1805000.0,2029-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
206727.75,USD,225000.0,225000.0,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
241072.0,USD,325000.0,326562.5,2027-06-30T00:00:00.000,Direct,ARD FINANCE SA
1859984.96,USD,1889000.0,2133013.81,2029-03-01T00:00:00.000,Direct,AT+T INC
1019856.9,USD,1110000.0,1158664.3,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
458066.5,USD,473759.79,472575.39,2024-10-17T00:00:00.000,Direct,ASP TPI HLDGS INC
1656251.43,USD,2232867.0,2234348.01,2027-06-30T00:00:00.000,Direct,ARD FINANCE SA
896850.0,USD,900000.0,929196.0,2023-05-14T00:00:00.000,Direct,ABBVIE INC
6844440.06,USD,7297000.0,7506249.84,2025-07-15T00:00:00.000,Direct,AES CORP/THE
532638.0,USD,600000.0,521832.0,2049-11-21T00:00:00.000,Direct,ABBVIE INC
627897.25,USD,775000.0,762284.55,2029-02-15T00:00:00.000,Direct,AMC NETWORKS INC
1170171.9,USD,1290000.0,1566150.3,2046-05-14T00:00:00.000,Direct,ABBVIE INC
304560.0,USD,400000.0,396000.0,2028-08-15T00:00:00.000,Direct,ANGI GROUP LLC
110205.0,USD,150000.0,150000.0,2029-07-15T00:00:00.000,Direct,AHP HEALTH PARTN
6206980.0,USD,6500000.0,6352865.0,,Direct,AERCAP IRELAND CAP/GLOBA
716656.2,USD,780000.0,780000.0,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
596750.0,USD,775000.0,557248.46,2023-05-15T00:00:00.000,Direct,AHERN RENTALS INC
352956.45,USD,385000.0,393225.0,2027-10-01T00:00:00.000,Direct,AMN HEALTHCARE INC
2177440.0,USD,2195000.0,2324189.6,2025-03-15T00:00:00.000,Direct,ABBVIE INC
287469.0,USD,325000.0,325000.0,2028-08-01T00:00:00.000,Direct,ADAPTHEALTH LLC
7801149.6,USD,9770000.0,9884413.45,2041-06-01T00:00:00.000,Direct,AT+T INC
577742.87,USD,683000.0,683000.0,2026-08-15T00:00:00.000,Direct,AIR CANADA
236883.0,USD,300000.0,298710.0,2033-10-29T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
1031998.5,USD,1062000.0,1108701.25,2026-02-15T00:00:00.000,Direct,AETHON UN/AETHIN UN FIN
142036.8,USD,160000.0,201510.72,2049-11-21T00:00:00.000,Direct,ABBVIE INC
527376.52,USD,710980.0,718089.8,2027-06-30T00:00:00.000,Direct,ARD FINANCE SA
146485.5,USD,150000.0,150281.25,2030-06-15T00:00:00.000,Direct,ADVANCED DRAINAGE SYSTEM
1217340.0,USD,1500000.0,1500000.0,2029-08-01T00:00:00.000,Direct,ADT SEC CORP
1237952.0,USD,1450000.0,1450000.0,2029-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
471115.2,USD,610000.0,646325.5,2057-12-01T00:00:00.000,Direct,AT+T INC
866305.0,USD,1045000.0,960948.66,2028-05-01T00:00:00.000,Direct,AHEAD DB HOLDINGS LLC
2184738.5,USD,2450000.0,2881592.0,2039-11-21T00:00:00.000,Direct,ABBVIE INC
991634.9,USD,1195000.0,1195000.0,2028-05-01T00:00:00.000,Direct,ACURIS FIN US/ACURIS FIN
608507.8,USD,635000.0,824896.75,2048-11-14T00:00:00.000,Direct,ABBVIE INC
3938869.15,USD,4145000.0,4915350.0,2035-05-15T00:00:00.000,Direct,AT+T INC
121125.0,USD,150000.0,150000.0,2029-10-15T00:00:00.000,Direct,API ESCROW CORP
1780446.45,USD,1879000.0,2002995.21,2026-11-21T00:00:00.000,Direct,ABBVIE INC
616638.0,USD,660000.0,662981.25,2028-07-01T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
340540.2,USD,385000.0,414837.5,2028-08-01T00:00:00.000,Direct,ADAPTHEALTH LLC
