award,location_1,city,:@computed_region_efsh_h5xi,building_address,community_council
9436400.0,"{'latitude': '40.637282', 'longitude': '-74.023849'}",Brooklyn,18180.0,832 MARCY AVENUE,47.0
378850.0,"{'latitude': '40.672462', 'longitude': '-73.906552'}",Brooklyn,17614.0,2929 WEST 30 STREET,37.0
4993919.0,"{'latitude': '40.578255', 'longitude': '-73.979628'}",Brooklyn,18184.0,990 DEKALB AVENUE,47.0
8640000.0,"{'latitude': '40.860412', 'longitude': '-73.927936'}",Manhattan,13098.0,100 ATTORNEY STREET,10.0
2198748.0,"{'latitude': '40.866931', 'longitude': '-73.884217'}",Bronx,10936.0,2120 QUARRY ROAD,15.0
19820000.0,"{'latitude': '40.855855', 'longitude': '-73.92712'}",Manhattan,13098.0,40 IRVING PLACE,10.0
0.0,"{'latitude': '40.631211', 'longitude': '-74.127065'}",Queens,10697.0,140 BEACH 112 STREET,49.0
2382877.88,"{'latitude': '40.852167', 'longitude': '-73.899074'}",Bronx,10935.0,1260 WARD AVENUE,15.0
55482390.8,"{'latitude': '40.737517', 'longitude': '-73.794031'}",Queens,14507.0,145-14 GLASSBORO AVENUE,24.0
595000.0,"{'latitude': '40.851815', 'longitude': '-73.91118'}",Bronx,10931.0,339 MORRIS AVENUE,14.0
3256000.0,"{'latitude': '40.648585', 'longitude': '-73.957282'}",Brooklyn,13510.0,9517 KINGS HIGHWAY,40.0
11119.9,"{'latitude': '40.633237', 'longitude': '-73.952929'}",Brooklyn,17217.0,1001 EAST 45 STREET,45.0
531684.0,"{'latitude': '40.797302', 'longitude': '-73.936365'}",Manhattan,13093.0,93 NAGLE AVENUE,8.0
4510.0,"{'latitude': '40.621224', 'longitude': '-73.91287'}",Brooklyn,13825.0,605 SHEPHERD AVENUE,46.0
36440.0,"{'latitude': '40.720713', 'longitude': '-73.747001'}",Queens,24337.0,55-24 VAN HORN STREET,23.0
18595000.0,"{'latitude': '40.807335', 'longitude': '-73.912731'}",Bronx,10932.0,660 FOX STREET,8.0
3843919.0,"{'latitude': '40.546081', 'longitude': '-74.14584'}",Staten Island,10695.0,161 PARK AVENUE,51.0
8995000.0,"{'latitude': '40.807383', 'longitude': '-73.939433'}",Manhattan,13093.0,122 AMSTERDAM AVENUE,9.0
17056000.0,"{'latitude': '40.780822', 'longitude': '-73.976855'}",Manhattan,12421.0,116 WEST 11 STREET,6.0
2245000.0,"{'latitude': '40.840755', 'longitude': '-73.881707'}",Staten Island,11269.0,715 OCEAN TERRACE,15.0
6831000.0,"{'latitude': '40.813641', 'longitude': '-73.925313'}",Bronx,10929.0,850 BAYCHESTER AVENUE,8.0
979000.0,"{'latitude': '40.722707', 'longitude': '-73.851699'}",Queens,14786.0,2-45 BEACH 79 STREET,29.0
6298000.0,"{'latitude': '40.763736', 'longitude': '-73.95815'}",Manhattan,10090.0,4862 BROADWAY,5.0
2268000.0,"{'latitude': '40.692012', 'longitude': '-73.991227'}",Brooklyn,16865.0,64 AVENUE X,33.0
275000.0,"{'latitude': '40.85881', 'longitude': '-73.909746'}",Bronx,10931.0,230 EAST 183 STREET,14.0
398000.0,"{'latitude': '40.813785', 'longitude': '-73.92032'}",Bronx,10933.0,968 CAULDWELL AVENUE,8.0
495000.0,"{'latitude': '40.780706', 'longitude': '-73.948553'}",Manhattan,10099.0,1680 LEXINGTON AVENUE,5.0
109012.5,"{'latitude': '40.737517', 'longitude': '-73.794031'}",Queens,14507.0,31-15 140 STREET,24.0
17300000.0,"{'latitude': '40.853466', 'longitude': '-73.934048'}",Manhattan,13091.0,2351 1 AVENUE,10.0
580000.0,"{'latitude': '40.580115', 'longitude': '-73.962391'}",Brooklyn,13826.0,18 MARLBOROUGH ROAD,48.0
15237000.0,"{'latitude': '40.677104', 'longitude': '-73.883433'}",Brooklyn,17215.0,700 PARK AVENUE,37.0
233000.0,"{'latitude': '40.729215', 'longitude': '-73.893624'}",Queens,14788.0,62-85 FOREST AVENUE,30.0
350000.0,"{'latitude': '40.691274', 'longitude': '-73.933697'}",Brooklyn,18181.0,195 SANDFORD STREET,36.0
2918000.0,"{'latitude': '40.856573', 'longitude': '-73.916202'}",Bronx,10931.0,455 SOUTHERN BOULEVARD,14.0
543700.0,"{'latitude': '40.810431', 'longitude': '-73.955809'}",Manhattan,12424.0,154 WEST 93 STREET,7.0
2196135.2,"{'latitude': '40.737918', 'longitude': '-73.887407'}",Manhattan,14784.0,134 CARDER ROAD,30.0
8974000.0,"{'latitude': '40.833511', 'longitude': '-73.90449'}",Bronx,10934.0,968 CAULDWELL AVENUE,16.0
644500.0,"{'latitude': '40.860806', 'longitude': '-73.930661'}",Manhattan,13098.0,2230 5TH AVENUE,10.0
18932000.0,"{'latitude': '40.569393', 'longitude': '-74.107737'}",Staten Island,10693.0,455 HUGUENOT AVENUE,50.0
91150.0,"{'latitude': '40.71457', 'longitude': '-73.983724'}",Manhattan,11723.0,100 HESTER STREET,1.0
310000.0,"{'latitude': '40.693606', 'longitude': '-73.844631'}",Queens,24014.0,84-40 101ST STREET,29.0
715000.0,"{'latitude': '40.827642', 'longitude': '-73.904473'}",Bronx,10934.0,40 WEST TREMONT AVENUE,17.0
47606000.0,"{'latitude': '40.700285', 'longitude': '-73.829537'}",Queens,24014.0,146-50 REEVES AVENUE,29.0
200000.0,"{'latitude': '40.672579', 'longitude': '-73.884803'}",Brooklyn,17214.0,1355 HERKIMER STREET,42.0
283150.0,"{'latitude': '40.751356', 'longitude': '-73.937445'}",Queens,16858.0,230-17 HILLSIDE AVENUE,26.0
3880000.0,"{'latitude': '40.747747', 'longitude': '-73.745747'}",Queens,14506.0,53-11 SPRINGFIELD BOULEVARD,23.0
331321.7,"{'latitude': '40.845787', 'longitude': '-73.829829'}",Bronx,11270.0,1691 WEEKS AVENUE,13.0
31395000.0,"{'latitude': '40.740724', 'longitude': '-73.79283'}",Queens,14507.0,46-10 70 STREET,20.0
29474103.0,"{'latitude': '40.567873', 'longitude': '-74.115373'}",Staten Island,10693.0,465 NEW DORP LANE,50.0
47953398.0,"{'latitude': '40.700606', 'longitude': '-73.782302'}",Queens,24668.0,179-01 90 AVENUE,27.0
24193000.0,"{'latitude': '40.712184', 'longitude': '-73.939722'}",Brooklyn,17613.0,29 FT GREENE PLACE,34.0
15400000.0,"{'latitude': '40.656944', 'longitude': '-73.983115'}",Brooklyn,17617.0,500 19 STREET,39.0
17668000.0,"{'latitude': '40.855855', 'longitude': '-73.92712'}",Manhattan,13098.0,351 WEST 18 STREET,10.0
1082000.0,"{'latitude': '40.741131', 'longitude': '-73.918945'}",Queens,14787.0,145-01 119 AVENUE,26.0
2794000.0,"{'latitude': '40.66051', 'longitude': '-73.890288'}",Brooklyn,17214.0,2609 EAST 7TH STREET,42.0
2934.62,"{'latitude': '40.734572', 'longitude': '-73.795484'}",Queens,14507.0,33-09 35 AVENUE,24.0
49990000.0,"{'latitude': '40.870293', 'longitude': '-73.898309'}",Bronx,11606.0,800 EAST GUN HILL ROAD,11.0
5990000.0,"{'latitude': '40.835286', 'longitude': '-73.900751'}",Bronx,10934.0,1695 SEWARD AVENUE,15.0
40000.0,"{'latitude': '40.778601', 'longitude': '-73.843187'}",Queens,14191.0,138-11 35 AVENUE,19.0
1114250.0,"{'latitude': '40.765166', 'longitude': '-73.82789'}",Queens,13832.0,14-30 BROADWAY,20.0
27711000.0,"{'latitude': '40.765359', 'longitude': '-73.960059'}",Manhattan,10090.0,345 EAST 15 STREET,5.0
4510.0,"{'latitude': '40.685004', 'longitude': '-73.947152'}",Brooklyn,17618.0,1700 FULTON STREET,36.0
983000.0,"{'latitude': '40.674541', 'longitude': '-73.789417'}",Queens,24669.0,62-10 108 STREET,28.0
1050000.0,"{'latitude': '40.875953', 'longitude': '-73.86197'}",Bronx,11605.0,3000 EAST TREMONT AVENUE,12.0
9706300.0,"{'latitude': '40.711203', 'longitude': '-73.905286'}",Queens,15310.0,51-60 MARATHON PARKWAY,30.0
580000.0,"{'latitude': '40.662447', 'longitude': '-73.936382'}",Brooklyn,16866.0,370 MARCY AVENUE,41.0
250623.95,"{'latitude': '40.68618', 'longitude': '-73.869625'}",Brooklyn,17215.0,4305 7 AVENUE,37.0
13631919.0,"{'latitude': '40.836506', 'longitude': '-73.93709'}",Manhattan,13090.0,319 EAST 117 STREET,10.0
14298000.0,"{'latitude': '40.727892', 'longitude': '-73.978525'}",Manhattan,11729.0,103 WEST 107 STREET,2.0
389000.0,"{'latitude': '40.823289', 'longitude': '-73.907948'}",Bronx,10934.0,2225 WEBSTER AVENUE,17.0
2375000.0,"{'latitude': '40.795157', 'longitude': '-73.973292'}",Manhattan,12422.0,600 EAST 6 STREET,6.0
648000.0,"{'latitude': '40.701621', 'longitude': '-73.93241'}",Brooklyn,17213.0,330 RUGBY ROAD,34.0
100000.0,"{'latitude': '40.744412', 'longitude': '-73.93364'}",Queens,16858.0,148-20 REEVES AVENUE,26.0
9588000.0,"{'latitude': '40.683241', 'longitude': '-73.930813'}",Brooklyn,13516.0,141 MACON STREET,36.0
53373773.0,"{'latitude': '40.852167', 'longitude': '-73.899074'}",Bronx,10935.0,2080 CRUGER AVENUE,15.0
21673000.0,"{'latitude': '40.785803', 'longitude': '-73.974614'}",Manhattan,12421.0,549 AUDUBON AVENUE,6.0
2765000.0,"{'latitude': '40.759363', 'longitude': '-73.912902'}",Queens,16860.0,80-55 CORNISH AVENUE,22.0
1480016.0,"{'latitude': '40.792122', 'longitude': '-73.951961'}",Manhattan,12426.0,401 WEST 164 STREET,8.0
381818.0,"{'latitude': '40.642573', 'longitude': '-74.079591'}",Staten Island,10369.0,109 RHINE AVENUE,49.0
1770000.0,"{'latitude': '40.528092', 'longitude': '-74.192032'}",Staten Island,10699.0,485 CLAWSON STREET,51.0
400000.0,"{'latitude': '40.68832', 'longitude': '-73.932275'}",Brooklyn,18181.0,750 CLASSON AVENUE,36.0
66929000.0,"{'latitude': '40.70568', 'longitude': '-74.013302'}",Manhattan,11725.0,4600 BROADWAY,1.0
4645600.0,"{'latitude': '40.734272', 'longitude': '-73.861556'}",Queens,14785.0,107-25 WREN PLACE,24.0
2455056.0,"{'latitude': '40.631211', 'longitude': '-74.127065'}",Staten Island,10697.0,555 PAGE AVENUE,49.0
1997798.0,"{'latitude': '40.774351', 'longitude': '-73.984753'}",Manhattan,12420.0,100 AMSTERDAM AVENUE,6.0
510000.0,"{'latitude': '40.686076', 'longitude': '-73.945229'}",Brooklyn,17618.0,501 WEST AVENUE,36.0
23500000.0,"{'latitude': '40.609912', 'longitude': '-73.948512'}",Brooklyn,13512.0,5800 TILDEN AVENUE,48.0
5879602.0,"{'latitude': '40.769271', 'longitude': '-73.749369'}",Queens,14505.0,179-01 90 AVENUE,19.0
9924000.0,"{'latitude': '40.661886', 'longitude': '-73.93994'}",Brooklyn,16866.0,250 BERRY STREET,40.0
19137000.0,"{'latitude': '40.67438', 'longitude': '-73.951443'}",Brooklyn,17618.0,121 SARATOGA AVENUE,36.0
216000.0,"{'latitude': '40.67588', 'longitude': '-73.758505'}",Queens,15313.0,33-59 171 STREET,27.0
300822.74,"{'latitude': '40.709079', 'longitude': '-73.801856'}",Queens,24340.0,21-27 HIMROD STREET,24.0
7654000.0,"{'latitude': '40.740724', 'longitude': '-73.79283'}",Queens,14507.0,143-10 SPRINGFIELD BOULEVARD,20.0
9950000.0,"{'latitude': '40.766827', 'longitude': '-73.794601'}",Queens,14193.0,125-10 23 AVENUE,19.0
9160000.0,"{'latitude': '40.65911', 'longitude': '-73.920368'}",Brooklyn,17614.0,330 18 STREET,41.0
405000.0,"{'latitude': '40.632562', 'longitude': '-73.954724'}",Brooklyn,17217.0,725 EAST 23 STREET,45.0
529000.0,"{'latitude': '40.76936', 'longitude': '-73.783943'}",Queens,14196.0,130-02 115 AVENUE,19.0
5413000.0,"{'latitude': '40.648608', 'longitude': '-73.952821'}",Brooklyn,13510.0,1580 DEAN STREET,40.0
1053000.0,"{'latitude': '40.715073', 'longitude': '-73.954754'}",Brooklyn,17613.0,6565 FLATLANDS AVENUE,34.0
207825.0,"{'latitude': '40.61978', 'longitude': '-74.000792'}",Brooklyn,13511.0,1328 PUTNAM AVENUE,38.0
6000761.0,"{'latitude': '40.759404', 'longitude': '-73.731299'}",Queens,14197.0,64-20 175 STREET,23.0
44000.0,"{'latitude': '40.834899', 'longitude': '-73.941085'}",Manhattan,13090.0,122 HENRY STREET,10.0
408000.0,"{'latitude': '40.618439', 'longitude': '-74.132645'}",Staten Island,10700.0,30 NATICK STREET,50.0
22333000.0,"{'latitude': '40.874088', 'longitude': '-73.833904'}",Bronx,12344.0,500 EAST FORDHAM ROAD,12.0
280000.0,"{'latitude': '40.700609', 'longitude': '-73.93834'}",Brooklyn,17213.0,1500 EAST 92 STREET,34.0
497001.0,"{'latitude': '40.707229', 'longitude': '-73.919805'}",Brooklyn,13828.0,400 ASHFORD STREET,34.0
19777.11,"{'latitude': '40.547692', 'longitude': '-74.151755'}",Staten Island,10695.0,200 NEDRA LANE,51.0
25555000.0,"{'latitude': '40.875894', 'longitude': '-73.83386'}",Bronx,12344.0,628 TINTON AVENUE,12.0
1797000.0,"{'latitude': '40.711033', 'longitude': '-73.908814'}",Queens,15310.0,167-01 GOTHIC DRIVE,30.0
306113.0,"{'latitude': '40.62457', 'longitude': '-74.005314'}",Brooklyn,17621.0,825 4 AVENUE,43.0
1471000.0,"{'latitude': '40.582744', 'longitude': '-74.088509'}",Staten Island,10692.0,100 ESSEX DRIVE,50.0
21441000.0,"{'latitude': '40.857689', 'longitude': '-73.908349'}",Bronx,10931.0,950 RHINELANDER AVENUE,14.0
380000.0,"{'latitude': '40.686746', 'longitude': '-73.910693'}",Brooklyn,17214.0,450 PACIFIC STREET,37.0
47695598.0,"{'latitude': '40.638773', 'longitude': '-74.019612'}",Brooklyn,18180.0,4308 4 AVENUE,38.0
13700000.0,"{'latitude': '40.593521', 'longitude': '-73.937672'}",Brooklyn,13826.0,430 HOWARD AVENUE,48.0
12340000.0,"{'latitude': '40.683536', 'longitude': '-73.87691'}",Brooklyn,17215.0,211 THROOP AVENUE,37.0
11000000.0,"{'latitude': '40.694086', 'longitude': '-73.940744'}",Brooklyn,17213.0,501 WEST AVENUE,36.0
210000.0,"{'latitude': '40.783638', 'longitude': '-73.945626'}",Manhattan,10099.0,16 CLARKSON STREET,8.0
505000.0,"{'latitude': '40.508284', 'longitude': '-74.243428'}",Staten Island,10694.0,200 WARDWELL AVENUE,51.0
148607.82,"{'latitude': '40.67641', 'longitude': '-73.846773'}",Queens,24013.0,97-25 108 STREET,32.0
634712.48,"{'latitude': '40.812619', 'longitude': '-73.906063'}",Bronx,10933.0,3050 WEBSTER AVENUE,8.0
3473000.0,"{'latitude': '40.654704', 'longitude': '-73.941089'}",Brooklyn,16866.0,1106 EAST 95 STREET,40.0
191011.57,"{'latitude': '40.731729', 'longitude': '-73.717859'}",Queens,24335.0,98-01 25 AVENUE,23.0
10424400.0,"{'latitude': '40.60665', 'longitude': '-73.939176'}",Brooklyn,13512.0,923 JEROME STREET,46.0
23600000.0,"{'latitude': '40.676774', 'longitude': '-73.960058'}",Brooklyn,13829.0,225 ADELPHI STREET,35.0
472000.0,"{'latitude': '40.595698', 'longitude': '-73.97518'}",Brooklyn,18183.0,31 NEW YORK AVENUE,44.0
120000.0,"{'latitude': '40.697152', 'longitude': '-73.946641'}",Brooklyn,17213.0,425 HENRY STREET,36.0
202772.36,"{'latitude': '40.753037', 'longitude': '-73.900123'}",Queens,14787.0,40-01 43 AVENUE,25.0
0.0,"{'latitude': '40.649042', 'longitude': '-74.012289'}",Bronx,18180.0,760 EAST GUN HILL ROAD,38.0
178850000.0,"{'latitude': '40.749586', 'longitude': '-73.943546'}",Queens,16858.0,53-16 NORTHERN BOULEVARD,26.0
3996000.0,"{'latitude': '40.55258', 'longitude': '-74.13706'}",Staten Island,10695.0,80 MAPLE PARKWAY,51.0
398000.0,"{'latitude': '40.67282', 'longitude': '-73.769252'}",Queens,24669.0,36-36 10 STREET,28.0
13719026.0,"{'latitude': '40.686047', 'longitude': '-73.757423'}",Queens,15313.0,55-01 94TH STREET,27.0
449500.0,"{'latitude': '40.80937', 'longitude': '-73.917584'}",Bronx,10932.0,811 EAST 149 STREET,8.0
347000.0,"{'latitude': '40.870002', 'longitude': '-73.878875'}",Bronx,11605.0,2195 ANDREWS AVENUE,11.0
1331000.0,"{'latitude': '40.714182', 'longitude': '-73.995451'}",Manhattan,11723.0,154 WEST 93 STREET,1.0
9978000.0,"{'latitude': '40.578188', 'longitude': '-73.99203'}",Brooklyn,18184.0,1875 EAST 17 STREET,47.0
594450.0,"{'latitude': '40.620446', 'longitude': '-73.981795'}",Brooklyn,16867.0,8301 SHORE ROAD,44.0
171058.92,"{'latitude': '40.769271', 'longitude': '-73.749369'}",Queens,14505.0,179-01 90 AVENUE,19.0
1676000.0,"{'latitude': '40.825025', 'longitude': '-73.906143'}",Bronx,10934.0,3750 BAYCHESTER AVENUE,17.0
29225.0,"{'latitude': '40.584158', 'longitude': '-73.825736'}",Queens,20532.0,65-30 DIETERLE CRESCENT,32.0
22935000.0,"{'latitude': '40.660204', 'longitude': '-73.913933'}",Brooklyn,17614.0,5601 16 AVENUE,41.0
1209512.0,"{'latitude': '40.577217', 'longitude': '-74.000194'}",Brooklyn,18184.0,8601 RIDGE BOULEVARD,47.0
7760000.0,"{'latitude': '40.60729', 'longitude': '-73.7494'}",Queens,20529.0,17-15 WEIRFIELD STREET,31.0
4420000.0,"{'latitude': '40.844253', 'longitude': '-73.907616'}",Bronx,10935.0,677 EAST 141 STREET,15.0
494000.0,"{'latitude': '40.703624', 'longitude': '-73.953146'}",Brooklyn,17213.0,51 ST EDWARDS STREET,33.0
644060.0,"{'latitude': '40.593005', 'longitude': '-74.158988'}",Staten Island,10700.0,445 CASTLETON AVENUE,51.0
66677000.0,"{'latitude': '40.642578', 'longitude': '-73.991388'}",Brooklyn,17621.0,4012 FORT HAMILTON PARKWAY,38.0
2555000.0,"{'latitude': '40.713218', 'longitude': '-73.797237'}",Queens,24340.0,8-21 BAY 25 STREET,24.0
2389000.0,"{'latitude': '40.830647', 'longitude': '-73.877736'}",Staten Is,11610.0,1 VIRGINIA AVENUE,17.0
424999.0,"{'latitude': '40.817721', 'longitude': '-73.902421'}",Bronx,10933.0,1111 PUGSLEY AVENUE,17.0
260000.0,"{'latitude': '40.6013', 'longitude': '-73.976953'}",Brooklyn,18183.0,4200 16 AVENUE,44.0
439154.0,"{'latitude': '40.692055', 'longitude': '-74.01358'}",Manhattan,11725.0,127 EAST 22 STREET,1.0
55103.0,"{'latitude': '40.637486', 'longitude': '-73.985955'}",Brooklyn,17621.0,1390 WILLOUGHBY AVENUE,44.0
10711000.0,"{'latitude': '40.818467', 'longitude': '-73.868372'}",Bronx,11611.0,1180 REV. J.A. POLITE AVENUE,18.0
2477000.0,"{'latitude': '40.848547', 'longitude': '-73.908416'}",Bronx,10931.0,3710 BARNES AVENUE,14.0
587000.0,"{'latitude': '40.705516', 'longitude': '-73.862208'}",Queens,15310.0,213-10 92 AVENUE,32.0
27211000.0,"{'latitude': '40.695362', 'longitude': '-73.915142'}",Brooklyn,18181.0,213 OSBORN STREET,37.0
36365000.0,"{'latitude': '40.67282', 'longitude': '-73.769252'}",Queens,24669.0,61-15 OCEANIA STREET,28.0
10824.0,"{'latitude': '40.676094', 'longitude': '-73.935688'}",Brooklyn,17615.0,6302 AVENUE U,36.0
7564000.0,"{'latitude': '40.872608', 'longitude': '-73.833727'}",Bronx,12344.0,360 EAST 145 STREET,12.0
701000.5,"{'latitude': '40.618676', 'longitude': '-74.012722'}",Brooklyn,13511.0,4105 FARRAGUT ROAD,38.0
24888000.0,"{'latitude': '40.698279', 'longitude': '-73.752654'}",Queens,15312.0,203-02 109TH AVENUE,27.0
10796000.0,"{'latitude': '40.755418', 'longitude': '-73.869017'}",Queens,14510.0,222-14 JAMAICA AVENUE,21.0
1665000.0,"{'latitude': '40.734294', 'longitude': '-73.897557'}",Queens,14787.0,32-02 JUNCTION BOULEVARD,30.0
2157000.0,"{'latitude': '40.724435', 'longitude': '-73.981521'}",Manhattan,11729.0,220 HENRY STREET,2.0
40919919.0,"{'latitude': '40.85051', 'longitude': '-73.934485'}",Manhattan,13091.0,2005 MADISON AVENUE,10.0
451000.0,"{'latitude': '40.752333', 'longitude': '-73.75599'}",Queens,14506.0,32-24 CORPORAL KENNEDY STREET,23.0
876800.0,"{'latitude': '40.697033', 'longitude': '-73.839213'}",Queens,24014.0,60-85 CATALPA AVENUE,29.0
2220167.0,"{'latitude': '40.71276', 'longitude': '-73.997489'}",Brooklyn,13096.0,460 ATLANTIC AVENUE,1.0
8419000.0,"{'latitude': '40.634009', 'longitude': '-74.097826'}",Staten Island,10369.0,54 OSBORNE STREET,49.0
148607.82,"{'latitude': '40.69919', 'longitude': '-73.835299'}",Queens,24014.0,155-02 108 AVENUE,29.0
187000.0,"{'latitude': '40.747693', 'longitude': '-73.906429'}",Queens,14787.0,99-01 34TH AVENUE,26.0
80059.32,"{'latitude': '40.636455', 'longitude': '-73.933582'}",Brooklyn,16866.0,242 COOPER STREET,45.0
