opname,facsubgrp,overlevel,captype,bin,boro,borocode,zipcode,nan with ycoord,Non-public with ycoord,Public with ycoord
111-06 Van Wyck Expy,DSNY DROP-OFF FACILITY,City,,,QUEENS,4.0,11420.0,188542.29082563124,,
North Brooklyn Compost,DSNY DROP-OFF FACILITY,City,,,BROOKLYN,3.0,11222.0,203233.8874663236,,
PAKISTANI AMERICAN SKILLED WOMEN ORGANIZATION INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,3178901.0,BROOKLYN,3.0,11230.0,168950.23170329738,,
The Young Womens Christian Association of Queens,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,4583346.0,QUEENS,4.0,11355.0,215504.8393725127,,
,HISTORICAL SITES,State,,1000047.0,MANHATTAN,1.0,10004.0,196634.35588331943,,
Brooklyn Public Library,PUBLIC LIBRARIES,City,,3426639.0,BROOKLYN,3.0,11222.0,,,203804.7371469652
Quality Transportation Corp.,BUS DEPOTS AND TERMINALS,City,routes,3380830.0,BROOKLYN,3.0,11208.0,,180619.6763615968,
Catholic School Region Of Staten Island-Our Lady Queen Of Peace School,DAY CARE,City,,5107549.0,STATEN ISLAND,5.0,10306.0,,149177.63335073335,
Art Resources Transfer,OTHER CULTURAL INSTITUTIONS,City,,1012386.0,MANHATTAN,1.0,10001.0,,212521.5302931164,
BronxCare Health System,SUBSTANCE USE DISORDER TREATMENT PROGRAMS,State,,2004246.0,BRONX,2.0,10456.0,242195.83130373963,,
Snt Bus Inc,BUS DEPOTS AND TERMINALS,City,routes,3083426.0,BROOKLYN,3.0,11212.0,,185145.13044420976,
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,5079651.0,STATEN ISLAND,5.0,10312.0,,,137658.3378785442
NYC Housing Authority,COMMUNITY CENTERS AND COMMUNITY PROGRAMS,City,,4436420.0,QUEENS,4.0,11692.0,,,155622.97407322406
FRIENDS OF VETERANS NEW YORK INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,4012664.0,QUEENS,4.0,11103.0,216019.52446153155,,
"Jaewoong Lee, Inc",PARKING LOTS AND GARAGES,City,,4100758.0,QUEENS,4.0,11354.0,,219315.25422807256,
100 Ml Garage Corp.,PARKING LOTS AND GARAGES,City,,1001014.0,MANHATTAN,1.0,10038.0,,196754.26527108336,
"Jewish Home Lifecare, University Avenue Assisted Living",HOSPITALS AND CLINICS,State,,2014844.0,BRONX,2.0,10468.0,,255392.18799441177,
Pioneer Transportation Corp,BUS DEPOTS AND TERMINALS,City,routes,2094819.0,BRONX,2.0,10473.0,,239129.25779729863,
Frick Collection,MUSEUMS,City,,1081213.0,MANHATTAN,1.0,10021.0,,220244.84365090847,
Armory College Prep Program,CHILD NUTRITION,City,,1063381.0,MANHATTAN,1.0,10032.0,,246185.4842100408,
Champion Parking 52 Llc,PARKING LOTS AND GARAGES,City,,1090939.0,MANHATTAN,1.0,10019.0,,217714.6658666988,
NYC Department of Parks and Recreation,"STREETSCAPES, PLAZAS, AND MALLS",City,,,BROOKLYN,3.0,11201.0,,,192854.9118792808
CONG. MACHNE CHAIM INC.,DOE UNIVERSAL PRE-KINDERGARTEN,City,,3132384.0,BROOKLYN,3.0,11204.0,,166554.51962284007,
Hebrew Academy For Special Children,NON-PUBLIC K-12 SCHOOLS,City,,3141642.0,BROOKLYN,3.0,11219.0,,167377.9865079273,
THE HUDSON GUILD,AFTER-SCHOOL PROGRAMS,City,,1012827.0,MANHATTAN,1.0,10001.0,212389.93677325427,,
Metropolitan Transportation Authority,RAIL YARDS AND MAINTENANCE,State,,3400489.0,BROOKLYN,3.0,11206.0,,,196521.2184320581
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,3073462.0,BROOKLYN,3.0,11221.0,,,192385.4027988576
Machaneh Yisroel,CHILD NUTRITION,City,,,QUEENS,4.0,11691.0,,160670.6766606874,
"Connaught Car Park, Llc",PARKING LOTS AND GARAGES,City,,1039846.0,MANHATTAN,1.0,10022.0,,215074.4823362741,
NYC Department of Education,GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,City,,3194998.0,BROOKLYN,3.0,11223.0,,,153373.4039429218
,HISTORICAL SITES,State,,3324529.0,BROOKLYN,3.0,11213.0,183403.7261928168,,
511 East 80th Street Parking Corp.,PARKING LOTS AND GARAGES,City,,1050870.0,MANHATTAN,1.0,10075.0,,220477.75066432776,
L & M Bus Corp (A),BUS DEPOTS AND TERMINALS,City,routes,3319741.0,BROOKLYN,3.0,11207.0,,178153.97016544567,
"The Educational Alliance, Inc.",CAMPS,City,,5104674.0,STATEN ISLAND,5.0,10314.0,,157420.63919440287,
NYC Department of Environmental Protection,WASTEWATER AND POLLUTION CONTROL,City,,4210565.0,QUEENS,4.0,11432.0,,,198885.26678754407
Sp Plus Corporation,PARKING LOTS AND GARAGES,City,,3418101.0,BROOKLYN,3.0,11222.0,,207728.22089937053,
NYC Department of Parks and Recreation,RECREATION AND WATERFRONT SITES,City,,,QUEENS,4.0,11421.0,,,191170.71569020185
NYC Department of Parks and Recreation,GARDENS,City,,1059509.0,MANHATTAN,1.0,10027.0,,,233831.8107273444
NYC Department of Parks and Recreation,"STREETSCAPES, PLAZAS, AND MALLS",City,,3057238.0,BROOKLYN,3.0,11238.0,,,187967.66604859155
Masbia of Boro Park,SOUP KITCHENS AND FOOD PANTRIES,,,,BROOKLYN,3.0,11219.0,,,
Greenwich Street Parking Llc,PARKING LOTS AND GARAGES,City,,1091678.0,MANHATTAN,1.0,10014.0,,204433.97208234007,
Little Richie Bus Service,BUS DEPOTS AND TERMINALS,City,routes,2047115.0,BRONX,2.0,10461.0,,250896.57736246448,
"Lutheran Social Services Of Metropolitan New York, Inc.",DAY CARE,City,,1054513.0,MANHATTAN,1.0,10037.0,,234028.40835387487,
Pioneer Transportation Corp,BUS DEPOTS AND TERMINALS,City,routes,5086699.0,STATEN ISLAND,5.0,10309.0,,138317.5111215016,
SEVENTH AVENUE CENTER FOR FAMILY SERVICES,DOE UNIVERSAL PRE-KINDERGARTEN,City,,2008989.0,BRONX,2.0,10453.0,,248488.5245695568,
"Quality Automotives, Inc.",PARKING LOTS AND GARAGES,City,,3325422.0,BROOKLYN,3.0,11236.0,,174105.1576064377,
CAMBA INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,3117220.0,BROOKLYN,3.0,11226.0,175733.93869543835,,
Block Institute School,DAY CARE,City,,3187874.0,BROOKLYN,3.0,11214.0,,153440.55086830727,
NYC Department of Sanitation,STORAGE,City,,1089625.0,MANHATTAN,1.0,10014.0,,,204077.93856535127
Alternate Learning Center At Monroe Campus,CHILD NUTRITION,City,,2027459.0,BRONX,2.0,10472.0,,242433.20951202512,
COMMUNITY ACCESS INC,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,City,,1019588.0,MANHATTAN,1.0,10003.0,207103.87481961364,,
Beth Israel Medical Center Inc,HOSPITALS AND CLINICS,State,,1054472.0,MANHATTAN,1.0,10035.0,,232619.1739305028,
Child Development Center Of The Mosholu-Montefiore Commmunit,SENIOR SERVICES,City,,2096396.0,BRONX,2.0,10467.0,,260453.4556638482,
Phillip Bus Corp (B2192),BUS DEPOTS AND TERMINALS,City,routes,3008576.0,BROOKLYN,3.0,11231.0,,186510.03716671103,
"Danisar Productions, Inc.",OTHER CULTURAL INSTITUTIONS,City,,1087083.0,MANHATTAN,1.0,10003.0,,206651.810233056,
Ad Parking Inc.,PARKING LOTS AND GARAGES,City,,2117646.0,BRONX,2.0,10459.0,,240665.42619403696,
"Fashion Center District Management Association, Inc.",OTHER CULTURAL INSTITUTIONS,City,,1014480.0,MANHATTAN,1.0,10018.0,,213963.3269860516,
"Ucp Of New York City, Inc.",NON-PUBLIC K-12 SCHOOLS,City,,2011776.0,BRONX,2.0,10458.0,,251987.05137429887,
NYC Department of Transportation,"STREETSCAPES, PLAZAS, AND MALLS",City,,,QUEENS,4.0,11416.0,,,186781.477964632
NYC Department of Parks and Recreation,PRESERVES AND CONSERVATION AREAS,City,,,STATEN ISLAND,5.0,10312.0,,,140408.17969055747
GrowNYC,DSNY DROP-OFF FACILITY,City,,,BROOKLYN,3.0,11215.0,184068.7832534141,,
Elmcor Youth & Adult Activities Inc,SENIOR SERVICES,City,,4042344.0,QUEENS,4.0,11372.0,,214953.96522442115,
NYC Department of Education,PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,City,seats,3196587.0,BROOKLYN,3.0,11224.0,,,149749.78874887124
Saint Saviour Catholic Academy,NON-PUBLIC K-12 SCHOOLS,City,,3025810.0,BROOKLYN,3.0,11215.0,,182164.0313219505,
NYC Department of Parks and Recreation,RECREATION AND WATERFRONT SITES,City,,,MANHATTAN,1.0,10039.0,,,239734.40859887493
"Reliant Transportation, Inc (B2321)",BUS DEPOTS AND TERMINALS,City,routes,3398537.0,BROOKLYN,3.0,11222.0,,204629.22674474303,
Campus Education,PROPRIETARY SCHOOLS,City,,1014350.0,MANHATTAN,1.0,10001.0,,212477.58290907013,
Cypress Hills-Fulton Street Senior Citizens Center Inc,SENIOR SERVICES,City,,3337041.0,BROOKLYN,3.0,11208.0,,182806.388089782,
Little Richie Bus Service,BUS DEPOTS AND TERMINALS,City,routes,,QUEENS,4.0,11434.0,,181633.0000000161,
"Grandpa`S Bus Co., Inc.",BUS DEPOTS AND TERMINALS,City,routes,,QUEENS,4.0,11434.0,,181633.0000000161,
"Edith & Carl Marks Jewish Community House Bensonhurst, Inc.",CAMPS,City,,3162352.0,BROOKLYN,3.0,11214.0,,160192.82608523252,
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,4116436.0,QUEENS,4.0,11355.0,,,212400.236392104
NYC Office of Court Administration,COURTHOUSES AND JUDICIAL,City,,5000090.0,STATEN ISLAND,5.0,10301.0,,,174291.06446667103
NYC Police Department,CITY AGENCY PARKING,City,,,MANHATTAN,1.0,10035.0,,,231031.09826934853
Bright Horizons Children'S Centers Llc,DAY CARE,City,,1000006.0,MANHATTAN,1.0,10004.0,,195157.56497821253,
Goddard Riverside Community Center,DAY CARE,City,,1077128.0,MANHATTAN,1.0,10024.0,,227037.2688972366,
"The Greater Ridgewood Youth Council, Inc.","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,4083511.0,QUEENS,4.0,11385.0,196361.9194325377,,
The Corner School,DAY CARE,City,,4109019.0,QUEENS,4.0,11354.0,,220499.55396245385,
Billion Oyster Project Inc.,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,,STATEN ISLAND,5.0,10309.0,125889.7525653697,,
Logan Transportation Systems,BUS DEPOTS AND TERMINALS,City,routes,2090364.0,BRONX,2.0,10473.0,,236775.00230534148,
NEW YORK EDGE INC,AFTER-SCHOOL PROGRAMS,City,,2009867.0,BRONX,2.0,10460.0,243984.26957489928,,
CITIZEN SCHOOLS INC,AFTER-SCHOOL PROGRAMS,City,,3054671.0,BROOKLYN,3.0,11205.0,192630.8471619647,,
EDUCATIONAL DATA SYSTEMS INC,WORKFORCE DEVELOPMENT,City,,1058659.0,MANHATTAN,1.0,10027.0,234276.73894353097,,
MAN UP INC,LEGAL AND INTERVENTION SERVICES,City,,3413878.0,BROOKLYN,3.0,11239.0,178774.38256150333,,
"Projectivity Group, Inc.",OTHER CULTURAL INSTITUTIONS,City,,5042419.0,STATEN ISLAND,5.0,10304.0,,165526.78563638392,
Metropolitan Transportation Authority,RAIL YARDS AND MAINTENANCE,State,,3412409.0,BROOKLYN,3.0,11223.0,,,153450.45212687124
EVERYONE READING INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,1074157.0,MANHATTAN,1.0,10029.0,228004.5428876012,,
Lower Eastside Service Center Inc,HOSPITALS AND CLINICS,State,,1086601.0,MANHATTAN,1.0,10002.0,,199324.7251212705,
Karen Horney Clinic Inc.,MENTAL HEALTH,State,,1044362.0,MANHATTAN,1.0,10065.0,,216967.03492548343,
Jofaz Transportation Inc.,BUS DEPOTS AND TERMINALS,City,routes,3343226.0,BROOKLYN,3.0,11234.0,,161370.4435250052,
34 North 7th Parking Corp.,PARKING LOTS AND GARAGES,City,,3397389.0,BROOKLYN,3.0,11249.0,,201646.8079242191,
Infopower International Inc.,OTHER CULTURAL INSTITUTIONS,City,,4449669.0,QUEENS,4.0,11691.0,,158002.9735711401,
"New Dawn Transit, Llc (B2321)",BUS DEPOTS AND TERMINALS,City,routes,3238055.0,BROOKLYN,3.0,11234.0,,163221.98851092672,
Sips Kinder Facilities Inc.,DAY CARE,City,,5057429.0,STATEN ISLAND,5.0,10306.0,,147761.39373100855,
P226m At Pace University,CHILD NUTRITION,City,,1001357.0,MANHATTAN,1.0,10038.0,,198354.00249781937,
Pride Transportation (Sch Age),BUS DEPOTS AND TERMINALS,City,routes,3097770.0,BROOKLYN,3.0,11207.0,,177886.2323928844,
NYC Department of Education,PUBLIC K-12 SCHOOLS,City,seats,1001035.0,MANHATTAN,1.0,10006.0,,,197575.76466356227
Sp Plus Corporation,PARKING LOTS AND GARAGES,City,,1051496.0,MANHATTAN,1.0,10029.0,,227821.74706861968,
STATEN ISLAND YOUTH SOCCER LEAGUE INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,5112496.0,STATEN ISLAND,5.0,10312.0,143253.6501574642,,
"International Development Institute, Inc.",PROPRIETARY SCHOOLS,City,,3244916.0,BROOKLYN,3.0,11235.0,,149852.42279254418,
"Planned Parenthood of Greater New York, Inc.",HOSPITALS AND CLINICS,State,,2000933.0,BRONX,2.0,10451.0,,236891.7437425032,
Actors Company Theatre,OTHER CULTURAL INSTITUTIONS,City,,1016184.0,MANHATTAN,1.0,10003.0,,208458.9659690761,
Sam Dar Enterprises Inc,PARKING LOTS AND GARAGES,City,,3029306.0,BROOKLYN,3.0,11238.0,,185431.3121480184,
,HISTORICAL SITES,State,,4078268.0,QUEENS,4.0,11375.0,199449.06708732905,,
The Child Center of NY Inc.,MENTAL HEALTH,State,,4216197.0,QUEENS,4.0,11432.0,,196060.7126357967,
Y & M Transit Corp (B2192),BUS DEPOTS AND TERMINALS,City,routes,,BROOKLYN,3.0,11231.0,,184686.00000000856,
HANAC INC,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,2050179.0,BRONX,2.0,10469.0,252768.3896585265,,
Bright Horizons Childrens Centers Llc,CAMPS,City,,1089945.0,MANHATTAN,1.0,10128.0,,224541.0314510204,
"Global Kids, Inc.","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",City,,1018106.0,MANHATTAN,1.0,10010.0,209194.5834374994,,
Hudson River Parks Big City Fishing,CHILD NUTRITION,City,,1024983.0,MANHATTAN,1.0,10036.0,,216057.74712280897,
Logan Transportation Systems,BUS DEPOTS AND TERMINALS,City,routes,,QUEENS,4.0,11434.0,,181633.0000000161,
"Greek Cultural Center, Inc.",OTHER CULTURAL INSTITUTIONS,City,,4540506.0,QUEENS,4.0,11102.0,,220253.0286593261,
JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,ADULT AND IMMIGRANT LITERACY,City,,5171901.0,STATEN ISLAND,5.0,10314.0,156531.8195819363,,
