funddwid,projectid,fundname,type,amount
31824,48787,City Capital,Loan,559994.0
33769,49248,HOME,Loan,1026000.0
34114,48679,City Capital,Loan,1439152.0
30722,52349,Reso A,Grant,100000.0
32705,51751,City Capital,Loan,1645000.0
32226,50282,Reso A,Loan,500000.0
33571,47962,Reso A,Loan,500000.0
33965,48897,City Capital,Loan,559999.0
30691,48647,City Capital,Loan,11938794.0
33118,57772,City Capital,Loan,11922749.0
33342,44319,City Capital,Loan,1445000.0
31735,51396,Reso A,Loan,1500000.0
31733,51396,City Capital,Loan,750675.0
33916,44348,421-a Fund,Loan,4110274.0
32502,48754,HOME,Loan,1120795.0
33872,52783,City Capital,Loan,7300000.0
33630,50193,City Capital,Loan,233568.0
32312,52852,Purchase Money Mortgage,Loan,4932913.0
32527,47767,City Capital,Loan,4218339.0
32112,49358,City Capital,Loan,1175993.0
30601,54709,City Capital,Loan,3918285.0
34082,49534,Reso A,Loan,1500000.0
34129,49172,HOME,Loan,6752000.0
33513,52757,City Capital,Loan,3371264.0
33931,44348,City Capital,Loan,768544.0
30891,44333,Reso A,Loan,3000000.0
30773,50088,421-a Fund,Loan,1250000.0
33310,50248,City Capital,Loan,1265204.0
32314,49722,421-a Fund,,18070000.0
33572,53580,City Capital,Loan,11775000.0
31607,48909,HOME,Loan,5100500.0
32090,57668,Reso A,Loan,3000000.0
32618,49338,421-a Fund,Loan,4000000.0
31636,49588,HOME,Loan,1062512.0
33462,51357,Reso A,Loan,3000000.0
6481,62039,Reso A,Loan,0.0
30649,53551,City Capital,Loan,1787586.0
33129,50206,City Capital,Loan,6255854.0
31674,58631,City Capital,Loan,2457000.0
30629,44319,HOME,Loan,2000000.0
33627,57668,City Capital,Loan,13050000.0
30815,53157,City Capital,Loan,13897588.0
6493,62039,BPCA,Loan,0.0
31563,48754,City Capital,Loan,58989.0
33049,48879,Reso A,Loan,975000.0
31975,45280,HOME,Loan,2200000.0
33534,53077,Reso A,Loan,1000000.0
30977,48644,HOME,Loan,7560000.0
30978,46143,City Capital,Loan,1900000.0
32099,48735,City Capital,Loan,5351889.0
32667,44362,Reso A,Loan,4000000.0
32376,49445,City Capital,Loan,16369975.0
32212,45223,NSP3,Loan,1574038.0
31413,45301,Reso A,Loan,750000.0
31964,49722,HOME,Loan,1900000.0
30913,55050,Reso A,Loan,600000.0
33138,52782,Reso A,Loan,2000000.0
32589,51248,City Capital,Loan,1138967.0
31180,58823,City Capital,Loan,418004.0
31751,47948,City Capital,Loan,1356473.0
31688,52666,City Capital,Loan,2970000.0
31354,49501,City Capital,Loan,1203552.0
33828,44348,HOME,Loan,2471456.0
33570,53273,City Capital,Loan,8153880.0
32519,52758,City Capital,Loan,2179821.0
31130,60049,City Capital,Loan,7430199.0
30501,58790,Reso A,Loan,500000.0
33021,48128,HOME,Loan,1666224.0
31939,53077,City Capital,Loan,125333.0
32568,51252,City Capital,Loan,4760000.0
30876,50278,City Capital,Loan,2110152.0
33987,44348,Reso A,Loan,227000.0
30520,58733,City Capital,Loan,3000000.0
33282,58887,Reso A,Loan,334333.0
6490,62039,NSP 3,Loan,0.0
33605,44369,HOME,Loan,1166000.0
32356,49607,City Capital,Loan,3400702.0
32028,48906,HOME,Loan,20510000.0
32400,53245,City Capital,Loan,6175000.0
31055,45280,Purchase Money Mortgage,Loan,1408804.0
33124,44281,City Capital,Loan,11329360.0
32841,48014,City Capital,Loan,899475.0
33080,48646,Reso A,Loan,4000000.0
33854,46299,HOME,Loan,2314490.0
33067,48632,City Capital,Loan,6809168.0
33444,48755,Reso A,Loan,150000.0
34051,50258,City Capital,Loan,193872.0
33805,47888,Reso A,Loan,1550000.0
31102,49534,421-a Fund,Loan,4900776.0
30955,44258,HOME,Loan,1038500.0
30861,48733,HODAG Program Income,Loan,101933.0
33364,48906,Reso A,Loan,2000000.0
31199,50207,City Capital,Loan,2512725.0
33199,52610,City Capital,Loan,12428750.0
30622,50059,City Capital,Loan,3728000.0
33643,46143,Reso A,Loan,800000.0
32206,48644,421-a Fund,,7020000.0
30938,53473,City Capital,Loan,2744508.0
30696,48011,City Capital,Loan,7497955.0
32644,44865,Reso A,Loan,744000.0
6487,62039,NSP 1,Loan,0.0
33909,48908,City Capital,Loan,9213536.0
34167,48890,City Capital,Loan,232515.0
32047,48886,City Capital,Loan,1514928.0
32887,44295,Reso A,Loan,500000.0
32308,48643,Reso A,Loan,600000.0
32368,49959,City Capital,Loan,1090000.0
32642,44353,HOME,Loan,1924560.0
32789,54984,City Capital,Loan,673906.0
31700,52656,City Capital,Loan,7575000.0
31110,44306,Reso A,Loan,1415000.0
32010,44388,City Capital,Loan,7050000.0
