address,city,sa,:@computed_region_f5dn_yrer,tu,bin
92-06 156 Avenue, Howard Beach,10:00 AM - 5:00 PM,62.0,1:00 PM - 6:00 PM,4139570001.0
14-01 Astoria Boulevard,Long Island City,10:00 AM - 5:00 PM,39.0,1:00 PM - 6:00 PM,4005400030.0
91-41 63 Drive,Rego Park,10:00 AM - 5:00 PM,40.0,1:00 PM - 6:00 PM,4031030043.0
60-05 Main Street,Flushing,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4064050050.0
38-23 104 Street,Corona,10:00 AM - 5:00 PM,65.0,1:00 PM - 6:00 PM,4017750077.0
169-09 137 Avenue,Jamaica,10:00 AM - 5:00 PM,41.0,1:00 PM - 6:00 PM,4124950175.0
2002 Cornaga Ave,Far Rockaway,Closed - Closed,,2:30 PM - 6:00 PM,
72-31 Metropolitan Avenue,Middle Village,10:00 AM - 5:00 PM,54.0,1:00 PM - 6:00 PM,4030577501.0
35-51 81 Street,Jackson Heights,10:00 AM - 5:00 PM,65.0,1:00 PM - 6:00 PM,4012810048.0
79-50 Bell Boulevard,Bayside,10:00 AM - 5:00 PM,26.0,1:00 PM - 6:00 PM,4077720001.0
117-11 Sutphin Boulevard,Jamaica,10:00 AM - 5:00 PM,41.0,1:00 PM - 6:00 PM,4122040099.0
92-25 Rockaway Beach Boulevard,Rockaway Beach,10:00 AM - 5:00 PM,51.0,1:00 PM - 6:00 PM,4161350013.0
191-05 Linden Boulevard,St. Albans,10:00 AM - 5:00 PM,41.0,1:00 PM - 6:00 PM,4110620024.0
128-16 Rockaway Boulevard,South Ozone Park,10:00 AM - 5:00 PM,62.0,1:00 PM - 6:00 PM,4117500057.0
89-11 Merrick Boulevard,Jamaica,10:00 AM - 5:00 PM,41.0,9:00 AM - 9:00 PM,4097980006.0
25-55 Francis Lewis Boulevard,Flushing,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4057690010.0
116-15 Rockaway Beach Boulevard,Rockaway Park,10:00 AM - 5:00 PM,51.0,1:00 PM - 6:00 PM,4162260001.0
95-06 Astoria Boulevard,East Elmhurst,10:00 AM - 5:00 PM,65.0,1:00 PM - 6:00 PM,4013750001.0
40-20 Broadway,Long Island City,10:00 AM - 5:00 PM,39.0,1:00 PM - 6:00 PM,4006760050.0
Now a Family Literacy Center,"35-32 21 St., LIC",Closed - Closed,,Closed - Closed,
187-05 Union Turnpike,Flushing,10:00 AM - 5:00 PM,25.0,1:00 PM - 6:00 PM,4072040040.0
193-20 Horace Harding Expressway,Fresh Meadows,10:00 AM - 5:00 PM,25.0,1:00 PM - 6:00 PM,4071170200.0
98-27 Metropolitan Avenue,Forest Hills,10:00 AM - 5:00 PM,40.0,1:00 PM - 6:00 PM,4032070022.0
1637 Central Avenue,Far Rockaway,10:00 AM - 5:00 PM,51.0,1:00 PM - 6:00 PM,4155590025.0
57-04 Marathon Parkway,Little Neck,10:00 AM - 5:00 PM,26.0,1:00 PM - 6:00 PM,4082760657.0
89-11 Merrick Boulevard,Jamaica,10:00 AM - 5:00 PM,41.0,9:00 AM - 9:00 PM,4097980006.0
41-17 Main Street,Flushing,10:00 AM - 5:00 PM,22.0,9:00 AM - 9:00 PM,4050430011.0
98-30 57 Avenue,Corona,10:00 AM - 5:00 PM,66.0,1:00 PM - 6:00 PM,4019180070.0
118-14 Hillside Avenue,Richmond Hill,10:00 AM - 5:00 PM,46.0,1:00 PM - 6:00 PM,4092640056.0
250-06 Hillside Avenue,Bellerose,10:00 AM - 5:00 PM,63.0,1:00 PM - 6:00 PM,4086040085.0
54-22 Skillman Avenue, Woodside,10:00 AM - 5:00 PM,53.0,1:00 PM - 6:00 PM,4013170085.0
151-10 14 Road,Whitestone,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4047170025.0
86-01 Broadway,Elmhurst,10:00 AM - 5:00 PM,66.0,1:00 PM - 6:00 PM,
214-20 Northern Boulevard,Bayside,10:00 AM - 5:00 PM,26.0,1:00 PM - 6:00 PM,4073330215.0
69-70 Grand Avenue,Maspeth,10:00 AM - 5:00 PM,54.0,1:00 PM - 6:00 PM,4027960008.0
108-19 71 Avenue,Forest Hills,10:00 AM - 5:00 PM,40.0,1:00 PM - 6:00 PM,4022230054.0
155-06 Roosevelt Av. (off Northern Blvd),Flushing,10:00 AM - 5:00 PM,22.0,1:00 PM - 6:00 PM,4052750120.0
43-06 Greenpoint Avenue,Long Island City,10:00 AM - 5:00 PM,53.0,1:00 PM - 6:00 PM,4001730016.0
16-26 Cross Bay Boulevard,Broad Channel,10:00 AM - 5:00 PM,51.0,1:00 PM - 6:00 PM,4154810530.0
94-11 217 Street,Queens Village,10:00 AM - 5:00 PM,63.0,1:00 PM - 6:00 PM,4106210012.0
37-44 21 Street,Long Island City,10:00 AM - 5:00 PM,39.0,1:00 PM - 6:00 PM,4003630001.0
202-05 Hillside Avenue,Hollis,10:00 AM - 5:00 PM,25.0,1:00 PM - 6:00 PM,4105320120.0
92-24 Rockaway Boulevard,Ozone Park,10:00 AM - 5:00 PM,62.0,1:00 PM - 6:00 PM,4091130030.0
