maxmum_salary,minmum_salary,agency_name,title_code_name
82400,82400,MAYORALTY,ASSOCIATE LABOR RELATIONS ANALYST
120000,120000,MAYORALTY,ADM MANAGER-NON-MGRL
46350,46350,MAYORALTY,NEW YORK CITY PUBLIC SERVICE FELLOW (DCAS)
176232,139335,MAYORALTY,EXECUTIVE AGENCY COUNSEL
87550,87550,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
227738,83430,MAYORALTY,ASSISTANT LEGISLATIVE REPRESENTATIVE
105855,44290,MAYORALTY,STAFF ASSISTANT (OFFICE OF THE MAYOR)
43980,37398,MAYORALTY,COMMUNITY ASSISTANT
69826,69826,MAYORALTY,LEGISLATIVE AIDE (OFFICE OF THE MAYOR)
46966,46966,MAYORALTY,CUSTOMER INFORMATION REPRESENTATIVE MA L 1549
96089,66702,BOARD OF ELECTIONS,SENIOR COMPUTER PROGRAMMER (BOARD OF ELECTIONS)
104990,104990,OFFICE OF THE ACTUARY,"ACTUARIAL SPECIALIST LEVEL II, OJ"
243171,243171,MAYORALTY,DIRECTOR OF MANAGEMENT & BUDGET
94702,94702,OFFICE OF THE ACTUARY,CERTIFIED IT ADMINISTRATOR (LAN/WAN)
208250,115000,OFFICE OF THE ACTUARY,EXECUTIVE AGENCY COUNSEL
124875,124875,BOARD OF ELECTIONS,"DIRECTOR, PUBLIC AFFAIRS AND COMMUNICATION (ELEC)"
75941,61854,BOARD OF ELECTIONS,ASSISTANCE FINANCE OFFICER(BOARD OF ELECTIONS)
193730,168508,BOARD OF ELECTIONS,COUNSEL (BOARD OF ELECTIONS)
82234,82234,MAYORALTY,COMPUTER SPECIALIST (OPERATIONS)
48033,48033,BOARD OF ELECTIONS,COMPUTER OPERATOR (BOARD OF ELECTIONS)
227786,83791,MAYORALTY,ADMINISTRATIVE STAFF ANALYST
145332,145332,MAYORALTY,ADMINISTRATIVE STAFF ANALYST
156053,65847,MAYORALTY,ADMINISTRATIVE MANAGER
227786,227786,MAYORALTY,DIRECTOR OF OFFICE FOR PEOPLE WITH DISABILITIES (MA)
171878,57548,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
123745,123745,BOARD OF ELECTIONS,FINANCE OFFICER  (BOARD OF ELECTIONS)
56650,56650,MAYORALTY,Special Assistant to the Director (CJCC)
55000,40691,BOARD OF ELECTIONS,SENIOR VOTING MACHINE TECHNICIAN (BOE)
76154,48341,MAYORALTY,MAYORAL OFFICE ASSISTANT
243171,243171,MAYORALTY,"DIRECTOR, OFFICE OF OPERATIONS (OFFICE OF THE MAYOR)"
123600,79310,MAYORALTY,ASSISTANT LEGISLATIVE REPRESENTATIVE (MA)
53724,42970,MAYORALTY,SERVICE INSPECTOR (PROJECT SCORECARD)
115238,115238,CAMPAIGN FINANCE BOARD,ASSOCIATE STAFF ANALYST
222924,222924,MAYORALTY,DIRECTOR OF FINANCING POLICY COORDINATION (OMB)
187991,187991,MAYORALTY,EXECUTIVE DIRECTOR ON COMMISSION ON GENDER EQUALITY (MA)
75591,75591,MAYORALTY,ASSOCIATE STAFF ANALYST
32920,28227,BOARD OF ELECTIONS,TEMPORARY CLERK (BOARD OF ELECTIONS)
70900,70900,MAYORALTY,SECRETARY (MANAGERIAL)
258750,258750,MAYORALTY,MAYOR
91308,48953,MAYORALTY,MAYORAL PROGRAM COORDINATOR (MA)
114639,114639,BOROUGH PRESIDENT - MANHATTAN,ADMINISTRATIVE STAFF ANALYST
51035,51035,MAYORALTY,MAYORAL PROGRAM COORDINATOR (MA)
243853,243853,MAYORALTY,CHIEF OF STAFF - MAYOR'S OFFICE
101097,101097,BOARD OF ELECTIONS,"COORDINATOR, VOTER REGISTRATION ACTIVITIES (BD OF ELECTION)"
80773,80773,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
112898,101585,MAYORALTY,SR PROJECT PLANNER (MA)
211150,60000,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
187991,187991,OFFICE OF THE ACTUARY,COMPUTER SYSTEMS MANAGER
53217,46423,POLICE DEPARTMENT,SECRETARY
84247,84247,MAYORALTY,TESTS AND MEASUREMENT SPECIALIST
236900,236900,MAYORALTY,SPECIAL ASSISTANT TO THE MAYOR
84643,84643,MAYORALTY,PROJECT PLANNER (MA)
62696,62696,MAYORALTY,SENIOR SERVICE INSPECTOR (PROJECT SCORECARD)
236332,203996,MAYORALTY,SENIOR POLICY ADVISOR TO THE MAYOR (MA)
75691,48186,BOARD OF ELECTIONS,ADMINISTRATIVE ASSISTANT (BOE)
53705,53705,MAYORALTY,BOOKKEEPER
80000,80000,BOROUGH PRESIDENT - MANHATTAN,ADM MANAGER-NON-MGRL
175018,170000,CAMPAIGN FINANCE BOARD,DEPUTY EXECUTIVE DIRECTOR CAMPAIGN FINANCE BOARD
258000,150100,OFFICE OF THE ACTUARY,ADMINISTRATIVE ACTUARY
150762,116725,BOARD OF ELECTIONS,COMPUTER SYSTEM MANAGER (BOARD OF ELECTIONS)
66463,66463,MAYORALTY,PROCUREMENT ANALYST
96611,50763,MAYORALTY,PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR
100000,70555,MAYORALTY,SECRETARY (MANAGERIAL)
165970,102052,MAYORALTY,RESEARCH PROJECTS COORD (MA)-MGRL
237407,113882,MAYORALTY,ADMINISTRATIVE STAFF ANALYST
60000,55000,MAYORALTY,SECRETARY
135960,60000,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
232615,232615,BOARD OF ELECTIONS,EXECUTIVE DIRECTOR (BOARD OF ELECTIONS)
127243,113300,MAYORALTY,EXECUTIVE COOK (MAYOR)
75643,75643,OFFICE OF THE ACTUARY,PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR
112020,53089,OFFICE OF THE ACTUARY,ACTUARIAL SPECIALIST LEVEL I
152574,142949,BOARD OF ELECTIONS,CHIEF CLERK (BOARD OF ELECTIONS)
146705,134969,BOARD OF ELECTIONS,DEPUTY CHIEF CLERK (BOARD OF ELECTIONS)
68485,60858,MAYORALTY,STAFF ANALYST
105755,105755,MAYORALTY,ADMINISTRATIVE ASSISTANT TO THE MAYOR
113300,83106,BOARD OF ELECTIONS,DIRECTOR OF TRAINING (BOARD OF ELECTIONS)
103000,103000,MAYORALTY,RESEARCH PROJECTS COORDINATOR (OFFICE OF THE MAYOR)
104675,104675,OFFICE OF THE ACTUARY,ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST
263017,263017,CAMPAIGN FINANCE BOARD,EXECUTIVE DIRECTOR (CAMPAIGN FINANCE BOARD)
54343,54343,BOARD OF ELECTIONS,STENOGRAPHIC/SECRETARIAL ASSOCIATE (BOE)
72100,50000,MAYORALTY,RESEARCH PROJECTS COORDINATOR (MA)
112795,112795,MAYORALTY,EXECUTIVE AGENCY COUNSEL
180000,153378,MAYORALTY,EXECUTIVE AGENCY COUNSEL
98409,91563,MAYORALTY,AGENCY ATTORNEY
47888,47888,MAYORALTY,CLERICAL ASSOCIATE MOST MAYORAL AG
50000,50000,MAYORALTY,SUPERVISOR OF OFFICE MACHINE OPERATIONS
61239,61239,OFFICE OF THE ACTUARY,SECRETARY
59263,59263,MAYORALTY,SUPERVISOR OF OFFICE MACHINE OPERATIONS
163243,163243,MAYORALTY,ASSOCIATE COUNSEL (OLR)
134280,134280,MAYORALTY,RESEARCH PROJECTS COORDINATOR (OFFICE OF THE MAYOR)
72671,59180,MAYORALTY,EMPLOYEE ASSISTANCE PROGRAM SPECIALIST
123600,110000,MAYORALTY,Senior Project Planner (CJCC)- Managerial Assignment
176232,101611,MAYORALTY,COMPUTER SYSTEMS MANAGER
51642,36997,BOARD OF ELECTIONS,FINANCIAL CLERK (BOARD OF ELECTIONS)
291139,291139,MAYORALTY,FIRST DEPUTY MAYOR
50000,50000,OFFICE OF THE ACTUARY,COMMUNITY ASSOCIATE
86444,50367,MAYORALTY,STATISTICAL SECRETARY (OMB)
60417,57498,BOARD OF ELECTIONS,COUNSEL TO THE BOARD (BOE)
42000,42000,MAYORALTY,COMMUNITY ASSOCIATE
227786,227786,MAYORALTY,COMMISS OF THE OFF TO END DOMEST AND GEND BA VIOL (MA)
104353,64454,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
238167,219255,MAYORALTY,DEPUTY COMMISSIONER OF LABOR RELATIONS (OLR)
105639,105639,MAYORALTY,COMPUTER SPECIALIST (SOFTWARE)
211150,97904,MAYORALTY,EXECUTIVE AGENCY COUNSEL
167270,167270,MAYORALTY,COMPUTER SYSTEMS MANAGER
51105,51105,MAYORALTY,STAFF ANALYST
52974,40403,MAYORALTY,CLERICAL ASSOCIATE MOST MAYORAL AG
251982,251982,MAYORALTY,DEPUTY MAYOR
182304,182304,MAYORALTY,ADMINISTRATIVE MANAGER
63794,38332,MAYORALTY,COMMUNITY ASSOCIATE
60248,60248,MAYORALTY,ADMIN COMMUNITY RELATIONS SPECIALIST (NON-MGR) FORMER M1-3
46019,40761,MAYORALTY,SECRETARY
72599,72599,MAYORALTY,MAYORAL PROGRAM COORDINATOR (MA)
104473,42000,CAMPAIGN FINANCE BOARD,ANALYST (CFB) AL 1 ONLY
117217,117217,BOARD OF ELECTIONS,"COORDINATOR, ELECTION DAY OPERATIONS (BD OF ELECTIONS)"
79389,79389,MAYORALTY,GRAPHIC ARTIST
204106,58700,MAYORALTY,SPECIAL ASSISTANT (MA)-MGRL
189238,54000,CAMPAIGN FINANCE BOARD,ANALYST (CFB)
214190,214190,BOARD OF ELECTIONS,DEPUTY EXECUTIVE DIRECTOR (BOARD OF ELECTIONS)
92679,92679,BOROUGH PRESIDENT - MANHATTAN,"ADMIN CONTRACT SPECIALIST (PYRLS 069,071,094,250,261)"
87550,87550,MAYORALTY,PRESS OFFICER (OFFICE OF THE MAYOR)MANAGERIAL ASSSIGNMENTS
89364,89364,MAYORALTY,MAYORAL PROGRAM COORDINATOR (MA)
126520,70519,MAYORALTY,DEPUTY ASSISTANT COUNSEL (OLR)
218802,218802,MAYORALTY,EMPLOYEE HEALTH BENEFITS PROGRAM DIRECTOR (OMLR)
