franchisee,doc_id_automatically_generated_contract_id_number_from_fms,fy_2015_award_or_transaction_yes_no,fy_2015_registration_yes_no,public_meeting_date_if_applicable,expiration_date
"AMERICAN PAYPHONE COMMUNICATIONS, INC.",20000016646.0,No,No,8/11/1999,10/15/2014
VAN WAGNER KIOSK ADVERTISING LLC fka TELEBEAM II (formerly URBAN TELECOMM) ,20000011791.0,No,No,9/15/1999; 3/14/2007; 4/14/2010,10/15/2014
NEXTG NETWORK OF NEW YORK n/k/a CROWN NEXTG NETWORKS,20080029718.0,No,No,2/6/2008; 8/12/2009,11/14/2019
"LEVEL THREE COMMUNICATIONS, LLC.",,No,No,12/9/1998,1/5/2014
"TITAN OUTDOOR COMMUNICATIONS, INC. f/k/a NYC PUB TEL ",20000011774.0,No,No,8/11/1999; 10/19/2001,10/15/2014
VECTOR TELECOMMUNICATIONS LLC f/k/a COMET COMMUNICATIONS,20000019782.0,No,No,8/8/2012,10/15/2014
"CONSOLIDATED EDISON CO., INC. ",,No,No,,Perpetual Agreement
NEON TRANSCOM f/k/a Columbia formerly RCN parent,20010004682.0,No.,No,9/10/2003; 6/4/2008;8/11/2010,6/18/2015
"PHOENIX FIBER NETWORK, LLC",20158205371.0,Yes ,No,5/13/2015,6/30/2021
"TIME WARNER ENTERTAINMENT COMPANY, L.P.-Staten Island Franchise",20128201563.0,No,No,8/10/2011,7/18/2020
"ZENFI NETWORKS, INC.",20148204352.0,Yes ,Yes,6/11/2014,6/30/2021
URBAN TELECOMMUNICATIONS TRANSPORT CORP. ,9453164.0,No,No,FCRC granted franchise on 12/8/1993 and amendment on 11/12/2003,11/12/2013 (10th anniversary of amendment date.)
CABLEVISION SYSTEMS NYC CORP-Brooklyn,20128201426.0,No,No,8/10/2011,7/18/2020
"CABLEVISION LIGHTPATH, INC.",9453167.0,No,No,FCRC Awarded Franchise on 12/8/1993,12/20/2008
"STEALTH COMMUNICATIONS SERVICES, LLC",20138203378.0,No,No,2/13/2013,6/30/2020
LIGHTOWER FIBER LLC f/k/a LEXENT METRO CONNECT,20080029457.0,No,No,11/10/2010,11/14/2019
"PHOENIX FIBER NETWORK, LLC",20158205372.0,Yes ,No,5/13/2015,6/30/2021
LIGHTOWER FIBER LONG ISLAND (fka KEYSPAN COMMUNICATIONS CORP. ,20030006533.0,No,No,5/9/2007; 7/9/08,7/22/2017
"CRESCENT STAR COMM., INC.",20000014172.0,No,No,8/11/1999,10/15/2014
PSE&G for LIPA,,No,No,,Perpetual Agreement
PRIVATE TRANSPORTATION CORP.,20128000075.0,No,No,6/13/2011,6/30/2021
LIBERTY LINES TRANSIT,,No,No,,Perpetual Agreement
"TIME WARNER ENTERTAINMENT COMPANY, L.P.-Brooklyn(Western Brooklyn Franchise)",20128201562.0,No,No,8/10/2011,7/18/2020
"QWEST COMMUNICATIONS CORP, INC.",20030008213.0,No,No,5/9/2007,8/5/2010
TELEBEAM TELECOMMUNICATIONS CORPORATION,20000011791.0,No,No,8/11/1999,10/15/2014
"ZENFI NETWORKS, INC.",20148204471.0,Yes ,Yes,6/11/2014,6/30/2021
NORTHEASTERN TELEPHPHONE,20000017156.0,No,No,8/11/2011,10/15/2010
OPTICAL COMMUNCIATIONS ,20060030788.0,No,No,10/12/2005, 2/9/21
"CITYBRIDGE, LLC",20158202566.0,Yes ,Yes,12/10/14,6/24/2026
TRANSIT WIRELESS,20128204127.0,No,No,4/11/2012,4/30/2027
"TIME WARNER ENTERTAINMENT COMPANY. L.P.- QUEENS (Queens Inner Unity Cable - QUICS Franchise, Eastern Queens, and Western Queens)",20128201561.0,No,No,8/10/2011,7/18/2020
"RCN TELECOM SERVICES OF NEW YORK, LP",,No,No,12/9/1998: 8/11/2010,1/5/2014
XCHANGE TELECOM CORPORATION,20128203392.0,No,No,12/14/2011,11/14/2019
EXTENET SYSTEMS INC. f/k/a CLEARNIX NETWORK CORPORATION,20050018296.0,No,No,7/14/2004,11/14/2019
PORT AUTHORITY OF NY & NJ,,No,No,,Perpetual Agreement
"NYC PAYPHONES, LLC fka PAYCO LLC(f/k/a METRO TELECOMM)  ",20000019912.0,No,No,8/11/1999; 2/13/2002; 5/12/2010,10/15/2014
"EAST HARLEM UNITY COMMUNICATIONS, INC.",20000040058.0,No,No,8/11/1999,10/15/2014
