program_site_name,address,contact_number,longitude,notes,borough,latitude-community_council
GED Plus at Youth Action and Homes Program  ,206 East 118th Street,"212-860-8170, ext 16",-73.938624,,Manhattan,40.799066-8.0
GED Plus at St. Albans V.A. Medical Center ,179th Street & Linden Boulevard ,"718-526-1000, ext. 2298  ",,,Queens,nan-nan
GED Plus at Manhattan Learning Center ,317 West 52nd Street,"212-247-4307, ext 1081",-73.985939,,Manhattan,40.763866-3.0
GED Plus at LaGuardia Community College : CUNY CATCH,29-10 Thompson Avenue ,718-482-5128  ,-73.937602,,Queens,40.745216-26.0
GED Plus Evening at Boys & Girls High School ,1700 Fulton Street,718-557-2590,-73.932407,,Brooklyn,40.67944-36.0
GED Plus at Chelsea Hudson Guild  ,441 West 26th Street,212-760-9800,-74.001815,2nd floor,Manhattan,40.749196-3.0
GED Plus at Queens Youth Build ,138-46 Northern Boulevard ,"718-961-6880, ext. 146 ",-73.827142,,Queens,40.764119-20.0
GED Plus at Jamaica Hospital Dental Assistant Program,134-20 Jamaica Avenue,718-206-6890  ,-73.818531,,Queens,40.70236-29.0
GED Plus at New Settlement Apartments I  ,1525 Walton Avenue  ,"718-716-8000, ext. 232  ",-73.914338,,Bronx,40.841827-14.0
GED Plus at North Central Bronx Hospital  ,"3424 Kossuth Avenue, 14",718-519-4816  ,-73.88164,14th floor,Bronx,40.880462-11.0
GED Plus Evening at Kennedy High School ,99 Terrace View Avenue ,718-557-2590  ,-73.912256,,Bronx,40.877105-10.0
GED Plus at Alpha School-Center for Progressive Living Inc.,2400 Linden Boulevard ,718-257-5800  ,-73.874918,,Brooklyn,40.665325-42.0
GED Plus at Davidson Avenue  ,1732 Davidson Avenue ,718-299-5926 ,-73.913419,,Bronx,40.847798-14.0
"Bronx GED Plus Hub/Referral Center at Bronx Regional High School  
",1010 Rev. James Polite Avenue,718-842-9200 ,-73.898872,,Bronx,40.823532-17.0
GED Plus at Co-op Tech  ,321 East 96th Street,"212-369-8800, ext1464",-73.945626,,Manhattan,40.783638-8.0
GED Plus at Schermerhorn Street ,67-69 Schermerhorn Street ,718-935-1726 ,-73.990967,,Brooklyn,40.690757-33.0
GED Plus at South Shore Educational Complex ,6565 Flatlands Avenue ,718-968-4118 ,-73.916735,,Brooklyn,40.633285-46.0
GED Plus at York College  ,94-20 Guy Brewer Boulevard ,718-262-2084  ,-73.795578,,Queens,40.702532-27.0
GED Plus at Jamaica Learning Referral Center/Hub,162-02 Hillside Avenue,718-739-2100,-73.800065,,Queens,40.70848-24.0
"GED Plus at PHASE: Piggy Back, Inc.  ",262 West 145th Street,212-694-0107,-73.940796,,Manhattan,40.822356-9.0
GED Plus at George Gershwin Middle School ,800 Van Siclen Avenue ,718-270-5086 ,-73.885387,,Brooklyn,40.66011-42.0
GED Plus at Linden Learning Center  ,1965 Linden Boulevard ,718-649-3400  ,-73.889425,,Brooklyn,40.659099-42.0
GED Plus at The LaGuardia Marriott  ,102-05 Ditmars Boulevard  ,"718-533-3098, ext. 6635  ",-73.868315,,Queens,40.768801-21.0
GED Plus at Alternative Education Complex Referral Center/HUB,500 8th Avenue,212-244-1274,-73.992904,"ELL Services:ESL, Early literacy",Manhattan,40.752943-3.0
GED Plus at New Settlement Apartments II  ,1614 Walton Avenue ,718-450-8466  ,-73.912752,,Bronx,40.844018-14.0
GED Plus at Bronx Community College Future Now,2155 University Avenue ,718-289-5852  ,-73.909307,,Bronx,40.857899-14.0
GED Plus at The Door  ,55 Broome Street,"212-941-9090, ext 3252",,,Manhattan,nan-nan
GED Plus Evening at Lincoln High School  ,2800 Ocean Parkway ,718-557-2590  ,-73.967308,,Brooklyn,40.581681-47.0
GED Plus at Fannie Barnes Urban Strategies Inc.  ,829 Saratoga Avenue  ,718-346-2539  ,-73.91518,,Brooklyn,40.660457-42.0
GED Plus at Astoria Community Center ,23-40 Astoria Boulevard ,"718-726-9790, ext. 130  ",-73.92375,,Queens,40.771582-22.0
GED Plus at 29,40 East 29th Street,212-889-7567,-73.984778,,Manhattan,40.744422-2.0
GED Plus at Ocean Bay ,57-10 Beach Channel Drive  ,718-945-2156  ,-73.787436,,Queens,40.59476-31.0
GED Plus at Bronx VA Medical Center ,"130 West Kingsbridge Road Bronx, ","718-584-9000, ext. 5059  ",-73.903069,,Bronx,40.869073-14.0
GED Plus at Project Ready   ,55 East 175th Street  ,718-466-3600  ,-73.911295,,Bronx,40.847256-14.0
GED Plus at DeWitt Clinton High School ,100 West Mosholu Parkway South,718-543-1000 ,-73.88691,"x ELL Services: ESL, Bilingual Program: Spanish ",Bronx,40.882178-11.0
GED Plus at Brooklyn Job Corps Academy  ,585 DeKalb Avenue ,718-623-4000  ,-73.952765,,Brooklyn,40.691223-33.0
"GED Plus at Sanitation, Staten Island   ",66 Swan Street  ,718-442-0071 ,-74.077312,,Staten Island,40.634782-49.0
GED Plus at Stanley Isaacs Neighborhood ,1792 First Avenue,212-360-7625,-73.946242,,Manhattan,40.781149-5.0
GED Plus at Adams Academy  ,101-02 Rockaway Boulevard  ,347-886-1720  ,-73.837654,,Queens,40.679692-32.0
GED Plus at St. George Referral Center/Hub ,450 St. Marks Place ,718-273-3225 ,-74.077273,,Staten Island,40.638946-49.0
GED Plus at Wagner High School  ,1200 Manor Road  ,"718-698-4200, ext. 5431 ",-74.124227,,Staten Island,40.596803-50.0
GED Plus at LaGuardia Community College:Workforce Educational Center,29-10 Thompson Avenue  ,718-482-5399  ,-73.937602,,Queens,40.745216-26.0
GED Plus at Red Hook Community Justice Center  ,88 Visitation Place  ,718-923-8256  ,-74.009619,,Brooklyn,40.678919-38.0
GED Plus at Opportunities for a Better Tomorrow II  ,25 Thornton Street  ,"718-387-1600, ext. 30  ",-73.943699,,Brooklyn,40.701018-33.0
