summons_number,violation_time,street_name,days_parking_in_effect,plate_type,violation_county,to_hours_in_effect,issuing_agency,intersecting_street,house_number,violation_location,issuer_command,from_hours_in_effect,registration_state,violation_in_front_of_or,law_section,meter_number
1442483957,0318A,S/S PARK AVE,YBYBYBB,PAS,K,0600A,S,E/OF N ELLIOT PL,,88.0,KN02,0300A,PA,,408,-
1442485401,0846A,WAVERLY AVE,BBBBYBB,PAS,K,1000A,S,,167,88.0,KN02,0830A,NY,F,408,-
1442483076,0910A,THOMAS S BOYLAND ST,YBBYBBB,PAS,K,1030A,S,,563,73.0,KN16,0900A,NY,O,408,-
1442481560,0909A,MOTHER GASTON BLVD,BYBBYBB,PAS,K,1000A,S,,70,73.0,KN16,0830A,FL,O,408,-
1442483416,0326A,GRAND AVE,YBYBYBB,PAS,K,0600A,S,,10,88.0,KN02,0300A,NY,F,408,-
1442483015,1150A,HERZL STREET,YBBYBBB,PAS,K,0100P,S,,336,73.0,KN16,1130A,NY,F,408,-
1442484251,0942A,STATE ST,YBBBBBB,PAS,K,1100A,S,,505,84.0,KN02,0930A,NY,F,408,-
1442485905,0905A,ST JAMES PL,YBBBBBB,PAS,K,1000A,S,,28,88.0,KN02,0830A,NY,F,408,-
1442481286,0855A,N/SIDE BELMONT AVE,YBBYBBB,PAS,K,1000A,S,JUNIUS ST,,73.0,KN16,0830A,NY,,408,-
1442480531,0911A,HERZL STREET,BYBBYBB,PAS,K,1030A,S,,227,73.0,KN16,0900A,NY,F,408,-
1442485292,0807A,MYRTLE AVE,YYYYYYB,PAS,K,0830A,S,,549,88.0,KN02,0800A,NY,F,408,-
1442481134,0808A,SACKMAN ST,YBBYBBB,PAS,K,0930A,S,,52,73.0,KN16,0800A,NY,F,408,-
1442481444,0808A,SACKMAN ST,BYBBYBB,OMS,K,0930A,S,,65,73.0,KN16,0800A,NY,F,408,-
1442480786,0916A,THOMAS BOYLAND ST,YBBYBBB,PAS,K,1000A,S,,126,73.0,KN16,0830A,NY,F,408,-
1442484627,0854A,WILLOUGHBY ST,BBBYBBB,PAS,K,1000A,S,,175,84.0,KN02,0830A,NY,F,408,-
1442483428,0327A,GRAND AVE,YBYBYBB,PAS,K,0600A,S,,32,88.0,KN02,0300A,NY,F,408,-
1442482485,0841A,OSBORN ST,YBBYBBB,PAS,K,0900A,S,,113,73.0,KN16,0800A,NY,O,408,-
1442483854,0326A,PARK AVE,YBYBYBB,PAS,K,0600A,S,N ELLIOT PL,,88.0,KN02,0300A,PA,,408,-
1442486284,0842A,WAVERLY AVE,BBBBYBB,PAS,K,1000A,S,,73,88.0,KN02,0830A,NY,F,408,-
1442484640,0858A,WILLOUGHBY ST,BBBYBBB,PAS,K,1000A,S,,175,84.0,KN02,0830A,NY,F,408,-
1442483120,1153A,LIVONIA AVENUE,BYBBYBB,PAS,K,0100P,S,,315,73.0,KN16,1130A,NY,F,408,-
1442481456,0815A,SHERLOCK PL,BYBBYBB,PAS,K,0930A,S,,27,73.0,KN16,0800A,FL,O,408,-
1442486089,1010A,GRAND AVE,YBBBBBB,PAS,K,1100A,S,,372,88.0,KN02,0930A,NY,F,408,-
1442485840,0812A,MYRTLE AVE,YYYYYYB,PAS,K,0830A,S,,489,88.0,KN02,0800A,NY,F,408,-
1442480816,1218P,S/S NEWPORT ST,YBBYBBB,PAS,K,0100P,S,E/O E 98TH ST,,73.0,KN16,1130A,NY,,408,-
1442485826,1012A,CANLTON AVE,BBBBYBB,PAS,K,1100A,S,,278,88.0,KN02,0930A,NY,O,408,-
1442482473,0840A,OSBORN ST,YBBYBBB,PAS,K,0900A,S,,115,73.0,KN16,0800A,NY,O,408,-
1442483910,0309A,S/S PARK AVE,YBYBYBB,PAS,K,0600A,S,W/OF ST EDWARDS  ST,,88.0,KN02,0300A,NY,,408,-
1442481432,0751A,FULTON ST,BYBBYBB,PAS,K,0800A,S,,2246,73.0,KN16,0730A,NY,F,408,-
1442483271,1211P,MOTHER GASTON BLVD,YBBYBBB,PAS,K,0100P,S,,720,73.0,KN16,1130A,NY,F,408,-
1442483842,0325A,PARK AVE,YBYBYBB,PAS,K,0600A,S,N ELLIOT PL,,88.0,KN02,0300A,NY,,408,-
1442483192,1242P,POWELL ST,YBBYBBB,PAS,K,0100P,S,,457,73.0,KN16,1130A,NY,O,408,-
1442483489,0336A,S/S PROSPECT ST,BYBYBYB,PAS,K,0600A,S,W/O BRIDGE ST,,88.0,KN02,0300A,NY,,408,-
1442483155,1138A,LIVONIA AVENUE,BYBBYBB,PAS,K,0100P,S,,395,73.0,KN16,1130A,NY,F,408,-
1442482606,0848A,BELMONT AVE,YBBYBBB,PAS,K,1000A,S,,157,73.0,KN16,0830A,NY,F,408,-
1442486200,0853A,CLASSON AVE,BYBBBBB,PAS,K,1000A,S,,345,88.0,KN02,0830A,NY,F,408,-
1442480804,1213P,NEWPORT ST,YBBYBBB,PAS,K,0100P,S,,86,73.0,KN16,1130A,NY,F,408,-
1442486107,1012A,GRAND AVE,YBBBBBB,PAS,K,1100A,S,,368,88.0,KN02,0930A,NY,F,408,-
1442481729,1148A,OSBORN ST,YBBYBBB,PAS,K,0100P,S,,471,73.0,KN16,1130A,NY,O,408,-
