coursedescription,course_name,state,instructor_credentials,city,contact_lastname,website,phone1,zip_code,schedule
Students work on the driving skills needed to obtain their Class B license. After successful completion students will be able to operate a single unit (Straight Truck)vehicle like a garbage truck or delivery truck. Program consists of classroom and on the road practice to ensure the best possible learning experience. 5 classroom hours of study time which include pre-trip inspection  road test preparations study time for additional endorsements like tanker  hazmat  and tow truck. 5 Lab hours forELDT (Theory  Range and Public Road). 20 hours behind the wheel with a license instructor. INCLUDED: TWO road test; DMV skill fees. Dot Medical Certification available. Upon completion of training student will receive a certificate of completion. .,Truck Class B Program,New York,NYS DMV Certified,BRONX,Henriquez,http://truckardrivingschool.com,7187420220,10455.0,Check with school to receive most updated schedule
The 30 Hour OSHA Construction course provides training for workersand employers on the recognition  avoidance  abatement and hazards in the work environment. This course is predicated on occupational safety and Health. This course comprises of 18 topics.The 10 Hour Site Safety Training (SST) course is an essential program designed for construction workers and supervisors who are seeking to obtain their SST card. This course comprises of two topics. The 4-Hour Flaggers course trains all individuals in safe flagging techniques specific to New York State regulations.  . . .,OSHA 30 Construction 10 Hour Site Safety Training  4-Hour flaggers,New York,,NEW YORK,COOK,www.wdcsafetyllc.com,3478258657,10029.0,Check with school to receive most updated schedule
This course provides a comprehensive advanced approach to the Business Intelligence forSQL Server with high availability solutions (SSIS  SSRS  SSAS).Upon completion of training student will receive certificate of completion. .,Business Intelligence for SQL Server,New York,,Brooklyn,Kirshenbaum,http://www.samconsulting.com,7186483997,11229.0,Check with school to receive most updated schedule
This Accounting Package course allows students to master a variety of accounting topics from basic level to advanced level. The students will learn the principles of accounting in regards to adjusting journal entries  closing journal entries  creating financial statemtns  and etc. Additionally  the students will learn taxation concepts such as tax laws  tax theory and preparation of tax returns. Aside from learning the accounting concepts  the students will gain experience in utilizing popular Accounting software such as Quickbooks and Peachtree. The students will also learn computer applications such as Database Management  Microsoft Excel and etc. With the knowledge of accounting fundamentals and accounting software  the students will be an excellent candidate for numerous job positions such as Accounting Clerk  Accounts Payable Clerk  Accounts Receivable Clerk  Accounting Payroll Administrator  Bookkeeper  Office Manager  and other business related positions. course schedule from Monday to Friday daytime  24 Hours per week  Upon graduation  the students will receive the certificate of Business Bookkeeping from the school after they have passed the final. This is more than one year program  contact provider for current schedule .,Business Bookkeeping (TAA ONLY),New York,,NEW YORK,Zhang,http://www.ntii-newyork.com,2129255722,10013.0,Check with school to receive most updated schedule
This course teaches a student to build and troubleshoot a computer and secure a computer network using the latest network security technologies available. The student will get hands on experience with configuring firewall and various different network security applications. Upon successful completion of the course  the student will be awarded certificate of completion in PC Technician Computer Network Security Specialist &quot;. . .This program includes: . . . PC Technician - 60 hours . Computer Network Security - 60 hours . .,PC Technician & Computer Network Security Specialist,New York,,NEW YORK,Shorewala,http://www.acecareer.edu/,2126959700,10018.0,Check with school to receive most updated schedule
The Phlebotomy/Laboratory Technician Certificate program is a partnership between the Office of Continuing Education and Staten Island University Hospital. It follows the NAACLS guidelines to provide 54 hours of classroom instruction and 120 clinical hours including the hands-on requirements. Students qualify to take the ASCP (American Society of Clinical Pathology) Phlebotomy Technician Certification. The textbook and registration fee is not included in the tuition. .,PHLEBOTOMY TECHNICIAN,New York,,Staten Island,Education,http://www.csi.cuny.edu/continue,7189822182,10314.0,Check with school to receive most updated schedule
ACE INSTITUE OF TECHNOLOGY offers Certificate Nursing Assistant program approved by the New York State Education Department that ensures students will be prepared to meet the needs of medical practices  hospitals  and nursing home facilities. The classes are taught by qualified  state licensed instructors who utilize highly effective teaching methods to prepare the students for working efficiently and effectively in the real life environment. . .Nursing assistants help provide basic care for patients in hospitals and residents of long-term care facilities  such as nursing homes. Doctors  senior physicians and senior nurses are always in need of talented and certified nurse assistants (CNA). Not just seniors but the patients also interact with CNAs on regular bases. As medical outlets continue to become more facilitated  the demand for required nursing staff also keeps increasing . .Upon completion of training student will receive certificate of completion .,Nurse Assistant,New York,,NEW YORK,Shorewala,http://www.acecareer.edu/,2126959700,10018.0,Check with school to receive most updated schedule
This course presents an ideal opportunity for parents and their caregivers to have the same understanding and awareness in the field of child care. Childcare workers nurture and teach children of all ages in childcare centers nursery schools preschools public schools private households family childcare homes and before- and after-school programs. These workers play an important role in a child&#39;s development by caring for the child when parents are at work or away for other reasons. Upon completion of training student will receive a certificate of completion. .,Child Care Specialist,New York,Licensed by The New York State Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
This course is designed to meet the necessary education requirements associated with the New York State Real Estate Brokers License. Topics covered include: Management and Supervision of an Office; Supervision of Compliance with the Law of the Agency Investment Properties Property Management Conveyance of Real Estate Property Construction Taxes and Assessments Title Closing and Costs Appraisal Principles and Local Concerns. Real estate broker: means any person firm or corporation who for another and for a fee commission or other valuable consideration lists for sale sells at auction or otherwise exchanges buys or rents or offers or attempts to collect rent for the use of real estate or negotiates or offers or attempts to negotiate a loan secured or to be secured by a mortgage other than a residential mortgage loan as defined in section five hundred ninety of the banking law. Upon completion of training student will receive certificate of completion. .,Real Estate Broker,New York,Certify by the State of NY and Licensed by The New York State Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
In this course student will learn Operation of IP Data Networks  LAN Switching Technologies  IP addressing  IP Routing Technologies  IP Services  Network Device Security  Troubleshooting  WAN Technologies. . .This course also prepares students for the (CCNA) Exam  The certification exam fee of $300.00 is included in this course cost. . .In this course total price is: $4025.00 includes books Fee: $200.00  Reg Fee: $25.00 and tuition: $3800.00 . .Upon completion of training student will receive certificate of completion. . . .,CISCO Network,New York,,NEW YORK,Zhang,http://www.ntii-newyork.com,2129255722,10013.0,Check with school to receive most updated schedule
Blue Collar Prep (BCP) is NEW&#39;s daytime training program. It is a seven-week full-time program  Monday-Friday  8:00am - 3:00pm  designed to give women a well-rounded introduction to the building trades and hands-on training experience with tools and building materials. The training curriculum was developed in collaboration with union apprenticeship directors and employers. Training is lecture and hands-on classes  including basic shop classes in carpentry  electrical work  plumbing and sheet metal; lifting  carrying  using ladders and tools; trades math; and health and safety. .,Blue Collar Prep (BCP),New York,,New York,Chan,https://www.new-nyc.org/,6466858908,10011.0,Check with school to receive most updated schedule
In this course  students will acquire fundamental data analysis techniques and software skills required for entry-level Data Analyst positions  along with other Analyst roles involving analytics and reporting. The training covers the following modules: Statistics Basics  SQL Databases  Excel Spreadsheets  and Data Visualization with Tableau. Since the course leverages user-friendly software with drag-and-drop functionality and tools that require minimal coding  it is an ideal fit for those with limited technical experience. By complementing their education and experience from various fields  the analytics software skills and methodologies acquired in this course bolster students&#39; profiles  enhancing their employment prospects. This hands-on course allows students to refine their skills through practical projects. This is online web-based synchronous (remote virtual real-time) instructor-led training. Upon completion  students will receive certificates of completion. .,Data Analyst Core Course (Online),New York,,Brooklyn,Kirshenbaum,http://www.samconsulting.com,7186483997,11229.0,Check with school to receive most updated schedule
Make the Road New York's (MRNY's) Worker Health and Safety Program  trainers are authorized by the US Dept. of Labor's Occupational Safety  and Health Administration's Occupational Training Institute at Rutgers  University in NJ. .MRNY OSHA-authorizedoutreach trainers deliver credential bearing 30  hour 'Occupational Safety and Health Standards for General Industry'  trainings as well as 30 hour 'Occupational Safety and Health Standards  for the Construction Industry' trainings. MRNY's Worker Health and  Safety Program has been designed to deliver credential-bearing trainings  for no or minimal cost to our low income and primarily immigrant  trainees. Trainings are offered weekly at our Jackson Heights  Queens  NY center  monthly at our Bushwick  Brooklyn center and quarterly at our  Port Richmond  SI center. Over 2 200 New Yorkers are trained a year.  We receive funding from New York State Department of Labor's Hazardous  Abatement Board as well as other public and private funds. 95% of our  trainings are facilitated by members of two worker coops of  OSHA-authorized outreach trainers.,Occupational Safety and Health (OSHA) Standards for Construction Industry- 30 hr credential training,New York,OSHA Authorized Construction Industry Trainer,BROOKLYN,Regalado,http://www.maketheroadny.org/index.php,7185658500,11237.0,Check with school to receive most updated schedule
A detailed course of Electrocardiography. Recommended for health workers who wish to enter the health care field or upgrade skills. Training for employment as a EKG technician in a hopital or clinic.Upon completion of training student will receive certificate of completion. . .Language (Enlgish) Course cost includes (Tuition  Books  Supplies  Materials) .,EKG (Electrocardiography) Technician,New York,,KEW GARDENS,Gunasingh,http://accessqueens.com,7182630750,11415.0,Check with school to receive most updated schedule
Students work on the driving skills needed to obtain their Class BPS license. After successful completion students will be able to operate a school bus. Students can also operate Class &#39;B&#39; and &lsquo;BP' vehicles. Program consists of classroom and on the road practice to ensure the best possible learning experience. 5 classroom hours of study time which include pre-trip inspection  road test and videos.5 Lab hours forELDT (Theory  Range and Public Road). 20 hours behind the wheel with a license instructor. INCLUDED are TWO road test and DMV skill fees. DOT Medical Certification information is available upon request. Upon completion of training student will receive a certificate of completion. .,School Bus Class BPS Program,New York,NYS DMV Certified,BRONX,Henriquez,http://truckardrivingschool.com,7187420220,10455.0,Check with school to receive most updated schedule
The student will enter information on a new patient  assign a chart number to a patient  enter information on an accident or illness  locate and charge information on an established patient  delete records on a patient who is not longer seeing the doctor. Upon completion of training student will receive certificate of completion. .,Medical Coding & Billing Specialist,New York,Licensed by the NYS Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
The occupational objective of this program is to train students to seek employment as Clinical Medical Assistants in physicians&#39; offices  hospitals  or other healthcare facilities. Upon successful completion of the course  students will be awarded a certificate of completion in &quot;Clinical Medical Assistant.&quot; . .Topics covered include - . . . Medical Terminology . Anatomy  Physiology Med Terminology - I . Anatomy  Physiology Med Terminology - II . Electrocardiography . Phlebotomy . Medical Lab Practices . .,Clinical Medical Assistant,New York,,NEW YORK,Shorewala,http://www.acecareer.edu/,2126959700,10018.0,Check with school to receive most updated schedule
The course covers key hospitality issues  Hotel management definitions  and career opportunities available in restaurants  hotels  beverages operations  casinos  theme venues  entertainment centers  cruise lines  and countless other hospitality and tourism business. In this course we will cover the front office processes reservations  registers guests  assigns rooms  handles complaints and provides information on all hotel services. Sales The salesperson visits local and out-of-town business executives  offering the hotels guest rooms  banquet halls and seminar rooms for conventions and meetings. Beverage The food and beverage manager supervises all preparation and service staff  ensuring that all dining rooms and lounges operate efficiently and profitably while maintaining high standards of food  beverage and service. Banquets The banquet manager supervises the set-up and service of banquets  weddings  receptions  meetings and conventions. Accounting The food and beverage controller compiles cost and profit statistics  prices and menus  forecasts business trends and reports to management on cost-saving measures. total 1500 Hours English 660 hours  Hotel Management 840 Hours.Upon completion of training student will receive certificate of completion. This is more than one year program  contact provider for current schedule .,Hotel and Hospitality Mangement with ESL,New York,,NEW YORK,Zhang,http://www.ntii-newyork.com,2129255722,10013.0,Check with school to receive most updated schedule
This is a 10 week program. Contact provider for current schedule. This program is designed for individuals with no/or some previous bus driving experience. The program will prepare each student with the skills and knowledge required for successfully passing all aspects of the CDL Class B.P exam in both the written and skills portion of the examination and also be employable as an entry-level commercial Bus driver. The program will furnish students with an understanding of the equipment they will be using in the field  their responsibilities as commercial driver  and the trucking industry as a whole.  . .Upon completion of training student will receive a certificate of completion. . .Two road tests will be provided. .,Professional Bus Training Course,New York,NYS licensed instructor,ASTORIA,ruppaner,http://queenstruckingschoolinc.com,7186266260,11106.0,Check with school to receive most updated schedule
Python is a popular  well-supported  &ldquo;readable&rdquo; programming language that everyone from managers to analysts can leverage. Whether you have experience in programming or are looking to get started  this course will put you on the fast track to honing your Python skills. Learn programming fundamentals and build a custom web application. You'll apply your knowledge to special topics like data analysis  data science  and web applications and leave able to confidently utilize in Python in your own work. .,Python Development Short Course,New York,,New York,Hinstorff,,9177220237,10010.0,Check with school to receive most updated schedule
This course helps the students achieve a basic understanding of the Plumbing systems theory and its application to faucets develop leaks clogs block drain lines and appliances wear out and need to be replaced. The knowledge obtained by taking this course permits the student to progress to further study. This course will discuss the fundamentals of the plumbing system  the water supply system  drainage  piping  and the various repairs you can do yourself. This course is part of our Building Maintenance Technician program. .,BASIC PLUMBING,New York,Licensed by The New York State Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
CareerStep's Physical Therapy Aide program prepares you to work under the direction and supervision of a physical therapist to prepare patients for physical therapy and support administrative functions. .,Physical Therapy Aide,New York,,BROOKLYN,Crawford,http://www.kingsborough.edu/continuinged/Pages/default.aspx,7183685832,11235.0,Check with school to receive most updated schedule
8-hour pre-assignment isZoom-based course required by New York State as the first step in obtaining a security guard registration card from the NYS Department of State.16-hour mandatory  on-the-job training to be completed withinthe first 90 days after employment. .,8 Hour Pre Assignment & 16 Hour on the Job Training,New York,,Yonkers,Brown,www.prevalenttraining.com,9142907740,10701.0,Check with school to receive most updated schedule
This program is designed for those students who desire knowledge and skills in both  administrative front .office and/or clinical back office. Students can receive a thorough knowledge in principles of medical .office work  including ECG  Phlebotomy and clinical procedures  as well as training in customized medical .billing software packages used nationwide. .The program includes 375 hours of Internship training in a medical facility. Students who complete the .program meet the requirements for testing as a Nationally Certified Medical Assistant. Study of clinical .skills and procedures provide the students with the required skills to work with patients. .,Medical Office Specialist Online/Hybrid,New York,,Brooklyn,Shumskaya,www.manhattanschool.edu,9175795212,11230.0,Check with school to receive most updated schedule
CareerStep&#39;s Hemodialysis Technician program will prepare you to provide dialysis treatment to patients  monitor vital signs  administer dialysis medications  and more. . .Effectively Work With Patients  Educating and Preparing Them  and Comforting Them During Stressful Procedures Setting Up  Monitoring  and Administering Dialysis Treatment The Organs of the Renal System and Their Basic Functions Medical Terminology  Blood Draw Procedures  and more .,Hemodialysis Technician,New York,,BROOKLYN,Crawford,http://www.kingsborough.edu/continuinged/Pages/default.aspx,7183685832,11235.0,Check with school to receive most updated schedule
Become certified by the state of New York as a Home Health Aide and learn how to provide personal care  work within plan of care  and provide support to individual and family. There is an increasing number of elderly people who are living at home and cared for by a care taker who is also older and needs help and relief from the stress of care taking. As the population ages  the number of people with different diseases is growing and these individuals need more and more care as disease progresses and their family member care takers often need assistance because of the nature of the disease. . .IDI has been offering home health aide training programs for over 28 years  and we know how important of this program for the community receiving services. Home Health Aides provide critical and very important care to different patients at home who in many cases are unable to care for themselves. Assistants act as a bridge to independent living for many elderlies  physically challenged to individuals who may also need assistance with activities of daily living. . .In this course the student will learn how to provide personal care  work within plan of care  and provide support to individual and family. all the necessary techniques and knowledge to provide assistance to these patients. . .A Home Health Aide's duty may include: .*Assist clients in their daily personal tasks  .*Assisting the patient in an out of bed  .*Transferring to or from a wheelchair  .*Takes and records patient's vital signs  .*Oral hygiene .*Turning and positioning patients .*Helping with using the toilet  .*Assistance with ostomy appliances .*Preparation of the prescribed diet for the patient  .*Accompany the patient to medical appointments .*And more . .Instruction and course books for this course are provided in the Russianlanguage. Upon completion of training student will receive certificate of completion. .,HOME HEALTH AIDE - RUSSIAN,New York,Lincensed by NYS Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
A Quality Analyst ensures that software is built according to plan and will meet the expectations of users and businesses. Throughout the software development cycle the analyst is responsible for conducting tests to ensure that quality assurance practice are applied and that software developers are able to correct problems and bring the best possible product to market. The training program covers manual and automated testing  planning and creating tests  tracking defects  and tools such as UNIX and SQL. This program is a comprehensive training which covers all elements of Software Quality Analysis in detail. Upon completion of the training student will receive a completion certificate. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,Software Quality Analyst II,New York,,KEW GARDENS,Gunasingh,http://accessqueens.com,7182630750,11415.0,Check with school to receive most updated schedule
F01- To Prepare Students for the Certificate of Fitness for the NYC Fire Department Examination. The F01 is for Citywide Impairment when the fire protection system is out of service or offline. .,FIRE GUARD  PREP F01,New York,Security Guard Instructor & Director,Fresh Meadows,MYERS,conceptsecure.net,7187492779,11365.0,Check with school to receive most updated schedule
Become certified by the state of New York as a Home Health Aide and learn how to provide personal care  work within plan of care  and provide support to individual and family. There is an increasing number of elderly people who are living at home and cared for by a care taker who is also older and needs help and relief from the stress of care taking. As the population ages  the number of people with different diseases is growing and these individuals need more and more care as disease progresses and their family member care takers often need assistance because of the nature of the disease.Upon completion of training student will receive certificate of completion. .,HOME HEALTH AIDE,New York,Licensed by the NYS Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
This course will preparestudents to be workers who will be operating or supervising the operation of oil burning heating equipment. The course prepares students for the NYC Fire Department Certificate of Fitness examination for Low Pressure Boiler Operations. This course is part of our Building Maintenance Technician program. .Upon completion of training student will receive certificate of completion. . . . . . . . . . . . . . . . . .,Boiler Operator,New York,Licensed by The New York State Education Department,New York,Cruz,,7186150303,10030.0,Check with school to receive most updated schedule
In this course you will receive hands-on training on how to create a company accounting record and modify the preset chart of accounts to suit individual needs. Gain skills in the many features that automate accounting functions such as reconciliation of checking accounts tracking credit card transactions invoicing customers receiving payments and making bank deposits writing checks and assigning amounts to specific expense accounts paying bills setting up inventory tracking and paying sales tax. In addition learn how to create and customize reports and how to export those reports to others accounting programs. Upon completion of training student will receive a certificate of completion. .,Computerized Accounting,New York,Licensed by The New York State Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
