course_name,delivery_method,numhours,duration,fax,prerequisites,keywords,max_class_size,cost_total
Certified Nurse Aide (CNA),Classroom Training,125,125,,<p>High School Diploma/GED or Ability to Benefit (CPAT or Wonderlic)</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,,2415
Linux (UNIX) Fundamentals and SHELL Programming,Web-Based,50,50,,<p>Computer user skills</p> .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,,2500
CERTIFIED CLINICAL MEDICAL ASSISTANT (CCMA) PROGRAM (Voucher Included),Classroom Training,335,335,,<p>High school diploma or GED</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,,3465
16 Hour On-The Job Training Course for Security Guards,Classroom Training,16,16,2125942534.0,<p>Complete 8 hours and the 16 Hours Security Guard Training Course</p> .,guard  security  fire  assignment  safety  officer  correction  enforce,25.0,700
8-Hour Pre-Assignment training course for Security Guards,Classroom Training,8,8,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,guard  security  fire  assignment  safety  officer  correction  enforce,25.0,500
CDL A - Commercial Tractor-Trailer Driver Training,Classroom Training,91,91,,<p>Automobile Drivers License&nbsp;</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,3250
Pre-apprenticeship Cybersecurity Analyst,Web-Based,400,400,,<p>To get started on this training  you need to have the following prerequisites:</p> . .<ul> . <li>Be over&nbsp;<strong>18 years of age</strong>&nbsp;and have the right to work in the U.S.</li> . <li>Have a&nbsp;<strong>high school/secondary school degre,,,6000
Quality Assurance Comprehensive Course,Classroom Training,260,260,,<p>Computer user skills  Admission Interview</p> .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,,4000
CDL BPS - Commercial Bus/Truck Driver Training Program,Classroom Training,91,91,,<p>Automobile Drivers License</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,3250
Clinical Medical Assistant,Classroom Training,450,450,2128046002.0,,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,,4990
Medical Office Administration,Classroom Training,180,180,2125942534.0,High School Diploma GED or Entrance Test,,20.0,10000
Computerized Bookkeeping,Classroom Training,96,96,,<p>Basic Computer Skills</p> .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,10.0,2200
47 Hours Armed Security Guard,Classroom Training,47,47,2125942534.0,<p>8 hour and 16 hour security guard courses GED High School Diploma or entrance test</p> .,guard  security  fire  assignment  safety  officer  correction  enforce,15.0,3500
CDL TRAINING - TRACTOR TRAILER,Classroom Training,22,22,,<p>CDL CLASS A LEARNER&#39;S PERMIT</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,29.0,3250
Building Maintenance Code,Classroom Training,8,8,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,,20.0,1200
Ed2Go-Certified Medical Administrative Assistant (CMAA),Web-Based,160,160,,<p>In order to sit for national certification exams  candidates must have a high school diploma or equivalent; therefore  it is recommended you have this before enrolling for this program.</p> .,,,2195
English as  Second Language (TAA Only),Classroom Training,660,660,,<p>N/A</p> .,,10.0,5000
Ed2Go-Certified Administrative Professional ( Voucher Included),Web-Based,100,100,,<p>There are no prerequisites to take this course.</p> .,,,2064
Professional Straight Truck Training Course,Apprenticeship,160,160,,<p>Class D driver license</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,5000
CompTIA Certification Pro  Network+ and Security+,Web-Based,314,314,,,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,,4299
BASIC PLUMBING,Classroom Training,32,32,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,Construct  boiler  carpenter  Electrician  Plumber  Roofer  helper  building  construction  removal  electronic  electrical  inspector  hazardous  solar  asbestos  EHMT,20.0,1500
CDL A TRAINING,Classroom Training,20,20,7184416507.0,<p>Each applicant must have a valid CDL A&nbsp; permit prior to enrolling in training.</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,3250
CDL Class A Tractor-Trailer- 40,Apprenticeship,40,40,,<p>Applying for the Class A License course must have a valid CDL permit.&nbsp;<em><strong>(Minimum&nbsp;40 hours Range and Behind-the-wheel training will upcoming required CDL qualification course.)</strong></em></p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,4800
Medical Assistant,Classroom Training,770,770,2125942534.0,<p>High School Diploma GED</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,20.0,18000
Refrigeration /Air Conditioning Technician,Classroom Training,600,600,2125942534.0,<p>High School Diploma or GED or Entrance Test</p> .,Install  Maintenance  Repair  Mechanic  Equipment  Electrical  electronic  electric  Industrial  Security Fire Alarm  Service technicians  Auto  Glass  Service  Engine  building  boiler  Heat  Air condition  Refrigerator  Appliance  plumber  weather,20.0,15000
Ed2Go-Certified Electronic Health Records Specialist (CEHRS),Web-Based,134,134,,<p>There are no prerequisites to take this course. However  you will need a high school diploma or equivalent to be eligible to sit for national certification exams.</p> .,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,,2195
Ed2Go-CPC Medical Billing and Coding,Web-Based,370,370,,<p>In order to sit for national certification exams  candidates must have a high school diploma or equivalent; therefore  it is recommended you have this before enrolling for this program.</p> .,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,,3295
Data Science Short Course,Distance Learning,60,60,,,,30.0,4500
Administration Oracle DBA,Classroom Training,96,96,,<p>N/A</p> .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,5.0,3800
Office Assistant,Classroom Training,1296,1296,,<p>N/A</p> .,,,12225
Pre-apprenticeship Application Developer,Web-Based,400,400,,<p>To get started on this training  you need to have the following prerequisites:</p> . .<ul> . <li>Be over&nbsp;<strong>18 years of age</strong>&nbsp;and have the right to work in the U.S.</li> . <li>Have a&nbsp;<strong>high school/secondary school degre,,,6000
Lan and Wan Administrator,Classroom Training,900,900,,<p>High School Diploma GED or Equivalent Knowledge</p> .,,,12500
Emerge Career Commercial Drivers License,Web-Based,160,160,,<p>Must have an active driver&#39;s license in the state of NY.</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,10.0,8000
Healthcare IT Professional,Web-Based,517,517,,,,,4299
Dialysis Technician,Classroom Training,160,160,2128046002.0,<p>High School Diploma/GED or Ability to Benefit Entrance Exam (Wonderlic)</p> .,,15.0,3950
Certified Nurse Assistant- CNA,Classroom Training,125,125,2128046002.0,<p>High School Diploma/GED or Ability to Benefit Entrance Exam (Wonderlic)</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,15.0,3800
Cybersecurity Analyst,Web-Based,400,400,,<p>To be eligible for this apprenticeship  you must demonstrate proof of the following prerequisites:</p> . .<ul> . <li>Be over 18 years of age and have the right to work in the U.S.</li> . <li>Have a high school/secondary school degree  vocational certif,,,15000
Clinical Medical Assistant,Classroom Training,313,313,,<p>18 years or older</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,,2810
Clinical Medical Assistant (CMA),Classroom Training,240,240,,<p>High Diploma or GED equivalency</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,10.0,4950
PERSONAL CARE AIDE,Classroom Training,40,40,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,home aide  hha  pca  trainer  care  attendant  health  beauty  hair  nail  makeup,25.0,799
EKG & Phlebotomy Technician,Classroom Training,120,120,2128046002.0,<p>High School Diploma/GED or Ability to Benefit Entrance Exam (Wonderlic)</p> .,,15.0,3000
Java Short Course Online,Distance Learning,40,40,,,,30.0,4500
Help desk technician,Web-Based,400,400,,<p>To get started on this training  you need to have the following prerequisites:</p> . .<ul> . <li>A&nbsp;good level of English&nbsp;for non-native speakers : you will need to provide a certificate not older than 2 years to demonstrate&nbsp;a minimum lev,,,15000
OFFICE ASSISTANT,Classroom Training,600,600,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,20.0,15000
Accounting Package,Classroom Training,340,340,,<p>Basic Computer application Skills.</p> .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,14.0,4000
PERSONAL CARE AIDE - RUSSIAN,Classroom Training,40,40,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,home aide  hha  pca  trainer  care  attendant  health  beauty  hair  nail  makeup,20.0,799
8 hour pre assignment & 16 ojt,Classroom Training,24,24,3477277794.0,<p>Must be over the age of 18 and have a valid NYS Identification Card and Social Security Card&nbsp;</p> .,guard  security  fire  assignment  safety  officer  correction  enforce,,400
CHILD CARE SPECIALIST - SPANISH,Classroom Training,120,120,2125942534.0,<p>Course Requirement High School Diploma  GED or Entrance Test. Must have a clean police record  no felonies) You must provide a letter of experience reflecting 480 hours working experience with children within 5 years. Any national certification testing,home aide  hha  pca  trainer  care  attendant  health  beauty  hair  nail  makeup,25.0,3500
NEW at Night (NAN),Classroom Training,135,135,,<p>Minimum 18 years of age</p> . .<p>Citizenship or legal residency</p> .,,25.0,0
PC Technician & CISCO Network Associate,Classroom Training,120,120,,<p>High School Diploma Or GED or Passing Score in ATB exam</p> .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,,3800
Home Health Aide - American Sign Language (ASL),Classroom Training,120,120,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,20.0,4000
CBCS Certified Medical Administrative Assistant with Medical Billing and Coding,Web-Based,500,500,,In order to sit for national certification exams  candidates must have a high school diploma or equivalent; therefore  it is recommended you have this before enrolling for this program.,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,15.0,2730
Advanced Web  Graphic Design Package,Classroom Training,450,450,,<p>Basic Graphic Design Skills.</p> .,,,7500
Boiler Operator,Classroom Training,32,32,2125942534.0,<p>High School Diploma GED or Entrance Test</p> .,Install  Maintenance  Repair  Mechanic  Equipment  Electrical  electronic  electric  Industrial  Security Fire Alarm  Service technicians  Auto  Glass  Service  Engine  building  boiler  Heat  Air condition  Refrigerator  Appliance  plumber  weather,20.0,1500
