percent_project,artist,address
One Police Plaza,"Jaudon, Valerie",Civic Center
North Shore Esplanade at St. George's Ferry Terminal,"Armajani, Siah",St. George Ferry Terminal.  Promenade at Lighthouse Point
PS 16,"Galgiani, Phillip",41-15 104th Street
Audubon Ballroom,"Chase, Colin",3940 Broadway
PS 22,"Metz, Mike",433 St. Mark's Avenue
Bedford Stuyvesant Multi-Service Center,"Bey, Dawoud",1958 Fulton Street
Appellate Division Courthouse,"Feigenbaum, Harriet",27 Madison Ave
Flushing Regional Library,"Ruiz, Kathleen",41-17 Main Street
Midwood High School,"Rakowitz, Michael",2839 Bedford Avenue
PS 195,"Andors, Rhoda",131 Irwin Street
New Police Academy,"Redl, Erwin",130-30 28th Ave
Edward A. Reynolds West Side High School,"Wexler, Allan",140 W 102nd St
Office of Chief Medical Examiner,"Maisel, David",421 East 26th Street
122 Community Center,"Goetz, Monika",150 1st Avenue
Newtown Creek Water Pollution Control Plant,"Acconci, Vito",Greenpoint Avenue and Provost Street
Office of Chief Medical Examiner,"Lutter, Vera",421 East 26th Street
Flushing Meadows Corona Park  adjacent to the Unisphere,"Mullican, Matt",Flushing Meadows Corona Park
Clarendon Library,"DeMonte, Claudia",2035 Nostrand Avenue
Bronx Library Center,"Manglano-Ovalle, Inigo",310 East Kingsbridge Road
PS 211 Elm Tree Elementary School,"Kwak, Sun",50-51 98th Street
ECC/PS 228,"Hastanan, Skowmon",32-80 93rd Street
Jacobi Medical Center,"Huang, Arlan",1400 Pelham Parkway South
PS 188,"Scuri, Vicki",760 Grote Street
PS 143 Louis Armstrong addition,"Vega, Sergio",34-74 113th St
Audubon Ballroom,"Koren, Gabriel",3940 Broadway
Bronx County Hall of Justice,"Davis, Michael",265 East 161st Street
Eagle Academy for Young Men,"Biggers, Sanford",506 East 176th Street
Flight 587 Memorial Wall,"Rodriguez, Freddy",200 Beach 116th St
Cortelyou Branch Library,"Wittenberg, John",1305 Cortelyou Rd
PS 161,"Twitchell, Lane",101-33 124th Street
High School of Law Enforcement and Public Safety,"Love, Robyn",116-25 Guy Brewer Boulevard
MS 114,"Temple, Mary",1765 First Avenue
IS 230 Annex at 74th Street,"Ganjian, Linda",73-10 34th Avenue
Far Rockaway Fire/EMS Station house,"Greengold, Jane",4806 Rockaway Beach Boulevard
Monroe High School(Bronx Coalition Community High School),"Sanchez, Juan",1300 Boynton Avenue
New York Hall of Science,"Carpenter, James",47-01 111th Street
ART NY Theater,"Guerra, Ana",503 W 53rd St
Middle College High School at Medgar Evers College,"Greengold, Jane",1186 Carroll Street
Clinton Cove Park,"Cochran, Malcolm",56th Street and Hudson River Bike Path
High School of Art and Design,"Weiner, Lawrence",245 E 56th St
New Settlement Community Center,"Trimble, W. Scott",1501 Jerome Ave
Glen Oaks Campus,"Yoder, Andy",74-30 Commonwealth Boulevard
PS 182,"Putrih, Tobias",153-26 Hillside and Ave 153rd Ave
North Hills Branch Library,"Gillen, Ann",57-04 Marathon Parkway
Ocean Breeze Athletic Complex,"Villinski, Paul",625 Father Capodanno Blvd
Marshall England Early Learning Center,"Statom, Therman",800 Concourse Village East
PS 22,"Ringgold, Faith",433 St. Mark's Avenue
IS 323 - Morton,"Quinn, Jeanne",75 Morton Street
Family Intake Center (ER Unit),"Twitchell, Lane",151 East 151st Street
Columbia Street,"Nagasawa, Nobuho",Hamilton Street; DeGraw Street between Columbia Street and Van Brunt; Van Brunt Street betwwen DeGraw and Hamilton
Jackson Avenue Streetscape,"Meromi, Ohad",Jackson Avenue and 43rd Avenue
Harriet Tubman Memorial,"Saar, Alison",St. Nicholas Avenue and Frederick Douglass Boulevard
PS 16,"Sun, Carol",41-15 104th Street
Crossroads Juvenile Detention Center,"Birch, Willie",17 Bristol Street
Beach Channel Drive Day Care Center,"Dermansky, Julie",44-22 Beach Channel Drive
44th Police Precinct now @ Socrates Sculpture Park,"Ahearn, John",3201 Vernon Boulevard
Myrtle Avenue,"Geller, Matthew",484-550 Myrtle Ave 11205
PS 14,"Grajales, Elizabeth",107-01 Otis Avenue
Cumberland Neighborhood Family Care Center,"Champanier, Abram",39 Auburn Place
PS 169,"Gagnon, Mark",3771 Boston Road
Hunters Point Library,"Swartz, Julianne",47-40 Center Blvd
Langston Hughes Community Library and Cultural Center,"Gueye, Ousmane",100-01 Northern Boulevard
Flushing Regional Library,"Min, Yong Soon",41-17 Main Street
High School of Art and Design,Art Spiegelman,245 E 56th S
Office of Chief Medical Examiner,"Prince, Lily",421 East 26th Street
McCarren Park Pool,"Temple, Mary",776 Lorimer St
PS 23,"Buchen, Bill",2151 Washington Avenue
IS 5,"Dennis, Donna",50-40 Jacobus Street
PS 178,"Brown, Deborah",1218 Elwood Street
"High School for Construction Trades, Engineering and Architecture","Casebere, James",94-06 104th Street
Port Richmond High School,"Dwyer, Nancy",85 St. Joseph's Avenue
IS 5,"Choi, Sung-Ho",50-40 Jacobus Street
Office of Chief Medical Examiner,"Schiff, Jeffrey",421 East 26th Street
PS 15,"Tyrrell, Brinsley",2195 Andrews Avenue
Jane Addams Vocational High School,"Ford, Walton",900 Tinton Avenue
Oberia D. Dempsey Multi-Service Center of Central Harlem,"Smith, Vincent D.",127 West 127th Street
PS 212,"Copeland, Noel",34-25 82nd Street
PS 19 Judith K Weiss addition,"Ulmann, Corinne",4318 Katonah Avenue
PS 20,"Adams, Mac",142-30 Barclay Avenue
Glen Oaks Branch Library,"Zweig, Janet",256-04 Union Turnpike
Office of Chief Medical Examiner,"Bremer, Sebastiaan",421 East 26th Street
PS 163,"Debois Buhl, Nanna",159-01 59th Avenue
East Flatbush Library,"Johnson, M.L.J.",9612 Church Avenue
IS/HS 585,"Benson, Jane",54-40 74th Street
PS 156,"Smyth, Ned",104 Sutter Avenue
Occupational Training Center,"Kang, Ik-Joong",57-12 94th Street
PS 181,"Wigglesworth, Emmett",1023 New York Avenue
PS 110 The Tiffany School,"McBride, Rita",43-18 97th Pl
Davidson Daycare Center,"Jemisin, Noah",1810 Davidson Avenue
Cambria Heights Library,"Ellmann, Barbara",218-13 Linden Boulevard
PS 130,"Slavin, Arlene",143 Baxter Street
PS 176,"Kim, Suzy",120-45 235 St.
Kensington Branch Library,"May, Carol",4209-4211 Eighteenth Avenue
