zip_codes,date
"Parts of 11204, 11215, 11217, 11218, 11219, 11225, 11232, and 11238",September 3rd
"Parts of 11354, 11356, and 11357",July 28th
"Parts of 10463, 10464, 10466, 10467, 10469, 10470, 10471, and 10475",July 24th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",June 21st &22nd
"Parts of 11201, 11204, 11215, 11217, 11218, 11219, 11220, 11225, 11226, 11231, 11232, and 11238",August 26th
"Parts of 11101, 11103, 11105, 11370, and 11377",September 20th
"Parts of 11207, 11229, 11234, 11236 and 11239",June 1st & 2nd
"Parts of 11373, 11374, 11375, 11378, 11379, 11385, 11415, 11418, and 11419",August 24th
"Parts of 11229, 11234, and 11239",July 18th & 19th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",July 8th & 9th
"Parts of 11354, 11355, 11356, 11358, 11364, 11365, 11366, 11423, 11432, and 11427",August 14th
"Parts of 10306, 10308, 10309, and 10312",July 30th
"Parts of 10464, 10465, and 10475",August 2nd & 3rd
"Parts of 11373, 11374, 11378, and 11379",September 18th*
"Parts of 10306, 10307, 10308, 10309, and 10312",July 21st
"Parts of 11004, 11005, 11040, 11362, and 11426",August 6th
"Parts of 11204, 11209, 11214, 11219, 11223, and 11228",September 5th
"Parts of 10464, 10465, and 10475",July 8th & 9th
"Parts of 10461, 10465, and 10473",August 15th
Parts of 11234 and 11236,September 17th
"Parts of 10301, 10303, 10310, and 10314",July 28th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10313, and 10314",July 18th & 19th
"Parts of 11210, 11214, 11223, 11224, 11229, 11234, 11235",August 23rd
"Parts of 10025, 10026, 10027, 10029, 10030, 10031, 10032, 10033, 10034, 10037, 10039, 10040, and 10115",September 14th
"Parts of 11433, 11434, 11435, and 11436",September 5th
"Parts of 11207, 11208, 11239, 11385, 11414, 11416, 11417, 11419, 11420, and 11421",September 13th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",June 1st & 2nd
"Parts of 10301, 10304, 10310, and 10314.",September 9th
"Parts of 10460, 10461, 10462, 10464, 10465, and 10469.",August 15th
"Parts of 10457, 10458, 10460, 10463, 10467, 10468, 10470, and 10471",September 15th
"Parts of 11354, 11355, 11356, 11357,11362, 11363, 11365, 11413, 11422, 11691, and 11692",July 18th & 19th
"Parts of 10464, 10465, and 10475",
"Parts of 10031, 10032, 10033, 10034, 10039, and 10040.",August 24th
"Parts of 11207, 11208, 11212, 11236, 11239, and 11414",August 29th
"Parts of 10464, 10465, and 10475",July 18th & 19th
"Parts of 10464, 10465, and 10475",June 1st & 2nd
"Parts of 11203, 11207, 11210, 11212, 11229, 11234, 11236, and 11239",August 3rd
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",August 6th & 10th
"Parts of 11411, 11412, 11413, 11422, 11433, and 11434.",August 5th
"Parts of 11004, 11005, 11361, 11362, 11363, 11364, 11426, and 11427",August 22th
"Parts of 10301, 10302, 10303, 10310, and 10314",July 31st
"Parts of 11207, 11229, 11234, 11236 and 11239",July 18th & 19th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",August 2nd & 3rd
"Parts of 11411, 11412, 11413, 11422, and 11434",August 3rd
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",August 7th - 8th
"Parts of 11207, 11229, 11234, 11236 and 11239",June 20th- 21st & 24th
"Parts of 11204, 11209, 11214, 11219, 11223, 11228, 11229, and 11235",August 25th
Parts of 10306,August 31st
"Parts of 11354, 11355, 11358, 11365, and 11368",August 29th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",July 18th & 19th
"Parts of 10304, 10305, and 10306",September 1st
"Parts of 11207, 11229, 11234, 11236 and 11239",July 8th & 9th
"Parts of 11101, 11103, 11104, 11104, 11211, 11222, 11369, 11370, 11377, and 11378",September 12th
"Parts of 10461, 10462, 10464, 10465, 10473, 10475",August 15th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",August 19th - 20th
Parts of 10309 and 10312,August 6th*
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10313, and 10314",June 19th & 20th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314","July 1st, 2nd & 6th"
"Parts of 11229, 11234, 11235, and 11236",August 26th
"Parts of 11214, 11223, 11229, and 11235",August 29th*
"Parts of 10306, 10307, 10308, 10309, and 10312",August 10th
"Parts of 11354, 11356, 11357, 11358, 11359, 11360, and 11361",August 17th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",July 17th -19th
"Parts of 11205, 11206, 11207, 11208, 11211, 11212, 11216, 11221, 11222, 11233, 11237, and 11385",August 10th
"Parts of 11207, 11208, 11212, 11221, 11233, 11237, and 11385",September 21st
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",July 7th -10th
"Parts of 11354, 11355, 11358, 11365, 11367, and 11368",August 8th
"Parts of 10464, 10465, and 10475",August 16th & 17th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",August 17th & 18th
"Parts of 11205, 11206, 11211, 11216, and 11249",September 21st
"Parts of 11373, 11374, 11375, 11378, 11379, 11385, 11415, 11418, 11421, and 11435",August 1st*
"Parts of 10307, 10309, and 10312",July 26th
"Parts of 10464, 10465, and 10475",
"Parts of 10002, 10003, 10004, 10005, 10006, 10007, 10011, 10012, 10013, 10038, 10041, 10043, 10045, 10048, and 10080",September 28th
"Parts of 11229, 11234, and 11239",June 19th & 20th
"Parts of 10301, 10302, 10310, and 10314",August 1st
"Parts of 10305, 10306, 10308, and 10312",August 10th
"Parts of 11201, 11203, 11205, 11207, 11212, 11215, 11216, 11217, 11218, 11219, 11225, 11226, 11232, 11234, 11236, 11238, and 11239",August 9th*
"Parts of 11207, 11229, 11234, 11235, 11236, and 11239",September 5th
"Parts of 10464, 10465, and 10475",August 19th - 20th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",August 19th - 20th
"Parts of 11004, 11005, 11040, 11361, 11362, 11363, 11364, 11365, 11366, 11423, 11426, and 11427",August 31st
"Parts of 10464, 10465, and 10475",July 18th & 19th
"Parts of 11101, 11104, 11373, 11378, and 11379",August 27th*
"Parts of 11204, 11209, 11214, 11219, 11223, 11224, 11228, 11229, and 11235",September 2nd
"Parts of 11207, 11229, 11234, 11236 and 11239",
"Parts of 11101, 11104, 11373, 11374, 11375, 11377, 11378, 11379, 11385, 11415, 11418, and 11421",August 18th
"Parts of 11364, 11365, 11366, 11423, and 11427",August 27th*
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",August 17th & 18th
"Parts of 11229, 11234, and 11239",August 16th & 17th
"Parts of 11411, 11412, 11413, 11422, and 11434",July 26th
"Parts of 11207, 11229, 11234, 11236 and 11239",August 17th & 18th
"Parts of 10002, 10003, 10007, 10011, 10012, 10012, and 10038",September 14th
"Parts of 11354, 11356, 11357, 11358, and 11359",August 8th
"Parts of 10304, 10305, and 10306",July 26th
"Parts of 11691, 11692, 11693, and 11694",September 22nd
"Parts of 11354, 11356, 11357, 11358, and 11360",July 15th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",July 17th -19th
"Parts of 00083, 10019, 10021, 10022, 10023, 10024, 10025, 10026, 10028, 10029, 10035, 10065, 10075, 10105, 10106, 10107, 10128, and 10153",September 27th
"Parts of 10464, 10465, and 10475",August 17th & 18th
"Parts of 10301, 10302, 10303, 10304, 10310, 10311, and 10314",August 6th*
"Parts of 10307, 10309, and 10312.",September 27th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",June 8th - 9th
"Parts of 10301, 10302, and 10310",August 16th
"Parts of 11207, 11229, 11234, 11236 and 11239","July 1st, 2nd & 6th"
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",June 20th- 21st & 24th
"Parts of 11207, 11229, 11234, 11236 and 11239",August 19th - 20th
"Parts of 11223, 11224, 11229, 11234, and 11235",August 31st
"Parts of 11207, 11229, 11234, 11236 and 11239",August 2nd & 3rd
"Parts of 10451, 10454, 10455, 10456, 10457, 10459, 10460, 10474",September 12th
"Parts of 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, and 11364",August 27th
"Parts of 11208, 11239, 11414, 11416, 11417, and 11420",September 9th
"Parts of 11385, 11415, 11418, 11421, 11432, and 11435",September 5th
"Parts of 10301, 10304, 10310, and 10314",September 1st
"Parts of 10464, 10465, and 10475",June 20th- 21st & 24th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",June 1st & 2nd
"Parts of 10456, 10457, 10459, 10460, 10462, and 10472",August 24th
Parts of 10303 and 10314,August 25th
Parts of 10305 and 10306,August 27th*
