phone,census_tract
(718) 327-1384,103201.0
(718) 332-0399,55400.0
(718) 446-9021,45500.0
(917) 825-8763,3700.0
(718) 321-1610,
(212) 777-3240,4000.0
(718) 756-0770,33500.0
(718) 981-4001,300.0
(718) 346-1064,90600.0
(347) 893-1670,24400.0
(347) 581-1891,4300.0
(718) 665-7791,13300.0
(347) 392-3232,112400.0
(347) 996-1090,33300.0
(332) 255-8503,8100.0
(718) 365-7238,25500.0
(347) 789-6939,10800.0
(929) 417-2463,67200.0
(718) 227-2500,15602.0
(929) 333-9595,27800.0
(718) 443-2577,39700.0
(718) 551-1227,19000.0
(212) 327-7071,11600.0
(718) 346-1064,90600.0
(212) 951-3435,6200.0
(718) 626-0050,8700.0
(718) 453-9040,41900.0
(929) 234-6870,91800.0
(718) 514-8602,22600.0
(347) 827-0113,150701.0
(315) 615-6352,13100.0
(917) 495-1411,34300.0
(212) 222-6602,18100.0
(718) 680-6566,6400.0
(718) 378-5600,15500.0
(347) 464-5544,27100.0
(718) 487-3747,22002.0
(646) 348-9011,9200.0
