id,name,parent_id,parent_name
199,Emergency Treatment,125.0,Medical Services
158,Translation,109.0,Translation
32,Individuals with Low-Level Literacy,72.0,Human Situations
198,Diagnostic Testing,125.0,Medical Services
163,Educational Neglect Prevention,111.0,Academic Supports
58,Temporary Cash Assistance Recipients,72.0,Human Situations
108,Telecommunications,75.0,Communications
61,Underemployed Individuals,72.0,Human Situations
146,Court Appointed Guardian Services,90.0,Supportive Services
147,Entitlements Assistance,90.0,Supportive Services
50,Out-of-School Individuals,72.0,Human Situations
86,Legal Supports,73.0,Human Services
148,Financial Counseling,90.0,Supportive Services
19,Food Stamps Recipients,72.0,Human Situations
141,Technical Assistance,88.0,Professional Services
