brief_excerpt,age_group,how_to_apply_or_enroll_by,apply_online_call_to_action,program_category,population_served,updated_at
SNAP-এর সুবিধাগুলি আপনার পরিবারকে তাজা এবং স্বাস্থ্যকর রসদের খাবার খাওয়াতে আপনাকে সহায়তা করতে পারে।,,"\nএকটি (https://otda.ny.gov/programs/applications/4826-BE.pdf) কাগজের আবেদনপত্র (https://www1.nyc.gov/site/hra/locations/snap-locations.page) প্রিন্ট করুন, কোনো SNAP কেন্দ্র থেকে একটি সংগ্রহ করুন, অথবা আপনাকে একটি কাগজের আবেদনপত্র পাঠানোর জন্য 718-557-1399 নম্বরে HRA Infoline-এ কল করুন।\nআপনার আবেদন এবং নথির কপি নিম্নোক্ত ঠিকানায় মেল করুন:SNAP পরিষেবা বিভাগ, মেল অ্যাপ্লিকেশন এবং রেফারেল ইউনিট (MARU) P.O.BOX 24510 Brooklyn, NY 11201",অনলাইনে আবেদন করুন,Food,Everyone,2024-08-09T11:01:32.000
نیو یارک کے اہل باشندوں کو ان کے گھر میں رہنے میں مدد کے لیے رینٹ فریز پروگرام,,"\nایک (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) ابتدائی درخواست پرنٹ کریں اور اسے پُر کریں۔ آپ DRIE اسسٹنس سنٹر جا کر بھی ایک اپلیکیشن لے سکتے ہیں یا 311 پر کال کر کے درخواست کر سکتے ہیں کہ آپ کو ایک ایپلیکیشن بھیج دی جائے۔\nمعاون دستاویزات کے ساتھ اپنی مکمل اور دستخط شدہ درخواست بذریعہ ڈاک بھیجیں:\nRent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",آن لائن درخواست دیں,Housing,"Immigrants,People with disabilities,Seniors,Veterans",2022-03-23T11:01:44.000
"COMPASS NYC proponuje setki programów dla dzieci i młodzieży, od klasy przedszkolnej do 12.",,,Jak znaleźć program pozalekcyjny,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:54.000
Pwogram “Premye Kòmansman” (Head Start) yo gratis epi yo fonksyone tout ane a pandan omwen 8 èdtan chak jou.,,,,Child care,NYCHA residents,2025-04-02T11:01:16.000
주택 소유주는 학교 재산세에 대해 일부 면제를 받을 수 있습니다.,,"신청하는 연도에 65세 이상이고 2015-16년에 귀하의 재산에 대해 STAR 면제를 받은 적이 있는 경우 Enhanced STAR(E-STAR)를 신청할 수 있습니다. (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) “기본 STAR에서 상위 STAR로 변경(STAR to ESTAR)"" (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) 신청서를 작성해 NYC 재무국(Department of Finance (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) )에 접수하시기 바랍니다.2015년 이후 또는 그 이전에 귀하의 재산에 대해 기본 STAR(Basic STAR) 면제를 받았는데 이후에 분실했을 경우에는 STAR 혜택 회복(STAR Benefit Restoration) 신청서를 작성하여 STAR 면제 회복을 신청하실 수 있습니다.",온라인으로 신청,Cash & expenses,Homeowners,2024-10-23T11:01:13.000
برنامج تجميد الإيجارات لمساعدة سكان نيويورك المؤهلين على البقاء في منازلهم,,"\nاطبع (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) طلبًا مبدئيًا (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) وقم بتعبئته. كما يمكنك أيضًا استلام طلب من أحد مراكز المساعدة لدى SCRIE أو الاتصال على الرقم 311 (mailto:SCRIE@hpd.nyc.gov) لطلب إرسال طلب إليك عبر البريد العادي.\nقم بإرسال طلبك المكتمل والموقع عليه عبر البريد مع إرفاق المستندات الداعمة معه إلى:Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083إذا كنت تعيش في إسكان يقع في نطاق مجتمعات التطوير الخاصة بشركة Mitchell Lama أو Redevelopment Company:قم بتنزيل طلب HPD SCRIE وإرساله عبر البريد العادي إلى:HPD SCRIE UnitOne Hundred Gold Street. 7th floor New York, New York, 10038كما يمكنك أيضًا إرسال طلبك المكتمل عبر البريد الإلكتروني إلى SCRIE@hpd.nyc.gov.",التقديم عبر الإنترنت,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:02:59.000
A rent freeze program to help eligible New Yorkers stay in their home.,Caregiver,"\nPrint and complete the (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) initial application (or call 311 for an application).\nMail your completed and signed application along with supporting documents to: Rent Freeze Program – DRIE P.O. Box 3179 Union, NJ 07083",,Housing,People with disabilities,2025-02-19T11:01:04.000
يمكن للطلاب في مدينة نيويورك الاستمتاع بوجبتي الإفطار والغداء مجانًا في كل يوم دراسي.,,,,Food,"Children (0-13),Immigrants,Students,Youth (10+)",2022-03-23T11:02:54.000
早期托兒服務與教育服務每天可提供服務長達 10 小時。,,\n (https://www1.nyc.gov/site/acs/early-care/forms.page) 下載您所用語言版本的申請表。 (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \n填寫申請表並將其郵寄至： NYC DOE Family Welcome Center 333 7th Ave 12th floor New York NY 10001如果您已經在領取 HRA 福利，請到指定的 HRA 福利領取中心 (Benefits Access Center) 申請。,在線申請,Child care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:27.000
দিনে 10 ঘণ্টা পর্যন্ত আর্লি শিশু পরিচর্যা ও শিক্ষা পরিষেবা।,,"\n (https://www1.nyc.gov/site/acs/early-care/forms.page) আপনার ভাষায় অ্যাপ্লিকেশনটি ডাউনলোড করুন। (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nসম্পূর্ণ করুন এবং এটিতে মেল করুন: NYC DOE পরিবার অভ্যর্থনা কেন্দ্র 333 7th Ave 12th Floor New York NY 10001আপনি যদি ইতিমধ্যে HRA-এর সুবিধা লাভ করে থাকেন, তাহলে এর পরিবর্তে আপনার নির্ধারিত HRA সুবিধা অর্জন কেন্দ্রে আবেদন করুন।",অনলাইনে আবেদন করুন,Child Care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:04.000
무료로 하루 종일 수준 높은 교육을 받는 Pre-K 프로그램에 자녀를 등록하세요,,,Pre-K 신청,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-13T11:01:11.000
"باستطاعة الأسر، عند تقديم الإقرارات الضريبية لعام 2024، المطالبة بهذا الخصم الضريبي بقيمة تبلغ 2,000 دولار بحد أقصى عن كل طفل مؤهل يقل عمره عن 17 عامًا.",,إذا كنت ترسل الإقرار الضريبي بالبريد، فأكملالنموذج 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) وجدول 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) .,,Cash & expenses,Pregnant & new parents,2025-02-06T11:01:20.000
بزرگ افراد کو جائیداد پر ٹیکسوں سے جزوی استثناء مل سکتا ہے۔,,"اسی سال 1 جولائی سے شروع ہونے والی آپ کی مراعات کے لیے درخواستوں پر 15 مارچ تک ڈاک کی مہر لازمی طور پر لگ جانی چاہیے۔\n (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-urdu.pdf) ابتدائی چھوٹ کی درخواست ڈاؤن لوڈ کریں کر کے پرنٹ کریں (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) اور اسے پُر کریں۔ آپ 311 پر کال کر کے بھی کہہ سکتے ہیں کہ آپ کو ایک ایپلیکیشن ڈاک سے بھیج دی جائے۔\nدرخواست دیتے وقت، آپ کو اپنے گھر کے بورو، بلاک، اور لاٹ (BBL) کی ضرورت ہوگی۔یہ معلومات حاصل کرنے کے لیے پراپرٹی ایڈریس سرچ استعمال کریں۔\nاپنی مطلوبہ دستاویزات اکٹھی کریں اور انہیں اپنی درخواست کے ساتھ شامل کریں۔ ان کے بغیر آپ کی درخواست پر کارروائی نہیں کی جائے گی۔\nاپنی درخواست اور مطلوبہ دستاویزات کو مکمل کر کے اس پتہ پر ڈاک سے بھیج دیں: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",آن لائن درخواست دیں,Cash & Expenses,"Older adults,Homeowners",2024-10-23T11:01:15.000
يمكنك استعادة أموالك إذا كنت أحد العاملين أو الباحثين عن عمل وتُسدِّد مقابل رعاية الأطفال أو خدمات رعاية البالغين المعولين في الوقت نفسه.,,أكملالنموذج 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) أو (https://www.irs.gov/forms-pubs/about-form-1040-nr) النموذج 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) ، وقم بتضمينالنموذج 2441.,التقدم بطلب عبر الإنترنت,Cash & expenses,,2025-02-11T11:02:03.000
Пособия в рамках программы SNAP помогут вам обеспечить вашу семью свежими и полезными продуктами питания.,,"\nРаспечатайте (https://otda.ny.gov/programs/applications/4826-RU.pdf) бумажное заявление (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , заберите его в центре SNAP или позвоните в справочную службу HRA по номеру 718-557-1399, чтобы получить бумажное заявление по почте.\nВышлите заявление и копии своих документов по почте на адрес: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O. Box 24510 Brooklyn, NY, 11201",Подать заявление онлайн,Food,Everyone,2024-08-09T11:01:31.000
Lowered property taxes for senior homeowners who earn up to a certain income.,Caregiver,"Applications must be postmarked by March 15 for your benefit to begin on July 1 of the same year.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/sche-initial.pdf) Download and print the initial exemption application (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) and fill it in. You can also call 311 to get one mailed to you.\nWhen applying, you will need the borough, block, and lot (BBL) for your home. Use the Property Address Search to get this information.\nGather your required documents and include copies of them with your application. Your application will not be processed without them.\nMail your completed application and required documents to: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",Apply online,Cash & expenses,"Homeowners,Older Adults",2025-05-07T11:01:17.000
임대료 동결 프로그램으로 자격에 부합하는 뉴욕 시민들이 살고 있는 집을 지키도록 도울 수 있습니다,,"\n (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) 최초 신청서 (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) 를 인쇄하여 작성해주십시오. SCRIE 지원 센터에서 신청서를 수령하거나 311 (mailto:SCRIE@hpd.nyc.gov) 번으로 전화하여 신청서를 우편으로 받을 수 있도록 요청할 수 있습니다.\n작성을 완료하고 서명한 신청서를 증빙 서류와 함께 다음으로 보내주십시오:Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Mitchell-Lama 또는 재개발 기업(Redevelopment Company) 개발 구역에 거주하시는 경우,\nHPD SCRIE 신청서를 작성하여 다음으로 보내주십시오.HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038\n작성한 신청서를 이메일 SCRIE@hpd.nyc.gov로 보내주셔도 됩니다.",온라인 신청,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:02:18.000
Un programa de congelamiento de la renta para ayudar a los neoyorquinos elegibles a conservar sus hogares,,"\nImprima una (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) solicitud inicial (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) y complétela. También puede recoger una en el Centro de Asistencia de SCRIE o llamar al 311 para pedir que se le envíe una solicitud por correo.\nEnvíe por correo la solicitud completa y firmada con los documentos de respaldo a:Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Si vive en los complejos de viviendas de Redevelopment Company o Mitchell-Lama:\nDescargue la (mailto:SCRIE@hpd.nyc.gov) solicitud de HPD SCRIEl y envíela por correo a:HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038\nTambién puede enviar su solicitud completa por correo electrónico a SCRIE@hpd.nyc.gov.",Presente la solicitud en línea,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:03:03.000
섹션 8은 민간 시장에서 임대하기를 원하는 중저소득층 가정을 위해 임대료 일부를 지급합니다.,,,,Housing,,2025-05-28T11:01:56.000
Un programme de gel des loyers visant à aider les New-Yorkais admissibles à conserver leur logement,,"\nImprimez une (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) demande initiale et remplissez-la. Vous pouvez aussi en prendre une au Centre d’assistance DRIE ou appeler le 311 pour demander à ce qu’une demande vous soit envoyée par courrier postal.\nEnvoyez votre demande dûment remplie et signée par courrier postal accompagnée des pièces justificatives à l’adresse :Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",Déposez une demande en ligne,Housing,"Immigrants,People with disabilities,Veterans",2022-03-23T11:01:58.000
HEAP ede moun nan fanmi ki elijib yo peye depans chofaj lakay yo.,,"Aplikasyon pou Avantaj Regilye HEAP 2024-25 yo fini 7 Avril 2025. (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) Telechajeaplikasyon an epi ranpli li. Pou soumèt aplikasyon ou a, ou kapab swa:\nVoye aplikasyon ou an pa lapòs nan: New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nVoye aplikasyon ou an nan faks bay 917-639-2900.",Aplike anliy,Cash & expenses,,2025-05-28T11:03:08.000
"Pomoc pieniężna (Cash Assistance) jest w stanie zapewnić pomoc w opłacaniu rachunków za czynsz, media i pokrywaniu innych pilnych wydatków.",,\n (https://otda.ny.gov/programs/applications/2921.pdf) Wydrukuj i wypełnij wniosek (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nWniosek należy przesłać pocztą lub na skrzynkę pocztową Centrum dostępu do świadczeń HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nSkontaktujemy się z Panem/Panią w celu umówienia się na rozmowę telefoniczną. Można również udać się do Centrum dostępu do świadczeń HRA na osobistą rozmowę.,Złóż wniosek lub odnów uprawnienia online,Cash & Expenses,Everyone,2024-08-13T11:01:14.000
La Sección 8 paga parte del alquiler para familias de ingresos bajos y moderados que quieran alquilar en el mercado privado.,Everyone,,,Housing,,2025-05-28T11:02:20.000
A Qualified Health Plan is health insurance with a fixed monthly payment.,Everyone,,Enroll online,Health,"All New Yorkers, regardless of immigration status",2025-11-22T11:01:08.000
적격 건강 플랜은 매달 일정 금액을 지불하고 보장을 받는 건강 보험 플랜입니다.,,"다음 사항에 해당하는 경우 우편으로 Medicaid를 신청하십시오.\n65세 이상\n시각장애인으로 판정 받음\n장애인으로 판정 받음\n입원 중이며 요양원 보장을 신청하고자 함신청서 (https://www.health.ny.gov/forms/doh-4220.pdf) 와보충 A 양식 (https://www.health.ny.gov/forms/doh-5178a.pdf) 을 작성하십시오. 작성한 신청서를 다음 주소로 보내주십시오. MAP InitialEligibility Unit PO Box 24390, Brooklyn, NY 11202",온라인 등록,Health,"Everyone,Immigrants",2024-10-04T11:01:07.000
COMPASS NYC has hundreds of programs for young people in kindergarten through 12th grade.,"Grade-Schooler,Pre-Teen,Teen",,Find an afterschool program,Enrichment,"Families with children,Students",2024-10-12T11:01:09.000
"L’aide financière en espèces (Cash Assistance) en espèces peut vous aider à payer le loyer, les charges (électricité, eau, gaz, téléphone, etc.) et d’autres dépenses d’urgence.",,"\n (https://otda.ny.gov/programs/applications/2921.pdf) Imprimez le formulaire de demande (http://www1.nyc.gov/site/hra/locations/job-locations.page) , puis remplissez-le.\nEnvoyez-le par courrier postal ou déposez-le dans un Centre d’accès aux allocations de la HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nVous serez contacté pour un rendez-vous téléphonique. Vous pouvez également vous rendre dans un Centre d’accès aux allocations de la HRA pour un rendez-vous en personne.",Déposez votre demande ou faites votre renouvellement en ligne,Cash & Expenses,Everyone,2024-07-11T11:01:29.000
房租凍結計畫可協助符合資格的紐約市民住在自己的家中,,"\n請列印 (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) 首次申請表 (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) 並填寫完成。您也可以從 SCRIE 援助中心領取一份申請表，或致電 311 (mailto:SCRIE@hpd.nyc.gov) 要求將申請表郵寄給您。\n將您填妥並簽名的申請表以及證明文件郵寄至：Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083如果您住在 Mitchell-Lama 或 Redevelopment Company 開發住宅：\n請下載 HPD SCRIE 申請表並將其郵寄至：HPD SCRIE Unit100 Gold Street, 7th floorNew York, New York, 10038\n您也可以將填妥的申請表以電子郵件寄至 SCRIE@hpd.nyc.gov。",線上申請,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:02:54.000
Pi piti taks sou pwopriyete pou pwopriyetè kay ki andikap,,"\nTelechaje aplikasyon pou premye egzanpsyon an (initial exemption) epi ranpli li. Ou ka kontakte 311 (http://webapps.nyc.gov:8084/CICS/fin1/find001I) tou pou yo poste yon aplikasyon ba ou.\nYo pral mande pou ou bay minisipalite, blòk, ak lo (BBL) lakay ou. Ou kapab itilize zouti Rechèch Adrès Pwopriyete a pou konnen sa.\nSanble tout dokiman ou ki nesesè yo epi mete yo ansanm ak aplikasyon ou a. Nou p ap trete aplikasyon ou a san yo.\nPoste aplikasyon ou ranpli ak dokiman ki nesesè yo bay:New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311\nAplikasyon yo dwe gen yon tenb dat la avan 16 mas pou avantaj yo kapab kòmanse 1ye jiyè menm ane a.",Aplike sou entènèt,Cash & expenses,"People with disabilities ,Homeowners",2024-10-22T11:01:24.000
"Tax credit worth up to $11,000 for qualifying families, noncustodial parents, and individuals who work full time or part time or are self-employed.",Caregiver,"If filing your taxes by mail, you will need these forms:\nForm 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) or (https://www.irs.gov/forms-pubs/about-form-1040-nr) Form 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) for the federal EITC\nSchedule EIC (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) for the federal return, if you have a child\nForm IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) for the New York State credit\nWorksheet C in the Instructions Form for IT-215 for the New York City credit",File online,Cash & expenses,Families with children,2025-08-12T11:01:08.000
COMPASS NYC tiene cientos de programas para jóvenes desde el kínder hasta el 12º grado.,"Grade-Schooler,Pre-Teen,Teen",,Encuentre un programa extracurricular,Enrichment,Students,2024-10-29T11:01:03.000
"Przy wypełnianiu zeznań podatkowych za 2024 rok rodziny mogą ubiegać się o tę ulgę podatkową o wartości do $2,000 za każde kwalifikujące się dziecko w wieku poniżej 17 lat.",,W przypadku wysłania zeznania podatkowego pocztą wypełnijformularz 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) iwykaz 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) .,,Cash & Expenses,Pregnant & new parents,2025-02-06T11:01:17.000
如果您在工作或求職期間有支付托兒費用或成人受撫養人照護費用，您可以獲得退稅。,,填寫表格 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 或 (https://www.irs.gov/forms-pubs/about-form-1040-nr) 表格 1040Nr，並附上表格 (https://www.irs.gov/pub/irs-pdf/f2441.pdf) ，並附上表格 2441。,線上申報,Cash & expenses,,2025-02-11T11:02:06.000
SNAP 福利可以幫助您為家人提供新鮮健康的食品。,,"\n列印 (http://otda.ny.gov/programs/applications/4826-CH.pdf) 紙本申請表 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) ，從 SNAP 中心領取表格，或者撥打 HRA 資訊熱線 718-557-1399 要求郵寄紙本申請表。\n將申請表和文件副本郵寄至： Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O.Box 24510 Brooklyn, NY 11201",在線申請,Food,Everyone,2024-08-09T11:01:56.000
"Enroll your child in a free, full-day, high-quality Pre-K program.","Toddler,Pre-Schooler",,Apply for Pre-K,Education,"All New Yorkers, regardless of immigration status,Families with children",2025-01-15T11:01:30.000
"Программа выплаты денежного пособия (Cash Assistance) поможет Вам оплатить аренду, коммунальные услуги и другие непредвиденные расходы.",,"\n (https://otda.ny.gov/programs/applications/2921-RU.pdf) Распечатайте заявление (http://www1.nyc.gov/site/hra/locations/job-locations.page) и заполните его.\nОтправьте заявление по почте или бросьте его в почтовый ящик в Центре получения пособий HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nС вами свяжется представитель указанной ниже программы, чтобы провести собеседование по телефону. Вы также можете посетить Центр получения пособий HRA и пройти собеседование с личным присутствием.",Подайте заявление или пройдите переосвидетельствование онлайн,Cash & expenses,Everyone,2024-07-11T11:01:07.000
"যোগ্য পরিবারগুলি, নন-কাস্টোডিয়াল পিতামাতা এবং যারা সম্পূর্ণ সময় বা আংশিক সময়ের কাজ করেন বা স্ব-নিযুক্ত ব্যক্তিদের জন্য $11,000 পর্যন্ত মূল্যের কর ক্রেডিট।",,"ডাক মারফৎ আপনার ট্যাক্স জমা দিলে, আপনার এই ফর্মগুলির প্রয়োজন হবে:\nফেডারেল EITC-এর জন্য ফর্ম 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) বা (https://www.irs.gov/forms-pubs/about-form-1040-nr) ফর্ম 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) \nফেডারেল রিটার্নের জন্য, অনুসূচি EIC (Schedule EIC) (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) , যদি আপনার একটি সন্তান থাকে\nনিউ ইয়র্ক স্টেট ক্রেডিটের জন্য,ফর্ম IT-215 (Form IT-215) (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) নিউ ইয়র্ক সিটি ক্রেডিটের জন্য, IT-215-এ (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) জন্য নির্দেশাবলীর ফর্মের ওয়ার্কশীট Cর",অনলাইন ফাইল করুন (File online),Cash & Expenses,,2025-05-24T11:01:24.000
