plain_language_eligibility,get_help_by_email,get_help_by_calling_311,get_help_online,how_to_apply_or_enroll_online,program_acronym
"SCRIE 자격 대상이 되려면 다음 질문 모두에 '예'라고 응답할 수 있어야 합니다.\n62세 이상이십니까?\n임대차 계약서상 임차인이 본인입니까?\n귀하의 총 가구 소득이 연 $50,000 이하입까?\n임대료가 월 소득 지출의 1/3을 초과합니까?\nNYC에서 다음 유형 중 하나의 주택에서 거주하고 계십니까?\n임대료 안정화 아파트\n임대료 규제 아파트\n임대 규제 호텔 또는 싱글 룸 거주 가구\nMitchell-Lama 개발\nLimited Dividend Housing Company 개발\nRedevelopment Company 개발\nHousing Development Fund Company 개발",SCRIE에 문의하기재무부에 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) 지원을 요청하십시오. (mailto:SCRIE@hpd.nyc.gov) HPD로 이메일 보내기HPD 감독 SCRIE에 대한 문의는 SCRIE@hpd.nyc.gov 로 이메일을 보내십시오.,311번으로 전화SCRIE 전문가에게 문의하십시오.,웹사이트 방문상세 내용은 the 뉴욕시 임대료 동결 프로그램 웹사이트 (http://www1.nyc.gov/site/rentfreeze/index.page) 를 방문하십시오.COVID-19 동안의 임대료 동결 프로그램은자주 하는 질문 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 을 검토하십시오.HPD 개발 구역에 거주하는 경우HPD 웹사이트 (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) 를 방문하여 HPD 감독 SCRIE에 대한 자세한 내용을 확인하십시오.,"온라인 신청처음 SCRIE를 신청하는 경우온라인 (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) 으로 신청할 수 있습니다.가상 면담 동안 신청 (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) 가상 면담 일정을 잡아 SCRIE 신청에 대한 도움을 받을 수 있습니다. 일정 잡기:\n""서비스 선택(Select Service)""에서 임차인 및 주택 소유자 면제 프로그램(Renter and Homeowner Exemption Programs)을 선택합니다. ""SCRIE 또는 DRIE 임차료 동결"" 최초 신청서를 선택합니다.\n""위치 선택(Select Location)""에서 ""면제 가상 면담(Exemptions Virtual Appointments)""을 선택합니다.\n날짜와 시간을 선택합니다. 면담을 생성하기 위해 연락처 정보를 작성합니다.",SCRIE
"Para ser elegible para SCRIE, debe poder responder afirmativamente a todas estas preguntas:\n¿Tiene 62 años o más?\n¿Su nombre figura en el contrato de arrendamiento?\n¿Los ingresos totales de su unidad familiar son de $50,000 o menos en un año?\n¿Asigna más de un tercio de sus ingresos mensuales a la renta?\n¿Vive en NYC en uno de estos tipos de vivienda?\nun apartamento con renta estabilizada\nun apartamento con renta controlada\nun hotel o unidad de ocupación sencilla con renta regulada\nun apartamento de Mitchell-Lama\nun urbanismo de una compañía urbanística con dividendos limitados (Limited Dividend Housing Company)\nun urbanismo de una compañía de reurbanización\nun urbanismo de una compañía de fondos de desarrollo para vivienda","Comuníquese con SCRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Pida asistencia (mailto:SCRIE@hpd.nyc.gov) al Departamento de Finanzas (Department of Finance).Envíe un correo electrónico a HPDSi tiene preguntas sobre SCRIE supervisado por HPD, envíe un correo electrónico a SCRIE@hpd.nyc.gov.",Llame al 311Pregunte por los especialistas de SCRIE.,"Visite los sitios webVisite el sitio web del Programa de congelación de la renta de la Ciudad de Nueva York (http://www1.nyc.gov/site/rentfreeze/index.page) para obtener más información.Consulte las preguntas frecuentes (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) para el Programa de congelación de la renta durante el COVID-19.Si vive en un complejo de HPD, visite el sitio web de HPD (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) para obtener más información sobre SCRIE supervisado por HPD.","Presente la solicitud en líneaSi está solicitando SCRIE por primera vez, puede hacerlo en línea (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .Presentar la solicitud durante una cita virtualPuede obtener ayuda para solicitar SCRIE (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) programando una cita virtual. Cuando programe:\nDebajo de ""Select Service"" (Seleccionar servicio), elija Renter and Homeowner Exemption Programs (Programas de exención para inquilinos y propietarios de viviendas). Después, elija ""Rent Freeze (SCRIE or DRIE)"" (Solicitud inicial de congelamiento de la renta (SCRIE o DRIE).\nEn ""Select Location"" (Seleccionar lugar), elija ""Exemptions Virtual Appointments"" (Citas virtuales de exenciones).\nElija una fecha y hora. Después, complete su información de contacto para crear su cita.",SCRIE
"섹션 8/HCV 프로그램의 자격은 주로 가족의 소득과 가족 구성원 수에 따라 결정됩니다.\n가족 구성원 수|연간 소득\n1|$56,700\n2|$64,800\n3|$72,900\n4|$81,000\n5|$87,500\n6|$94,000\n7|$100,450\n8|$106,950\n",,311에 전화하세요 섹션 8 지원을 요청하세요.,웹사이트를 방문하십시오 NYCHA 웹사이트에서 (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) 섹션 8에 대해 자세히 알아보십시오.,,HCV
"Pour être éligible à DRIE, vous devez pouvoir répondre « Yes » (Oui) à toutes les questions suivantes :\nÊtes-vous âgé de 18 ans ou plus ?\nVotre nom est-il sur le bail ?\nLes revenus annuels totaux de votre foyer sont-ils inférieurs ou égaux à 50 000 $ US ?\nVotre loyer représente-t-il plus d'un tiers de vos revenus mensuels ?\nAvez-vous perçu des revenus des avantages suivants ?\nAllocation supplémentaire de revenu de sécurité\nAssurance invalidité du régime fédéral de sécurité sociale\nPension d'invalidité ou allocation du Ministère des Anciens Combattants des États-Unis\nCouverture Medicaid en raison d'une incapacité si vous avez perçu une aide SSI ou SSDI par le passé\nHabitez-vous à New York dans l'un de ces types de logement ?\nun appartement dont le loyer est réglementé selon le système « rent stabilization »\nun appartement dont le loyer est réglementé selon le système « rent control »\nun lotissement Mitchell-Lama\nun lotissement à dividendes limités\nun lotissement d'une société de redéveloppement\nun développement collaboratif d'une Société de fonds de développement immobilier (HDFC)\nun appartement situé dans un immeuble appartenant à une société coopérative, dont l'hypothèque a été assurée par le gouvernement fédéral conformément à l'article 213 (Section 213) de la Loi nationale sur l'habitation (National Housing Act)\nun appartement de type « Rent Regulated Hotels, Single Room Occupancy Unit (SRO) »",Contactez le DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Demandez une assistance au ministère des Finances.,Appelez le 311Demandez à parler à des spécialistes DRIE.,"Rendez-vous sur les sites internetPour en savoir plus, consultez le site internet du programme de gel des loyers de la ville de New York (http://www1.nyc.gov/site/rentfreeze/index.page) .Consultez la foire aux questions (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sur le programme de gel des loyers pendant l’épidémie de COVID-19.","Déposez une demande en ligneSi vous déposez une demande pour le programme DRIE pour la première fois, vous pouvez le faire en ligne (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .Déposez une demande pendant un rendez-vous virtuelVous pouvez obtenir de l’aide pour déposer une demande au programme DRIE en (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) prenant un rendez-vous virtuel. Lors de la prise de rendez-vous :\nSous « Select Service » (Sélectionner le service), choisissez les Programmes d’exemption de propriétaire et de locataire. Ensuite, choisissez « Rent Freeze (SCRIE or DRIE) Initial application » (la demande initiale de gel de loyer SCRIE ou DRIE).\nSous « Select Location » (Sélectionner un lieu), choisissez « Exemptions Virtual Appointments » (Rendez-vous virtuels pour l’exemption).\nChoisissez une date et une heure. Ensuite, remplissez vos coordonnées pour créer votre rendez-vous.",DRIE
"Elijiblite pou Avantaj regliye HEAP la baze sou:\nprezans yon moun nan kay la ki poko gen 6 lane, ki gen 60 lane oswa plis oswa ki gen yon andikap pèmanan\nprensipal sous chofaj la\nrevni ak kantite moun ki nan kay laFwaye w la ka elijib pou yon Avantaj regliye HEAP si:\nYon manm nan fwaye w la se yon Sitwayen Ameriken oswa yon moun ki Pa Sitwayen men ki Kalifye\nW ap resevwa Avantaj Pwogram Èd Nitrisyon Siplemantè (Supplemental Nutrition Assistance Program, SNAP) a oswa\nW ap resevwa Èd Tanporè (Temporary Assistance, TA) a oswa\nW ap resevwa kòd A Revni Sekirite Siplemantè ( Supplemental Security Income, SSI Pandan w ap Viv Poukont Ou)\nRevni total fwaye w la chak mwa egal oswa pi piti pase gid revni aktyèl pou fwaye ki gen kantite moun fwaye w la genyen an sou tablo sa a:\nKantite moun ki nan kay la|Revni Maksimòm Anvan Taks Chak Mwa pou peryòd 2024-2025 la\n1|$3.322\n2|$4.345\n3|$5.367\n4|$6.390\n5|$7.412\n6|$8.434\n7|$8.626\n8|$8.818\n9|$9.010\n10|$9.201\n11|$9.393\n12|$9.585\n13|$9.952\nPou chak moun anplis, ajoute:|Ajoute $672\nMoun lakay ou kapab elijib pou resevwa avantaj HEAP an Ijans yo si ou kapab reponn wi pou kesyon sa yo:\nÈske nenpòt nan sa yo aplikab pou ou?\nYo koupe oswa prevwa koupe kouran ki fè sistèm chofaj oswa tèmosta ou a fonksyone a.\nYo koupe sistèm chofaj ou oswa gen posibilite pou yo koupe li.\nOu pa gen gaz oswa ou gen mwens pase yon ka tank gaz.\nÈske fakti pou chofaj oswa elektrisite ou a fèt sou non w?\nÈske resous ki disponib nan fwaye ou a:\nmwens pase $3,750 si li gen ladanl yon moun ki gen 60 an oswa plis oswa si moun nan poko gen 6 zan.\nmwens pase $2,500 si li gen ladanl yon moun ki gen 60 an oswa plis oswa si moun nan poko gen 6 zan.\nÈske w respekte youn nan direktiv sou revni sa yo?\nOu resevwa avantaj SNAP, Èd Tanporè, oswa Revni Sekirite Siplemantè Kòd A.\nFanmi w nan limit oswa anba limit direktif yo bay pou revni brit chak mwa ki ekri nan tablo ki vin apre a pou kantite moun ki lakay ou.",,Rele 311 Mande èd ak Pwogram Asistans Enèji Lakay la.,Ale sou sit entènèt la Ale sousit entènèt OTDA pou HEAP la (https://otda.ny.gov/programs/heap/) pou aprann plis sou pwogram sa a.,"Aplikasyon pou Avantaj Regilye HEAP 2024-25 yo fini 7 Avril 2025.\nAplike anliy sou (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (https://apps.apple.com/us/app/nyc-access-hra/id1185595325) .\nItilize aplikasyon mobil ACCESS HRA a ki disponib gratis sou (https://play.google.com/store/apps/details?id=gov.nyc.hra.SelfService) iTunes Store (https://a069-access.nyc.gov/accesshra/) (pou iPhones) oswa sou Google Play Store (pou telefòn Android) pou eskane dokiman ou yo.\nApre ou fin soumèt demann ou an, yo kapab kontakte ou pou pase yon entèvyou elijiblite. Ou kapab pase entèvyou a nan telefòn san ou pa bezwen vini nan yon sant avantaj access.\nOu kapab ale sou ACCESS HRA pou verifye nan ki nivo aplikasyon w lan ye.",HEAP
"\nAby wziąć udział w programie, należy spełniać kilka warunków. Oto niektóre z nich:ile zarabiasz\nile pieniędzy otrzymujesz w ramach świadczeń\nile osób mieszka w Twoim domu\nśrodki, takie jak gotówka lub konto rozliczeniowe",,Zadzwoń pod numer 311 Proszę powołać się na hasło Pomoc pieniężna.,"Odwiedź stronę Aby dowiedzieć się więcej o tym programie, odwiedź stronę internetową pomocy pieniężnej (http://www1.nyc.gov/site/hra/help/cash-assistance.page) .","\nZłóż wniosek za pośrednictwem (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) . Wniosek o włączenie do programu pomocy pieniężnej, Programu dodatkowej pomocy żywnościowej (Supplemental Nutrition Assistance Program, SNAP) oraz Medicaid można złożyć jednocześnie.\nSkorzystaj z aplikacji na urządzenia mobilne ACCESS HRA aby śledzić postępy w rozpatrywaniu wniosku lub dostarczyć dokumenty.\nSkontaktujemy się z Panem/Panią w celu umówienia się na rozmowę telefoniczną. Można również udać się do Centrum dostępu do świadczeń HRA na osobistą rozmowę.",
"La elegibilidad para los programas de la Sección 8/HCV se basa principalmente en cuánto gana su familia y el tamaño de la familia.\nTamaño del grupo familiar|Ingresos anuales\n1|$56,700\n2|$64,800\n3|$72,900\n4|$81,000\n5|$87,500\n6|$94,000\n7|$100,450\n8|$106,950\n",,Llame al 311 Solicite asistencia de la Sección 8.,Visite el sitio web (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Obtenga más información sobre la Sección 8en el sitio web de la NYCHA.,,HCV
"You can enroll in a Qualified Health Plan if you:\nLive in New York State\nAre a U.S. citizen or legally living in the U.S.\nDo not qualify for Medicaid, the Essential Plan, or Child Health Plus",,Call 311 For general questions on health insurance and to find an in-person assistor.,Learn more about health insurance options Learn more about your options throughHRA's Office of Citywide Health Insurance Access (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) . Request enrollment helpGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) helps New Yorkers enroll in health insurance. Dedicated specialists can assist you in your language for free. Request a counselor call Complete aHealth Insurance Enrollment Assistance Inquiry Form (https://nycdohmh.surveymonkey.com/r/7BB62M3) to receive a call from an enrollment counselor. Free enrollment assistance is available regardless of immigration status and in many languages. Your information will be kept private.,Enroll in health insurance throughNY State of Health (https://nystateofhealth.ny.gov/) .,QHP
누구나 적격 건강 보험에 가입할 수 있습니다.\n대부분 이민자들은 NYState of Health 마켓플레이스에 가입할 수 있습니다. 재정적 도움을 받을 수 있습니다.\n누구나 보험 회사에전화하거나 웹사이트를 방문하여 보험 회사에 직접 민간 건강 보험을 구매할 수 있습니다.,,311에 전화하세요 건강보험에 관한 일반적인 질문이 있는 경우 및 실제 상담원이필요한 경우 위 번호로 문의하십시오.,건강보험 옵션에 대해 자세히 알아보기HRA의 시전역 건강보험담당부(Citywide Health Insurance Access) (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) 를 통해 귀하의 옵션을 자세히 알아보십시오. 가입 요청에 관한 도움GetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) 는 뉴욕 시민의 건강보험 가입을 돕습니다. 전담 전문가가 귀하의 언어로 무료 지원을 제공합니다.상담원과의 통화 요청 가입 상담원과 통화하려면건강보험 가입 지원 문의 양식 (https://nycdohmh.surveymonkey.com/r/7BB62M3) 을 작성하십시오. 무료 가입 지원은 이민 상태와 관계없이 여러 언어로 제공됩니다. 귀하의 정보는 비밀로보호됩니다.,NY State of Health (https://nystateofhealth.ny.gov/) 를 통해 건강 보험에 가입하십시오.,QHP
All NYC students in kindergarten to 12th grade are eligible to enroll in COMPASS programs. Each program may have different age and eligibility requirements.,,"Call 311 Ask for ""Comprehensive After School Program assistance.""",Online Learn more about COMPASS from (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.,"You can use Discover DYCD to find programs in your area. To get started:\nGo to the Discover DYCD (https://discoverdycd.dycdconnect.nyc/) website.\nSelect ""afterschool programs"" and click on ""Search"".",COMPASS NYC
"\nCe programme s’intéresse à différents éléments pour déterminer votre admissibilité, En voici quelques exemples :combien d’argent vous gagnez ;\ncombien d’argent vous percevez grâce aux allocations ;\ncombien de personnes vivent dans votre foyer\nressources telles que des espèces ou un compte-chèques",,Appeler le 311 Déposez une demande d’aide financière en espèces.,Consulter le site internet Consultez le site internet de l’aide financière en espèces (http://www1.nyc.gov/site/hra/help/cash-assistance.page) pour en savoir plus sur ce programme.,"\nDéposez une demande sur (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) . Vous pouvez déposer une demande d’aide financière en espèces, d’allocations du programme spécial de nutrition supplémentaire (Supplemental Nutrition Assistance Program, SNAP) et de Medicaid en même temps.\nUtilisez l’application mobile ACCESS HRA pour suivre l’avancement de votre demande ou envoyer des documents.\nVous serez contacté pour un rendez-vous téléphonique. Vous pouvez également vous rendre dans un Centre d’accès aux allocations de la HRA pour un rendez-vous en personne.",
要符合 SCRIE 資格，您應能夠對以下所有問題都回答「是」：\n您是否已年滿 62 歲或以上？\n您的名字是否在租約上？\n您一年的家庭總收入是否為 5 萬美元或以下？\n您是否將超過三分之一的月收入用來支付租金？\n您是否住在紐約市的以下類型的房屋中？\n租金穩定公寓\n租金控制公寓\n租金管理酒店或單人間居住單元\nMitchell-Lama 公寓\n有限股息房屋公司開發房屋\n重建公司開發房屋\n房屋發展基金公司開發房屋,與 SCRIE 聯絡請求來自財政部的 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) 協助 (mailto:SCRIE@hpd.nyc.gov) 。發送電子郵件給 HPD如果您對 HPD 監督的 SCRIE 有任何疑問，請發送電子郵件至 SCRIE@hpd.nyc.gov。,致電 311諮詢 SCRIE 專家,造訪網站請造訪紐約市租金凍結計畫網站 (http://www1.nyc.gov/site/rentfreeze/index.page) 以瞭解更多資訊。請查看 COVID-19 期間的房租凍結計畫之常見問題集 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 。如果您住在 HPD 開發項目，請造訪 HPD 的網站 (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) ，以瞭解更多有關 HPD 監督的 SCRIE 的資訊。,線上申請如果您是首次申請 SCRIE，您可以線上 (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) 申請：在虛擬訪談過程中申請您可以透過 (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) 預約虛擬訪談以取得申請 SCRIE 之協助。當預約時：\n請在「選擇服務」(Select Service) 下，選擇「承租人及屋主豁免計畫」(Renter and Homeowner Exemption Programs)。接著，請選擇「房租凍結（SCRIE 或 DRIE）首次申請」(Rent Freeze (SCRIE or DRIE) Initial application)。\n請在「選擇位置」(Select Location) 下，選擇「豁免虛擬訪談」(Exemptions Virtual Appointments)。\n請選擇日期與時間。然後，請填寫您的聯絡資訊，以建立您的訪談。,SCRIE
"Si pwopriyete ou a kalifye pou ak Egzanpsyon Pwopriyetè Granmoun Aje a (Senior Citizen Homeowner Exemption, SCHE), se sèlman SCHE w ap ka jwenn, ou p ap ka jwenn toudeÈske tout pwopriyetè yo se moun andikape,\n OSWA lòt pwopriyetè yo se madanm, mari, frè, oswa moun andikape a (oswa moun ki andikape yo)\nÈske pwopriyete a se rezidans prensipal ou?\nÈske revni tout pwopriyetè yo mete ansanm pi piti pase oswa egal a $58,399 pa ane?\nAvantaj SSI oswa Asistans ak Lajan Kach PA konte kòm revni.Ou ka kalifye si pwopriyete ou la nan yon devlopman Kòporasyon Fon Devlopman Lojman (Housing Development Fund Corporation) epi li nan Divizyon Pwogram Jesyon Altènatif (Division of Alternative Management Program) lan. Pwopriyete ou pa kapab nan yon devlopman lojman kontwole pa yon Konpayi Lojman Pwofi Limite (Limited Profit Housing Company), Mitchell-Lama, Konpayi Lojman Dividann Limite (Limited Dividend Housing Company), oswa konpayi redevlopman. Kontakte manadjè pwopriyete ou an si ou pa fin sèten.","Imèl DHESi ou gen kesyon, (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) imèl DHE pou plis enfòmasyon.",Rele 311Mande pou Egzanpsyon Pwopriyetè Kay Andikape.,Vizite sitwèb laVizite sitwèb DHE (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page)  a pou aprann plis.,"\n (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_dhe) Aplike sou entènèt (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE_COOP) avan 16 Mas pou avantaj yo kòmanse 1ye jiyè\nSi ou ap viv nan yon co-op, ou ka aplike sou entènèt avèk aplikasyon co-op DHE an.\nSèvi ak adrès ou oswa bowo, blòk ak lo (Borough, Block, Lot, BBL), oswa adrès pwopriyete a pou jwenn pwopriyete ou epi kòmanse ranpli fòmilè an.",DHE
"Federal EITC qualifications\nYou have a valid Social Security Number.\nYour income, marital, and parental status in 2024 were one of these.\nMarried with qualifying children and earning up to $66,819\nMarried with no qualifying children and earning up to $25,511\nSingle with qualifying children and earning up to $59,899\nSingle with no qualifying children and earning up to $18,591\nYou have qualifying children include biological children, stepchildren, foster children, and grandchildren.\nIf you have no children, the EITC is only available to filers between ages 25 and 64.\nMarried filing separate: A spouse who is not filing a joint return may claim the EITC if:\nyou had a qualifying child who lived with you for more than half of the year; and\nyou were legally separated according to state law at the end of 2024 or you lived apart from your spouse for the last 6 months of 2024.\nYou had investment income of less than $11,600 in 2024.*If you're still unsure if you qualify, the IRS has acalculator that can tell you if you qualify (https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/use-the-eitc-assistant) . New York State EITC qualifications\nyou did not claim the Noncustodial parent earned income credit (https://www.tax.ny.gov/pit/credits/nceic.htm) , and\nyou qualified for and claimed the federal EITC.New York City EITC qualifications\nwere a full-year or part-year New York City resident, and\nclaimed the federal earned income credit.",,,Learn about tax credits (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) that you can claim.,File your federal taxes for free withgetyourrefund.org (https://www.getyourrefund.org/) to claim the federal EITC. You'll also need to file your state tax refund separately to get the New York State and City EITC. You can also get free tax filing help throughNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) services.,EITC
Todos los estudiantes de la Ciudad de Nueva York desde kindergarten hasta el grado 12 son elegibles para inscribirse en los programas COMPASS.Cada programa puede tener diferentes requisitos de edad y elegibilidad.,,"Llame al 311Solicite ""Asistencia integral para el programa extracurricular"".",En líneaObtenga más información sobre COMPASS en (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.,"Puede usar Discover DYCD para encontrar programas en su área. Para comenzar:\nVisite el sitio web de Discover DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) .\nSeleccione ""afterschool programs"" (programas extracurriculares) y haga clic en ""Search"" (Buscar).",COMPASS NYC
"Musisz spełnić poniższe wymagania, aby kwalifikować się do ulgi za rok podatkowy 2024.\nZarobiłeś(-aś) do 200 000 USD lub do 400 000 USD, jeśli zeznanie podatkowe wypełniasz ze współmałżonkiem (współmałżonką).\nDo ulgi podatkowej można zgłosić dziecko, jeśli:\nnie ma ono więcej niż 16 lat;\nDziecko musi mieć numer ubezpieczenia społecznego (Social Security Number, SSN) lub adopcyjny numer identyfikacji podatkowej (Adoption Tax Identification Number, ATIN). Osoba składające zeznanie może wykorzystać albo numer SSN albo indywidualny numer identyfikacji podatnika (Individual Taxpayer Identification Number, ITIN).\nDzieckiem uprawniającym do ulgi może być syn, córka, pasierb/pasierbica, kwalifikujące się dziecko przysposobione, brat, siostra, brat przyrodni, siostra przyrodnia bądź potomek któregokolwiek z nich (na przykład wnuk, siostrzenica lub siostrzeniec)\nDziecko lub osoba pozostająca na Twoim utrzymaniu musi mieszkać z Tobą przez ponad pół roku w Stanach Zjednoczonych i z tego tytułu zgłaszasz je w swoim zeznaniu podatkowym jako osobę pozostającą na utrzymaniu.\nTwoje dziecko nie może zapewnić Ci więcej niż połowy wsparcia finansowego.",,Zadzwoń pod numer 311 Poproś o pomoc w rozliczeniu podatkowym.,"Dowiedz się więcej o ulgach podatkowych, (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) o które możesz się ubiegać.","Złóż zeznanie podatkowe bezpłatnie za pomocągetyourrefund.org (https://www.getyourrefund.org/) , aby wystąpić o ulgę podatkową na dziecko.",CTC
如果您對以下所有問題均回答是，那麼您有資格享有子女及受撫養人照護稅額抵免：\n您是否花錢僱傭他人照顧您的受撫養人，以便您（若合併報稅，則包含您的配偶）工作或求職？ 符合資格的受撫養人是：\n照護時未滿 13 歲的子女；\n身心上無法照護自己的配偶或成人受撫養人。\n2024 年，受撫養人是否有超過一半時間都與您同住？\n您（若合併報稅，則包含您的配偶）是否有勞動所得？ 勞動所得可能是工資、薪資、小費、其他應課稅員工所得或是自僱所得。\n如果您已婚，您和配偶的工作地點是否皆非自宅？\n若不是此情況，是否你們中一人外出工作，而另一人為全職學生、殘障人士或正在謀職？,,,瞭解您可以申領的稅額抵免。 (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page),透過造訪getyourrefund.org (https://www.getyourrefund.org/) 免費申報聯邦稅以申領該抵免額。,
\n此計畫的資格取決於幾項標準。 其中包括：您的收入\n您領取的福利金額\n家中居住人數,,致電 311 申請 SNAP。,造訪網站 造訪 SNAP 網站 (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) 瞭解此計畫的更多資訊。,\n使用 (https://a069-access.nyc.gov/ACCESSNYC/application.do) ACCESS HRA (https://appsto.re/us/9s9N_.i) 線上申請。 您可以同時所有申請現金援助、SNAP 和 Medicaid。\n使用 NYC HRA Document Upload 應用程式掃描文件。 (https://play.google.com/store/apps/details?id=gov.nyc.hra.DocUploads) iTunes Store (https://a069-access.nyc.gov/ACCESSNYC/application.do) （iPhones 使用者）或 (https://a069-access.nyc.gov/ACCESSNYC/application.do) Google Play Store（Android 手機使用者）免費提供該應用程式。\n提交申請之後，您需要進行資格面談。 您可以透過電話接受訪談，無需親自前往 SNAP 中心。\n您可以透過 ACCESS HRA 確認申請狀態。\n您需要每年完成一次 SNAP 的資格重新認證。 SNAP 事務局會郵寄一份重新認證資料文件供您填寫並寄回 HRA 您也可以透過 ACCESS HRA 進行線上重新認證。 提交重新認證后，請致電 718-SNAP-Now (718-762-7669) 進行面試。,SNAP
All NYC children born in 2021 can enroll for the 2025-2026 school year. This includes children with disabilities (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) or who are learning English (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) .Children do not need to be toilet trained to attend pre-K.,Email Pre-K admissionsEmail es_enrollment@schools.nyc.gov (mailto:es_enrollment@schools.nyc.gov) if you have questions about getting into pre-K.,Call 311Ask for Pre-K For All.,Visit the websiteVisit the NYC DOE Pre-K website (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) to learn more about the pre-K admissions process.,"Apply on MySchools (https://www.myschools.nyc/en/) from January 15, 2025 to February 28, 2025. You can apply in English, Arabic, Bengali/Bangla, Chinese, Haitian Creole, French, Korean, Russian, Spanish, or Urdu.You can also find half-day pre-K programs in MySchools.",
"\nЭта программа рассматривает несколько факторов, чтобы решить, имеете ли вы право на участие. Вот некоторые из них:ваш заработок;\nваш доход от пособий;\nколичество людей проживающих в вашем доме\nсредства, такие как сумма наличных или сумма на текущем счете",,Позвоните по номеру 311 Задайте вопрос о программе выплаты денежного пособия.,"Посетите веб-сайт Посетите веб-сайт программы выплаты денежного пособия (http://www1.nyc.gov/site/hra/help/cash-assistance.page) , чтобы подробнее узнать об этой программе.","\nПодача заявления через (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) . Вы можете подать заявление на участие в программе выплаты денежного пособия, программе дополнительной продовольственной поддержки (Supplemental Nutrition Assistance Program, SNAP) и программе Medicaid одновременно.\nИспользуйте мобильное приложение ACCESS HRA для отслеживания статуса Вашего заявления или подачи документов.\nС вами свяжется представитель указанной ниже программы, чтобы провести собеседование по телефону. Вы также можете посетить Центр получения пособий HRA и пройти собеседование с личным присутствием.",
