program_description,how_to_apply_or_enroll_in,get_help_in_person,url_of_online_application,required_documents_summary,page_type,program_name
"SNAP-এর মাধ্যমে মুদির জন্য অর্থ প্রদানে সহায়তা পান, যা আগে ফুড স্ট্যাম্প নামে পরিচিত ছিল। আপনি একটি ডেবিট কার্ডে অর্থ পাবেন যা অনেক মুদি দোকান ও কৃষকের বাজারে ব্যবহার করা যেতে পারে।","\nএকটি (https://otda.ny.gov/programs/applications/4826-BE.pdf) কাগজের আবেদনপত্র (https://www1.nyc.gov/site/hra/locations/snap-locations.page) প্রিন্ট করুন, কোনো SNAP কেন্দ্র (https://www1.nyc.gov/site/hra/locations/snap-locations.page) থেকে একটি সংগ্রহ করুন, অথবা আপনাকে একটি কাগজের আবেদনপত্র পাঠানোর জন্য 718-557-1399 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) নম্বরে HRA Infoline-এ কল করুন।\nআপনার আবেদনপত্রের সাথে আপনাকে যে নথিগুলি অন্তর্ভুক্ত করতে হবে তা একত্রিত করুন।\nআপনার কাছাকাছির কোনো SNAP কেন্দ্রে আপনার সম্পূর্ণ করা আবেদনটি জমা করুন। আপনি সেই কেন্দ্রে আপনার নথিগুলির কপি তৈরি করতে পারেন।\nএছাড়াও আপনি আপনার আশেপাশের কোনো কমিউনিটি-ভিত্তিক সংস্থাতে (CBO) SNAP-এর জন্য আবেদন করতে পারেন। বিশেষজ্ঞরা আপনাকে আপনার আবেদনপত্র ও প্রয়োজনীয় নথিগুলি জমা দিতে সাহায্য করতে পারেন।",একটি SNAP সেন্টার বা কমিউনিটি অর্গানাইজেশনে যান ব্যক্তিগতভাবে সাহায্য পেতে কোনো SNAP কেন্দ্র (https://www1.nyc.gov/site/hra/locations/snap-locations.page) বা আপনার স্থানীয় কমিউনিটি-ভিত্তিক সংস্থাতে (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) (CBO) যান।,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},প্রমাণপত্র হিসেবে কি কি ব্যবহার করা যাবে তার বিশদ বিবরণের জন্য (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-bengali.pdf) SNAP নথি নির্দেশিকা দেখুন।,Benefit,Supplemental Nutrition Assistance Program (পরিপূরক পুষ্টি সহায়তা প্রোগ্রাম)
DRIE معذور اہل قرار پانے والے کرایہ داروں کا کرایہ منجمد کر کے سستی رہائش میں رہنے میں مدد کرتا ہے۔ کرایہ دار منجمد کرایہ ادا کرتے ہیں۔ پراپرٹی ٹیکس کریڈٹ اصل کرایہ کی رقم اور منجمد کرایے کے درمیان فرق کا احاطہ کرتا ہے۔,درخواست دینے کیلئے اپنے نزدیک ایک محکمہ مالیات کا امدادی مرکز (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) تلاش کریں۔ آپ کو کسی سنٹر میں جانے کیلئے اپائنٹمنٹ لینا پڑ سکتا ہے۔,,,DRIE کے لیے درخواست دینے کے لیے آپ کو درج ذیل چیزوں کو ثابت کرنا ہو گا:\nآپ کو اہلیت کی بنیاد پر معذوری کا بینیفٹ (اور ایوارڈ لیٹر) موصول ہو رہا ہے\nآپ کی عمر\nآپ کا کرایہ \nاپنی درخواست جمع کرنے سے پہلے کیلینڈر سال میں آپ کی آمدنی اور آپ کے اپارٹمنٹ میں رہنے والے گھر کے تمام اراکین کی آمدنی۔ مثال کے طور پر، 2018 میں جمع کردہ درخواست کے لیے 2017 کی گھریلو آمدنی کی معلومات شامل کرنے کی ضرورت ہوگی۔ آمدنی کے ثبوت میں، دوسرے دستاویزات کے ساتھ درج ذیل شامل ہوسکتی ہیں:\nٹیکس ریٹرنس\nسوشل سیکیورٹی بینفٹس\n1099/W2 اسٹیٹمنٹ,Benefit,معذوری کی وجہ سے کرایہ میں اضافہ سے استثناء
"Uczniowie mogą przystąpić do jednego z setek bezpłatnych programów pozaszkolnych w Nowym Jorku poprzez program COMPASS NYC. Programy COMPASS oferują pomoc w pracach domowych, zajęcia sportowe, artystyczne i wiele innych. Programy są zapewniane bezpłatnie, a zajęcia odbywają się na terenie całego miasta.","Aby zapisać dziecko do programu COMPASS NYC, należy skontaktować się z personelem zajmującym się programem w szkole swojego dziecka.","Należy odwiedzić szkołę dzieckaNależy porozmawiać z pracownikami odpowiedzialnymi za program pozalekcyjny, aby dowiedzieć się więcej.",{'url': 'https://discoverdycd.dycdconnect.nyc/'},"Aby złożyć wniosek, musisz przedstawić jeden z następujących dowodów tożsamości dla swojego dziecka:\nAkt urodzenia\nCertyfikat naturalizacji\nOficjalne akta urodzenia\nOficjalne zapisy szkolne\nPaszport\nIDNYC\nEwidencja adopcyjna\nŚwiadectwo chrztu lub inne świadectwo religijne",Program,Kompleksowy system zajęć pozaszkolnych w Nowym Jorku
"Pwogram Premye Kòmansman yo ofri anviwònman san danje e pozitif pou timoun ki gen 3 a 4 lane yo aprann, jwe epi devlope konpetans k ap prepare yo pou kindègadenn e pou pi lwen. Premye Kòmansman ofri tou sèvis sante, nitrisyon, ak lòt sipò pou timoun yo ak fanmi yo.",Pou w jwenn yon pwogram Premye Kòmansman ak aplike pou li:\nAle sou MySchools (3-k) (https://www.myschools.nyc/en/schools/3k/) oswaMySchools (Pre-K) (https://www.myschools.nyc/en/schools/pre-k/) (sit entènèt lekòl).\nKlike sou “More Filters” (Plis filtè). Chwazi “Premye Kòmansman” ki anba “Year-Round 3-K / Pre-K Programs” (Pwogram 3-K / Pre-K pou tout ane).\nTape nan adrès akèy la pou chache yon pwogram.\nKontakte yon pwogram ou enterese ak li.,,,,Service,Premye Kòmansman
STAR는 뉴욕주 학군에 거주하며 자격 조건에 부합하는 주택 소유자의 재산세를 낮춰 드립니다.,,센터 방문내방하여 지원을 받으려면  (http://www1.nyc.gov/site/finance/about/contact-us.page) 센터를 찾으십시오.,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,학교 세금 경감 프로그램
يساعد برنامج SCRIE المواطنين كبار السن المؤهلين (الذين لا تقل أعمارهم عن 62 عامًا على البقاء في مساكن ميسورة التكلفة عن طريق تجميد قيمة إيجاراتهم. ويدفع المستأجرون قيمة الإيجار المُجمَّدة. تتم تغطية الفرق بين قيمة الإيجار الفعلية وقيمة الإيجار المجمَّدة من خلال خصمٍ على الضرائب العقارية.,اعثر على مركز مساعدة لدى إدارة الشؤون المالية (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) بالقرب منك لتقديم طلبك. قد تحتاج إلى تحديد موعد لزيارة أحد المراكز.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"للتقدم بطلب لـ SCRIE، يجب عليك إثبات ما يلي:\nعمرك,\nالإيجار (وثائق الإيجار السابقة والحالية - مثل عقود الإيجار، إلخ),\nدخلك ودخل جميع أفراد الأسرة الذين عاشوا في شقتك في السنة التقويمية قبل تقديم طلبك. على سبيل المثال، سيحتاج الطلب المقدم في 2018 إلى تضمين معلومات دخل الأسرة لعام 2017. يمكن أن يشمل إثبات الدخل، ضمن وثائق أخرى:\nالإقرارات الضريبية\nمخصصات الضمان الاجتماعي\nبيان\t1099/W2",Program,برنامج الإعفاء من زيادة الإيجار للمواطنين كبار السن
DRIE helps eligible tenants with disabilities stay in affordable housing by freezing their rent. This means tenants can keep paying what they were paying even if the landlord increases the rent. The landlord will get a property tax credit that covers the difference between the new and original rent amount.,Apply at a Department of Finance Assistance Center (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) . You may need to schedule an appointment.,,,"To apply for DRIE, you will need copies of documents that prove:\nWho you are (and your age)\nWhere you live (with rental amount)\nIncome - This includes your income and the income of all household members who lived in your apartment the year before you submit your application.\nThat you receive a qualifying disability benefit (and award letter)",Program,Disability Rent Increase Exemption
يسر إدارة التعليم في مدينة نيويورك أن تعلن أن الإفطار والغداء مجانيان تمامًا لجميع الطلاب في كل مدرسة عامة في مدينة نيويورك.,تحدث إلى منسق أولياء الأمور في مدرسة طفلك للحصول على مزيد من المعلومات.,,,,Program,SchoolFood
早期學習計畫提供免費或平價的托兒和教育服務，適用於六週至兩歲的兒童。 紐約市內有數百項計畫，為兒童提供安全且正向的學習環境。,\n透過 MySchools (https://www.myschools.nyc/en/schools/3k/) 尋找計畫。\n按一下「More Filters」（更多篩選器），並查看「EarlyLearn」（早期學習）下方的任何選項。\n然後，輸入您的住家地址，以尋找您附近的計畫。\n查閱計畫 工作人員會協助您完成申請。如果您已經在領取 HRA 福利，請到指定的 HRA 福利領取中心 (Benefits Access Center) (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) 申請。,,,,Program,嬰幼兒
EarlyLearn প্রোগ্রাম ছয় সপ্তাহ থেকে দুই বছর বয়সী বাচ্চাদের জন্য নিখরচার বা স্বল্প মূল্যের শিশু পরিচর্যা এবং শিক্ষা প্রদান করে। নিউ ইয়র্ক সিটি জুড়ে শত শত প্রোগ্রাম রয়েছে যেগুলি নিরাপদ ও ইতিবাচক শিক্ষণের পরিবেশ প্রদান করে।,"\nMySchools (https://www.myschools.nyc/en/schools/3k/) -এ একটি প্রোগ্রাম খুঁজুন।\n""মোর ফিল্টার"" এ ক্লিক করুন এবং ""EarlyLearn"" -এরঅধীনে যেকোনও একটি বিকল্পে টিক চিহ্ন দিন।\nতারপর, আপনার নিকটবর্তী একটি প্রোগ্রাম খুঁজতে আপনার বাড়ির ঠিকানা টাইপ করুন।একটি প্রোগ্রাম দেখুন। কর্মীরা আপনাকে আবেদনটি সম্পূর্ণ করতে সাহায্য করবে।আপনি যদি ইতিমধ্যে HRA-এর সুবিধা লাভ করে থাকেন, তাহলে এর পরিবর্তে আপনার নির্ধারিত HRA সুবিধা অর্জন কেন্দ্রে (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) আবেদন করুন।",,,,Program,শিশু এবং ছোট
Pre-K 프로그램은 아이들이 학교와 일상을 힘차게 시작하도록 지원합니다. 자녀는 안전하고 성장을 돕는 학습 커뮤니티에서 문제를 해결하고 질문하며 세상에 대해 알아가는 법을 배울 수 있습니다.,2024년 1월 10일부터 2024년 3월 1 일까지 패밀리 웰컴 센터 (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) 에서 신청하십시오.,패밀리 웰컴 센터를 방문해주십시오 Pre-K 프로그램에 대한 자세한 정보를 원하시면 패밀리 웰컴 센터 (http://nyc.gov/schools/welcomecenters) 에 방문해주십시오.,{'url': 'https://www.myschools.nyc/ko/'},보기 사전 등록 체크리스트 (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) 자녀를 사전 등록하고 유아원 제안을 수락하는 데 필요한 문서에 대해 자세히 알아보려면 체크리스트의 번역본은 문서 섹션을 참조하십시오. Pre-K for All 등록 페이지 (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) .,Program,Pre-K for All
"باستطاعة الأسر، عند تقديم الإقرارات الضريبية لعام 2024، المطالبة بهذا الخصم الضريبي بقيمة تبلغ 2,000 دولار بحد أقصى عن كل طفل مؤهل يقل عمره عن 17 عامًا. يمكن استرداد ما يصل إلى 1,700 دولار أمريكي، ويعني ذلك أنك يمكنك الحصول على المال حتى إذا لم تكن مطالبًا بسداد أي ضرائب.",يمكنك الحصول على مساعدة مجانية في تقديم الإقرار الضريبي بصورة شخصية من خلالالخدمة المجانية لإعداد الإقرارات الضريبية بمدينة نيويورك (NYC Free Tax Prep) (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .,,{'url': 'https://www.getyourrefund.org/'},راجع قائمة الوثائق (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) التي ستحتاجها عند تقديم إقراراتك الضريبية والمطالبة بالائتمان الضريبي للطفل.,Benefit,الائتمان الضريبي للطفل:
SCHE بزرگوں کے پراپرٹی ٹیکس میں کمی کرتا ہے جو ایک سے تین گھروں، کونڈوز، یا کوپ اپارٹمنٹس کے مالک ہیں اور آمدنی کے تقاضوں کو پورا کرتے ہیں۔,محکمہ مالیات کے بزنس سنٹر (http://www1.nyc.gov/site/finance/pay-now/person.page) میں ذاتی طور پر جا کر درخواست دیں۔,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE'},SCHE کے لیے درخواست دینے کے لیے آپ کو درج ذیل چیزوں کو ثابت کرنا ہو گا:\nآپ کی عمر: آپ کو سرکاری طور پر جاری شدہ آئی ڈی کی نقل کی ضرورت ہے\nآپ کی آمدنی: آپ کے وفاقی ٹیکس ریٹرنز اور تمام مالکان کے شیڈولز/اٹیچمنٹس کی نقول۔ \n آپ کی کٹوتیاں: \nجس سال کے لیے آپ آمدنی کا تعین جمع کروا رہے ہیں یا جب آپ نے اپنے شیڈول A کی نقل جمع کروائی اس سال سے آپ کے ادا کردہ، باز ادائیگی شدہ طبی بلوں کی رسیدوں کی نقول۔\nآپ کی درخواست پر منحصر ہے، آپ کو اعتماد کے معاہدے، وصیت یا دیگر قانونی دستاویزات کی ضرورت ہو سکتی ہے۔,Program,سینئر سٹیزن ہوم اونرز اگزیمپشن
"يرد إليك الائتمان الضريبي لرعاية الأطفال والمعالين ما يصل إلى 50% من تكلفة رعاية الطفل أو المعول البالغ. يمكنكم، عند تقديم إقراركم الضريبي لعام 2024، المطالبة بمبلغ يصل إلى 3,000$ مقابل نفقات الرعاية لفرد واحد من المستحقين و6,000$ عن كل فردين أو أكثر من المستحقين.",يمكنك الحصول على مساعدة مجانية في تقديم الإقرار الضريبي بصورة شخصية من خلالالخدمة المجانية لإعداد الإقرارات الضريبية بمدينة نيويورك (NYC Free Tax Prep) (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .,,{'url': 'https://www.getyourrefund.org/'},,Benefit,الائتمان الضريبي لرعاية الأطفال والمعالين
"Получите помощь в оплате продуктов питания от программы SNAP, ранее известной как программа выдачи продовольственных талонов. Средства зачисляются на дебетовую карту, которую можно использовать во многих продуктовых магазинах и на фермерских рынках.","\nРаспечатайте (https://otda.ny.gov/programs/applications/4826-RU.pdf) бумажное заявление (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , заберите его в центре SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) или позвоните в справочную службу HRA по номеру 718-557-1399 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) , чтобы получить бумажное заявление по почте.\nСоберите документы, которые вам нужно будет приложить к вашему заявлению.\nОтправьте заполненное заявление в ближайший центр SNAP. Вы можете сделать копии своих документов в центре.\nВы также можете подать заявление на участие в программе SNAP в офисе местной общественной организации (Community-Based Organization, CBO). Специалисты помогут вам подать заявление и собрать необходимые документы.","Посетите центр SNAP или офис местной общественной организации Посетите центр SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) или офис местной общественной организации (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) (Community-Based Organization, CBO), чтобы получить помощь лично.",{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},"В (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-russian.pdf) инструкциях по документам для программы SNAP описано, какие еще документы можно представить в качестве подтверждения.",Benefit,Supplemental Nutrition Assistance Program
SCHE lowers the property taxes of eligible seniors. You may be able to reduce your home's assessed value by 5-50% depending on your income.,Apply in person at aDepartment of Finance Business Center (http://www1.nyc.gov/site/finance/pay-now/person.page) .,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE'},"To apply for SCHE you will need to prove the following:\nYour age: you need a copy of a government-issued ID\nYour income: copies of federal tax returns and additional forms (schedules) for all owners. If any owners do not file a tax return, provide proof of yearly earnings.\nYour deductions:\nCopies of receipts for your paid medical bills not covered by insurance for your income documentation year, OR\nCopy of your Schedule A\nDepending on your application, you may need a trust agreement, will, or other legal documents.",Program,Senior Citizen Homeowners' Exemption
SCRIE는 자격이 있는 62세 이상 고령자가 임대료 동결을 통해 저렴한 거주지에 머물 수 있도록 돕습니다. 세입자는 동결된 임대료를 지급합니다. 부동산 세금 공제액을 통해 실제 임대료와 동결된 임대료의 차액을 해결합니다.,신청을 위해 가까운재무 지원 센터 부서(Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) 를 찾아보십시오. 센터 방문 예약을 해야 할 수 있습니다.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"SCRIE를 신청하려면 다음 내용을 증빙해야 합니다.\n자신의 연령,\n자신의 임대료(과거 및 현재 임대료 문서, 예: 임대 계약서 등),\n신청서를 제출하기 전년도(역년 기준)에 해당하는 본인(신청자)의 소득과 신청자 아파트에 거주한 가족 구성원 전원의 소득입니다. 예를 들어, 2018년에 대하여 신청서를 제출하는 경우 2017년의 가계 소득 정보를 포함해야 합니다. 소득 증빙 자료에는 다양한 서류가 포함될 수 있으며, 대표적인 예를 들면 다음과 같습니다.\n소득 신고서\n사회보장 수당\n1099/W2 명세서",Program,노령자 임대료 인상 면제
SCRIE ayuda a los ciudadanos elegibles mayores de 62 años a permanecer en viviendas económicas congelando su renta. Los inquilinos pagan la renta congelada. Un crédito de impuesto inmobiliario cubre la diferencia entre la renta real y la congelada.,Encuentre un Centro de Asistencia del Departamento de Finanzas (Department of Finance Assistance Center) (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) cerca de usted para presentar su solicitud. Deberá programar una cita en un centro.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page'},"Para solicitar la SCRIE, deberá comprobar lo siguiente:\nSu edad,\nSu renta (documentos de renta actuales y anteriores; p. ej. contratos de renta, etc.),\nSus ingresos y los de todos los integrantes del hogar que vivieron en su apartamento durante el año calendario anterior a la presentación de su solicitud. Por ejemplo, una solicitud presentada en 2018 deberá incluir información de los ingresos del hogar durante el año 2017. La prueba de ingresos puede incluir, entre otros documentos:\nDeclaraciones de impuestos\nBeneficios de Seguro Social\nDeclaración 1099/W2",Program,Exención del Aumento del Alquiler para Ciudadanos de Edad Avanzada
섹션 8은 민간 시장에서 임대하기를 원하는 중저소득층 가정을 위해 임대료 일부를 지급합니다. 이 프로그램의 수혜 자격은 가족의 소득과 가족 규모를 기준으로 선정합니다. 일반적으로 가족은 월 소득의 40% 이상을 임대료로 지급하지 않습니다. NYCHA는 재산 소유주에게 나머지 금액을 지급합니다.,,사무소를 방문해주십시오 고객 문의 센터를 방문해일정을 예약해 주십시오. (https://wb-nycha.qmatic.cloud/),,,,섹션 8 - 주택 선택 바우처 프로그램
