cb_office_phone,community_board,cb_precinct_phone_s,cb_office_fax,cb_board_meeting,nta,cb_cabinet_meeting,:@computed_region_sbqj_enih
(718) 389-0009,Community Board 1,90: (718) 963-5311 94: (718) 383-3879,(718) 389-0098,"Second Tuesday, 6:30pm",East Williamsburg,"Third Thursday, 10:30am",57
(212) 864-6200,Community Board 9,26: (212) 678-1311 30: (212) 690-8811,(212)662-7396,"Third Thursday, 6:30PM",Manhattanville,"Second Wednesday, 10:00AM",17
(718) 745-6827,Community Board 10,(718) 439-4211,(718) 836-2447,"Third Monday (fourth Monday in January and February), 7:00pm",Bay Ridge,Per agenda,41
(718) 884-3959,Community Board 8,(718) 543-5700,(718) 796-2763,"Second Tuesday, 7:30pm",North Riverdale-Fieldston-Riverdale,"First Tuesday, 9:30am",33
718-981-6900,Community Board 1,120 - (718) 876-8500 121 - (718) 697-8700,(718) 720-1342,"Second Tuesday, 8:00pm",Stapleton-Rosebank,,74
(718) 628-8400,Community Board 4,(718) 574-1605,(718) 628-8619,"Third Wednesday, 6:00pm",Bushwick South,"Second Wednesday, 10:00am",53
(718) 760-3141,Community Board 4,(718) 476-9311,(718) 760-5971,"Second Tuesday, 7:30 PM",Corona,"Third Wednesday, 10:30 AM",68
(718) 366-1834,Community Board 5,(718) 386-3004,(718) 417-5799,"Second Wednesday, 7:30 PM",Glendale,"First Wednesday of every other month, 10:00 AM",62
(718) 266-3001,Community Board 13,(718) 946-3311,(718) 266-3920,"Fourth Wednesday, 7:00pm",West Brighton,"First Thursday, 9:30am",35
(718) 378-8054,Community Board 3,(718) 402-3887,(718) 378-8188,"Second Tuesday, 6:00pm",Morrisania-Melrose,"First Thursday, 9:30am",25
(718) 533-8773,Community Board 2,(718) 784-5411,(718) 533-8777,"First Thursday, 6:30 PM",Hunters Point-Sunnyside-West Maspeth,"Fourth Tuesday, 10:00 AM",66
(718) 892-1161,Community Board 10,(718) 822-5411,,"Third Thursday, 7:00pm",Schuylerville-Throgs Neck-Edgewater Park,"Third Tuesday, 10:00am",28
(718) 643-3027,Community Board 6,76 - (718) 834-3211 78 - (718) 636-6411,(718) 624-8410,"Second Wednesday, 6:30pm",Carroll Gardens-Columbia Street-Red Hook,"First Wednesday of every other month, 9:30am",48
(718) 892-6262,Community Board 11,(718) 918-2000,,"Fourth Thursday, 7:00pm",Van Nest-Morris Park-Westchester Square,"Second Thursday, 1:00pm",32
(212) 319-3750,Community Board 6,13: (212) 477-7411 17: (212) 826-3211,,"Second Wednesday, 7:00pm",Turtle Bay-East Midtown,"Last Thursday, 10:30am",9
718 356-7900,Community Board 3,(718) 948-9311,(718) 966-9013,"Fourth Tuesday, 7:30pm",Rossville-Woodrow,,77
(718) 467-5574,Community Board 8,77: (718) 735-0611 78: (718) 636-6411,(718) 778-2979,"Second Thursday, 7:00pm",Crown Heights North,Per agenda,49
(718) 385-0323,Community Board 16,(718) 495-5411,(718) 342-6714,"Fourth Tuesday, 7:00pm",Brownsville,"Second Wednesday, 9:30am",46
(718) 332-3008,Community Board 15,(718) 627-6611,(718) 648-7232,"Last Tuesday, 7:00pm",Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"Third Thursday, 9:30am",36
(718) 859-6357,Community Board 14,(718) 851-5511,(718) 421-6077,"Second Monday, 7:30pm",Midwood,"First Wednesday of every other month, 11:00am",43
(718) 778-9279,Community Board 9,(718) 735-0511,(718) 467-0994,"Fourth Tuesday, 7:00pm",Crown Heights South,"Third Wednesday, 9:30am",44
(718) 364-2030,Community Board 5,(718) 220-5211,(718) 220-1767,"Fourth Wednesday, 6:00pm",Kingsbridge Heights,"Second Wednesday, 10:00am",34
(718) 434-3461,Community Board 17,(718) 287-3211,(718) 467-4113,"Third Wednesday, 7:00pm",East Flatbush-Farragut,Per agenda,40
(718) 843-4488,Community Board 10,(718) 845-2211,(718) 738-1184,"First Thursday, 7:45pm",South Ozone Park,"First Tuesday of every other month, 9:30am",64
(212) 831-8929,Community Board 11,23: (212) 860-6411 25: (212) 860-6511,,"Third Tuesday, 6:30PM",East Harlem North,"Second Tuesday, 10:30AM",16
(212) 568-8500,Community Board 12,33: (212) 927-3272 34: (212) 927-9711,(212) 740-8197,"Fourth Tuesday, 6:30PM",Washington Heights South,"Third Thursday, 10:00 AM",21
(718) 299-0800,Community Board 4,(718) 590-5511,(718) 294-7870,"Fourth Tuesday, 6:00pm",Mount Hope,"Third Wednesday, 9:30am",27
(718) 944-3300,Community Board 12,(718) 920-1211,(718) 944-3310,"Fourth Thursday, 7:00pm",Williamsbridge-Olinville,"First Tuesday, 1:00pm",30
(718) 658-3308,Community Board 12,103 - (718) 657-8181 113 - (718) 712-7733,(718) 739-6997,"Third Wednesday (December; Second Wednesday), 7:00pm",Jamaica,"Fourth Wednesday, 10:00am",61
(212) 736-4536,Community Board 4,10: (212) 741-8211 13: (212) 477-7411 MSP: (212) 239-9811 MNP: (212) 767-8400,(212) 947-9512,"First Wednesday, 6:30pm",Hudson Yards-Chelsea-Flatiron-Union Square,"Third Wednesday, 10:00am",6
(718) 823-3034,Community Board 9,(718) 542-0888,(718) 823-6461,"Third Thursday, 7:00pm",Soundview-Castle Hill-Clason Point-Harding Park,"Third Tuesday, 1:00pm",26
(212) 465-0907,Community Board 5,10: (212) 741-8211 MSP: (212) 239-9811 MNP: (212) 767-8400,(212) 465-1628,"Second Thursday, 6:00pm",Midtown-Midtown South,First Thursday at 10:00am,8
(718) 596-5410,Community Board 2,84: (718) 875-6811 88: (718) 636-6511,(718) 852-1461,"Second Wednesday, 6:00pm",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Per agenda,54
(718) 458-2707,Community Board 3,(718) 533-2002,(718) 458-3316,"Third Thursday, 7:30 PM",Jackson Heights,"First Friday, 10:30 AM",73
(718) 622-6601,Community Board 3,79: (718) 635-6611 81: (718) 574-0411,(718) 857-5774,"First Monday, 7:00pm",Crown Heights North,"Fourth Thursday, 9:30am",51
(212) 533-5300,Community Board 3,5: (212) 334-0711 7: (212) 477-7311 9: (212) 477-7811,(212) 533-3659,"Fourth Tuesday, 6:30pm",East Village,"Second Tuesday, 2:30pm",5
(718) 286-2686,Community Board 9,(718) 805-3200,(718) 286-2685,"Second Tuesday, 7:45pm",Kew Gardens,"Third Thursday, 10:00am",60
(718) 328-9125,Community Board 2,(718) 542-4771,(718) 991-4974,"Last Wednesday, 6:00pm",Hunts Point,"Third Wednesday, 1:00pm",24
(718) 264-7895,Community Board 8,(718) 969-5100,(718) 264-7910,"Second Wednesday, 7:30pm",Jamaica Estates-Holliswood,"First Wednesday, 9:30am",65
(718) 471-7300,Community Board 14,100 - (718) 318-4200 101 - (718) 868-3400,(718) 868-2657,"Second Tuesday, 7:00pm",Far Rockaway-Bayswater,"First Thursday of every other month, 9:30 am",59
(718) 851-0800,Community Board 12,(718) 851-5611,(718) 851-4140,"Fourth Tuesday, 7:00pm",Borough Park,"Third Tuesday of every other month, 9:30am",39
(212) 758-4340,Community Board 8,19: (212) 452-0600 CPP: (212) 570-4820,(212)758-4616,"Third Wednesday, 6:30PM",Upper East Side-Carnegie Hill,"Last Tuesday, 10:00AM",11
(212)602-6300,Community Board 1,1: (212) 334-0611 5: (212) 334-0711 7: (212) 477-7311,,"Fourth Tuesday, 6:00pm",Chinatown,"Third Tuesday, 11:00am",2
(718) 464-9700,Community Board 13,(718) 776-9090,(718) 264-2739,"Fourth Monday, 7:30pm",Queens Village,"Third Wednesday, 10:00am",63
