latitude,renewal,community_board,application_type,phone
,False,,CL2 - Broker,(914) 664-4791
40.678738,True,6.0,CL2 - Broker,(718) 644-2355
,True,,CL2 - Broker,801-244-8438
,False,,CL2 - Broker,(914) 664-4791
,True,,CL2 - Broker,973-222-0145
,True,,CL2 - Broker,410-688-5573
,True,,CL2 - Broker,(215) 269-2126
,True,,CL2 - Broker,609-298-0770
,False,,CL2 - Broker,609-289-8058
,True,,CL2 - Broker,(866) 973-3823
,False,,CL2 - Broker,718-233-9239
40.713136,True,1.0,CL2 - Broker,(718) 533-5100
,True,,CL2 - Broker,718-665-0770
,True,,CL2 - Broker,(212) 381-4944
,True,,CL2 - Broker,(413) 263-6010
,True,,CL2 - Broker,(610) 892-0200
,True,,CL2 - Broker,866-783-7422
,True,,CL2 - Broker,(732) 613-1660
,True,,CL2 - Broker,(201) 582-3334
,False,,CL2 - Broker,914-512-1563
,True,,CL2 - Broker,801-244-8438
,True,,CL2 - Broker,(972) 464-0004
,True,,CL2 - Broker,610-745-1299
,True,,CL2 - Broker,(716) 681-6433
,True,,CL2 - Broker,502-643-2285
,True,,CL2 - Broker,718-262-0011
,True,,CL2 - Broker,(330) 856-8800
,True,,CL2 - Broker,(215) 258-3822
,True,,CL2 - Broker,(973) 214-2100
40.752262,True,5.0,CL2 - Broker,(855) 843-4300
,True,,CL2 - Broker,(716) 681-6433
,True,,CL2 - Broker,(917) 837-4079
,True,,CL2 - Broker,(973) 305-6646
40.721251,True,5.0,CL2 - Broker,(646) 515-5160
,True,,CL2 - Broker,(203) 883-9433
,True,,CL2 - Broker,610-745-1299
,True,,CL2 - Broker,(617) 628-8098
,True,,CL2 - Broker,(718) 797-3330
,False,,CL2 - Broker,718-456-5000
40.631287,False,17.0,CL2 - Broker,347-733-6179
,True,,CL2 - Broker,(203) 883-9433
,True,,CL2 - Broker,732-241-7805
,False,,CL2 - Broker,609-261-8036
40.763319,True,8.0,CL2 - Broker,7187498761
,True,,CL2 - Broker,(855) 603-2273
,True,,CL2 - Broker,(973) 777-0600
,True,,CL2 - Broker,609-618-3042
,True,,CL2 - Broker,610-430-6920
,True,,CL2 - Broker,(631) 543-7674
40.62308,True,14.0,CL2 - Broker,(718) 377-1107
,True,,CL2 - Broker,631-786-0051
,True,,CL2 - Broker,(917) 837-4079
,True,,CL2 - Broker,(302) 219-5271
,True,,CL2 - Broker,973-525-4260
,False,,CL2 - Broker,609-261-8036
,True,,CL2 - Broker,(302) 219-5271
40.622563,False,12.0,CL2 - Broker,2129700633
,False,,CL2 - Broker,212-416-4817
,False,,CL2 - Broker,(216)354-1950
40.708631,True,1.0,CL2 - Broker,(646) 762-8882
,True,,CL2 - Broker,(610) 892-0200
,True,,CL2 - Broker,(862) 579-0366
,True,,CL2 - Broker,(203) 273-6575
,True,,CL2 - Broker,(770) 772-9595
40.631287,False,17.0,CL2 - Broker,347-733-6179
40.708631,True,1.0,CL2 - Broker,833-787-4636
,True,,CL2 - Broker,(631) 543-7674
,False,,CL2 - Broker,609-289-8058
,True,,CL2 - Broker,631-473-0330
,False,,CL2 - Broker,914-512-1563
,False,,CL2 - Broker,212-416-4817
,True,,CL2 - Broker,(516) 808-9610
,True,,CL2 - Broker,866-783-7422
40.624164,True,12.0,CL2 - Broker,(718) 951-3300
40.713136,True,1.0,CL2 - Broker,(718) 533-5100
,True,,CL2 - Broker,631-473-0330
,True,,CL2 - Broker,732-366-9355
,True,,CL2 - Broker,(631) 608-8810
,True,,CL2 - Broker,(212) 381-4944
,False,,CL2 - Broker,973-303-1200
,True,,CL2 - Broker,(631) 470-5931
40.62308,True,14.0,CL2 - Broker,(718) 377-1107
40.678738,True,6.0,CL2 - Broker,(718) 644-2355
,True,,CL2 - Broker,732-366-9355
,True,,CL2 - Broker,631-786-0051
40.763319,True,8.0,CL2 - Broker,7187498761
,True,,CL2 - Broker,(973) 214-2100
,True,,CL2 - Broker,917-620-5287
,True,,CL2 - Broker,(585) 924-9640
,False,,CL2 - Broker,(914) 664-4791
,True,,CL2 - Broker,(973) 305-6646
,True,,CL2 - Broker,203-624-9461
,False,,CL2 - Broker,718-456-5000
,True,,CL2 - Broker,203-624-9461
,True,,CL2 - Broker,(480) 627-2700
40.708631,True,1.0,CL2 - Broker,(646) 762-8882
,True,,CL2 - Broker,(631) 209-4245
,True,,CL2 - Broker,404-360-4497
,True,,CL2 - Broker,313-824-5848
,True,,CL2 - Broker,917-620-5287
,True,,CL2 - Broker,410-688-5573
40.624164,True,12.0,CL2 - Broker,(718) 951-3300
,True,,CL2 - Broker,313-824-5848
,True,,CL2 - Broker,(267) 308-0123
,True,,CL2 - Broker,866-858-3867
,True,,CL2 - Broker,973-222-0145
40.65601,False,10.0,CL2 - Broker,(718) 825-6840
,True,,CL2 - Broker,610-430-6920
,True,,CL2 - Broker,(201) 891-7173
,True,,CL2 - Broker,(631) 209-4245
