file_num,summary,intro_date
Int 1008-2024,This bill would eliminate the $340 fee for a license or permit to carry or possess a pistol or revolver in the city.,2024-08-15T00:00:00.000
Int 1094-2024,"This bill would require the Department of Education, the Department of Health, the Police Department, the Administration for Children’s Services, the Mayor’s Office to End Domestic and Gender-Based Violence and service providers who work with families and contract with such agencies conduct culturally competent training for all staff on recognizing the signs of female genital mutilation and cutting, including with regard to information on resources for individuals who have undergone physical or psychological trauma.",2024-10-23T00:00:00.000
Int 1177-2025,"The Health Code currently requires certain chain restaurants to post sodium warnings when they sell food containing high sodium. This bill would codify that rule in the Administrative Code and expand it to include all restaurants, regardless of the number of locations. Additionally, this bill would expand the requirement to post added sugar notifications to all restaurants.",2025-01-23T00:00:00.000
Int 1007-2024,"A Community Land Trust (CLT) is a non-profit, community-run organization that can acquire and develop land usually with the goal of promoting permanent affordable housing and stabilizing housing markets. This bill would permit City agencies to enter into regulatory agreements with CLTs that cover more uses beneficial to the local community beyond housing, such as manufacturing and commercial uses the development of open space and community gardening.",2024-08-15T00:00:00.000
Int 1201-2025,"This bill would update an existing local law on the prevention of interference with access to reproductive health care facilities, by prohibiting activities that prevent access to facilities offering gender-affirming care. Unlawful actions may subject a person to criminal charges or civil suits. The bill would update cross-references to this local law that exist in another section of the Administrative Code. This bill would also expand a person’s private right of action for interference with reproductive or endocrine medical care when a lawsuit is commenced against the person on the basis of this care, to explicitly include all forms of gender-affirming care. Along with expanding this private right of action, the relevant chapter of the Administrative Code is redesignated to prevent confusion with an identically numbered chapter.",2025-02-27T00:00:00.000
Int 1071-2024,This bill would amend the existing reporting requirements regarding multi-agency emergency housing assistance to include reporting on referrals to HRA domestic violence shelters disaggregated by household type and source of referral. This bill would also require reporting on transfers between city-administered facility systems and exits from HRA-administered domestic violence shelters including domestic violence emergency shelters and domestic violence tier II shelters.,2024-10-10T00:00:00.000
Int 1043-2024,This bill would require the department of health and mental hygiene to create and implement a public awareness strategy to offer overdose prevention and reversal training for the general public to public health sanitarians of the department and to teaching staff of child care programs.,2024-09-12T00:00:00.000
Int 1096-2024,"This bill would amend the Administrative Code to preserve health care choice for retirees from city service. The bill provides that the City must offer Medicare-eligible City retirees and their Medicare-eligible dependents at least one Medigap plan with benefits equivalent to or better than those available to City retirees and their dependents as of December 31, 2021.",2024-10-23T00:00:00.000
Int 1063-2024,"This bill would make amendments to the Third Party Transfer (“TPT”) program. Through the TPT program, the City forecloses on financially and physically distressed properties and transfers them to a third party for rehabilitation. This bill would expand the definition of distressed properties, create additional notice requirements to property owners and building residents, and provide opportunities for building owners to avoid the transfer of their property in particular circumstances, among other changes to the program.",2024-09-26T00:00:00.000
Int 1053-2024,"This bill would require the New York City Department for the Aging (DFTA) to conduct a feasibility study regarding the creation of older adult information points. Older adult information points would serve as physical locations where older adults can receive information concerning DFTA services and programming. In the feasibility study, DFTA would be required to identify potential locations in each borough for the creation of older adult information points. The feasibility study would also identify considerations for locating proposed sites and potential services that could be provided at older adult information points. Additionally, the feasibility study would require DFTA to assess the potential benefits and constraints in establishing older adult information points. Finally, this bill would require DFTA to submit a report to the Mayor and Speaker of the Council regarding the findings of the feasibility report, and to post the report on DFTA’s website.",2024-09-26T00:00:00.000
Int 1169-2025,"This bill would require that syringe exchange program staff provide guidance to each program participant regarding safe disposal practices for needles, syringes, and sharps. Such guidance would include information about safe needle, syringe and sharp disposal sites located in the surrounding community. The bill would also require that syringe exchange program staff maintain safe needle, syringe, and sharp disposal receptacles in each program location in areas that are publicly accessible at all times, and that the Department of Health and Mental Hygiene (DOHMH) and syringe exchange programs contracted with DOHMH create and implement a plan that ensures that needles, syringes, and sharps provided by each program are collected and safely disposed of following their use. The bill requires DOHMH to publish on its website information regarding the number of needles, syringes, and sharps provided by each syringe exchange program to program participants, and the number of discarded or used needles, syringes, and sharps collected by such programs. Such information would be published on a monthly basis.",2025-01-23T00:00:00.000
Int 1176-2025,"This bill would regulate the Police Department’s response to public gathering at which individuals are expressing rights protected by the First Amendment to the United States Constitution and Article I, Section 8 of the New York State Constitution. Specifically, the bill would prohibit the deployment the Police Department’s Strategic Response Group to such events, and generally prohibit the Strategic Response Group from being used for crowd control purposes.  Additionally, the bill would prohibited the Police Department from using certain police tactics when responding to first amendment events, or for the purpose of conducting crowd control.  Finally, the bill would require the Police Department to publish a quarterly report on officer deployment in response to first amendment events.",2025-01-23T00:00:00.000
Int 1159-2025,"This bill would require the Department of Parks and Recreation (Parks) to report on any instance where it has waived the requirement that a development plant a certain number of street trees along its lot. This report would include each time a waiver has been granted, which type of alternate compliance has been used, and the locations of any trees that have been planted off-site to account for the waived trees.",2025-01-08T00:00:00.000
Int 1039-2024,This bill would prohibit a bike share company from charging a bike share member more than the base fare of a subway ride to use an e-bike for 1 hour or less or to use a regular bicycle for 2 hours or less.,2024-09-12T00:00:00.000
Int 1132-2024,"This bill would require the Department of Small Business Services (SBS), together with the Office for Administrative Trials and Hearings (OATH) to determine, on an annual basis, the most common types of regulatory violations issued to businesses in each Community District. SBS would also be required to develop specially tailored regulatory compliance services for small businesses in each Community District, and to annually report on its findings, programming, and recommendations in relation to geographic trends in regulatory compliance challenges.",2024-12-05T00:00:00.000
Int 1055-2024,"This bill would protect non-traditional families and relationships by prohibiting discrimination on the basis of “family or relationship structure” in employment, housing, and public accommodations.",2024-09-26T00:00:00.000
Int 1200-2025,"This bill would require the city to administer a public education program to inform the public about the legal rights and resources available to TGNCNBI individuals. The public education program would provide information on protections against discrimination and harassment related to gender, sexual orientation, and sexual and reproductive health decisions. It would also include information on hate crime protections, access to gender-affirming care, community-based organizations offering support services for TGNCNBI individuals, and legal name and gender marker changes.",2025-02-27T00:00:00.000
Int 1172-2025,This bill would require the Commissioner of Health and Mental Hygiene to establish a pet food pantry in at least one location for at least 12 months. It would also require the Commissioner to deliver a report on the impact of the pilot program and feasibility of continuing or expanding the program.,2025-01-23T00:00:00.000
Int 1203-2025,"This bill would require the Chair of the Commission on Gender Equity to work with the Director of the Office of Immigrant Affairs and the Commissioner of Youth and Community Development to develop a plan for the City to provide support to newly arrived migrants 24 years old and younger in the city and newly arrived migrants who are transgender, gender non-conforming, non-binary, and intersex. The plan would review the particular needs of these communities, what resources exist for them, and recommendations on how to address any gaps in city resources. The bill would require the Chair of the Commission on Gender Equity to submit the plan to the Mayor and the Speaker of the Council no later than 1 year after the effective date of the local law.",2025-02-27T00:00:00.000
Int 1002-2024,"This bill would require all schools to stock airway clearance devices. Additionally, for each school year, this bill would require the Department of Education to report the number of airway clearance devices made available in each school building and the number of instances airway clearance devices were used during an emergency, disaggregated by school building. However, such reporting requirement would cease after 5 years.",2024-08-15T00:00:00.000
Int 1149-2024,"This bill would require all written information at ferry terminals regarding ferry schedules, fares, and tickets to be provided in the designated citywide languages and any other language deemed appropriate.",2024-12-19T00:00:00.000
Int 1011-2024,This bill would require the Department of Information Technology and Telecommunications to submit four quarterly reports to the Mayor and the Speaker of the Council on the number of complaints received by the 311 Customer Service Center about residential spaces used as businesses. The report would include the number of complaints disaggregated by the Council district and by a description of the issue. It would also include the status of each complaint.,2024-08-15T00:00:00.000
Int 1097-2024,"This bill would require retail stores that primarily sell food for off-site consumption and retail stores that include a pharmacy to accept flexible benefits cards distributed by health insurance providers. This requirement would only apply to such retail stores that currently accept credit or debit cards. The Department of Consumer and Worker Protection (“DCWP”) would be required to provide outreach and education on this requirement. For any violation that occurs within one year of this requirement becoming law, DCWP would issue a warning. After one year, DCWP may issue a civil penalty of $250 for a first violation and $500 for any subsequent violation within 18 months of a previous violation.",2024-10-23T00:00:00.000
Int 1031-2024,"This bill would require agencies that issue vacate orders—specifically, Department of Buildings (DOB), Department of Health and Mental Hygiene (DOHMH), Department of Housing Preservation and Development (HPD), and New York City Fire Department (FDNY) — to provide documentation about vacate orders, including the reason for an order and the date it was issued, to affected occupants upon request. Occupants who were required to leave a building due to a vacate order would be allowed to submit a request for documentation online and by mail to the agency that issued the order, and the agency would be required to provide the requested documentation within 14 days of receipt of the request.",2024-09-12T00:00:00.000
Int 1089-2024,"This bill would amend the Earned Safe and Sick Time Act to include the care of a companion or service animal that needs medical diagnosis, care or treatment of a physical illness, injury or health condition as a covered use of sick time.",2024-10-23T00:00:00.000
Int 1180-2025,This bill would limit the deduction a building owner can take due to the purchase of renewable energy credits in order to comply with Local Law 97 of 2019. A building would be limited to using RECs to offset any excess of its annual building emissions limits for up to 10% of the building’s electricity emissions.,2025-02-13T00:00:00.000
Int 1115-2024,"This bill would require the Department of Sanitation, with the Department of Citywide Administrative Services and the Department of Education to create a program that would require City-owned non-residential buildings dispose of their waste in containerized waste receptacles placed outside of such buildings, by June 1, 2030.",2024-11-21T00:00:00.000
Int 1042-2024,"This bill would require the Department of Health and Mental Hygiene (DOHMH) to annually report on training provided to employees of DOHMH who inspect child care programs, including the types of training required, the types of training made available for voluntary participation, the entity that provides each type of training, how often each training is required or made available, and any other information DOHMH deems relevant.",2024-09-12T00:00:00.000
Int 1061-2024,This bill would amend the Department of Correction’s semi-annual reports on alleged incidents and investigations of sexual harassment and abuse to require a single report on incidents and investigations that includes a unique identification number for each alleged incident. It would also require the Department to provide a justification for not reporting any substantiated allegations to a District Attorney’s office.,2024-09-26T00:00:00.000
Int 1021-2024,"This bill would suspend alternate side parking regulations on September 11th of each year, also known as Patriot Day.",2024-09-12T00:00:00.000
Int 1058-2024,"This bill would require the Department of Parks and Recreation to consult with the Department of Education (DOE) to conduct a feasibility study on how high school students, could be trained and developed with the goal of preparing those students to become lifeguards at City managed beaches and pools. The study would have to be submitted to the Mayor and the Speaker of the Council no later than July 1, 2025.",2024-09-26T00:00:00.000
Int 1036-2024,"This bill would require the Department of Correction to issue quarterly public reports on people in custody who have been ordered to undergo a mental health evaluation pursuant to Section 730 of the New York Criminal Procedure Law. Among other things, information in these reports would include the number of people in custody who have been ordered to undergo mental health evaluations, the housing area type where these individuals are being detained, and the average length of time spent in custody.",2024-09-12T00:00:00.000
Int 1124-2024,"This bill would prohibit the sale of disposable electronic cigarettes (e-cigarettes). The prohibition would be enforced by the Department of Health and Mental Hygiene, the Department of Consumer and Worker Protection, and the Department of Finance. Violations of the ban on disposable e-cigarettes would be punishable by civil penalties, license suspension, seizure, and sealing.",2024-11-21T00:00:00.000
Int 1075-2024,"This bill would require each borough president, in coordination with the Civic Engagement Commission, to conduct annual trainings on the legislative processes of the New York City Council and New York State Legislature and on rules of parliamentary procedure, including Robert’s Rules of Order, for members and district managers of community boards within their respective borough. The bill would also require that each borough president make these trainings available to members of precinct community councils and members of community district education councils, and to the boards of directors of district management associations for business improvement districts, within their respective borough.",2024-10-10T00:00:00.000
Int 1056-2024,"This bill would require the Department of Mental Health and Hygiene, in collaboration with the Department of Education and community based organizations, to conduct an annual LGBTQIA+ competency training for public school medical personnel. This training would be required for DOHMH employees and contractors and be offered to Department of Education employees and contractors and would focus on health concerns for the community including gender and sexuality affirming care and a list of referrals and resources to help medical personnel connect students with such care. This bill would also require reporting on attendance of such training.",2024-09-26T00:00:00.000
Int 1119-2024,"This bill would update section 40 of the Charter to reflect the creation of the Twelfth and Thirteenth Judicial Districts. Currently, section 40 permits any supreme court justice “in the first, second or eleventh judicial district” to resolve disputes regarding the validity of voter petitions to amend the Charter. When the Legislature reassigned Bronx County to the Twelfth District and Richmond County to the Thirteenth District, it did not update section 40 accordingly. This bill would make the necessary updates to section 40 to clarify that justices in Bronx and Richmond Counties continue to be able to resolve disputes regarding the validity of Charter amendment petitions.",2024-11-21T00:00:00.000
Int 1078-2024,"This bill would prohibit any person from selling or offering for sale a physical gift card that is usable at multiple affiliated merchants or at multiple unaffiliated merchants unless it is equipped with chip-and-PIN technology. Any person who violates this prohibition would be liable for a civil penalty of not less than $500 nor greater than $1,000 that would be recoverable in a proceeding before the Office of Administrative Trials and Hearings.",2024-10-10T00:00:00.000
Int 1052-2024,"This bill would require expansion of the foster youth experience survey that the Administration for Children’s Services (ACS) is required to distribute annually to foster youth, to include questions about the treatment of foster youth by foster placements and ACS employees  related to their gender expression, gender identity, sex characteristics, and sexual orientation. The bill would also require ACS to allow foster youth to express any grievances about their interactions with ACS employees, and require ACS to provide the option to foster youth to provide anonymous responses to the survey.",2024-09-26T00:00:00.000
Int 1033-2024,"This bill would require the Department of Education (DOE) to develop and implement an education and outreach campaign targeting families with children who are eligible to enroll in 3-K or pre-K. DOE would be required to provide the public with information on the benefits of early childhood education, how to apply to 3-K and pre-K, and 3-K and pre-K programs with available seats. Additionally, DOE would be required to collaborate with the New York City Housing Authority, Department of Social Services, and Administration for Children’s Services in its outreach efforts.",2024-09-12T00:00:00.000
Int 1160-2025,"This bill would require the Department of Transportation (“DOT”) to ensure, where practicable, that pavement markings or temporary markings are installed on a street within 5 business days after the street is resurfaced. This bill would also require an annual report on March 1 of each year from DOT to the mayor and the speaker of the council on the number of streets where pavement markings were installed, the percentage of such streets where pavement markings or temporary markings were installed within 5 business days after resurfacing, and for any resurfacing where pavement markings or temporary markings were not installed within 5 business days, the reason for the delay. The requirement for the installation of markings within 5 business days will take effect at the same time that the resurfacing timeline in Proposed Int. No. 552-A takes effect, while the annual reporting requirement will take effect at the same time that the notice requirement in Proposed Int. No. 552-A takes effect.",2025-01-08T00:00:00.000
Int 1146-2024,This bill would require the Department of Health and Mental Hygiene to establish a Newborn Home Visiting Program and ensure that such program is available to 75 percent of all Taskforce on Racial Inclusion & Equity identified neighborhoods within 3 years of the effective date of the bill and to be available in 100% of such neighborhoods within 5 years. The bill would also require the Department to submit two progress reports to the Mayor and the Speaker of the Council detailing the availability of the program in priority neighborhoods.,2024-12-19T00:00:00.000
Int 1017-2024,"This bill would require a study on the feasibility of expanding ferry service directly to Coney Island, with particular consideration to study the possible use of the Steeplechase Pier for such ferry service.",2024-09-12T00:00:00.000
Int 1152-2024,This bill would prohibit the sale of flavored cigarettes and flavored nicotine pouches. The bill imposes civil penalties for violations of the prohibition of sale.,2024-12-19T00:00:00.000
Int 1026-2024,"This bill would require the Department of Correction to report separately on in-person and tele-visits and provide more detailed reporting on the reasons jail visits are not completed. The bill would also require the Department of Correction to record interactions in which a person in custody is informed about a visitor and refuses to attend the visit and, upon request, provide those video recordings to defense attorneys.",2024-09-12T00:00:00.000
Int 1010-2024,"This bill would require Department of Parks and Recreation (Parks) to place surveillance cameras in at least 10 city parks where there are frequent complaints of illegal all-terrain vehicle or dirtbike usage or where the commissioner otherwise has reason to believe that damage to park property may occur as a result of such usage. Within a year of the law’s enactment, Parks must report to the mayor and the Council on the effectiveness of the program, whether more resources are needed to deter illegal vehicle use in parks, and whether a permanent program would benefit from greater coordination with other city departments.",2024-08-15T00:00:00.000
Int 1079-2024,This bill would require the New York City Police Department (NYPD) to retrieve previously unreported sexual offense evidence collection kits from their storage location within 7 days of a survivor providing consent for such retrieval. This bill would also require NYPD to report annually on the timeframe between receiving a survivor’s consent for the retrieval of a sexual offense evidence kit and the NYPD’s retrieval of such kit.,2024-10-10T00:00:00.000
Int 1049-2024,This bill would prohibit the initiation of a transaction that would result in a preauthorization hold in connection with the sale or offer for sale of any petroleum product for use in motor vehicles or motor boats unless the retailer posts written notice of the preauthorization hold in a conspicuous manner at the place where payment is accepted. The Commissioner of the Department of Consumer and Worker Protection would set by rule the information in the notice and manner in which the notice must be displayed.,2024-09-26T00:00:00.000
Int 1135-2024,This bill would require third-party grocery delivery services to pay their grocery delivery workers a minimum pay rate that would meet or exceed the minimum pay rate established by the Department of Consumer and Worker Protection that must be paid to food delivery workers.,2024-12-05T00:00:00.000
Int 1105-2024,"This bill would require the Department of Transportation, upon submission of its annual streets plan update, to post on its website a description of all projects planned for that year that will contribute to the requirements of the streets master plan, and the contribution each project will make to those requirements. The Department would also be required to provide monthly updates on the progress of each project including their current status, the actual and estimated start and completion dates, community board presentations if applicable, project funding, and whether any delays or cost overruns have occurred.",2024-11-13T00:00:00.000
Int 1136-2024,"This bill would require that when the Department of Transportation (DOT) is engaged in street work that reduces the number of available parking spaces, alternate side of the street parking rules would be suspended within a 2 block radius of any parking space that has become unavailable due to such work. DOT would also be required to post signs within the designated area indicating that the rules have been suspended. Lastly, prior to the suspension, DOT would also be required to post on its website and to notify the Department of Sanitation, Police Department, and Department of Finance of the time and place of the suspension.",2024-12-05T00:00:00.000
Int 1155-2024,"This bill would mandate the Department of Housing Preservation and Development (HPD) to create a resource guide on shared driveways. The resource guide would include information on how to determine whether a property includes a shared driveway, resources for dispute resolution, and any other information HPD deems to be appropriate. HPD would be required to post the resource guide on its website.",2024-12-19T00:00:00.000
Int 1085-2024,"This bill would require the New York City Sheriff to post annually on the Department of Finance’s website a watch list of commercial property owners determined within the past year, through payment of civil penalties or a hearing decision of the Office of Administrative Trials and Hearings (OATH), to have knowingly leased premises to unlicensed sellers of cigarettes, electronic cigarettes, tobacco products, or illicit cannabis. The Sheriff would have to coordinate with the Police Commissioner, Commissioner of Consumer and Worker Protection, and the Chief Administrative Law Judge to produce this list. The list would contain the name of the owner; the address of each premises that is the subject of a violation determination; for each premises, the number of times a determination occurred within the previous year, disaggregated by type of sale; and the number of times the owner was the subject of a violation determination within the past 5 years.",2024-10-10T00:00:00.000
Int 1102-2024,"This bill would require certain stores to have a bin for collection of unwanted reusable bags. Returned reusable bags, if in good condition, would be sanitized and reused by the store for future consumers.",2024-11-13T00:00:00.000
Int 1069-2024,"The proposed legislation would limit parking of commercial vehicles that are tractor-trailer combinations, tractors, truck trailers or semi-trailers to no more than 90 minutes.",2024-09-26T00:00:00.000
Int 1158-2024,"This bill would require the Police Commissioner to establish procedures for blood alcohol level testing of each uniformed member of the Police Department who, whether on or off duty, discharges a firearm within New York City in a manner that results in physical injury to or death of an individual. The bill would also require the Police Commissioner to include these procedures in the Police Department’s Patrol Guide.",2024-12-19T00:00:00.000
Int 1157-2024,"This bill would require child protective specialists, when conducting an investigation of a report of child abuse or maltreatment, to provide certain information verbally upon first making contact with parents or other persons legally responsible for the care of children who are the subject of such reports.",2024-12-19T00:00:00.000
Int 1193-2025,"This bill would require home improvement contractors disclose in writing to owners whether there are any permits foreseeably required to perform the work specified in the contract and, if so, which permits are required, what actions need to be taken to obtain the permits, and how owners can verify the status of any permits. The bill would also require the Department of Buildings (DOB) to conduct an outreach and education campaign on the watch list of contractors who have performed work without the required permits.",2025-02-13T00:00:00.000
Int 1131-2024,"This bill would establish a task force to study options for making street design and infrastructure safer for pedestrians, motorists, cyclists, and operators of electric bicycles (also known as e-bikes) in consideration of increased use of electric bicycles and related collisions in New York City. The task force would submit a report to the mayor and the speaker of the Council with recommendations for legislation and policy within 270 days of its creation.",2024-12-05T00:00:00.000
Int 1166-2025,This bill would amend the existing community notification requirement to require the Department of Homeless Services to notifying elected officials and community boards for affected areas when an emergency homeless shelter contract is renewed.,2025-01-23T00:00:00.000
Int 1064-2024,"This bill would require employers to make reasonable efforts to notify their current employees of job opportunities prior to selecting a candidate for the role. This bill would also require employers to provide current employees with information about the selected candidate, so that current employees can prepare for similar opportunities in the future. This bill would only apply to employers with more than 100 employees.",2024-09-26T00:00:00.000
Int 1103-2024,"This bill would require the New York City Police Department, within 48 hours of a determination that a violent or traumatic incident has occurred, to notify the Mayor’s Office of Community Mental Health (OCMH) and any additional mayoral office or agency designated by the mayor, of such incident. A violent or traumatic incident would mean any incident or series of incidents that can cause severe emotional and mental distress to the public, such as a violent act or series of violent acts that cause death or any other incident or incidents that may be shocking, traumatic, or dangerous to the community. Upon receiving notice of a violent or traumatic incident, OCMH and any additional agencies and offices would be required to conduct outreach to local community members regarding the availability of mental health resources in the city, such as the 988 suicide and crisis hotline.",2024-11-13T00:00:00.000
Int 1104-2024,"This bill would require the Commissioner of Transportation, in consultation with the Department of Small Business Services and the New York City Economic Development Corporation, to study and report on the feasibility of siting additional ferry terminals in New York City. The study would identify potential locations for additional ferry terminals and would consider the local benefits of each new siting, logistical challenges associated with each new siting, any solutions to these challenges, and the estimated costs associated with each siting. The Commissioner of Transportation would be required to submit a report containing the findings of the study to the Mayor and Speaker of the Council, and post a copy of the report on the Department of Transportation website.",2024-11-13T00:00:00.000
Int 1111-2024,"This bill would change the frequency with which the Campaign Finance Board recalculates contribution and expenditure limits to account for changes in the consumer price index from once every four years to once every local general election. This means that, in those instances that occur once every 20 years in which members of the Council serve two-year terms, the contribution and expenditure limits for candidates for the Council will be recalculated prior to the next general election.",2024-11-13T00:00:00.000
Int 1168-2025,"This bill would require the dismissal of a charge for parking where parking is prohibited by a posted sign in cases where it is proven by a preponderance of the evidence that the person charged was a doula providing doula services at the time, and at or around the location, where the violation occurred. This would not apply to charges for parking where parking is prohibited by rule or where stopping or standing are prohibited by a posted sign or rule.",2025-01-23T00:00:00.000
Int 1167-2025,This bill would require any member of a board of directors of a business improvement district management association who intends to resign from such board to provide no fewer than 30 days’ notice prior to such resignation.,2025-01-23T00:00:00.000
Int 1106-2024,"This bill would require the Commissioner of Transportation, in consultation with the Chancellor of New York City Public Schools, to conduct an annual study to determine which schools in the City are non-operational and accordingly which school speed zones selected for speed camera installation under the Vehicle and Traffic Law no longer exist. The Commissioner would be required to remove speed cameras that are located in these eliminated zones.",2024-11-13T00:00:00.000
Int 1083-2024,This bill would require DSNY to adopt rules which allow community composters to charge the general public for organic waste collection at drop-off sites. The bill would also allow community composters to sell compost generated from drop-off sites to the public.,2024-10-10T00:00:00.000
Int 1141-2024,"This bill would require the Commissioner of the Department of Parks and Recreation (Parks) to install security cameras in city parks. Security cameras would be installed in at least 25 percent of all city parks every two years after the local law goes into effect, until all city parks have cameras installed. The Commissioner would consider the number of major felony crime complaints in each park when determining which parks to prioritize. The Commissioner of Parks would work in consultation with the Commissioner of the New York Police Department (NYPD) to install the cameras in areas where crime is likely to occur.",2024-12-19T00:00:00.000
Int 1057-2024,"This bill would require the Department of Education (DOE) to issue an annual report on journalism courses, journalism clubs, and student publications available at each DOE high school during the preceding school year. DOE would be required to submit the report to the Mayor and the Speaker of the Council and publish the report on the DOE website. High schools would be required to distribute information to students regarding the availability of journalism clubs and student publications at the beginning of the school year.",2024-09-26T00:00:00.000
Int 1092-2024,"This bill would require the Department for the Aging (DFTA), in consultation with the Department of Information Technology and Telecommunications and the Department of Consumer and Worker Protection (DCWP), to develop printed and digital informational materials to educate older adults about internet scams, phone scams, and phishing scams, and provide quarterly guidance to older adult centers about emerging scams. The bill would also require that DFTA post a digital version of the informational materials on its website, and would require the Commissioner for the Aging to ensure that such informational materials are distributed to homebound older adults and that older adult centers distribute such informational materials to older adults in their facilities. Additionally, this bill would require DFTA, in consultation with DCWP, to develop printed and digital informational materials to educate older adults about financial literacy and end of life preparation.",2024-10-23T00:00:00.000
Int 1185-2025,"This bill would require the Department of Parks and Recreation (DPR), in consultation with other appropriate City agencies, to develop a plan to mitigate the occurrences of wildfires in parks by October 1, 2025. The plan would have to be posted on DPR’s website and updated regularly. This bill would also require DPR to report annually on wildfires that occur in parks under its jurisdiction.",2025-02-13T00:00:00.000
Int 1107-2024,"This bill would address the common household requirement, commonly known as the “unlocked doors provision”, as it relates to short-term rentals in one- and two-family dwellings, by requiring the permanent occupant of a one- or two-family dwelling hosting a short-term rental to provide boarders, roomers, or lodgers reasonable access to the dwelling units, which need not include the bedrooms, offices, or other similar private spaces of any permanent occupant of the dwelling.",2024-11-13T00:00:00.000
