dbn,school_name,grades_9_12_enrollment,math_proficient_l3_4_1,multiple_race_categories_not_represented,_4_year_august_graduates,hispanic,grades_6_8_enrollment,math_tested,math_proficient_l3_4_2
06M103,Dos Puentes Elementary School,0,16,0.7%,No Data,76.8%,0,51,31.4%
04M224,M.S. 224 Manhattan East School for Arts & Academics,0,34,1.9%,No Data,51.6%,155,105,32.4%
04M409,Coalition School for Social Change,161,No Data,0.6%,49.3%,53.4%,0,No Data,No Data
02M255,M.S. 255 Salk School of Science,0,308,7.9%,No Data,10.3%,390,343,89.8%
05M304,Mott Hall High School,364,No Data,0.8%,71.6%,59.9%,0,No Data,No Data
03M245,M.S. M245 The Computer School,0,169,4.7%,No Data,28.7%,401,282,59.9%
06M153,P.S. 153 Adam Clayton Powell,0,101,1.0%,No Data,73.2%,0,283,35.7%
05M197,P.S. 197 John B. Russwurm,0,16,1.6%,No Data,35.3%,0,140,11.4%
02M407,Institute for Collaborative Education,274,10,6.8%,93.1%,17.1%,212,21,47.6%
03M541,Manhattan / Hunter Science High School,451,No Data,5.1%,99.0%,36.4%,0,No Data,No Data
03M084,P.S. 084 Lillian Weber,0,119,4.8%,No Data,40.7%,0,214,55.6%
06M048,P.S. 048 P.O. Michael J. Buczek,0,56,0.3%,No Data,94.6%,0,276,20.3%
02M475,Stuyvesant High School,3365,No Data,4.5%,98.6%,2.4%,0,No Data,No Data
02M313,"James Baldwin School, The: A School for Expeditionary Learning",267,No Data,1.5%,30.7%,48.7%,0,No Data,No Data
03M243,M.S. 243 Center School,0,138,5.1%,No Data,14.5%,175,165,83.6%
01M332,University Neighborhood Middle School,0,12,0.4%,No Data,56.8%,234,176,6.8%
02M565,Urban Academy Laboratory High School,166,No Data,1.2%,44.8%,36.1%,0,No Data,No Data
01M315,The East Village Community School,0,63,6.7%,No Data,19.4%,0,106,59.4%
05M157,The Urban Assembly School for Global Commerce,250,No Data,3.2%,s,44.4%,0,No Data,No Data
02M545,High School for Dual Language and Asian Studies,397,No Data,1.5%,99.1%,6.3%,0,No Data,No Data
05M285,Harlem Renaissance High School,231,No Data,0.9%,18.1%,51.9%,0,No Data,No Data
02M412,N.Y.C. Lab School for Collaborative Studies,531,No Data,7.5%,97.7%,14.7%,0,No Data,No Data
02M282,Urban Assembly Maker Academy,290,No Data,5.5%,No Data,46.6%,0,No Data,No Data
05M030,P.S. 030 Hernandez/Hughes,0,15,1.5%,No Data,50.9%,0,115,13.0%
05M286,I.S. M286 Renaissance Leadership Academy,0,8,0.4%,No Data,35.5%,231,204,3.9%
02M397,SPRUCE STREET SCHOOL,0,196,13.4%,No Data,12.6%,118,263,74.5%
02M131,M.S. 131,0,231,0.7%,No Data,9.4%,457,415,55.7%
02M533,Union Square Academy for Health Sciences,406,No Data,2.5%,92.7%,55.9%,0,No Data,No Data
04M112,P.S. 112 Jose Celso Barbosa,0,No Data,2.7%,No Data,67.5%,0,No Data,No Data
02M296,High School of Hospitality Management,398,No Data,3.0%,75.0%,64.3%,0,No Data,No Data
02M586,Harvey Milk High School,74,No Data,1.4%,20.0%,58.1%,0,No Data,No Data
06M319,M.S. 319 - Maria Teresa,0,82,0.2%,No Data,92.8%,471,351,23.4%
04M007,P.S. 007 Samuel Stern,0,60,1.3%,No Data,66.7%,143,216,27.8%
02M600,The High School of Fashion Industries,1671,No Data,1.6%,95.0%,51.5%,0,No Data,No Data
03M494,High School of Arts and Technology,542,No Data,1.3%,66.7%,56.1%,0,No Data,No Data
02M047,47 The American Sign Language and English Secondary School,179,No Data,1.7%,84.5%,61.5%,0,No Data,No Data
02M422,Quest to Learn,368,52,5.6%,74.4%,40.4%,275,204,25.5%
04M497,Central Park East I,0,8,12.1%,No Data,29.0%,0,36,22.2%
04M012,Tag Young Scholars,0,307,8.8%,No Data,18.6%,208,320,95.9%
