title,borough
"Second Level Documentary Study -  Phase IA Shorehaven Project New York, New York.  For: Soundview Associates, Co.  CEQR 87-010X   [Multiple authors]",X
"1425-1445 Gates Avenue, Block 3335, Lots 1, 56-59.  Borough of Brooklyn, New York.  [202-K]",K
"Block 1735, Lot 24. Brooklyn.  Stage 1A Literature Review and Archaeological and Historic Sensitivity Evaluation.  02BSA140K",K
"Archaeological/Historical Sensitivity Evaluation, Washington/Bathgate Urban Renewal Area, Bronx, New York.  CEQR  92HPD007X.",X
DRAFT: NYC Pilot Study for NYS Resource Protection Planning Process,Y
"Phase IA Archaeological Assessment, P.S. 189-X, Steenwick Ave. Reeds Mill Lane, Bronx, New York.  NYC School Construction Authority.",X
"Documentary Study of The Old Gravesend Cemetery, Borough of Brooklyn, Kings County, New York.  LPC 95-1360, Commission Report 95-0013.",K
"Stage 1A Archaeological/Historical Sensitivity Study, Longstreet Avenue Rezoning Project, Bronx, New York.  CEQR 89-082X   [Multiple authors]",X
"Block 1883, Lot 13-20, & 27.  45-49 Taaffe Place & 796 Kent Avenue, Borough of Brooklyn.  Stage 1B Evaluation of Archaeological Potential of Project Area.  98BSA083K",K
"Scope of Work for Archaeological Testing, Block 8218, Lot 26 Brooklyn, New York.  (Carnarsie Cemetery)  For: The New York City Department of General Services Division of Real Property.",K
"Archaeological And Historical Sensitivity Evaluation Of The Benson Street Demapping Project, Westchester Square, The Bronx, New York.  For: The RBA Group.  CEQR 91-028X   (William I. Roberts IV)",X
"An Archaeological Assessment of the Morrisania Urban Renewal Project Bronx, New York.  For: Tams Consultants, Inc.  CEQR 91-033X   (Joan H. Geismar)",X
"Archaeological/Historical Sensitivity Evaluation Ocean Hill Urban Renewal Area.  Brooklyn, New York-Draft. For: The New York City Department of Housing Preservation and Development.  CEQR 89-112K",K
"Historical / Archaeological Sensitivity Evaluation, Yeshiva of the Telshe Alumni, Campagna Mansion, Bronx, New York.  CEQR  99DCP006X.",X
"Martyrs' Monument; Monument Lot, Block 44, Lot 14, Brooklyn; Memo Report on Archeological Investigations",K
"Archaeological Testing Report, The Dupont Street Senior Housing Project, Greenpoint, Brooklyn, Kings County, New York. 68-78 Dupont Street. For: North Brooklyn Development Corporation. CEQR # 91-149K.",K
"Phase IA Archaeological Assessment Report For The New York City Department of Correction:  Hunt’s Point Correctional Facility, Bronx, New York.  For: Parsons Brinckerhoff Quade & Douglas, Inc.  CEQR 89-143X   [Multiple authors]",X
"Archaeological And Historical Sensitivity Evaluation For The Proposed Hendrickson Street Rezoning Borough of Brooklyn, Kings County, New York. For: McKeown & Franz, Inc. CEQR 92-628K",K
"The Archaeological Evaluation of The Seven Hanover Square Block: A Final Report. (6 of 6)  Submitted to: The New York City Landmarks Preservation Commission.  (Volumes 1-6, Appendices C-O of Volumes 4-6)",M
"Paleo-Environmental Interpretation of the Tibbett Gardens Project Site, Bronx, New York.  CEQR 87-164X   (Dennis Weiss)",X
"Report On Archaeological Work Conducted For The Governors Island Full Seawall Rehabilitation Project Governors Island New York, New YorkOPRHP Project Review No. 11PR07543",M
"Stage 1B Archaeology Survey of The Red Hook Water Pollution Control Plant, Brooklyn, New York.  For: Stone and Webster Engineering Corporation.",K
"Preliminary Archaeological Assessment for The Steeplechase Amusement Park, Brooklyn, New York.  For: Allee King Rosen and Fleming, Inc.  CEQR 87-147K",K
"Stage IA Revised Cultural Resources Report For Chapel Farm II, Riverdale, New York.  (June 1990)  CEQR 85325X   (Cultural Interpretations)",X
"Cultural Resource Summary And Preliminary Case Report New York And New Jersey Harbor Navigation Study. Kings, Queens, And Richmond Counties, New York And Essex, Hudson, Monmouth, And Union Counties, New Jersey. Draft.",Y
"Light Bridges at 100 Jay Street Rezoning.  Brooklyn, NY.  Phase IA Archeological Assessment.  Supplementary study B 52 L 1,2,32.",K
"Archaeological Testing Report, Washington/Bathgate Urban Renewal Area, Bronx, New York.  Block 3046.  CEQR  92HPD007X.",X
Documentation of Block 4322 Lot 24 in the East New York Section of Brooklyn (formerly a village in New Lots).  For: The Mobil Oil Corporation.  CEQR 87-238K [1935 Linden Blvd.],K
"Archaeological Testing Report For 457, 461 and 465 Waverly Avenue.  Brown Memorial Church Development Project, Brooklyn, New York.  For: Tunolb Construction Co., Inc.  CEQR 91-075K",K
"The Archaeological Investigations Of The Metrotech Project, Brooklyn, New York.  For: Forest City Ratner Companies.  CEQR 82-248K (existing copy received February 17, 1993)",K
"Columbia Heights Topic Intensive Archaeological Research Report Phase I-B, Watchtower Bible And Tract Society Brooklyn Project.  CEQR 83-308K; aka usf 1036",K
"Cultural Resources Inventory, South Bronx - Oak Point Link Environmental Assessment, Technical Support Document No. 3.  For: The New York State Department of Transportation Rail Division.",X
"Draft Phase IA Archaeological Impact Report for the Atlantic Terminal and Brooklyn Center Projects, Brooklyn, New York.  For: AKRF, Inc.  CEQR 85-280K",K
The Proposed Quality Housing Program City Wide Zoning Text Amendments.  Draft Environmental Impact Statement.  Appendix 5:  Archaeological Assessment of the 34 Study Areas.  CEQR 85-241Y,Y
,X
"Chapel Farm Estate, Riverdale, Bronx County, New York, Field Investigation And Geological Reconnaissance.  For: Robert Kahn.  SEQR 89-PR111, CEQR 85-325x",X
"Archaeological Field Testing at the Shaft 21B Project Site Near Kent and Willoughby Avenues in Brooklyn, New York.  For: KiSKA Construction Corp. CEQR 89-119K.",K
"Part 1 of a Phased Cultural Resources Survey for the Sludge Force Main Routes, Coney Island Water Pollution Control Project, Borough of Brooklyn, New York.  For: Malcolm Pirnie, Inc. and Michael Baker, Jr.",K
"Archaeological/Historic Sensitivity Evaluation of Proposed City Island Water Mains, Pelham Bay Parkway, Bronx, NY (ER.X)",X
"Sensitivity Evaluation and Archaeology Testing Recommendations.  For: Cadman Plaza, Brooklyn, New York.  CEQR 85-324K",K
"Archaeological Sensitivity Evaluation For Eight Water Pollution Control Plant Expansions in New York City.  For: Stone and Webster Engineering Corporation. [Wards Island, Hunts Point, 26th Ward, Red Hook, Tallman Island, Jamaica, Bowery Bay, Oakwood Beach",Y
"Documentation Of The Wallabout Urban Renewal Area Housing Site (Block 2027) Brooklyn, New York.  For: The New York City Department of Housing Preservation and Development.  CEQR 88-323K",K
"Williamsburgh Street West.  Block 2203 Lot 10. Borough of Brooklyn. New York, New York. For: Mr. Eugene Ostreicher.  CEQR 91-228K",K
"Phase IA Archaeological Assessment Scholes Street Urban Renewal Area Housing Site.  For: The New York City Department of Housing Preservation and Development, Office of Development.  CEQR 89-179K",K
"Phase IA Archaeological Assessment Report.  504 Brooklyn-Queens Connecting Highway, Brooklyn, New York.  For: Gary Ochal. 88-057K",K
"Block 3995 Lot 1-7 and Lot 33 & 34.  359 Hendrix Street,  East New York Borough of Brooklyn, Kings County, NY.  For: Pratt Planning & Architectural Collaborative.",K
Supplemental Phase IA Archaeological Documentary Research in Advance of Dockwork at Six NYC Water Pollution Control Plants.,Y
"Lorimer/Middleton Streets Rezoning Block 2240, Borough of Brooklyn, New York, New York.  For: Eugene Ostreicher.  CEQR 89-116K & 90-018K",K
"Jamaica CSO Fresh Creek North Project (Block 8158, Lots 40 & 150), Brooklyn New York.  Archaeological Assessment.",K
"Stage 1B Archaeological Survey Of The 26th Ward Water Pollution Control Plant Expansion Project, Borough of Brooklyn, New York City, Kings County, New York.  For: Stone and Webster Engineering Corporation.  CEQR 89-116K (CEQR 90-118K)",K
"The Pierrepont Street Site, Brooklyn, New York, Phase IB/II Archaeological Testing Report.  For: Energy and Environmental Analysts.  (Check for 1A Report) CEQR 85-324K",K
"Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. IV Basic Artifact Inventory The Court House Block (Block 160) Part 1 of 2 (Yamin, Rebecca)",M
Historic Structure Report: The Bartow-Pell Stable.,X
"Stage 1B Cultural Resource Investigation Juvenile Detention On Facilities 40th Precinct Station House, The Bronx, New York.  For: New York City Department of Juvenile Justice.  (9/90 & 11/90)  CEQR 88-012X",X
"Archaeological Testing of The Proposed Hendrickson Street Rezoning, Borough of Brooklyn, Kings County, New York.  For: McKeown & Franz, Inc.  CEQR 92-628K",K
"Documentary Study of the Saratoga Square Urban Renewal Area, Brooklyn, New York.  For: The City of New York Department of Housing Preservation and Development.  CEQR 89-232K",K
"Cultural Resources Topic-Intensive Documentary Study Third Avenue HUB  Retail Development The Bronx, New York.  For: Rosenshein Associates CEQR 94DME-012X   [Multiple authors]",X
"Stage I Cultural Resources Survey For The Proposed Resource Recovery Facility Site, Brooklyn Navy Yard, New York City.  For: Camp, Dresser & McKee.",K
",",K
"Broadway Triangle Partnership Housing Project, Brooklyn, New York.  Review of Archaeological Potential Blocks 1721, 1722, 1726 and 1731.  For: Mr. Leslie Lerner, A.I.A., Beechwood Organization.  CEQR 86-304K   (William I. Roberts, IV)",K
"Brooklyn College Summer Archaeological Field School, Excavations at the Christian Duryea House, Brooklyn, New York 1986.  Former LP-1023, demolished. 11-14-78",K
"Cultural Resource Assessment, Proposed Croton Water Treatment Plant, Van Cortlandt Park, Shandler Recreation Area, Bronx, New York.  98DEP027",X
"The New York City Long Range Sludge Management Plan, Generic Environmental Impact Statement III, Zerega, Bronx, Preliminary Archaeological Assessment.  For: Allee King Rosen & Fleming, Inc.  (CEQR-Generic)   [Multiple authors]",X
"Wallabout Urban Renewal Area (WURA), 22, 20, and 18 Flushing Ave.  (Block 2027, Lots 23 and 25) Brooklyn, New York- Testing and Data Recovery.  For: HPD CEQR 88-232K (March 1996)",K
"Ground-Penetrating Radar (GPR) Evaluation, For: Navy-Retained Section (former) Brooklyn Navy Yard, Brooklyn, New York.  TAMS Consultants, Inc. Northern Division Naval Facilities Engineering Command, Department of the Navy.",K
"Phase IA Cultural Resource Investigations of The St. Raymond's Cemetery Expansion Area, Bronx County, New York.  For: St. Raymond Cemetery.  CEQR 92-612X  (January & July 1993)   [Multiple authors]",X
Riverdale Park Archaeological Project Draft Report: Documentary Research & Field Strategy.  For: New York City Department of Cultural Affairs and New York City Department of Parks and Recreation.  NCEQR,X
"Phase IA Archaeological Assessment Report for the Newtown Creek Water Pollution Control Plant Upgrading, Greenpoint, New York.  For: Greeley and Hansen.  CEQR 89-170k",K
"A Cultural Resource Reconnaissance Study Rikers Island, Bronx County, New York.",X
"Archeological Monitoring Report, City Island Water Main Project, Pelham Bay Park, Bronx County, NY.  For NYC DDC",X
"Archaeological Testing Report, Washington Bathgate Urban Renewal Area, Bronx, New York, Blocks 3036 [2035 Washington Ave.] and 3045 [503 E 179th St.].  CEQR 92HPD007X",X
"The Archaeological Investigations Of The Metrotech Project, Brooklyn, New York: The Metrotech Draft Report With Complete Inventory. CEQR 82-258K. For: Forest City Ratner Companies.",K
"The City of New York Department of Correction:  Oak Point Site.  Preliminary Archaeological Review.  For: Parsons Brickerhoff Quade & Douglas, Inc.  CEQR 90-012X   [Multiple authors]",X
"Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. V Conservation of Materials from the Court House Block (Block 160)  (Yamin, Rebecca)",M
"Phase I Archaeological Investigation Of Proposed Sewage/Plumbing Lines And Seepage Basin At Van Cortlandt Mansion, Broadway And 242nd Street.  Van Cortlandt Park, Bronx, New York.  For: McCullagh Mechanical Co., Inc.",X
"The Archaeological Evaluation of The Seven Hanover Square Block: A Final Report. (4 of 6)  Submitted to: The New York City Landmarks Preservation Commission.  (Volumes 1-6, Appendices C-O of Volumes 4-6)",M
"Phase IB Cultural Resource Report, Red Hook Water Pollution Control Project (Contract 1B-2) Brooklyn, New York.  For: New York State Department of Environmental Conservation.",K
"Assessment Of Archaeological Sensitivity Erie Basin Site, Long Range Sludge Management Plan, GEIS III.  (CEQR-Generic)",K
"Block 1735, Lot 26. Brooklyn.  Stage 1A Literature Review and Archaeological and Historic Sensitivity Evaluation.  02BSA140K",K
"Archaeological Assessment Report For The Polytechnic Residence Hall, Brooklyn, New York.  For: Allee King Rosen & Fleming, Inc.  CEQR 90-186K",K
"Shorehaven Project, Phase IB Archaeological Fieldwork Report, Fall 1987.  For: Soundview Associates Co.  CEQR 87-010X   [Multiple authors]",X
"Documentation of Block 8218, Lot 26, Brooklyn, New York.  (Carnarsie Cemetery)  For: The New York City Department of General Services Division of Real Property.  (June 30, 1987 & August 27, 1987).",K
"Archaeological and Historical Sensitivity Evaluation, 103-117 Kent Avenue, Williamsburg, Brooklyn, New York.  99BSA002K",K
"Archaeological and Historical Sensitivity Evaluation, 99-103 Taaffe Pl (B 1897 L 19, 20, 21 01BSA092), 135-137 Taaffe Pl (B 1897 L 1, 3 01BSA095)   Brooklyn, New York.",K
"Phase IB Field Investigation, Meredith Ave. Bus Depot Project Site, B 2810, L91, SI, NY; NYSOPRHP 08PR05262",R
"Stage 1A Cultural Resource Survey, Royal-Certified Realty Company Tract, (Former F & M Schaefer Brewery) Brooklyn, New York.  For: New York City Public Development Corporation.  83-120K",K
"Hunt’s Point Access PIN X730.17.111.  Borough of the Bronx, Bronx County.  Cultural Resources Management Survey, 1987 Highway Program.  (Joel Steven Dzodin)",X
"Police Service Facility #8 Block 3540, Castle Hill, Bronx, Phase IA Archaeological Study.  For: Wall & Associates.  CEQR  95-CHA002X   [Multiple authors]",X
"Stage IB Field Survey.  P.S. / M.S. 189-X, Bronx, New York.  NYC School Construction Authority.",X
"Documentary Research Report, 184 188 Duffield Street, MetroTech, Brooklyn, New York.  For: Forest City Ratner Companies.  CEQR #82-248",K
"Van Cortlandt House Excavation, Brooklyn College 1990 & 1991.",X
"Saratoga Square Urban Renewal Area (SSQURA), 127 and 109  MacDougal Street (Block 1525, Lots 40 and 49), 78 MacDougal Street (Block 1531, Lot 15), and 126 Sumpter Street (Block 1524, Lot 43) Brooklyn, New York. Data Recovery.   For: HPD CEQR No. 89-232K (",K
"Stage I-B Field Monitoring Test Boring, Electric Line and Overhead Support Locations Brooklyn Navy Yard Cogeneration Project Borough of Brooklyn, Kings County, New York.  For: Roux Associates, Inc. (June 1996).",K
"Chapel Farm II, Bronx, New York, Cultural Resource Investigations Stage II.  For: Robert Kahn, Kahn Associates.  CEQR 85-325X   (Faline Schneiderman-Fox)",X
"Block 1846 Lot 1 and Block 1852 Lot 6-10, & Part of 12; 457, 459-467 Tompkins Ave. Stage 1A Literature Review and Archaeological and Historical Sensitivity Evaluation.  HUD 202K.",K
"Druggists, Craftsmen, and Merchants of Pearl and Water Street, New York, Appendices [Cultural Resource Investigations of the Barclay's Bank Site, 75 Wall Street, Borough of Manhattan August 1986 & September 1987].   For: London & Leeds Corp.",M
"Caribe Village Site: 65, 67, 69, & 71 South Fourth Street, Williamsburgh, Kings County, New York.  Phase IB Archaeological  Field Survey.  For: Suna-Levine Industries, Inc.  CEQR #88-083K.",K
"Archaeological Assessment Of The Taaffe Place Pumping Station and Park Avenue Force Main Project.  For: Allee King Rosen & Fleming, Inc.  CEQR 91-162K  (1 of 2 volumes)",K
"Archaeological Assessment Report, Bridge Car Wash Site.  For: Department of City Planning.  CEQR 90-178K (Section I & II)",K
"Geoarcheological Evaluation, Shore Parkway Bridge Over Fresh Creek Basin.  Prepared for: Tams Consultants, Inc.  97DOT006K",K
"Broadway Triangle Partnership Housing Project, Brooklyn, New York.  Archaeological Testing Report, Block 2270.  For: NYC HPD.  CEQR 86-304K   (William I. Roberts, IV)",K
"Block 2418, Part of Lot 18.  Stage 1A Literature Review and Archaeological and Sensitivity Analysis, 155 South 3rd St. [160 S 2 St.]",K
"Archaeological Field Testing, The Nehemiah Project, [Block 2537, Lots 1 & 10], Borough of The Bronx, New York.  For: South Bronx Churches.  CEQR 93HPD-015X [810 Trinity Ave]",X
"Phase IA Historical and Archaeological Sensitivity Evaluation of The Block 169, Lot 36, (237 State Street) Borough of Brooklyn, New York, New York.  For: The City of New York Department General Services, Division of Real Property.  (September & December)",K
"Light Bridges at 100 Jay Street Rezoning, B 53 L 3,6,21,24,25,26,27.  Brooklyn, NY.  Phase IA Archeological Assessment.  7-6-01.",K
"New York Board of Education, Loring Place Site, Phase IA Archaeological Assessment Report.  For: Allee King Rosen & Fleming, Inc.  CEQR 88-182X   [Multiple authors]",X
"Block 1883, Lot 13-20, & 27.  45-49 Taaffe Place & 796 Kent Avenue, Borough of Brooklyn.  Stage 1A Literature Review and Archaeological and Historic Sensitivity Evaluation.  98BSA083K",K
"Archaeological / Historical Sensitivity Evaluation, Proposed Fish Market Relocation, Hunt’s Point, Bronx, NY.  00DME011X",X
"State of the Research, Naval Hospital Cemetery Historical Documentation. Naval Station Brooklyn, New York.  TAMS Consultants, Inc. Northern Division Naval Facilities Engineering Command, Department of the Navy.",K
"Bridge Plaza Rezoning.  NYC, DCP.  Phase Ia Archaeological Assessment Report.",K
"Phase IB Cultural Resource Investigations of The St. Raymond's Cemetery Expansion Area, Bronx County, New York.  For: St. Raymond’s Cemetery.  CEQR 92-612X   [Multiple authors]",X
"Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. III. Documentary Data   (Yamin, Rebecca)",M
"Stage 1A Archaeological Assessment, Russian Federation Housing Riverdale, Bronx, New York.  CEQR-x [355 W 255 St; B 5846 L 1605]   [Multiple authors]",X
"Hostos College Archaeological Borings.  Submitted to: Sanchez and Figueroa, Architects.",X
"Erasmus Hall High School, Report of the Trial Excavations Conducted By The Brooklyn College Summer Archaeological Field School.  LP-0171",K
"Archaeological Assessment, Criminal Court Facility, B 2444, 2445.  Morrisania, X.  CEQR 95DGS003X   [Multiple authors]",X
"Archaeological Assessment of the Proposed Bishop Mugavero Geriatric Center Site, Block 189, Brooklyn.  For: Catholic Medical Center of Brooklyn and Queens, Inc.  CEQR 90-223K",K
"From Private to Public: The Changing Landscape of Van Cortlandt Park, the Bronx, New York, in the 19th century. Masters Thesis for Syracuse University",X
"Stage 1B-1 Deep Testing Cultural Resource Report, Red Hook Water Pollution Control Report (Contract 1B-1)",K
"Block 2030, Lots 40 &41.  Stage 1A Literature Review and Sensitivity Analysis, 30-32 Carlton Ave.",K
"Cultural Resource Assessment: Proposed Juvenile Detention Center [0 Spofford Ave], and 40th Precinct Station House, The Bronx, New York.  CEQR 88-012X",X
"Long Island College Hospital Parking Garage Site, Archaeological Assessment Report.  For: Allee King Rosen & Fleming, Inc.  CEQR 87-013K",K
"Teacups and Opium:  The Bishop Mugavero Geriatric Center Archaeological Field Report, Block 189, Brooklyn.  For: The Catholic Medical Center of Brooklyn and Queens, Inc.  CEQR 90-223K",K
"Historic And Cultural Resources Of The Sea Breeze Estates Site.  City Island, The Bronx.  For: Konheim & Ketcham, Inc.  CEQR 89-040X",X
"Block 3132, Lot 27-37.  Ellery Court Senior Houses, 327-349 Ellery Street, 13 & 15 Beaver St. Brooklyn.  Stage 1A Literature Review and Archaeological and Historic Sensitivity Evaluation.  HUD202K",K
"Cultural Resource Assessment, Proposed Croton Water Treatment Plant, Jerome  Park Reservoir, Kingsbridge, Bronx, New York.  98DEP027   [Multiple authors]",X
"Scope of Work for Archaeological Field Testing of the Bishop Mugavero Geriatric Center Site, Block 189, Brooklyn.  For: The Catholic Medical Center of Brooklyn and Queens, Inc.  CEQR 90-223K",K
"Archaeological Data Recovery Excavation Report Frances Schervier Home and Hospital, 2975 Independence Avenue, Borough of the Bronx, New York.  For: Franciscan Health System Of New York, Inc.  CEQR 96DCP020X.",X
"Draft Archaeological Evaluation (Stage 1A Documentary Study), Former Naval Station (NAVSTA) New York, Navy Yard Annex Site, Brooklyn, New York.  TAMS Consultants, Inc. For: Northern Division, Naval Facilities Engineering Command.  12-23-96; updated 1-21-9",K
"Stage 1A Archaeological Assessment The New York Botanical Garden, Bronx, New York.  For: Vollmer Associates, City of New York and Department of Cultural Affairs.   [Multiple authors]",X
"Saratoga Square Urban Renewal Area, Brooklyn, New York, Field Testing.  For: The City of New York Department of Housing and Development.  CEQR 89-232K  (October 1993)",K
"Analysis of Soil Borings and Test Trenchs, Proposed Fish Market Relocation, Hunt’s Point, Bronx, New York.  00DME011X",X
"Phase IA Archaeological Assessment Maujer Street Community Development Plan.  For: The New York City Department of Housing Preservation and Development, Office of Development.  CEQR 89-096K",K
Cultural Resource Evaluation: The Revere Sugar Site.,K
"Archeological Documentary Study and Sensitivity Analysis, Southside Urban Renewal Area Project, Williamsburgh, Brooklyn, New York.  CEQR 91-113K, HPD",K
"Proposal For Phase IB Archaeological Field Testing, Shorehaven Project.  For: Soundview Associates, Co.  CEQR 87-010X   [Multiple authors]",X
"Phase IA Cultural Resource Assessment. Police Service Area No. 8, Borough of the Bronx.",X
"Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. II. An Interpretive Approach to Understanding Working-Class Life   (Yamin, Rebecca)",M
"Addendum, Stage 1A Archaeological Assessment MTA/LIRR East Side Access Project, Chapter 3.0 Sunnyside Yard",Q
"Draft Archaeological and Historical Sensitivity Evaluation, the Williamsburgh Houses Community Center Williamsburgh, Brooklyn New York.  For: New York City Housing Authority.  CEQR-K.  [aka ERTS 121 Scholes St.] [B 3025 (3034)]",K
"Broadway Triangle Partnership Housing Project, Brooklyn, New York.  Review of Archaeological Testing Report Blocks 1730 and 1732.  For: Mr. Leslie Lerner, A.I.A., Beechwood Organization.  (October 1991 & December 1991)  CEQR 86-304K",K
"Secondary Cultural Resource Study, Proposed Juvenile Detention Center and 40th Precinct Station House,  The Bronx, New York.  For: New York City Department of Juvenile Justice, New York Police Department, New York, New York.  CEQR 88-012X",X
"Stage I-A Cultural Resources Survey Documentary Study and Assessment of Potential Impact, Proposed Navy Yard Cogeneration Facility, Borough of Brooklyn, Kings County, New York.  For: Blasland and Bouck Engineers, P.C.",K
"Proposed Residential Development at Block 208.  FEIS Appendices. Archaeological Impact Phase IA, 1B and Public Comments; for the Watchtower Bible And Tract Society, Brooklyn Project. CEQR 83-308K",K
"Phase IA Archaeological Assessment, New York City Department of Environmental Protection Water Quality Facility Plan, Paerdegat Basin, Brooklyn, New York.  For: Allee King Rosen & Fleming, Inc.  CEQR 92-051K",K
"Stage 1A Literature Review and Sensitivity Analysis, Little Sisters of the Poor (Block 5452 [lot 90]), 142 Hollywood Avenue, Borough of the Bronx, Bronx County, New York.  00DCP059x",X
"Archaeological Testing Of The Proposed Egress Stair And Dry Well Excavation, Van Cortlandt Park, Bronx, New York.  Project No. 1016",X
"Archaeological Field Testing of the Wallabout Urban Renewal Area, Block 2027, Brooklyn, July 20 & 21, 1993.  For: The New York City Department of Housing Preservation and Development (HPD).  CEQR 88-232K",K
"Stage 1-B Field Monitoring.  Monitoring Well and Test Boring Locations.  Brooklyn Navy Yard Cogeneration Project Borough of Brooklyn, Kings County, New York.  For: Brooklyn Navy Yard Cogeneration Partners, L.P.",K
"Assessment of Archaeological Sensitivity Brooklyn Eastern District Terminal Site, Long Range Eastern Sludge Management Plan, GEIS III.",K
"The Archaeological Evaluation of The Seven Hanover Square Block: A Final Report. (5 of 6)  Submitted to: The New York City Landmarks Preservation Commission.  (Volumes 1-6, Appendices C-O of Volumes 4-6)",M
"Environmental Assessment For Base Closure and Realignment of Naval Station New York at Brooklyn.  For: Northern Division, Naval Facilities Engineering Command.  [Brooklyn Navy Yard]",K
"Phase IA Archaeological Assessment Report for the Shaft Site 21B, Brooklyn, New York.  For: New York City Department of Environmental Protection City Tunnel No. 3, Stage 2.  CEQR 89-119K",K
