biblioid,report_abstract,date
157,"The following report is an assessment of the potential archaeological resources at the proposed site for the Bishop Mugavero Geriatric Center in the Boreum Hill, Brooklyn, New York. The survey consults cartographic and documentary evidence to assess the potential for prehistoric and historic resources along Hoyt Street, Dean Street, and Pacific Street. This survey concludes that archaeological resources within the project area have considerable potential to reveal evidence on the early stages of the neighborhood’s development and the area’s middle class during the mid nineteenth century. This report furnishes a chronology of early owners and structural development throughout the 19th century.",1990
199,"The following report documents the results of Stage 1B archaeological testing carried out in the Red Hook neighborhood of Brooklyn. This survey conducted cartographic analysis and physical subsurface tests to evaluate the presence or absence of archaeological resources within the Red Hook Water Pollution Control Plant Project area. This survey was able to locate foundation and bulkhead features onsite, yet determined that these remnants were unlikely to provide any significant information on the historical character of the area.",1991
87,"Project in the Bronx between Westchester Avenue, St. Ann's Avenue, E. 149th street, and Brook Avenue. The site is split into two primary study areas each having the potential to yield historically significant deposits; the potential deposits include remains of the Jarvis Archer House dating to the 19th century. Archaeological testing is recommended for these areas.",1989
193,"Project in downtown Brooklyn between Tillary Street, Flatbush Avenue Extension, Willoughby Street, Jay Street . The report details the history of the area, summarizing the previous studies conducted on the region, and the archaeological excavations conducted in advance of the MetroTech construction project. Finds included six undisturbed late 19th century deposits that shed light on the life of middle and working class English and Irish households during the period. These deposits also provide insights into the development of water supply and sewage disposal systems in Brooklyn at the turn of the century. No analysis or conclusions are provided in the report.",1991
166,"The following report is a Phase 1A assessment of archaeological sensitivity within the Brooklyn Navy Yard, Brooklyn, New York. This survey evaluates the potential for the remnants of military grave sites at the former Naval Hospital. This survey was able to reveal information on the history of use and development at the Naval Hospital Burial Ground. This survey was able to conclude that further field tests would likely reveal information on the existence of undisturbed burial remains associated within former naval facility.",1996
24,"This report is Volume VI of a six volume study on excavations conducted between Worth and Pearl Streets in Lower Manhattan. The block, Block 160, was part of the infamous 19th century slum known as Five Points. This final volume details the extensive collection of clay tobacco pipes recovered from the excavation area. Sketches of each pipe are included in the inventory.",2000
85,"Report exploring the archaeological assessment of two sites. The first site is located in the East New York neighborhood of Brooklyn between Chester Street, East New York Avenue, Pitkin Avenue, and Bristol Street. The second site is located in the Bronx between Westchester Avenue, St. Ann's Avenue, E. 149th street, and Brook Avenue. Included in the report are overviews of the history of both sites, historical maps, and street-view photographs. Based on these sources, it is unlikely that archaeological deposits would be preserved in the project area and no further archaeological testing is recommended.",1988
234,"The following report is an assessment of archaeological sensitivity in Williamsburg neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located on on Blocks 2785, 2791 and 3022.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources within the project area. This survey was able to determine this is a low potential for this site to reveal evidence on prehistoric activities in the project area, and that were is a high potential for preserved historic deposits, such as backyard features to exist at the site. This survey however does not recommend further archaeological examinations at this site.",1992
154,"The following is an assessment of archaeological sensitivity in a section of East New York, Brooklyn, New York. The survey utilized historical documents and soil sample information to identify potentially significant historic and archaeological resources on Block 4322, Lot 24. This survey was able to reveal that no intact archaeological stratigraphy was found within the areas tested. Information provided by this document reveals information on land ownership and structural development within the neighborhood between the 17th and 20th century.",1988
151,"This report details the results of an environmental assessment conducted as part of the closure of facilities at the Naval Station New York at Brooklyn and their eventual relocation to the Naval Station New York at Staten Island. The survey conducts documentary background research in order to assess the potential for archaeological resources to be within the area. This survey was able to reveal that within the project areas archaeological resources at Naval Station New York at Staten Island were either largely disturbed by 20th century development, or within sections of land which post date significant historic, industrial, or architectural development. This study also provides synapses on the history and structural development of the Brooklyn Naval Yard.",1990
180,"The following report documents the results of a Phase 1B assessment of archaeological sensitivity within the neighborhood of Red Hook, Brooklyn. This report disseminates the results of archaeological field testing carried out between Kane and Degraw Street. The survey implemented the excavation, recordation, and analysis of six test trenches located within the Red Hook Water Pollution Control Project Area. This survey concludes that no significant archaeological and historic resources are present within the project area, and recommends no further archaeological testing. This report reveals information about the buried remains of the high land spit formally known as Locust Island.",1985
174,"The following report documents the results of archaeological testing in the Brooklyn Navy Yard, Brooklyn, New York. This survey gives a brief literature review followed by discussion of archaeological evidence. The survey implemented core testing strategies in order to locate undisturbed archaeological deposits. This survey was unable to locate any significant archaeological features; however it recommends the monitoring of future construction at the site.",1995
31,"Project on the proposed site of the Chapel Farm Estate bounded by Fieldston Road, 253 Street, 250 Street and Iselin Avenue in Riverdale, Bronx. The report details archaeological testing and research conducted on the project area that revealed a prehistoric quartz quarry and workshop- the first site of its kind in New York State. Further archaeological research is recommended to better understand this quarry site and the role it may have played in the prehistory of Riverdale.",1993
3,,2015
141,"This is an evaluation of the potential for archaeological sensitivity in sections of Fort Greene, Brooklyn, New York. The survey discloses information on prehistoric and historic resources on Block 2088. Historic information about the project area was obtained from maps . This report reveals information about the structural developments within the neighborhood during the mid 19th century to early 20th century. The survey concludes that the proposed development is unlikely to disturb archaeological features within the project area.",1996
76,Project on the Shandler Recreation Area in the Bronx's Van Cortlandt Park.  The report outlines the history of Van Cortlandt Park from prehistory to the present. The Park was once home to the Indigenous Peoples Village of Keskeskick and the researchers recommend that archaeological testing be conducted to see if any prehistoric material within the project area survived the construction of the Recreation Area's ball fields and trails.,1998
219,"Project by First Street, S. 9th Street, S. 10th Street, and the East River in Williamsburg, Brooklyn. This land was created by landfilling in the mid-19th century, and currently houses a set of industrial buildings, most associated with an early 20th century beer brewery, which was America’s oldest lager beer brewing company.  While there are unlikely to be any subsurface archaeological resources, the brewery buildings have some art deco stonework detail which should be preserved and incorporated into future construction on the site.",1983
146,"This report is an addendum to the Phase 1a evaluation of the potential for archaeological sensitivity near the Brooklyn Navy Yard, New York. It examines the potential for prehistoric and historic resources at Block 1883. Lots 13-20 & 27, located at 45-59 Taaffe Place & 796 Kent Avenue. This survey utilized census records to disclose historical information about the project area. This report furthermore furnishes information about the neighborhood’s occupants during the late 19th to early 20th century. The above report concludes that there is a low potential for privy and cistern features to be located within sections of the project area, and no further testing is recommended.",1999
206,"The following report is an assessment of archaeological sensitivity in the Williamsburg neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located within the proposed area of development of the Williamsburg Houses Community Center. This survey determined that there is minor potential for the preservation of prehistoric archaeological evidence, while there is high potential for the preservation of architectural features, such as wells, privies and cisterns within the project area. The report recommends further archaeological testing within sections of the project area.",1995
25,"Project at the Bartow-Pell Mansion Museum on Shore Road in Pelham Bay Park, Bronx. The report documents the architectural properties and history of the Bartow-Pell Stable built in the mid-19th century. Copies of historical illustrations and plans of the stable and mansion are included.",1980
83,"Report on excavations at the Van Cortlandt Mansion in Van Cortlandt Park, Bronx. The project area, located immediately southwest of the mansion, yielded a few historic period artifacts but the deposits were heavily disturbed and could not provide any insight into the history of the mansion. No further archaeological testing was recommended.",1985
205,"The following report is an assessment of archaeological sensitivity in the Ocean Hill neighborhood of Brooklyn. This survey conducts a literature review to evaluate the potential for prehistoric and historic resources in the proposed Ocean Hill Renewal Area. This survey determined that while there is little potential for the preservation of prehistoric evidence, there remains moderate potential for the preservation of a historic ropemakers’ yard within the study area. The report recommends further archaeological testing within this section of the project area.",1995
156,"The following report is an assessment of the potential for archaeological resources in sections of Downtown Brooklyn, New York. The survey integrates documentary evidence in order to assess the potential for prehistoric and historic resources on at 330 Jay Street. This survey concludes that due to recent developments at the site a potential for intact archaeological resources at the site remains minimal. This report furnishes information on religious figures within the neighborhood’s Episcopalian community during the early 1800’s and structural development within the neighborhood during 19th century.",1989
73,"Project on the proposed site of the Horizons Retail Center located between East 176th and East 174 streets and Boone and Vyse Avenues in the Bronx.  Based on the history of the site and its occupants, researchers identified two lots as having the potential to yield historically significant deposits: the St. John Family's, and the Wood Family's. Archaeological testing on these lots is recommended .",1997
159,"The following report conveys plans to commence archeological testing at the site Bishop Mugavero geriatric Center in Boreum Hill, Brooklyn, New York. The planned strategy intends to utilize trench excavation techniques in order to locate buried privies, wells, and cisterns at the site. Prior assessment of archaeological resources at the site revealed that intact archaeological features associated with middle class owners or multi-family tenants dating from the 19th century onwards exists on-site. This report recommends further archaeological testing at the site.",1991
130,Project on the Christian Duryea House at 562 Jerome Street in the East New York section of Brooklyn. The  objective of the archaeological excavations was to determine when the farmhouse was constructed and whether it had been moved to its current location. Researchers concluded that the majority of the house was not relocated but built at its current Jerome street location between 1780 and 1800.,1988
88,"Report on the proposed juvenile detention facility site in the Bronx between Westchester Avenue, St. Ann's Avenue, E.149th Street and Brook Avenue. Excavations were conducted on two primary study areas within the site to identify potential material from the prehistoric and historic periods. No evidence of either period was found within the project area, therefore no further archaeological testing is recommended.",1990
74,"Project on the Jerome Park Reservoir in Kingsbridge, Bronx between Reservoir Avenue, Sedgwick Avenue, and Goulden Avenue. The report examines the history and architectural properties of the Reservoir and the Croton Water Supply System to which it belongs. Based on the extensive landscaping that took place during the construction of the original reservoir in 1905, it is unlikely that archaeological deposits would have survived. No archaeological testing is recommended.",1998
58,"Report on the Shorehaven Project located in Clason's Point, Bronx between the East River, Bolton Avenue, Soundview Avenue, Cornell Avenue, and Betts Street. The report details archaeological excavations conducted on 4 areas of the project site that previous research identified as particularly likely to yield historically significant deposits. Researchers did not find any significant evidence of the site's history or prehistory due to the extensive development of the project area over time and do not recommend any further archaeological testing.",1987
204,The following report documents the results of archaeological testing carried out in the Marine Park neighborhood of Brooklyn. This survey investigated the presence or absence of prehistoric and historic resources through subsurface testing on Block 8558. This survey was not able to locate any significant archaeological remains and recommended no further testing at the site.,1994
100,"Report on the 9 block area of the Morrisania Urban Renewal Project located in the southern half of Morrisania. Five of the lots within this project area were identified as particularly likely to yield deposits associated with the 19th century villagers; these include lots associated with Chauncy Smith, a prominent lawyer, and Conrad Hubner, a saloon keeper. Two locations within the project area were also identified for their potential to yield prehistoric deposits.  If preserved, these deposits could provide invaluable information on the daily lives of the Bronx's earliest inhabitants and the members of the German community that helped develop the Bronx's first planned village.",1992
41,"Project on the Melrose Commons Urban Renewal Area between E. 156th St, East 163rd St, Melrose Ave, Courtlandt Ave, Park Ave, Brook Ave, Third Ave, and St. Ann's Ave in the Bronx. Researchers identified two lots within the project area that could potentially yield historically significant deposits- Lot 6 and Lot 20. Archaeological testing is recommended to determine whether the remains of the residence and brewery that once occupied those lots were in fact preserved.",1993
99,"Project on the Melrose Commons Urban Renewal Area between E. 156th St, East 163rd St, Melrose Ave, Courtlandt Ave, Park Ave, Brook Ave, Third Ave, and St. Ann's Ave in the Bronx. The report details the history of the site in order to identify areas that would most likely yield archaeologically and historically significant deposits. Researchers identified seven areas of high historical potential including the former location of the Bruckner Brewery built in the 1870's. Further research and archaeological testing is recommended.",1990
227,"The following report is an assessment of archaeological and historical sensitivity in the Cobble Hill neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located on Blocks 283 and 289.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on-site. This survey determined that while the project area is unlikely to contain significant information relating to prehistoric activity at the site there are likely remains of revolutionary war burials, Federal period farmsteads, and remnants of 19th century architectural features. This survey determined that further archaeological examinations at the site are necessary for this site.",1989
172,"The following report documents the results of archaeological investigations carried out in the Brooklyn Navy Yard section of Brooklyn, New York. This survey implemented backhoe testing in order to locate remains of a burial crypt constructed in 1808 used to house the graves of Revolutionary War soldiers near the Brooklyn Navy Yard. Excavations did not uncover any resources associated with the crypt.",2003
29,"The report details archeological testing conducted on two lots in area surrounding Hostos College bounded by the East 149th Street,  East 144th street, Anthony J. Griffin, and Walton Avenue . Testing revealed that the lots had been disturbed by recent constructions and no historically significant objects were recovered. No further archaeological testing is recommended.",1986
181,"The following report is an assessment of archaeological sensitivity at Cadman Plaza, Brooklyn. This survey carries out a literature review on historic resources situated around a triangular parcel located at Pierrepont and Cadman Plaza West. The survey consulted cartographic information to identify landscape features associated with Brooklyn’s earliest roadways. This survey concludes that this site potentially contains archaeological resources which date to the 17th century, and recommends further archaeological testing at the site.",1985
21,"This report is a preliminary assessment of archaeologically sensitive areas within and around Ambrose, Anchorage, Port Jersey, Kill Van Kull, Arthur Kill, Newark Bay, Elizabeth, South Elizabeth, and Bay Ridge Channel. This study examines which areas might potentially be affected by improvements made within and around channels. It reviews the results of past archaeological studies and recommends additional testing.",1999
200,"The following report is an assessment of archaeological sensitivity of six blocks within the Stuyvesant Heights neighborhood of Brooklyn. This survey conducts a literature review to evaluate the potential for prehistoric and historic resources located within the Broadway Triangle Urban Renewal Area. This survey determines that there is a low potential for prehistoric occupation at the site, and a high potential for the remnants of privies and cisterns dating to the 18th century within the project area. Furthermore, this report recommends further archaeological testing within sections of the site.",1992
161,"The following report documents the results of archaeological field testing carried out at in the Navy Yard District, Brooklyn, New York. The survey methodically excavated trenches in effort to locate privy pits at 16 North Portland Avenue. This survey concludes that due to recent disturbance at the site, intact archaeological resources were unable to be discovered. This report furthermore documents findings and procedures of excavations at the site.",1993
126,"This report assesses the potential for archaeological sensitivity at the Eastern District Terminal Site, Brooklyn, New York. As part of the New York City Long Range Sludge Management Plan development would occur on Blocks 2294, 2301, 2308, 2324, 2301, 2308, 2324, 2332, and 2316. This survey assesses the potential for prehistoric and historic remains at the site through review of historic and cartographic sources relating to the project area. This survey provides information on the project area’s development throughout 19th century and early 20th century. This survey concludes that while there has been considerable disturbance throughout the project area, archaeological remains of residential lots from the 19th century are likely to exist between sections N. 6th and N 8th Street.",1991
162,"The following report is an assessment of archaeological sensitivity in the neighborhood of Bedford Stuyvesant, Brooklyn, New York. This survey consults historic manuscripts and cartographic information in order to identify potential historic and archaeological resources located within the Saratoga Square Urban Renewal Area. This survey was able to reveal information on intact archaeological features such as privies, cisterns and wells are likely to reveal information on the everyday lives of German born immigrants settling the area during the mid 19th century. Information provided by this document also reveals information on the early settlement and development of New Brooklyn.",1993
228,"The following report is an assessment of archaeological and historical sensitivity in the Green Hill neighborhood of Brooklyn. This survey conducts a literature review of prehistoric and historic resources located on Blocks 283 and 289.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources. This survey determined that there is a moderate potential for the preservation of prehistoric artifacts, and a low potential for the survival of historic resources. This survey determined that further archaeological examination through soil boring is necessary for this site.",1989
46,"Project on the Washington/Bathgate Renewal Area in Tremont, Bronx. Of the three lots identified by previous research as areas of potential historical significance, this report describes the testing conducted on lot 3040 owned by the Brown family in the late 19th century.  A stone cistern was discovered containing artifacts that could provide information about the daily lives of middle class families in Tremont at the turn of the century; further archaeological testing is recommended.",1999
78,Project at the proposed site of P.S.189 bounded by Steenwick Ave and Reeds Mill Lane. Report examining the history of the Co-op City area of the Bronx and of the site in order to assess the latter's potential to yield historically significant deposits. Archaeological testing is recommended to identify the possible prehistoric and historic material that may be preserved at the site including remnants of the 19th century Odell Farmstead or the Indigenous Peoples trail that ran adjacent to the project area.,2002
223,"The following report is an assessment of archaeological and historical sensitivity within Downtown Brooklyn. This survey conducts a literature review on historic resources located on lots within the proposed development of the Atlantic Terminal and Brooklyn Center Site.  The survey utilizes cartographic and archival information to determine the presence or absence of historic resources within sections of the site. This survey determined that there is a low potential for preserving archaeological resources at the site, and does not recommend further archaeological testing.",1985
109,"This report details the results of historical research and subsurface excavations carried out on Ward’s Island, Hunts Points, the 26th Ward, Red Hook, Tallman Island, Jamaica, Bowery Bay, and Oakwood Beach,  New York. The survey implemented techniques in core drilling and test-pit excavation to locate historic and archaeologically sensitive locations within the project area. The document gives historical assessments of potential impacts of development on for prehistoric and historic cultural resources within the above areas, and lists its recommendations to mitigate damage to cultural resources within the specified areas.",1990
137,"This report sets out to identify significant archaeological resources in the Bedford Stuyvesant neighborhood of Brooklyn, New York. The study was undertaken as part of a proposal to develop a community facility at the Tomkins Avenue and Macon Street junction on Blocks 1852 and 1846. The report consults cartographic and historic information in an effort to identify archaeological features and periods of construction in Bedford Stuyvesant. This report also includes a historical overview of the area during the 18th and 19th century. This report concludes that structures within the project area have a low probability of possessing archaeological features of historical significance, and no further work is recommended.",1995
145,"This report is an evaluation of the potential for archaeological sensitivity in Bedford-Stuyvesant, Brooklyn, New York. This survey examines the potential for prehistoric and historic remains at Block 1883. Lots 13-20 & 27, located at 45-59 Taaffe Place & 796 Kent Avenue. This survey utilized cartographic, and atlas information to obtain historical information about the project area. This report furnishes information about sewerage in neighborhood during the late 19th century. The above survey concludes that certain lots within the project area have a high potential of yielding significant archaeological data.",1999
28,"This report is a preliminary evaluation of archaeological resources near Water Pollution Control Plants (W.P.C.P.) at Hunt’s Point, Red Hook, 26th Ward, Wards Island, Bowery Bay and Tallman Island. This report consults coring, cartographic, and dredging data from above locations. The report also gives a summarization of the effects of modern coastal developments on potential prehistoric and historic landscapes within the project area.",1994
110,"This is the sixth and final volume of a report on archaeological excavations carried out during the Hanover Square Project. This volume is dedicated to the appendices and catalogues of artifacts recovered during excavations of the Seven Hanover Square Block. Appendix L details the numeric codes used to identify groups of artifacts. Appendix M details the general organization and layout of the information presented in Appendix N. Appendix N offers a complete inventory of artifacts recovered from test-units at the site. The final appendix, Appendix O gives a concordance table of the artifacts used to date the stratgraphic layers within the site.",1982
15,"This report is Volume V of a six volume study of excavations conducted between Worth and Pearl Streets in Lower Manhattan. In the 19th century, the excavation area was part of the infamous slum known as Five Points. This volume is the complete artifact inventory of all of the material recovered from the excavations at Block 160.",2000
64,"Project on the prehistoric site at Chapel Farm II in  Riverdale, Bronx. Previous excavations recovered prehistoric stone tools that date to the Late Archaic but the project area had been too disturbed to date for certain. Researchers conclude that because of this disturbance it is unlikely that further excavation will yield any significant information; the report includes a review and summary of the excavations.",1991
168,"Project at the corner of Flushing Ave and North Elliot Place in Wallabout, Brooklyn. The former backyards of three 19th century homelots were tested for intact privies, but the site was extremely disturbed.  An intact cesspool was found, and while the fill was like early 20th century and may not be composed solely of domestic refuse from the homelots, its elliptical shape is unusual and interesting. No further testing is recommended.",1996
38,"The Castle Hill Development Project area is bounded by Zerega Avenue, Norton Avenue, Pugsley's Creek, and Castle Hill Park in Castle Hill, Bronx. The report contains a history of Castle Hill (Neck) spanning three generations and concludes that there is a high potential for archaeologically significant deposits in the project area. Archaeological testing is recommended to investigate these potential deposits including the possible remains of a 19th century farmhouse.",1988
208,"Project on the  Broadway Triangle Renewal Area in Brooklyn between Flushing Avenue, Park Avenue, Tompkins Avenue, and Throop Avenue. Excavations were conducted to locate the possible traces of late 19th century households, the  Jarvis Farm (early 19th century), and Cripplebush Road (late 18th century). Researchers were unable to find any traces of either the Jarvis Farm or Cripplebush Road but did identify a stone-lined privy belonging to a late 19th century household. Further excavations of the privy are recommended.",1996
133,"This report details the archaeological assessment of potential archaeological sensitivity within DUMBO Brooklyn, New York. The survey assesses cartographic information to detail evidence of development on Block 53, Lots 3, 6, 21, 24, 25, 26, and 27. This survey was able to reveal that intact archaeological features associated with19th century structural remains are likely are exist on -site. Information provided by this study indicates that archaeological remains located within the project area are likely to be informative of the neighborhoods economic development and a working class populace during this mid-19th century.",2001
165,"The following report is an assessment of archaeological sensitivity within the Flatlands/New Lots section of East New York, Brooklyn, New York. This survey examines historic documentary records and evidence for prehistoric and historic settlement at Block 8158, Lot 40 and 150. This survey was able to reveal information on the area’s prehistoric landscape and early settlement within New Lots. This survey was able to conclude that while this project area is unlikely to have a direct historic or prehistoric archaeological significance.",1994
123,"This report is the fourth installment in a six volume report on archaeological excavations carried out during the Hanover Square Project. This volume is dedicated to appendices C through E. These appendixes provide an analysis of site features, sedimentary deposits, ceramics located during site excavations.",1982
119,"This report is a proposal detailing the assessment and potential for subsurface remains and historic resources located at the Brown House in Queens County, New York.  The report discloses a historical overview of early owners and tenants of the property and collections of data gathered through historic site maps. The report evaluates the results prior excavations carried out at the site, and identifies the areas of potential impact and archaeological sensitivity.",2000
32,"Project at the former site of the Convent of the Little Sisters of the Poor at 142 Hollywood Avenue in Throgs Neck, Bronx. The report examines the history of the site and the surrounding area in order to determine the site's potential to yield archeologically significant deposits. Researchers conclude that while it is unlikely that there will be any significant historical material the project area has a high potential to yield prehistoric deposits. Therefore archaeological excavations are recommended.",2001
139,"This report sets out to evaluate the potential for archaeological sensitivity at 140 Johnson Avenue, Williamsburg, Brooklyn New York. This survey assesses the potential for the site to contain  prehistoric and historic resources through review of cartographic, census record, and tax assessment information on the project area. This survey reveals information about the occupation and development of the project area during the mid to late 19th century. The above survey concludes that sections of the project area have the potential to yield information on commercial development and industry in this area.",1995
187,"The following report is an assessment of archaeological sensitivity within East New York, Brooklyn. This report disseminates the results of subsurface excavations within the 26th Ward Water Pollution Plant Expansion Project area. This survey determines that the project area has a low potential for containing either significant prehistoric and historic archaeological resources, and does not recommend any further subsurface testing at the site.",1990
176,Project to investigate the possible presence of archaeological deposits adjacent to the westside of Shore Parkway Bridge over Fresh Creek Basin in southeast Brooklyn. Excavations and geological testing found no evidence of prehistoric or historic activity in the project area.,2000
102,"Project on the northeastern portion of Rikers Island. Report provides an overview of the history and prehistory of the site and then examines the site's potential to yield archaeologically significant deposits. While it is probably that there may have been prehistoric deposits on the island, the modern construction of the correctional facilities and associated buildings make it highly unlikely that these deposits were preserved. Therefore, no archaeological testing is recommended.",1994
232,"The following report is an assessment of archaeological sensitivity in the Wallabout Bay neighborhood of Brooklyn. This survey conducts a literature review on prehistoric and historic resources located within the areas proposed for the development of a pumping station and water main.  This survey utilizes cartographic and published information to determine the presence or absence of archaeological resources. This survey determined that there is a high potential for the preservation of remnants of commercial, residential, and public buildings dating to the mid to late 19th century. This survey thus recommends further archaeological and research evaluation.",1991
195,"The following report documents the results of archaeological testing carried out in the Fort Greene neighborhood of Brooklyn. This survey conducted subsurface testing in order to examine buried deposits of mid 19th century privies potentially located at 457, 461 and 465 Waverly Ave. This survey was able to determine that there was low potential for remnants of significant archaeological resources, including privies, within the area of proposed development.",1991
128,"This report assesses the potential for archaeological sensitivity in the Eastern District Terminal Site, Williamsburg, Brooklyn.  In conjunction with plans to develop Blocks 2294, 2301, 2308, 2324, 2301, 2308, 2324, 2332, and 2316 the project sets out to evaluate evidence for prehistoric and historic resources within the project location. This survey conducts a review of historical records and cartographic information. This study reveals information on the development industry and housing in the neighborhood between the 18th century and early 20th century. This survey concludes that due to the disturbance of intact archaeological features there is a low probability for archaeological sites within the project area.",1991
230,"The following report is an assessment of archaeological sensitivity at the Fort Greene neighborhood of Brooklyn. This survey conducts a literature review of historic resources located at the Block 2062.  The survey utilizes cartographic and published information to determine the presence or absence of historic resources on-site. This survey determined that there is a high potential for the preservation of historic archaeological deposits, including architectural remnants and backyard features, dating to the mid 19th century. This survey thus recommends further archaeological examinations at the site.",1990
158,"The following is an assessment of archaeological sensitivity in the Fulton Ferry Historic District, Brooklyn, New York. This survey consults historic records and documentary evidence in order to identify potential historic and archaeological resources located between 12-16 Everett Street (Block 200 Lot 13, and Lot 11). This survey was able to reveal that intact fill layers predating the mid 18th century landfill likely preserved prehistoric, early wharves, and other use areas at the site. Information provided by this document reveals information on land ownership and structural development within the project area between the 17th and 18th century.",1991
127,"This report assesses the potential for archeological sensitivity at the Erie Basin site, located in Red Hook, Brooklyn, New York. In conjunction with plans to develop Block 612, Lot 300, the project sets out to evaluate evidence for prehistoric and historic resources within the project location. This report reveals information on the impact of coastal developments and marine activity in the region during the late 19th century and early 20th century. This survey concludes that there is a high potential for preserved environmental data beneath cribwork associated the early development of  the district’s maritime landscape.",1991
217,The following report is an assessment of archaeological and historical sensitivity within the East New York section of Brooklyn. This survey conducts a literature review on prehistoric and historic resources within the area proposed for the development of school I.S. 171. This survey determined that there is a low probability for the preservation prehistoric and historic sites within the project area and recommends no further archaeological testing at the site.,1991
65,"Project on the prehistoric site at Chapel Farm II in  Riverdale, Bronx. Previous excavations recovered prehistoric stone tools that date to the Late Archaic but the project area had been too disturbed to date for certain. Researchers conclude that because of this disturbance it is unlikely that further excavation will yield any significant information; the report includes a review and summary of the excavations.",1991
215,"The following report is an assessment of archaeological and historical sensitivity within Coney Island, Brooklyn. This survey conducts a literature review on prehistoric and historic resources located within the project area of the  Water Control Pollution Plant. This survey determined that there is likely to be evidence for prehistoric and historic occupation of the site, including a Late Archaic settlement and a 17th century Gristmill. This survey was able to recommend further archaeological testing at the site.",1983
