address,bin,block,building_class_category,year_built,building_class_at_time_of
959 EAST 29TH STREET,3207013.0,7593,01  ONE FAMILY DWELLINGS,1925,A9
"1632 2ND AVENUE, 1205",1078565.0,1547,10  COOPS - ELEVATOR APARTMENTS,1987,D4
2722 EAST TREMONT AVENUE,2041966.0,3988,22  STORE BUILDINGS,1939,K1
2049 GATES AVENUE,4083414.0,3485,07  RENTALS - WALKUP APARTMENTS,1930,C2
530 PARK AVENUE,1040806.0,1375,13  CONDOS - ELEVATOR APARTMENTS,1941,R4
30-07 CORPORAL KENNEDY STR,4133425.0,5994,01  ONE FAMILY DWELLINGS,1950,A2
1336 46TH STREET,3136987.0,5623,03  THREE FAMILY DWELLINGS,1925,C0
34 SOUTH 9TH STREET,3395350.0,2135,13  CONDOS - ELEVATOR APARTMENTS,2013,R4
102 WEST 57TH STREET,1089420.0,1009,26  OTHER HOTELS,2007,H3
3060 WESTCHESTER AVENUE,2046603.0,4196,35  INDOOR PUBLIC AND CULTURAL FACILITIES,1937,P9
102 WEST 57TH   STREET,1089420.0,1009,26  OTHER HOTELS,2007,H3
262 KINGS HIGHWAY,3176803.0,6649,02  TWO FAMILY DWELLINGS,1931,S2
870 7 AVENUE,1024878.0,1027,45  CONDO HOTELS,0,RH
41-04 171ST   STREET,4120663.0,5349,01  ONE FAMILY DWELLINGS,1930,A1
N/A WESTCHESTER AVENUE,,4196,31  COMMERCIAL VACANT LAND,0,V1
1515 METROPOLITAN AVENUE,2096775.0,3944,13  CONDOS - ELEVATOR APARTMENTS,0,R4
"2427 EAST 29TH, 1K",,7422,10  COOPS - ELEVATOR APARTMENTS,1955,D4
1253 EAST 37TH   STREET,3208267.0,7619,03  THREE FAMILY DWELLINGS,1970,C0
2140 HOLLAND AVENUE,2049411.0,4320,22  STORE BUILDINGS,1932,K1
30-51 81ST   STREET,4025149.0,1130,03  THREE FAMILY DWELLINGS,1970,C0
"220 EAST 67TH STREET, 1J",1043874.0,1421,10  COOPS - ELEVATOR APARTMENTS,1964,D4
445 5 AVENUE,1017603.0,869,13  CONDOS - ELEVATOR APARTMENTS,1986,R4
1335 AVENUE OF THE AMERIC,,1006,45  CONDO HOTELS,1963,RH
2821 WEST 31ST   STREET,3188847.0,7009,01  ONE FAMILY DWELLINGS,1985,A5
322 74TH STREET,3393900.0,5929,04  TAX CLASS 1 CONDOS,0,R3
973 EAST 2ND   STREET,3170415.0,6505,01  ONE FAMILY DWELLINGS,1920,A9
"132 WEST 169TH STREET, 6C",2003314.0,2518,10  COOPS - ELEVATOR APARTMENTS,1931,D4
181 DUANE STREET,1001547.0,143,14  RENTALS - 4-10 UNIT,1920,S3
N/A HARING STREET,,7336,05  TAX CLASS 1 VACANT LAND,0,V0
9321 3 AVENUE,3155238.0,6107,29  COMMERCIAL GARAGES,1955,G2
3049 BUHRE AVENUE,2046602.0,4196,21  OFFICE BUILDINGS,1925,O5
261 DEVOE STREET,3070348.0,2916,07  RENTALS - WALKUP APARTMENTS,1920,C2
415 GREENWICH STREET,1002807.0,215,13  CONDOS - ELEVATOR APARTMENTS,1913,R4
153-34 60 AVENUE,4141519.0,6441,01  ONE FAMILY DWELLINGS,1945,A0
155 EAST 115 STREET,1052276.0,1643,01  ONE FAMILY DWELLINGS,1900,A4
"143-50 HOOVER AVENUE, 209",4208486.0,9738,10  COOPS - ELEVATOR APARTMENTS,1948,D4
"136 WEST 81ST STREET, 2R",1032007.0,1211,09  COOPS - WALKUP APARTMENTS,1900,C6
1335 AVENUE OF THE AMERIC,,1006,45  CONDO HOTELS,1963,RH
121-11 109TH   AVENUE,4205617.0,9601,01  ONE FAMILY DWELLINGS,1920,A1
47-18 170TH   STREET,4125684.0,5567,01  ONE FAMILY DWELLINGS,1955,A5
4171 WHITE PLAINS ROAD,2063283.0,4835,22  STORE BUILDINGS,1930,K1
280 WEBSTER AVE,3127835.0,5421,02  TWO FAMILY DWELLINGS,1910,B3
1345 ROSEDALE AVENUE,2027766.0,3873,07  RENTALS - WALKUP APARTMENTS,1935,C3
37 THROOP AVENUE,3389461.0,2251,13  CONDOS - ELEVATOR APARTMENTS,2006,R4
2016 EAST 2ND   STREET,3000000.0,7104,05  TAX CLASS 1 VACANT LAND,0,V0
"160 WEST 85TH STREET, 6D",1032133.0,1215,10  COOPS - ELEVATOR APARTMENTS,1950,D4
104 HARRISON AVENUE,3061248.0,2237,02  TWO FAMILY DWELLINGS,1910,S2
2722 EAST TREMONT AVENUE,2041966.0,3988,22  STORE BUILDINGS,1939,K1
1860 51ST STREET,3129730.0,5468,02  TWO FAMILY DWELLINGS,1945,B1
785 WEST FINGERBOARD RD,5045019.0,3046,02  TWO FAMILY DWELLINGS,1970,B2
"345 W 55TH ST, 6C",1025425.0,1046,10  COOPS - ELEVATOR APARTMENTS,1925,D4
3200 PHILIP AVENUE,2078100.0,5476,01  ONE FAMILY DWELLINGS,1956,A5
89-91 ATLANTIC AVENUE,3002715.0,274,22  STORE BUILDINGS,1910,K2
2113 EAST 38TH   STREET,3241747.0,8538,01  ONE FAMILY DWELLINGS,1930,A1
3049 BUHRE AVENUE,2046602.0,4196,21  OFFICE BUILDINGS,1925,O5
60 PEARL STREET,1000014.0,7,14  RENTALS - 4-10 UNIT,1900,S9
"458 WEST 23RD   STREET, 3B/4B",1012715.0,720,09  COOPS - WALKUP APARTMENTS,1900,C6
445 5 AVENUE,1017603.0,869,13  CONDOS - ELEVATOR APARTMENTS,0,R4
445 5TH AVENUE,1017603.0,869,13  CONDOS - ELEVATOR APARTMENTS,0,R4
2140 HOLLAND AVENUE,2049411.0,4320,22  STORE BUILDINGS,1932,K1
2020 EAST 2ND   STREET,3191507.0,7104,03  THREE FAMILY DWELLINGS,2001,C0
508 AVENUE F,3127635.0,5412,02  TWO FAMILY DWELLINGS,1925,B2
1555 STERLING PLACE,3036625.0,1374,02  TWO FAMILY DWELLINGS,1910,B1
"90 PROSPECT PARK WEST, 1-R",3025557.0,1083,09  COOPS - WALKUP APARTMENTS,1908,C6
"210 RIVERSIDE DRIVE, 10D",1034130.0,1252,10  COOPS - ELEVATOR APARTMENTS,1910,D4
255 EASTERN PARKWAY,3029652.0,1181,13  CONDOS - ELEVATOR APARTMENTS,0,R4
415 GREENWICH STREET,1002807.0,215,13  CONDOS - ELEVATOR APARTMENTS,1913,R4
740 SHEPHERD AVENUE,3097137.0,4316,02  TWO FAMILY DWELLINGS,1910,B1
166 EAST 63RD   STREET,1042051.0,1397,13  CONDOS - ELEVATOR APARTMENTS,1959,R4
"71 OCEAN PARKWAY, 4J",3124031.0,5320,10  COOPS - ELEVATOR APARTMENTS,1936,D4
N/A 94TH   STREET,,6107,05  TAX CLASS 1 VACANT LAND,0,V0
248 WALLABOUT STREET,3345247.0,2264,13  CONDOS - ELEVATOR APARTMENTS,2001,R4
1063 EAST 31ST STREET,3207932.0,7613,01  ONE FAMILY DWELLINGS,1925,A9
461 FOURTH AVENUE,3022519.0,1016,03  THREE FAMILY DWELLINGS,1899,C0
248 OCEAN VIEW AVENUE,3244731.0,8672,02  TWO FAMILY DWELLINGS,1925,B3
171 LEXINGTON AVENUE,3421432.0,1968,15  CONDOS - 2-10 UNIT RESIDENTIAL,2005,R1
2140 HOLLAND AVENUE,2049411.0,4320,22  STORE BUILDINGS,1932,K1
1013 DUMONT AVENUE,3000000.0,4067,05  TAX CLASS 1 VACANT LAND,0,V0
1655 MADISON AVENUE,1087962.0,1616,08  RENTALS - ELEVATOR APARTMENTS,2009,D3
627 48 STREET,3012389.0,767,02  TWO FAMILY DWELLINGS,1920,B9
1718 ADAMS STREET,2042546.0,4016,02  TWO FAMILY DWELLINGS,1920,B2
"107 WEST 86TH STREET, 5C",1032199.0,1217,10  COOPS - ELEVATOR APARTMENTS,1929,D4
20-71 28TH STREET,4017858.0,849,01  ONE FAMILY DWELLINGS,1945,A5
N/A HARING STREET,,7336,05  TAX CLASS 1 VACANT LAND,0,V0
1262 EAST 14TH   STREET,3180645.0,6733,34  THEATRES,1934,J6
3074 WESTCHESTER AVENUE,2087150.0,4196,35  INDOOR PUBLIC AND CULTURAL FACILITIES,1984,P9
50 WEST 13TH   STREET,1009612.0,576,02  TWO FAMILY DWELLINGS,1901,S2
269 56 STREET,3014874.0,829,07  RENTALS - WALKUP APARTMENTS,1914,C2
102 WEST 57TH STREET,1089420.0,1009,26  OTHER HOTELS,2007,H3
3074 WESTCHESTER AVENUE,2087150.0,4196,35  INDOOR PUBLIC AND CULTURAL FACILITIES,1984,P9
37-11 28TH   AVENUE,4010223.0,653,07  RENTALS - WALKUP APARTMENTS,1913,C1
333 EAST 34TH STREET,1021903.0,940,13  CONDOS - ELEVATOR APARTMENTS,1961,R4
45-05 98TH STREET,4040697.0,1627,03  THREE FAMILY DWELLINGS,1920,C0
4171 WHITE PLAINS ROAD,2063283.0,4835,22  STORE BUILDINGS,1930,K1
54 WEST 13TH   STREET,1080148.0,576,26  OTHER HOTELS,2011,HB
1162 SHERMAN AVENUE,2094058.0,2452,03  THREE FAMILY DWELLINGS,1992,C0
1655 SUMMERFIELD STREET,4085761.0,3554,07  RENTALS - WALKUP APARTMENTS,1931,C2
"85-14 BROADWAY, 4H",4038744.0,1547,10  COOPS - ELEVATOR APARTMENTS,1952,D4
47-34 11TH   STREET,4539349.0,45,13  CONDOS - ELEVATOR APARTMENTS,2009,R4
3074 WESTCHESTER AVENUE,2087150.0,4196,35  INDOOR PUBLIC AND CULTURAL FACILITIES,1984,P9
"122 ASHLAND PLACE, 15D",3058255.0,2061,10  COOPS - ELEVATOR APARTMENTS,1958,D4
189-35 45TH ROAD,4124829.0,5530,01  ONE FAMILY DWELLINGS,1920,A1
2040 57TH   STREET,3131247.0,5500,05  TAX CLASS 1 VACANT LAND,1925,V0
1256 EDISON AVENUE,2073210.0,5336,01  ONE FAMILY DWELLINGS,1920,A2
505 FLUSHING AVENUE,3396777.0,2263,13  CONDOS - ELEVATOR APARTMENTS,2010,R4
635 5 AVENUE,3016733.0,873,02  TWO FAMILY DWELLINGS,1931,S2
23-29 32ND   STREET,4017232.0,835,02  TWO FAMILY DWELLINGS,1925,B2
731 MONTAUK COURT,3196228.0,7244,02  TWO FAMILY DWELLINGS,1965,S2
4171 WHITE PLAINS ROAD,2063283.0,4835,22  STORE BUILDINGS,1930,K1
305 2 AVENUE,1069344.0,898,13  CONDOS - ELEVATOR APARTMENTS,0,R4
1259 LINCOLN PLACE,3037035.0,1383,07  RENTALS - WALKUP APARTMENTS,1908,C2
1463 DAHILL ROAD,3173484.0,6582,02  TWO FAMILY DWELLINGS,1930,B1
326 74TH   STREET,3393897.0,5929,44  CONDO PARKING,0,RP
7517 11TH AVENUE,3159860.0,6220,02  TWO FAMILY DWELLINGS,1930,B1
1615 EAST 14TH STREET,3182423.0,6777,02  TWO FAMILY DWELLINGS,1910,B1
N/A WESTCHESTER AVENUE,,4196,31  COMMERCIAL VACANT LAND,0,V1
N/A WESTCHESTER AVENUE,,4196,31  COMMERCIAL VACANT LAND,0,V1
283 VICTORY BOULEVARD,5002620.0,109,02  TWO FAMILY DWELLINGS,1920,B2
1218 EAST 55TH   STREET,3216637.0,7802,02  TWO FAMILY DWELLINGS,1965,B1
1311 HERKIMER STREET,3042270.0,1552,03  THREE FAMILY DWELLINGS,1905,C0
529 THATFORD AVENUE,3082901.0,3627,02  TWO FAMILY DWELLINGS,1930,B1
256 PROSPECT PARK WEST,3027212.0,1113,14  RENTALS - 4-10 UNIT,1920,S9
4171 WHITE PLAINS ROAD,2063283.0,4835,22  STORE BUILDINGS,1930,K1
3941 HARPER AVENUE,2067012.0,4964,01  ONE FAMILY DWELLINGS,1959,A1
310 WEST 52ND STREET,1087538.0,1042,47  CONDO NON-BUSINESS STORAGE,2005,RS
128-09 142ND   STREET,4262029.0,12065,01  ONE FAMILY DWELLINGS,1930,A5
"521 EAST 83RD STREET, 5E",1051191.0,1580,09  COOPS - WALKUP APARTMENTS,1925,C6
108 ATLANTIC AVENUE,3002938.0,284,07  RENTALS - WALKUP APARTMENTS,1915,C7
415 GREENWICH STREET,1002807.0,215,13  CONDOS - ELEVATOR APARTMENTS,1913,R4
"300 WEST 108 ST, 15B",1057285.0,1892,10  COOPS - ELEVATOR APARTMENTS,1924,D4
102 ADMIRAL COURT,2123780.0,3432,04  TAX CLASS 1 CONDOS,2005,R3
3060 WESTCHESTER AVENUE,2046603.0,4196,35  INDOOR PUBLIC AND CULTURAL FACILITIES,1937,P9
"300 RIVERSIDE DRIVE, 3G",1057175.0,1890,10  COOPS - ELEVATOR APARTMENTS,1923,D4
2071 HARING STREET,3199013.0,7336,01  ONE FAMILY DWELLINGS,1940,A5
44 HICKS STREET,3001531.0,210,07  RENTALS - WALKUP APARTMENTS,1910,C1
138-16 59 AVENUE,4139657.0,6381,02  TWO FAMILY DWELLINGS,1940,B2
211 EAST 46TH   STREET,1037599.0,1320,13  CONDOS - ELEVATOR APARTMENTS,1979,R4
"1710 CARROLL STREET, A2",3038167.0,1415,10  COOPS - ELEVATOR APARTMENTS,1926,D4
157 EAST 115 STREET,1052277.0,1643,07  RENTALS - WALKUP APARTMENTS,1900,C5
509 EAST 6TH   STREET,1005115.0,402,15  CONDOS - 2-10 UNIT RESIDENTIAL,1920,R1
8624 5 AVENUE,3153556.0,6045,07  RENTALS - WALKUP APARTMENTS,1925,C7
208 WEBSTER AVE,3127818.0,5420,03  THREE FAMILY DWELLINGS,1901,C0
376 PRESIDENT STREET,3347155.0,444,13  CONDOS - ELEVATOR APARTMENTS,1938,R4
8009 HARBOR VIEW TERRACE,3150655.0,5975,01  ONE FAMILY DWELLINGS,1925,A3
644 EAST 24TH STREET,3121491.0,5244,01  ONE FAMILY DWELLINGS,1920,A1
301 WEST 53RD   STREET,1025400.0,1044,13  CONDOS - ELEVATOR APARTMENTS,1979,R4
301 WEST 53RD   STREET,1025400.0,1044,13  CONDOS - ELEVATOR APARTMENTS,1979,R4
"330 WEST 28TH STREET, 14C",1082796.0,751,10  COOPS - ELEVATOR APARTMENTS,1960,D4
5127 SURF AVENUE,3189150.0,7024,01  ONE FAMILY DWELLINGS,1970,A1
210 WEST 82ND STREET,1032690.0,1229,14  RENTALS - 4-10 UNIT,1900,S9
97-49 220TH STREET,4231144.0,10786,02  TWO FAMILY DWELLINGS,1925,B3
2159 64TH   STREET,3133332.0,5543,01  ONE FAMILY DWELLINGS,1920,A5
102 WEST 57TH STREET,1089420.0,1009,26  OTHER HOTELS,2007,H3
101 MARINE AVE,3155540.0,6116,08  RENTALS - ELEVATOR APARTMENTS,1930,D1
2722 EAST TREMONT AVENUE,2041966.0,3988,22  STORE BUILDINGS,1939,K1
29 STACK DRIVE,5121699.0,6017,04  TAX CLASS 1 CONDOS,1981,R3
"435 EAST 65TH STREET, 8H",1045397.0,1460,10  COOPS - ELEVATOR APARTMENTS,1963,D4
910 PARK PLACE,3031550.0,1241,13  CONDOS - ELEVATOR APARTMENTS,1910,R4
720 DECATUR ST,3040700.0,1507,03  THREE FAMILY DWELLINGS,1901,C0
70-26 57TH   ROAD,4062761.0,2798,02  TWO FAMILY DWELLINGS,1925,B2
71 STANHOPE STREET,3074085.0,3254,02  TWO FAMILY DWELLINGS,1901,B2
1991 BROADWAY,1028857.0,1139,13  CONDOS - ELEVATOR APARTMENTS,1985,R4
136 JEFFERSON ST,3388650.0,3172,02  TWO FAMILY DWELLINGS,2005,B9
310 WEST 52ND STREET,1087538.0,1042,13  CONDOS - ELEVATOR APARTMENTS,2005,R4
1247 CROES AVENUE,2025477.0,3781,03  THREE FAMILY DWELLINGS,1960,C0
205 EAST 68TH STREET,1084294.0,1423,13  CONDOS - ELEVATOR APARTMENTS,1991,R4
3015 BRIGHTON 13TH STREET,3245566.0,8714,08  RENTALS - ELEVATOR APARTMENTS,1942,D1
