agency,agency_name,service_name,goal,goal_description
DOC,DEPARTMENT OF CORRECTION,"Provide a safe and secure environment for inmates, staff and host communities.",1b,Ensure that use of force is authorized and appropriate.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage and operate City-owned office buildings.,2a,Improve cleanliness and maintenance ratings for DCAS-managed facilities.
DOI,DEPARTMENT OF INVESTIGATION,"Investigate possible corruption, fraud, waste and unethical conduct in City government.",1a,"Maintain the integrity of City agencies, employees, contract vendors and other recipients of City funds."
DHS,DEPARTMENT OF HOMELESS SERVICES,"Help chronically unsheltered homeless individuals find stable, safe living situations.",3a,Reduce the number of unsheltered homeless individuals.
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,"Provide City agencies, the courts and district attorneys with record storage, retrieval and retention scheduling services.",2c,Dispose of all records according to their scheduled retention period.
DCP,DEPARTMENT OF CITY PLANNING,Customer Service,4a,Customer service indicators
DCP,DEPARTMENT OF CITY PLANNING,"Prepare information and policy analysis for the public, other government agencies and elected officials.",2a,"Provide quality technical and strategic planning expertise to the public, other City agencies and elected officials to support decision making."
DOF,DEPARTMENT OF FINANCE,Help NYC taxpayers resolve tax issues,4a,"Through the Office of the Taxpayer Advocate, promptly address inquiries and resolve cases"
DOE,DEPARTMENT OF EDUCATION,Customer Service,8a,Customer Service Indicators
DOC,DEPARTMENT OF CORRECTION,"Provide a safe and secure environment for inmates, staff and host communities.",1d,Maximize bed capacity and address cell maintenance and repairs in a timely manner.
CCHR,COMMISSION ON HUMAN RIGHTS,Customer Service,3a,Customer Service Indicators
DOF,DEPARTMENT OF FINANCE,Bill and collect property and other taxes.,1b,Promptly review requests for refunds.
ACS,ADMIN FOR CHILDREN'S SERVICES,Protect children from child abuse.,1e,"Reduce time to reunification, kinship guardianship and/or adoption and maintain strong family connections for children."
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Customer Service,5b,Service Level Agreement Indicators
DOT,DEPARTMENT OF TRANSPORTATION,Maintain the City’s transportation infrastructure.,1b,"Maintain a state of good repair for the City’s streets, sidewalks and highways."
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Detect and control infectious diseases.,1b,Prevent the spread of other infectious diseases.
DOT,DEPARTMENT OF TRANSPORTATION,Maintain the City’s transportation infrastructure.,1a,Manage the City’s bridge inventory to achieve a high state of good repair.
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Agency-wide Management,5a,agencywide indicators
DPR,DEPARTMENT OF PARKS AND RECREATION,Preserve and expand the infrastructure of New York’s park system.,3a,Build and improve parks and playgrounds in a timely and efficient manner.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage energy use by City agencies.,5c,Increase the City's renewable energy capacity.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Promote a safe environment.,3a,Reduce hazards to children in homes and child care programs.
DOE,DEPARTMENT OF EDUCATION,Support children with special needs.,2b,Improve the ability of students with disabilities to progress academically and socially.
DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Provide financial support to the City’s non-profit arts and cultural sector for operations, programs and activities.",1b,Strengthen the infrastructure of cultural facilities by funding capital improvements.
DPR,DEPARTMENT OF PARKS AND RECREATION,Customer Service,6b,Service Level Agreement Indicators
DOF,DEPARTMENT OF FINANCE,"Bill, adjudicate and collect on parking tickets.",2b,Assure that all respondents are offered convenient options for paying and challenging tickets.
DOP,DEPARTMENT OF PROBATION,Improve community safety through a combination of accountability and support activities with those under probation supervision.,2b,Increase the probability of successful completion of probation terms through maximizing the use  of evidence-based practices and community-based interventions.
CCRB,CIVILIAN COMPLAINT REVIEW BOARD,Inform and educate the public about the agency.,2a,Increase outreach and education of City residents.
BIC,BUSINESS INTEGRITY COMMISSION,Regulate the City's commercial waste hauling industry.,1a,Ensure that all businesses in the commercial waste hauling industry abide by the law.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Detect and control infectious diseases.,1a,Reduce new cases of HIV and other sexually transmitted infections.
DOP,DEPARTMENT OF PROBATION,Contribute to optimal court processing and decision-making in delinquency and criminal justice matters.,1a,Produce timely and accurate pre-sentence investigations.
DOC,DEPARTMENT OF CORRECTION,Prepare inmates for return to their neighborhoods as civil and contributing members.,2b,"Reduce idleness by increasing inmate participation in mandated and other programs, service and activities."
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Agency-wide Management,6a,agency-wide indicators
DOI,DEPARTMENT OF INVESTIGATION,"Investigate possible corruption, fraud, waste and unethical conduct in City government.",1b,Improve the impact and effectiveness of investigations.
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,"Deliver City IT services including hardware, software and technical support",1a,Provide quality service delivery and performance monitoring for DoITT-managed systems.
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Support sharing and management of citywide data and information.,2b,Increase the number of publicly available data sets.
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Customer Service,7a,Customer service indicators
DPR,DEPARTMENT OF PARKS AND RECREATION,"Manage the City’s street, park and forest trees.",2c,Increase the number of trees under DPR stewardship.
DOB,DEPARTMENT OF BUILDINGS,Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.,2a,Promptly address complaints.
DOE,DEPARTMENT OF EDUCATION,EarlyLearn NYC,4a,Ensure access to quality early child care services in communities of need and achieve maximum capacity
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Prevent chronic disease by promoting healthy behaviors and preventive health care.,2b,Improve preventive health care.
NYPD,POLICE DEPARTMENT,Manage public safety programs related to criminal activity.,1a,Reduce the incidence of crime.
DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Provide financial support to the City’s non-profit arts and cultural sector for operations, programs and activities.",1a,Process grant payments promptly.
DOT,DEPARTMENT OF TRANSPORTATION,Customer Service,7b,Service Level Agreement (SLA) indicators
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Enforce City laws relating to air pollution, noise pollution and hazardous materials.",5a,Investigate complaints in a timely manner.
DOB,DEPARTMENT OF BUILDINGS,Facilitate safe and compliant development.,1b,Promptly review initial construction plans.
DOF,DEPARTMENT OF FINANCE,Record property-related documents,5a,Increase the percentage of online property recording transactions
DOI,DEPARTMENT OF INVESTIGATION,"Conduct background and fingerprint checks for certain City employees, contractors and day care workers.",2a,Ensure that all background investigations and fingerprint checks are conducted in a timely manner.
DOT,DEPARTMENT OF TRANSPORTATION,Maintain the City’s transportation infrastructure.,1c,"Ensure timely repairs of the City’s street lights, traffic signs and signals."
DOB,DEPARTMENT OF BUILDINGS,Facilitate safe and compliant development.,1a,Improve processing efficiency.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Customer Service,5a,Customer service indicators
DOB,DEPARTMENT OF BUILDINGS,Customer Service,4b,Service Level Agreement Indicators
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage and operate City-owned office buildings.,2c,Consolidate and reduce City office space.
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Bill and collect revenue for water and sewer usage.,4b,Meet revenue targets established by the NYC Water Board.
DPR,DEPARTMENT OF PARKS AND RECREATION,"Manage the City’s street, park and forest trees.",2b,Resolve high-priority tree work promptly.
DOE,DEPARTMENT OF EDUCATION,Agency-wide Management,6a,agency-wide indicators
DPR,DEPARTMENT OF PARKS AND RECREATION,Preserve and expand the infrastructure of New York’s park system.,3b,Ensure an adequate supply of parkland to meet future needs.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Procure goods and select services for City agencies.,4a,Maximize competition in the procurement process.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Help City agencies fulfill their workforce needs.,1b,Ensure a competitive and diverse candidate pool for City employment opportunities.
DOE,DEPARTMENT OF EDUCATION,"Design and construct new schools, additions and capital
improvement projects authorized by the Department of
Education’s Five-Year Capital Plan.",7d,Maximize project safety and quality.
DOE,DEPARTMENT OF EDUCATION,Maintain and enhance the City’s educational facilities.,5a,"Work with SCA to design, construct, modernize and repair durable, functional and attractive educational facilities, on schedule and within budget."
DHS,DEPARTMENT OF HOMELESS SERVICES,Provide temporary emergency housing to homeless individuals and families.,1a,Ensure that individuals and families have access to emergency shelter and are  connected to appropriate mainstream resources.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Prevent and address mental Illness, developmental disabilities, and substance abuse.",4a,Reduce the adverse health consequences of substance abuse.
ACS,ADMIN FOR CHILDREN'S SERVICES,Agency-wide Management,4a,agency-wide indicators
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Customer Service,6a,Customer Service Indicators
ACS,ADMIN FOR CHILDREN'S SERVICES,Protect children from child abuse.,1c,Provide safe and stable foster care placements for children who cannot remain safely at home.
DOT,DEPARTMENT OF TRANSPORTATION,Design and build transportation alternatives.,3a,Increase mobility and accessibility throughout the City.
DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Promote public appreciation of non-profit arts and culture.,2a,Increase public awareness of the cultural programming offered throughout the five boroughs.
DOP,DEPARTMENT OF PROBATION,Contribute to optimal court processing and decision-making in delinquency and criminal justice matters.,1b,Identify youth appropriate for diversion from formal juvenile court proceedings via adjustment services.
DOE,DEPARTMENT OF EDUCATION,"Design and construct new schools, additions and capital
improvement projects authorized by the Department of
Education’s Five-Year Capital Plan.",7c,Increase the number of capital improvement projects completed on schedule and within budget.
ACS,ADMIN FOR CHILDREN'S SERVICES,Customer Service,5a,Customer Service Indicators
ACS,ADMIN FOR CHILDREN'S SERVICES,Provide custody and care of youth in secure and safe detention and placement facilities while providing casework services.,3b,Provide youth in detention and placement with appropriate health and mental health services.
ACS,ADMIN FOR CHILDREN'S SERVICES,Provide custody and care of youth in secure and safe detention and placement facilities while providing casework services.,3c,Provide services to prevent youth from returning to the juvenile justice system.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Prevent and address mental Illness, developmental disabilities, and substance abuse.",4b,Facilitate access to services for New Yorkers with or at-risk of developing mental illnesses or developmental disabilities.
DOB,DEPARTMENT OF BUILDINGS,Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.,2b,Rigorously enforce building and zoning laws.
DOT,DEPARTMENT OF TRANSPORTATION,Provide a safe transportation network.,2b,Ensure passenger safety on the Staten Island Ferry.
DOB,DEPARTMENT OF BUILDINGS,Customer Service,4a,Customer service indicators
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage energy use by City agencies.,5b,Reduce the energy-related carbon footprint of City buildings.
ACS,ADMIN FOR CHILDREN'S SERVICES,Protect children from child abuse.,1d,Encourage and support family-based foster care.
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Ensure the sufficiency, quality and security of the City’s drinking water supply.",1b,Assure the integrity of the drinking water supply and distribution systems.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Protect and advocate for workers.,4b,Assist freelancers in exercising their rights under the Freelance Isn't Free Law.
DPR,DEPARTMENT OF PARKS AND RECREATION,Manage the City’s parks and recreation facilities.,1b,Provide an overall quality park experience.
ACS,ADMIN FOR CHILDREN'S SERVICES,Protect children from child abuse.,1b,Reduce the risk of child maltreatment occurring in at-risk families through the provision of high quality preventive services.
DHS,DEPARTMENT OF HOMELESS SERVICES,Coordinate and/or provide support services to help individuals and families who are homeless to exit shelter as quickly as possible.,2a,Facilitate exits and minimize clients’ length of stay in shelters.
DOE,DEPARTMENT OF EDUCATION,Educate New York City’s children.,1b,Promote parental involvement in education.
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Treat wastewater and sewage to protect water quality in the receiving waters surrounding the City.,3a,Maintain high levels of compliance with federal and State treatment standards for wastewater and sewage entering receiving waters.
DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Customer Service,2a,Customer service indicators
