permitnumber,stipulationid,stipulationfulltext,createdon
B022020001A10,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T07:27:39.000
B022020001A06,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:38.000
M032020001A10,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T07:25:15.000
B022020001A11,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T07:27:39.000
B022020001A09,019,"WORK 7AM - 6PM, MONDAY THROUGH FRIDAY ",2020-01-01T07:27:38.000
B022020001A06,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T00:04:38.000
B022020001A10,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T07:27:39.000
B022020001A07,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T00:04:38.000
B022020001A03,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T00:04:36.000
M032020001A03,BIKE04,"IF WORK IMPACTS AN INTERSECTION, THE PERMITTEE MUST POST THE SIGN ASSEMBLY SC-151 AND SC-152 AT THE WORK ZONE AND THE SIGN ASSEMBLY SC-145 AND SC-152. IF THE 50 FEET FALLS WITHIN THE INTERSECTION, IT SHOULD BE INSTALLED ON THE APPROACH TO THE INTERSECTION AND ON THE SIDEWALK AT A LOCATION BETWEEN THE CROSSWALK AND STOP BAR. FOR SIGN ASSEMBLY INFORMATION SEE BIKE MPT DESIGN GUIDELINES. PERMITTEE MUST COMPLY WITH THE BIKE MPT DESIGN GUIDELINES, WHICH ARE AVAILABLE AT https://www1.nyc.gov/html/dot/downloads/pdf/bike-mpt-guidelines.pdf",2020-01-01T02:04:08.000
B022020001A07,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:38.000
B022020001A11,HIQA01,THIS PERMIT ONLY ALLOWS FOR THE CLOSURE OF A ROADWAY OR SIDEWALK AS STIPULATED. ANY STORAGE OF MATERIAL OR STORAGE OF EQUIPMENT REQUIRES A SEPARATE PERMIT. ,2020-01-01T07:27:39.000
M192020001A00,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T01:55:03.000
B022020001A00,012,FLAG PERSON MUST BE PROVIDED TO STOP PEDESTRIAN AND/OR VEHICLE TRAFFIC WHILE  LIFTING MATERIALS OVERHEAD AND ALSO WHEN CROSSING SIDEWALK IN CONJUCTION WITH CROSSING SIDEWALK PERMITS. ,2020-01-01T00:04:35.000
B162020001A03,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:36.000
M192020001A00,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T01:55:03.000
M032020001A09,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T07:25:14.000
M162020001A02,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:39.000
B022020001A10,039,OCCUPY 8 FOOT WIDTH OF ROADWAY ADJACENT TO CURB ,2020-01-01T07:27:39.000
B022020001A00,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T00:04:35.000
B022020001A03,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:36.000
B022020001A21,107,"LOADING AND UNLOADING, STANDING OR PARKING IN A LANE ADJACENT TO THE WORK ZONE IN THE ROADWAY IS PROHIBITED. THIS APPLIES TO PERMITTEES AND ALL OF THEIR SUBCONTRACTORS. ",2020-01-01T10:58:19.000
B022020001A02,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:36.000
M162020001A04,SES064,WORK EMBARGO: 3/14/20 12:01am to 3/17/20 11:59pm for 2020 Embargo St Patrick's Day Parade Full street closure. *NYC DOT REQUIRES FULL RESTORATION OF ROADWAY AND/OR SIDEWALK FOR PUBLIC USE AS IT RELATES TO THE EVENT. PLEASE CONTACT DOT SPECIAL EVENTS (SPECIALEVENTS@DOT.NYC.GOV) FOR FURTHER INFORMATION,2020-01-01T05:52:39.000
B022020001A01,NOISE1,"BY SUBMITTING THIS APPLICATION AND/OR RENEWAL REQUEST, THE PERMITTEE CERTIFIES ITS COMPLIANCE WITH ALL APPLICABLE CITYWIDE CONSTRUCTION NOISE MITIGATION REQUIREMENTS INCLUDING, BUT NOT LIMITED TO THE DEVELOPMENT OF A COMPLIANT NOISE MITIGATION OR ALTERNATIVE NOISE MITIGATION PLAN. PLEASE CONTACT THE NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION (WWW.NYC.GOV/HTML/DEP/HTML/NOISE/CONSTRUCTION-NOISE.SHTML) FOR FURTHER INFORMATION.",2020-01-01T00:04:35.000
B162020001A03,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:36.000
M162020001A05,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:40.000
M162020001A03,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:39.000
B022020001A01,039,OCCUPY 8 FOOT WIDTH OF ROADWAY ADJACENT TO CURB ,2020-01-01T00:04:35.000
B022020001A05,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:37.000
B022020001A10,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T07:27:39.000
B022020001A09,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T07:27:38.000
B022020001A00,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:35.000
B022020001A02,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:36.000
B022020001A00,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T00:04:35.000
M032020001A06,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T07:25:10.000
M032020001A01,BIKE02,"THE PERMITTEE MUST CREATE A TEMPORARY BIKEWAY AROUND THE WORK ZONE DELINEATED BY CONES OR SIMILAR VERTICAL TRAFFIC DEVICES IF THE WORK IMPACTS A BICYCLE LANE. THE MINIMUM WIDTH FOR A ONE-WAY BIKEWAY MUST BE 5 FEET AND 8 FEET FOR A TWO-WAY BIKEWAY. WHERE A TWO-WAY BICYCLE LANE EXISTS ON A ONE-WAY STREET, THE BICYCLE LANE IN THE OPPOSITE DIRECTION OF TRAFFIC SHOULD ALWAYS BE ACCOMMODATED BY A TEMPORARY FIVE-FOOT BIKEWAY AND DELINEATED BY CONES. THE MOVING LANE MUST BECOME A TEMPORARY SHARED VEHICLE AND BICYCLE LANE. NO REDUCTION OF MOVING LANES IS PERMITTED UNLESS STIPULATED ON THIS PERMIT. PARKING RESTRICTIONS MAY APPLY. WHEN A ONE-WAY TEMPORARY BIKEWAY CANNOT BE CREATED, THE NEAREST MOVING LANE MUST BECOME A SHARED VEHICLE AND BICYCLE LANE. PERMITTEE MUST COMPLY WITH THE BIKE MPT DESIGN GUIDELINES, WHICH ARE AVAILABLE AT https://www1.nyc.gov/html/dot/downloads/pdf/bike-mpt-guidelines.pdf",2020-01-01T01:35:38.000
B022020001A11,013,MAINTAIN A MINIMUM 5 FOOT CLEAR PEDESTRIAN WALK ON THE SIDEWALK,2020-01-01T07:27:39.000
B022020001A00,019,"WORK 7AM - 6PM, MONDAY THROUGH FRIDAY ",2020-01-01T00:04:35.000
M032020001A05,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T07:16:29.000
B022020001A01,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T00:04:35.000
M162020001A05,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:40.000
B022020001A08,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:39.000
B022020001A01,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:35.000
B022020001A01,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T00:04:35.000
B022020001A46,023,MAINTAIN ONE 11 FOOT LANE FOR TRAFFIC ,2020-01-01T12:23:01.000
B162020001A06,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:54:14.000
B022020001A07,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:38.000
B022020001A01,091,THIS PERMIT ACTIVITY MAY NOT START UNTIL THE PERMITTEE COORDINATES ALL WORK WITH ANY ONGOING CONSTRUCTION AND WITH THE PROJECT/RESIDENT ENGINEER FOR ANY ONGOING CAPITAL PROJECTS.,2020-01-01T00:04:35.000
B022020001A05,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:37.000
M162020001A00,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:38.000
Q022020003C65,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-03T15:26:48.000
M032020001A02,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T01:52:39.000
B022020001A05,039,OCCUPY 8 FOOT WIDTH OF ROADWAY ADJACENT TO CURB ,2020-01-01T00:04:37.000
B022020001A04,066,"DO NOT PLACE MATERIALS, TRAILERS,CRANES, CONTAINERS, OR EQUIPMENT IN FRONT OF DRIVEWAYS, BUS STOPS, WITHIN FIFTEEN FEET OF A FIRE HYDRANT, IN AUTHORIZED PARKING ZONES OR BLOCKING ACCESS TO DEP WATER TESTING BOXES. IF WORK IS DIRECTLY IN ABOVE AREAS, MAY BE IN VICINITY DURING STIPULATED WORK HOURS BUT NOT WHEN SITE IS UNATTENDED. ",2020-01-01T00:04:37.000
B022020001A04,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:37.000
M032020001A00,SES064,WORK EMBARGO: 3/14/20 12:01am to 3/17/20 11:59pm for 2020 Embargo St Patrick's Day Parade Full street closure. *NYC DOT REQUIRES FULL RESTORATION OF ROADWAY AND/OR SIDEWALK FOR PUBLIC USE AS IT RELATES TO THE EVENT. PLEASE CONTACT DOT SPECIAL EVENTS (SPECIALEVENTS@DOT.NYC.GOV) FOR FURTHER INFORMATION,2020-01-01T01:35:36.000
B022020001A03,039,OCCUPY 8 FOOT WIDTH OF ROADWAY ADJACENT TO CURB ,2020-01-01T00:04:36.000
M162020001A03,CRC001,"APPLICANT SHALL NOT PLACE CONTAINER IN A WAY THAT CONFLICTS WITH OTHER PERMITTED CONSTRUCTION ACTIVITIES ON THE SAME BLOCK. PERMITTEE MAY BE REQUIRED TO REMOVE CONTAINER IMMEDIATELY UPON NOTIFICATION BY NYCDOT OR AUTHORIZED GOVERNMENT EMPLOYEE. CONTAINER SHALL NOT BE STORED OR PLACED WITHIN: (I) ""NO STOPPING"", ""NO STANDING"", ""NO PARKING ANYTIME"" OR ""AUTHORIZED PARKING"" AREAS. ",2020-01-01T05:52:39.000
M032020001A04,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T06:44:29.000
