get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,"<p>     To request more information on applying visit the <a href=""https://maps.nyc.gov/3k/#form-page"" target=""_blank""><u>3-K for All website</u></a>. <a href=""http://nyc.gov/3k"" target=""_blank""></a> </p>",3-K for All,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank""><u>Family Welcome Center</u></a> to learn more about 3-K programs. </p>","<ul>     <li>If you have a child born in 2015 and want to learn more, visit the <a href=""https://maps.nyc.gov/3k/#form-page"" target=""_blank"">3-K for All website</a> or call <a href=""tel:311"">311</a>.     </li>     <li>The City will expand to two additional school districts each year. These districts include:         <ul>             <li>2019-20: District 9 (Grand Concourse, Highbridge, Morrisania) and District 31 (Staten Island).             </li>             <li>2020-21: District 19 (East New York) and District 29 (Cambria Heights, Hollis, Laurelton, Queens Village, Springfield Gardens, St. Albans).             </li>         </ul>     </li> </ul>",Program,Find out how to apply
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:NYCYLC.nyc.gov""><u>Email the Youth Leadership Council</u></a> if you have questions about this program. </p>",<p>     Apply on the YLC website. </p>,NYC Youth Leadership Councils,,<ul>     <li>Available to youth in high school and in high school equivalent (HSE) programs     </li>     <li>For youth ages 14 - 21     </li>     <li>No prior leadership experience is required     </li> </ul>,Program,Request an application
,,EarlyLearn NYC Head Start,"<p>     <strong>Visit a center</strong> </p> <p>     Visit an <a href=""https://access.nyc.gov/locations/?programs=6867"" target=""_blank"">EarlyLearn center</a> near you to get help in person.<br> </p>","<ul>     <li>Care is only available at centers     </li>     <li>If you are receiving Cash Assistance and in an HRA-approved work, education, or training activity you are probably eligible     </li>     <li>Pre-K is offered to all four year olds in partnership with the NYC Department of Education     </li>     <li>Services are available for children with special needs     </li> </ul>",Service,
"<p>     <strong>Email ECDC</strong> </p> <p>     Email the ECDC in your borough for more information: <a href=""mailto:maura.org"">Bronx</a>, <a href=""mailto:ksamet.org"">Brooklyn</a>, <a href=""mailto:mrubinst.org"">Manhattan</a>, <a href=""mailto:cwarkala.org"">Queens</a>, <a href=""mailto:Lkennedy30.edu"">Staten Island</a>. </p>",,Early Childhood Direction Centers,"<p>     <strong>Visit a ECDC</strong> </p> <p>     Find an <a href=""http://www.p12.nysed.gov/specialed/techassist/ecdc/locations.htm"" target=""_blank"">ECDC</a> in your neighborhood to get help in person. </p>","<ul>     <li>Services are free for children and their families     </li>     <li>Centers are available in each borough     </li>     <li>Free training sessions offered     </li>     <li>Information about pre-school services, day care, evaluations, and more     </li> </ul>",Service,
,,Jobs Plus,,"<ul>     <li>Jobs Plus is available at 27 NYCHA developments across 10 sites.     </li>     <li>Participants can also enroll in the <a href=""http://opportunitynycha.org/about-financial-empowerment/rent-incentives/"" target=""_blank"">Earned Income Disallowance (EID) program</a> to prevent rent increases once they find a job or get a raise.     </li> </ul>",Program,
,,Commodity Supplemental Food Program,"<p>     <strong>Visit a CSFP location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">CSFP site</a> near you to get help in person. </p>","<ul>     <li>Requires proof of identity, address, and income     </li>     <li>You can get CSFP even if you are receiving SNAP     </li>     <li>You, or someone representing you, will pick up the food once a month at one of the four distribution sites     </li> </ul>",Program,
,,Safe Sleep Initiative,,"<ul>     <li>For more information about infant sleep, see <a href=""http://www1.nyc.gov/site/acs/about/safe-sleep-faq.page"" target=""_blank"">frequently asked questions</a>, download the <a href=""https://www1.nyc.gov/assets/acs/pdf/about/2017/safesleepbrochure0609.pdf"" target=""_blank"">Safe Sleep brochure</a>, or watch the <a href=""https://youtu.be/ZLeL_LqieMI"" target=""_blank"">Safe Sleep video</a>.     </li>     <li>Low-income ACS-involved families can get a crib, which is delivered and set up in their home.     </li>     <li>Eligible families can receive a crib at a <a href=""https://www1.nyc.gov/site/doh/health/neighborhood-health/neighborhood-health-action-centers.page"" target=""_blank"">Neighborhood Health Action Center</a> or community-based organization in their borough.     </li> </ul>",Resource,
,"<ul>     <li>To apply for public housing, you must submit an application on the <a href=""https://apply.nycha.info/"" target=""_blank"">NYCHA website</a>.     </li>     <li>After you apply, you will be assigned a case number and put on a waiting list for an eligibility interview.     </li>     <li>Use the <a href=""https://selfserve.nycha.info/eservice_enu/start.swe?SWECmd=Start&amp;SWEHo=selfserve.nycha.info"" target=""_blank"">self-service portal</a> to check your status at any time. You'll need to register and log in.     </li> </ul>",Public Housing,"<p>     <strong>NYCHA Customer Contact Centers are located at:</strong> </p> <p>     <strong><a href=""https://access.nyc.gov/location/customer-contact-center-bronx-manhattan-queens/"" target=""_blank"">Bronx Customer Contact Center</a><br></strong> 478 East Fordham Road (1 Fordham Plaza), 2nd Floor<br>     Bronx, NY 10458 </p> <p>     <strong><a href=""https://access.nyc.gov/location/customer-contact-center-brooklyn-staten-island-queens/"" target=""_blank"">Brooklyn Customer Contact Center</a></strong><br>     787 Atlantic Avenue, 2nd Floor<br>     Brooklyn, NY 11238 </p>","<ul>     <li>Rent is based on your family's income. Most buildings have electricity and gas included in the rent.     </li>     <li>You do not need to be a citizen to apply. However, at least one person who lives with you must be a citizen or have legal immigration status.     </li>     <li>Accessible apartments are available for people with disabilities. Some apartments have been modified and are available for persons with mobility impairments. Other reasonable accommodations can be made as well.     </li>     <li>Affordable housing options are also available through <a href=""http://www1.nyc.gov/site/hpd/renters/find-housing.page"" target=""_blank"">NYC Housing Connect</a> and <a href=""http://www.nychdc.com/pages/Now-Renting.html"" target=""_blank"">NYC Housing Development Corporation</a>     </li> </ul>",Program,Apply online
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:HSEnrollment.nyc.gov"">Email the High School Admissions team</a> with questions about applying. </p>","<p>     To apply for admission to a public high school: </p> <ol>     <li>Visit <a href=""http://app.bronto.com/t/l?ssid=4776&amp;subscriber_id=bpoodwbawwvylbzfifslbjpsdmkzbbm&amp;delivery_id=avrbhhzshlfzjwfwzeuqyufrirybbce&amp;td=9yWbDVN0mB36O2cIzTouCQWrpk6bgx7E5xawCisi_rGgRpKUAlMuXHuiyHL09YDwRPvln_RxgubkRx7nPCNs-HHRyofj3L_p2cgoav4uaepYFKN0UTar4AP8bN6gCQkjdf32t8TAQyQYLMTtLnWEza00fLixDyBde76VmBxPDc4aMW8F1Lm8eH4Akf8gHRf-o2oVusiA5k6OGHoXWDSYADOP_TvpVZ7DwrEqi6D7HOZJNdYgYyiA8NEg"" target=""_blank"">MySchools.nyc</a> and set up your account. Speak with your school counselor if you need help. You will need your:         <ul>             <li>Student ID number             </li>             <li>Account creation code (PIN)             </li>         </ul>     </li>     <li>Use <a href=""http://app.bronto.com/t/l?ssid=4776&amp;subscriber_id=bpoodwbawwvylbzfifslbjpsdmkzbbm&amp;delivery_id=avrbhhzshlfzjwfwzeuqyufrirybbce&amp;td=9yWbDVN0mB36O2cIzTouCQWrpk6bgx7E5xawCisi_rGgRpKUAlMuXHuiyHL09YDwRPvln_RxgubkRx7nPCNs-HHRyofj3L_p2cgoav4uaepYFKN0UTar4AP8bN6gCQkjdf32t8TAQyQYLMTtLnWEza00fLixDyBde76VmBxPDc4aMW8F1Lm8eH4Akf8gHRf-o2oVusiA5k6OGHoXWDSYADOP_TvpVZ7DwrEqi6D7HOZJNdYgYyiA8NEg"" target=""_blank"">MySchools</a> to explore high school programs based on your interests, location, and more.     </li>     <li>Select up to 12 choices to add to your application in your true order of preference, and submit it by the deadline.     </li> </ol> <p>     If you just moved to NYC talk to your school counselor or visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"">Family Welcome Center</a>. </p> <p>     If you want to apply to a specialized high school, contact your guidance counselor in September to request an admissions ticket for the test. </p>",High School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>Students interested in <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/specialized-high-schools"" target=""_blank"">Specialized High Schools</a> must audition or take an admissions test     </li>     <li>Students with disabilities and English Language Learners (ELL) may apply to any high school program     </li>     <li>The <a href=""http://schools.nyc.gov/NR/rdonlyres/73F780D0-CDA2-4122-837E-430F0F9F068E/0/HighSchoolApplicationActionChecklist.pdf"" target=""_blank"">application checklist</a> can help keep you on track with key dates.     </li> </ul>",Service,Explore your choices
,,NYC Family Justice Centers,"<p>     <strong>Visit a Family Justice Center</strong> </p> <p>     Find a <a href=""http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page"" target=""_blank"">Family Justice Center</a> in your borough to speak with a counselor. </p>","<ul>     <li>Call the NYC Domestic Violence Hotline at <a href=""tel:800-621-4673"">800-621-4673</a> or <a href=""tel:800-810-7444"">800-810-7444</a> (if you are hearing impaired), or call <a href=""tel:311"">311</a> and ask for the Domestic Violence Hotline     </li>     <li>Call 911 if you are in danger and need immediate help.     </li>     <li>You don't need to make an appointment to visit a Family Justice Center     </li>     <li>Services are free, confidential, and most are available at one location     </li>     <li>You can get help no matter your immigration status     </li>     <li>Staff speak more than 30 languages and interpreters are available     </li>     <li>Childcare is available while you are receiving services     </li> </ul>",Service,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD website</a>.     </li>     <li>Select ""jobs & internships"" in the category field.     </li>     <li>Enter your borough and neighborhood, or zip code to begin searching.     </li> </ol>",Learn & Earn (formerly the In-School Youth Program),"<p>     <strong>Visit a center</strong><br> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=8837"" target=""_blank"">center</a> to get help in person. </p>",<ul>     <li>Must have a Social Security Number     </li>     <li>Must be able to work legally in US     </li>     <li>Enroll between September 1 - 30     </li> </ul>,Program,Search online
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:MSEnrollment.nyc.gov"">Email the Middle School Admissions team</a> with questions about applying. </p>",,Middle School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>Students with disabilities follow the same admission process as all other students     </li>     <li>English Language Learners (ELL) also follow the same admission process as other students; they can also consider applying to programs that screen for language where they might get priority     </li>     <li>All student who are eligible for middle school should submit an application, even students planning on attending their zoned school or continuing in K-8 schools     </li>     <li>Students eligible for middle school will receive a personalized application that includes each middle school program they can apply to each November     </li> </ul>",Program,
,"<ul>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">Ladders for Leaders online</a> during the application period, which is usually in the late Fall and announced on the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a>.     </li>     <li>The application for Ladders for Leaders will only be available during that time.     </li> </ul>",NYC Ladders for Leaders,,"<ul>     <li>Apply in late Fall     </li>     <li>Internships usually start the first week in July. Work a minimum of 25 hours per week for a minimum of 6 weeks     </li>     <li>If under the age of 18, you must have working papers to participate     </li> </ul>",Program,Apply
,<p>     The City can help you find a website where you can file your taxes for free. </p>,Child Tax Credit,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6861"" target=""_blank"">tax prep location</a> to get help filing your taxes in person.<br> </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>The child or dependent must be a US citizen or resident and must have lived with you for over half the year to qualify     </li>     <li>You can claim your child, stepchild, adopted child, foster child, grandchild, or great-grandchild     </li>     <li>If you have siblings, step-siblings, or half-siblings that live with you, you can also claim them     </li>     <li>If you qualify, the government mails your refund or deposits it into your bank account     </li>     <li>Refunds for filers who claim CTC will not be distributed until February 15     </li> </ul>",Benefit,File online
,,Living for the Young Family Through Education,,,Program,
,,Newborn Home Visiting Program,,"<ul>     <li>Spanish-speaking nurses are also available     </li>     <li>Mothers receive two-to-three hour-long home visits and a follow up phone call     </li>     <li>All mothers who live in Department of Homeless Services shelters are eligible     </li>     <li>Women can be eligible, regardless of immigration status     </li> </ul>",Service,
"<p>     <strong>Email Pre-K admissions</strong> </p> <p>     Email <a href=""mailto:ESEnrollment.nyc.gov"">Pre-K admissions</a> if you have questions about getting into Pre-K. </p>","<ol>     <li>Use <a href=""https://maps.nyc.gov/upk/"" target=""_blank"">Pre-K Finder</a> to look at different programs before applying. Type in your address to see programs near you.     </li>     <li>Apply for the program(s) of your choice.     </li> </ol>",Pre-K for All,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a> to learn more about Pre-K programs. </p>","<ul>     <li>Applications for the 2018 - 2019 school year open on February 5, 2018     </li>     <li>Requires proof of address and child\u2019s age     </li>     <li>Apply online, by phone, or in person     </li>     <li>Available for students with disabilities and students learning English     </li> </ul>",Program,Apply online
,,Reproductive Health Care,"<p>     <strong>Visit a health care center</strong> </p> <p>     Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>health care location</u></a> near you to get help in person. </p>","<ul>     <li>Care is provided to all women, regardless of your ability to pay     </li>     <li>NYC Health + Hospitals can help you find insurance if you need it     </li>     <li>Information about your immigration status is kept private     </li>     <li>Translation and interpretative services are available in 190 languages     </li>     <li>Youth twelve and older can get private sexual and reproductive services at <a href=""http://nycyouthhealth.org/"" target=""_blank""><u>YouthHealth Centers</u></a>     </li> </ul>",Service,
,<p>     The City can help you find a website where you can file your taxes for free. </p>,Earned Income Tax Credit,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6868"" target=""_blank"">tax prep location</a> to get help filing your taxes in person. </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>To qualify you must have earned income from working for someone or from running or owning a business or farm and meet basic rules     </li>     <li>You\u2019ll need to file your federal and New York State tax returns to claim EITC     </li>     <li>If you qualify for the EITC, the City can help you file your taxes for free with NYC Free Tax prep     </li>     <li>If you qualify, the government mails your refund or deposits it into your bank account     </li>     <li>If you owe the government money, be aware that late filing penalties may apply for filing after April 17, 2018     </li>     <li>Refunds for filers who claim EITC will not be distributed until February 15<br>     </li> </ul>",Benefit,File online
"<p>     <strong>Email a Parent Center</strong> </p>Email a Parent Center for more information:<br> <ul>     <li>         <a href=""mailto:roverton.org"">Bronx, Brooklyn, Manhattan, and Queens</a>,     </li>     <li>         <a href=""mailto:siptp.com"">Staten Island</a>.     </li> </ul>",,Special Education Parent Centers,"<p>     <strong>Visit a center</strong> </p> <p>     Find a <a href=""http://www.p12.nysed.gov/specialed/techassist/parentcenters.htm"" target=""_blank"">center</a> to get help in person. </p>",<ul>     <li>Services for students and families are offered at no cost     </li>     <li>Training sessions are also offered at no cost     </li> </ul>,Service,
,,Primary and Preventive Health Care,"<p>     <strong>Visit a heath care center</strong><br>     <br>     Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>child health center location</u></a> near you to get help in person. </p>","<ul>     <li>Children can also get health care at <a href=""https://growingupnyc.cityofnewyork.us/programs/school-based-health-centers/"" target=""_blank""><u>School-Based Health Centers</u></a>     </li>     <li>All children can get care, regardless of your ability to pay or immigration status     </li>     <li>NYC Health + Hospitals can help your family find insurance if you need it     </li>     <li>Youth twelve and older can get private sexual and reproductive services and <a href=""http://nycyouthhealth.org/"" target=""_blank""><u>YouthHealth Centers</u></a>     </li> </ul>",Service,
,,Health Bucks,,,Benefit,
,"<ol>     <li>Go to <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>Create an ACCESS HRA account or log in to an existing one.     </li>     <li>Fill out the SNAP application and submit it.     </li>     <li>Send your documents to HRA in one of the following ways.         <ol>             <li>Scan your documents using the NYC HRA Document Upload app available for free on the <a href=""https://appsto.re/us/9s9N_.i"" target=""_blank"">iTunes Store</a> (for iPhones) or the <a href=""https://play.google.com/store/apps/details?id=gov.nyc.hra.DocUploads"" target=""_blank"">GooglePlay Store</a> (for Android phones).             </li>             <li>Mail copies of your documents to: PO Box 29008, Brooklyn, NY, 11202-9816.             </li>             <li>Take your documents to your local <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/FIA-1138_CBOlist.pdf"" target=""_blank"">Community Based Organizations (CBOs)</a> to submit to HRA.             </li>         </ol>     </li>     <li>After you submit your application, you will be contacted to do an eligibility interview. You can do your interview over the telephone without having to come into a SNAP center.<br>     </li>     <li>You can check the status of your application by going to <a href=""https://a069-access.nyc.gov/ACCESSNYC/application.do"" target=""_blank"">ACCESS HRA</a>.     </li>     <li>You will need to recertify for SNAP once every year. The SNAP office will mail you a recertification packet for you to complete and mail back to HRA or recertify online on ACCESS HRA. Once you submit your recertification, you will be able to set up your preferred interview date and time by calling the On Demand interview phone line at <a href=""tel:718-762-7669"">718-SNAP-Now</a> (<a href=""tel:718-762-7669"">718-762-7669</a>).     </li> </ol>",Supplemental Nutrition Assistance Program,"<p>     <strong>Visit a SNAP Center or Community Organization</strong> </p> <p>     Find a <a href=""https://access.nyc.gov/locations/?programs=6887"" target=""_blank"">SNAP center</a> near you. </p> <p>     Find your <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">local community-based organization</a>. </p>","<ul>     <li>If you are eligible, you will receive your benefits within 30 days     </li>     <li>You must be a US citizen or have satisfactory immigration status to receive SNAP; a worker will help you determine your status when you apply     </li>     <li>Requires proof of identity, where you live, and income     </li>     <li>You can allow someone who knows your household situation apply for you     </li>     <li>Apply online, in person, by fax, or by mail     </li>     <li>You will have to complete an interview after you submit your application     </li>     <li>SNAP recipients in New York City ages 16 and over are eligible for discounted Citi Bike memberships. For $5 per month, you'll get unlimited 45-minute rides and access to thousands of bikes across Manhattan, Brooklyn, Queens and Jersey City. <a href=""https://try.citibikenyc.com/snap-nyc/"" target=""_blank"">Enter your EBT card number to verify your eligibility</a>.     </li> </ul>",Benefit,Apply online
,<p>     Visit the NY State of Health website to enroll in coverage online if you are under 65 years old.<br> </p>,Health Insurance Assistance,"<p>     <strong>Get help in person</strong> </p> <p>     Find a <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank"">free health insurance assistor</a> to get help in person. You can download and print a paper application.<br> </p>","<ul>     <li>Open enrollment through the NY State of Health Marketplace is from November to January each year     </li>     <li>Options are available for all New Yorkers, even if you are not a citizen     </li>     <li>Obtaining health insurance helps you to pay for planned or unexpected medical care     </li> </ul>",Benefit,Enroll online
,,NYCitizenship,,"<ul>     <li>Meet with a <strong>FREE</strong> immigration attorney to help you determine if you qualify to apply for U.S. citizenship     </li>     <li>If you qualify for a fee waiver, apply for citizenship for free with no application fee     </li>     <li>Receive free and confidential financial counseling     </li>     <li>An appointment is required to get help. Call <a href=""tel:311"">311</a> and say ""Citizenship appointment\u201d     </li>     <li>As a U.S citizen, you can vote in elections, apply for a U.S passport, access more jobs and more     </li> </ul>",Program,
