unique_id_number,how_to_apply_or_enroll_by_phone,get_help_by_calling_other_than_311,apply_by_mail_call_to_action,brief_excerpt,how_to_apply_or_enroll_in_person
P085en,,,,"<p>     3-K for All is free, full-day, high-quality education for New York City 3-year-olds, starting in School Districts 4, 5, 7, 16, 23, and 27. </p>",
P098en,,,,"<p>     Youth can take part in leadership councils at City agencies, schools, and community organizations. </p>",
P008en,,,,<p>     Eight hours a day of free early care and education for three and four year olds. </p>,"<ol>     <li>Use the EarlyLearn NYC program finder and choose a provider.     </li>     <li>Visit the program of your choice and get an application.     </li>     <li>Complete the application and submit it with the required documents to an EarlyLearn NYC Head Start program of your choice.     </li>     <li>If you are receiving benefits from the Human Resources Administration (HRA) and would like to enroll in an EarlyLearn NYC program, visit <a href=""http://www.nyc.gov/html/hra/html/services/job_centers.shtml"" target=""_blank"">your assigned Job Center</a>.     </li> </ol>"
P033en,,"<p>     <strong>Call the ECDC representative in your borough</strong> </p> <p>     Bronx: <a href=""tel:347-271-8159"">347-271-8159</a>; Brooklyn: <a href=""tel:718-437-3794"">718-437-3794</a>; Manhattan: <a href=""tel:212-746-6175"">212-746-6175</a>; Queens: <a href=""tel:718-215-1299"">718-215-1299</a>, ext. 4001; Staten Island: <a href=""tel:718-226-6670"">718-226-6670</a>. </p>",,<p>     Information and referrals for young children with special needs. </p>,
P099en,"<p>     To apply for Jobs Plus, <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">contact a site near you</a>. </p>","<p>     <strong>Call a site</strong> </p> <p>     Call a <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus site</a> for questions about a specific location. </p>",,<p>     Jobs Plus is an employment program that helps NYCHA residents find employment and increase their earnings. </p>,
P027en,"<p>     Call a food distribution site near you for application information. </p> <ul>     <li>The Bronx: <a href=""tel:917-982-2564"">917-982-2564</a>     </li>     <li>Brooklyn: <a href=""tel:718-498-9208"">718-498-9208</a>     </li>     <li>Queens: <a href=""tel:718-523-2220"">718-523-2220</a>     </li>     <li>Long Island: <a href=""tel:516-623-4568"">516-623-4568</a>     </li> </ul>","<p>     <strong>Call a CSFP site</strong> </p> <p>     The Bronx: <a href=""tel:917-982-2564"">917-982-2564</a>, Brooklyn: <a href=""tel:718-498-9208"">718-498-9208</a>, Queens: <a href=""tel:718-523-2220"">718-523-2220</a>, Long Island <a href=""tel:516-623-4568"">516-623-4568</a> </p>",,<p>     CSFP offers healthy food packages for low-income seniors. </p>,"<p>     Collect your documents and take them to a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">CSFP site</a> near you. You can call ahead to verify the types of documents are recommended. </p>"
P079en,,,,<p>     Families can get information on creating a safe sleep environment for their baby and may qualify for a free crib. </p>,
P083en,"<p>     If you are unable to apply online, contact the NYCHA Customer Contact Center to request a paper application at <a href=""tel:718-707-7771"">718-707-7771</a>. </p>","<p>     <strong>Call NYCHA</strong> </p> <p>     Call <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about public housing. </p>",,<p>     Affordable housing for low-and moderate-income New Yorkers. </p>,"<p>     You can apply online at kiosks available at the NYCHA Customer Contact Centers located at : </p> <p>     478 East Fordham Road (1 Fordham Plaza), 2nd Floor<br>     Bronx, NY 10458 </p> <p>     or </p> <p>     787 Atlantic Avenue, 2nd Floor<br>     Brooklyn, NY 11238 </p> <p>     Centers are open Monday - Friday, 8:00 am - 5:00 pm. </p>"
P100en,,"<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2399"">718-935-2399</a> if you have questions about applying to high school. </p>",,<p>     Learn about the High School Admissions process for public schools. </p>,
P034en,,"<p>     <strong>Call the hotline</strong> </p> <p>     Call the NYC Domestic Violence Hotline at <a href=""tel:800-621-4673"">800-621-4673</a> or <a href=""tel:800-810-7444"">800-810-7444</a> (if you are hearing impaired) to speak with a counselor. </p>",,"<p>     Services are available for survivors of intimate partner violence, elder abuse, and sex trafficking in all boroughs. </p>",
P028en,"<p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> to apply. </p>","<p>     <strong>Call for help</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information on Learn & Earn.<br> </p>",,<p>     Learn & Earn helps high schoolers succeed in school while preparing them for college and their careers. </p>,
P048en,,"<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2398"">718-935-2398</a> if you have questions about applying to middle school. </p>",,<p>     Learn about the Middle School Admissions process for public schools. </p>,
P097en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program. </p>",,"<p>     High school and college students can participate in paid summer internships at top NYC companies, non-profits, and government agencies. </p>",
P004en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE). </p>",,<p>     Tax relief for parents who have qualifying children under the age of 17. </p>,"<p>     If you earn $54,000 or less (with children) or $30,000 or less (without children), you may be eligible to get your taxes done in-person for free. </p> <ul>     <li>To claim your CTC, you must file <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a>, <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or Form <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">1040NR</a>.     </li> </ul>"
P064en,,,,<p>     Children between the ages of 6 weeks and 4 years can get free daycare if their parents are in school. </p>,
P053en,"<ul>     <li>If you gave birth in a hospital where the program operates, program staff will contact you about setting up a visit.     </li>     <li>If you recently gave birth and didn\u2019t hear from anyone in the program, call <a href=""tel:311"">311</a> to find out if you qualify.     </li> </ul>","<p>     <strong>Call for help</strong> </p> <p>     North & Central Brooklyn: <a href=""tel:718-637-5230&amp;quot;"">718-637-5230</a>, South Bronx: <a href=""tel:718-579-2878"">718-579-2878</a>, East & Central Harlem: <a href=""tel:646-672-2894"">646-672-2894</a> </p>",,"<p>     New moms can get home visits from health professionals to help with breastfeeding, health and safety tips, and connections to community resources. </p>",
P016en,"<p>     Apply over the phone by calling <a href=""tel:718-935-2067"">718-935-2067</a> (Monday \u2013 Friday, 8 a.m \u2013 3 p.m, except holidays).<br> </p>","<p>     <strong>Call Pre-K admissions</strong> </p> <p>     Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about getting into Pre-K. </p>",,"<p>     Enroll your child in a free, full-day, high-quality Pre-K program. </p>","<ol>     <li>Use <a href=""https://maps.nyc.gov/upk/"" target=""_blank"">Pre-K Finder</a> to research programs and find new choices before completing your application.     </li>     <li>Type in your address to see programs near you.     </li>     <li>Download and fill in the application for the programs of your choice.     </li>     <li>Submit your application online or bring your completed application to a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a>.     </li> </ol>"
P063en,"<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>",,,"<p>     Birth control, family planning, and more for young women. </p>",
P006en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE). </p>",,"<p>     Tax credit or refund for low- to moderate-income working people and couples, especially those with children, worth up to $8,463. </p>","<p>     If you earn $54,000 or less (with children) or $30,000 or less (without children), you may be eligible to get your taxes done in-person for free. </p>You will need the following forms:<br> <ul>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Schedule-EIC.pdf"" target=""_blank"">Schedule EIC</a> for the federal return If you have a child     </li>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/IT_215I_FillIn.pdf"" target=""_blank"">Form IT-215</a> for the New York State credit, and     </li>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/InstructionsForm-for-IT-215-WorksheetC.pdf"" target=""_blank"">Worksheet C in the Instructions Form for IT-215</a> for the New York City credit     </li> </ul>"
P084en,,"<p>     <strong>Call a Parent Center</strong> </p> <p>     Bronx, Brooklyn, Manhattan, and Queens: <a href=""tel:212-677-4660"">212-677-4660</a> (English) <a href=""tel:212-677-4668"">212-677-4668</a> (Spanish).<br>     Staten Island: <a href=""tel:718-494-4872"">718-494-4872</a>. </p>",,<p>     Information and resources for families of students with disabilities. </p>,
P062en,"<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>",,,<p>     Children and youth can get health care and treat illnesses. </p>,
P070en,,,,<p>     Get $2 coupons to spend on fruits and vegetables for every $5 you spend at the farmer's market with your SNAP benefits. </p>,
P007en,<p>     You can also fax your competed application to 917-639-1111. </p>,"<p>     <strong>Call the SNAP Infoline</strong> </p> <p>     Call the SNAP Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> for more information. </p>",Download the form,<p>     SNAP benefits can help you feed your family with fresh and healthy groceries. </p>,"<ol>     <li>Print a paper application, pick one up from a SNAP Center, or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have a paper application mailed to you.     </li>     <li>Gather the documents you'll need to include with your application.     </li>     <li>Drop your completed application off at a SNAP Center near you. You can make copies of your documents at the center.     </li>     <li>You can also apply for SNAP at a <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/CBO_EASE_SITES.pdf"" target=""_blank"">community-based organization (CBO) in your neighborhood</a>. Experts can help you submit your application, and the necessary documents.     </li> </ol>"
P011en,"<p>     If you are under 65 years old,<br> </p> <ul>     <li>Call the <mark class=""inline-comment"" data-thread-id=""c88de7bb-19f9-4e9d-bf57-f303854a4a8d"">NY State of Health Marketplace</mark> at <a href=""tel:855-355-5777"">855-355-5777</a>     </li> </ul> <p>     If you are 65 and over, or on Medicare, or need Medicaid due to a disability,<br> </p> <ul>     <li>Call the HRA Helpline at <a href=""tel:888-692-6116"">888-692-6116</a> <mark class=""inline-comment"" data-thread-id=""4e2667e2-f57d-4c8d-ba82-eb39c9144df6"">to get information to enroll</mark>     </li>     <li>Call Department of Health & Mental Hygiene Enrollers at <a href=""tel:347-396-4705"" target=""_blank"">347-396-4705</a> to make an appointment to apply for or renew Medicaid     </li> </ul>","<p>     <strong>Call the hotline</strong> </p> <p>     Call the HRA <mark class=""inline-comment"" data-thread-id=""a294de95-9641-4828-91fa-025f109c5faf"">H</mark><mark class=""inline-comment"" data-thread-id=""a294de95-9641-4828-91fa-025f109c5faf"">elpline</mark> at <a href=""tel:888-692-6116"">888-692-6116</a> to learn more. </p> <p>     Call the NY State of Health Marketplace at <a href=""https://afdcontent.gathercontent.com/item/855-355-5777"">855-355-5777</a> for information to enroll if you are under 65 years old. </p>",,<p>     Get help understanding your health insurance options and enrolling in a plan. </p>,"<p>     Find a <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank"">free health insurance assistor</a> to help you enroll if you are under 65 years old. </p> <ol></ol>"
P102en,"<p>     To receive services, call <a href=""tel:311"">311</a> and say ""citizenship appointment"". <strong>No walk-ins.</strong><br>     Services are available at select NYC libraries. </p><a href=""https://www.bklynlibrary.org/learn/immigrants/citizenship"" target=""_blank""><strong>Brooklyn Public Library</strong></a>:<br> <ul>     <li>         <a href=""https://www.bklynlibrary.org/locations/eastern-parkway"" target=""_blank"">Eastern Parkway Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/flatbush"" target=""_blank"">Flatbush Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/kings-highway"" target=""_blank"">Kings Highway Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/new-utrecht"" target=""_blank"">New Utrecht Library</a>     </li> </ul> <p>     <a href=""https://www.nypl.org/help/community-outreach/nycitizenship"" target=""_blank""><strong>New York Public Library</strong></a><strong>:</strong><br> </p> <ul>     <li>         <a href=""https://www.nypl.org/locations/bronx-library-center"" target=""_blank"">Bronx Library Center</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/sibl"" target=""_blank"">Science Business and Industry Library- Midtown</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/inwood"" target=""_blank"">Inwood Library</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/st-george-library-center"" target=""_blank"">St. George Library Center- Staten Island</a>     </li> </ul><a href=""http://www.queenslibrary.org/services/citizenship-immigration/nycitizenship-sessions"" target=""_blank""><strong>Queens Public Library</strong></a>:<br> <ul>     <li>         <a href=""http://www.queenslibrary.org/branch/Jackson-Heights/"" target=""_blank"">Jackson Heights Library</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Central-Library"" target=""_blank"">Central Library- Jamaica</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Flushing"" target=""_blank"">Flushing Library</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Astoria"" target=""_blank"">Astoria Library</a>     </li> </ul>",,,<p>     Free citizenship application assistance and financial counseling. </p>,
P004en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE). </p>",,<p>     Tax relief for parents who have qualifying children under the age of 17. </p>,"<p>     If you earn $54,000 or less (with children) or $30,000 or less (without children), you may be eligible to get your taxes done in-person for free. </p> <ul>     <li>To claim your CTC, you must file <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a>, <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or Form <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">1040NR</a>.     </li> </ul>"
P088en,,,,"<p>     CUNY ASAP helps students earn an associate degree within three years by providing financial, academic, and personal support. </p>",
P023en,,"<p>     <strong>Call the help desk</strong> </p> <p>     Call the SchoolFood Summer meals team at <a href=""tel:718-707-4398"">718-707-4398</a> if you have questions.<br> </p>",,<p>     Children can get free breakfast and lunch in the summer at hundreds of locations in NYC. </p>,
P035en,,"<p>     <strong>Talk to a counselor now</strong><br> </p> <p>     Call <a href=""tel:888-692-9355"">888-NYC-WELL</a> to speak with a counselor at anytime.<br> </p> <ul>     <li>For Spanish, press 3     </li>     <li>For Chinese, press 4     </li> </ul> <p>     <strong>Call 711</strong> </p> <ul>     <li>If you need relay service for deaf or hard of hearing.     </li> </ul>",,"<p>     Free and private talk, text, or chat mental health services available all day for you or someone you care about. </p>",
P001en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).<a href=""800-829-3676""></a> </p>",,<p>     Tax relief for working people with dependent care expenses. </p>,"<p>     If you earn $54,000 or less (with children) or $30,000 or less (without children), you may be eligible to get your taxes done in-person for free. </p>You will need the following forms:<br> <ul>     <li>Child and Dependent Care Expenses form: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.     </li>     <li>U.S. Individual Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a> or <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or U.S. Nonresident Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">Form 1040NR</a>.     </li>     <li>If you received dependent care benefits from your employer, you must complete Part III of <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.     </li> </ul>"
P018en,,"<p>     <strong>Mail the Department of Finance</strong> </p> <p>     NYC Department of Finance<br>     Correspondence Unit<br>     One Centre Street, 22nd Floor<br>     New York, NY 10007<br> </p>",Download application,"<p>     Property-tax exemption for qualifying veterans. There are three types of benefits: basic, combat, and disabled. </p>",
P039en,,"<p>     <strong>Call the Emergency Food Hotline</strong> </p> <p>     Call <a href=""tel:866-888-8777"">866-888-8777</a> for 24/7 information on locations and hours. </p>",,<p>     Quickly find food pantries and community kitchens that provide free food. </p>,
P068en,,,,"<p>     Help for parents and their children who have emotional, behavioral, or mental health challenges through peer-led programs. </p>",
P012en,,,,<p>     Homeowners can get a partial exemption from school property taxes. </p>,
P011en,"<p>     If you are under 65 years old,<br> </p> <ul>     <li>Call the <mark class=""inline-comment"" data-thread-id=""c88de7bb-19f9-4e9d-bf57-f303854a4a8d"">NY State of Health Marketplace</mark> at <a href=""tel:855-355-5777"">855-355-5777</a>     </li> </ul> <p>     If you are 65 and over, or on Medicare, or need Medicaid due to a disability,<br> </p> <ul>     <li>Call the HRA Helpline at <a href=""tel:888-692-6116"">888-692-6116</a> <mark class=""inline-comment"" data-thread-id=""4e2667e2-f57d-4c8d-ba82-eb39c9144df6"">to get information to enroll</mark>     </li>     <li>Call Department of Health & Mental Hygiene Enrollers at <a href=""tel:347-396-4705"" target=""_blank"">347-396-4705</a> to make an appointment to apply for or renew Medicaid     </li> </ul>","<p>     <strong>Call the hotline</strong> </p> <p>     Call the HRA <mark class=""inline-comment"" data-thread-id=""a294de95-9641-4828-91fa-025f109c5faf"">H</mark><mark class=""inline-comment"" data-thread-id=""a294de95-9641-4828-91fa-025f109c5faf"">elpline</mark> at <a href=""tel:888-692-6116"">888-692-6116</a> to learn more. </p> <p>     Call the NY State of Health Marketplace at <a href=""https://afdcontent.gathercontent.com/item/855-355-5777"">855-355-5777</a> for information to enroll if you are under 65 years old. </p>",,<p>     Get help understanding your health insurance options and enrolling in a plan. </p>,"<p>     Find a <a href=""http://www1.nyc.gov/apps/311utils/providerInformation.htm?serviceId=3820"" target=""_blank"">free health insurance assistor</a> to help you enroll if you are under 65 years old. </p> <ol></ol>"
P094en,,"<p>     <strong>Call Youth Connect</strong><br>     <br>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program. </p>",,<p>     Intern & Earn is a 14-week paid internship program for youth ages 16-24 who are not working and not in school. </p>,
P019en,"<p>     To apply for Emergency HEAP you must first apply and be approved for regular HEAP. You can apply for Emergency HEAP over the phone by calling <a href=""tel:212-835-7216"">212-835-7216</a>. </p>","<p>     <strong>Call HEAP</strong> </p> <p>     Call the Infoline at <a href=""tel:800-692-0557"">800-692-0557</a> if you have questions about HEAP or <a href=""tel:212-835-7216"">212-835-7216</a> for operator assistance. </p>",Download the form,<p>     HEAP can help you pay for the costs of heating your home during the winter months. </p>,"<ol>     <li>Find a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP office</a> near you.     </li>     <li>Gather your personal documents and bring them with you to the office.     </li>     <li>You can print and fill out <a href=""https://access.nyc.gov/wp-content/uploads/2017/11/HEAP_ApplInst_EN.pdf"" target=""_blank"">the application</a> before you go in or complete it at the office.     </li> </ol>"
P033en,,"<p>     <strong>Call the ECDC representative in your borough</strong> </p> <p>     Bronx: <a href=""tel:347-271-8159"">347-271-8159</a>; Brooklyn: <a href=""tel:718-437-3794"">718-437-3794</a>; Manhattan: <a href=""tel:212-746-6175"">212-746-6175</a>; Queens: <a href=""tel:718-215-1299"">718-215-1299</a>, ext. 4001; Staten Island: <a href=""tel:718-226-6670"">718-226-6670</a>. </p>",,<p>     Information and referrals for young children with special needs. </p>,
P022en,,"<p>     <strong>Call the Growing Up Healthy Hotline</strong> </p> <p>     Call <a href=""tel:800-522-5006"">800-522-5006</a> for more information on WIC. </p>",,"<p>     Free healthy food, counseling about healthy eating, breastfeeding support, and referrals for women, infants, and children under five. </p>","<p>     To apply for WIC: </p> <ul>     <li>Find your local WIC agency, or call the Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a> and ask for the location nearest to you.     </li>     <li>Gather your income, residency, and identity documents to bring with you.     </li>     <li>Call the WIC agency where you wish to receive services and make an appointment.     </li>     <li>A short nutrition assessment will be completed at the time of your appointment by a qualified WIC staff member.     </li> </ul> <p>     The staff will tell you if you need to bring the WIC Medical Referral Form for <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form-for_For_Women_EN.pdf"" target=""_blank"">you</a> and/or <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/WIC_Medical_Referral-Form_For_Infant_EN.pdf"" target=""_blank"">your child</a> completed by your health care provider. </p>"
P029en,"<p>     Woman and girls can find out if they are eligible by calling NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a>. </p>","<p>     <strong>Call NYC NFP</strong> </p> <p>     Call NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a> for more information. </p>",Download the form,<p>     Nurses provide support and give medical care and advice to women who are pregnant for the first time. </p>,
P054en,,,,<p>     Help for children with medical conditions that require special medical services. </p>,
P097en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program. </p>",,"<p>     High school and college students can participate in paid summer internships at top NYC companies, non-profits, and government agencies. </p>",
P026en,,"<p>     <strong>Call for Workforce1 if you\u2019re hearing or speech-impaired</strong> </p> <p>     Call NYC Telephone Relay System at <a href=""tel:800-662-1220"">800-662-1220</a>. </p>",,<p>     Connect to a job that is right for you </p>,"<ol>     <li>Find a <a href=""https://maps.nyc.gov/sbs"" target=""_blank"">Workforce1 Center</a> near you.<br>     </li>     <li>Attend an Introduction to Services session and a brief one-on\u2013one session with a Workforce1 staff member to review work experience, fit for Workforce1 job opportunities, and recommended next steps.     </li> </ol>"
P096en,,,,"<p>     If you are 12 and over and looking for health care, NYC Health + Hospitals has your back. </p>",
P047en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE). </p>",,"<p>     If you earn $66,000 or less, use NYC Free Tax Prep to file for free and keep your whole refund. </p>",<p>     There are more than 200 NYC Free Tax Prep sites in all five boroughs that can help you file for free. </p>
