url_of_online_application,population_served,required_documents_summary,plain_language_program_name
http://www.dycdportal.nyc/discoverdycd/home,Children (0-13),,Afterschool for middle schoolers
,Seniors,"<p>     To apply for SES, you will need to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or mortgage statements.     </li>     <li>Your income (if any): such as a recent pay stub, unemployment benefits statement, SNAP benefit cards or Cash Assistance budget letter, or child support income support letter.     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li>     <li>Work eligibility: such as a passport or resident card.     </li> </ul>",Job training & placement for seniors
,People with disabilities,"<p>     To apply for DHE you will need to prove the following: </p> <ul>     <li>Your income: copies of your federal tax returns and schedules/attachments for all owners. If any owners do not file a tax return, proof of yearly earnings.     </li>     <li>Your deductions: Copies of receipts for medical or prescription expenses that have not been refunded     </li>     <li>Your disability status: One of the following for an owner:         <ul>             <li>Copy of the award letter from the Social Security Administration             </li>             <li>Copy of the award letter from the Railroad Board or the US Postal Service             </li>             <li>Copy of a certificate from the State Commission for the Blind and Visually Handicapped             </li>         </ul>     </li> </ul>",Lower taxes for homeowners with disabilities
,"Children (0-13), Youth (10+)",,School breakfast and lunch
,"People with disabilities, Seniors",,Long-term care at home
,"Children (0-13), Youth (10+)",,School breakfast and lunch
,"Children (0-13), Families, Pregnant &amp; new parents","<p>     To apply for WIC, you will need to provide the following documents: </p> <ul>     <li>Proof of identity for each person applying.     </li>     <li>Proof of where you live. Must show your actual street address, not a PO box.     </li>     <li>Proof of income for each household member who works; documents must be for the last 30 days or proof of your participation in Medicaid, SNAP, or TANF.     </li>     <li>Immunization records for infants and children.     </li>     <li>Confirmation of pregnancy.     </li>     <li>Any WIC Medical forms completed by your health care provider.     </li> </ul>",Healthy food for families
http://schoolfinder.nyc.gov/,"Children (0-13), Students, Youth (10+)",,Career training for students
,"Families, NYCHA residents",,Early literacy skills for toddlers
,Pregnant &amp; new parents,,Health insurance for pregnant women
http://www.dycdportal.nyc/discoverdycd/home,"Students, Youth (10+)",,Internships for young adults
,NYCHA residents,,Support for NYCHA residents
,"Children (0-13), Immigrants, NYCHA residents, Students",,Public school: grades 6 - 8
,,"<p>     See a list of the necessary documents for B2H waivers: </p> <ul>     <li>         <a href=""http://www1.nyc.gov/assets/acs/pdf/providers/NSP_Bridges_to_Health_Check_list_2015.pdf"" target=""_blank"">B2H referral checklist for Close to Home providers</a>     </li>     <li>         <a href=""http://www1.nyc.gov/assets/acs/pdf/providers/B2H_Referral_Check_list_2014.pdf"" target=""_blank"">B2H Referral Foster Care program checklist</a>     </li> </ul>",Health care for ACS-involved families
,Pregnant &amp; new parents,,Home visits for pregnant women and girls
,,,After school for young people
,Everyone,,Help for victims of intimate partner violence
,"Children (0-13), Families, People with disabilities, Students, Youth (10+)",,Family services for students with disabilities
,Everyone,"<p>     To apply for HASA, you will need to provide proof of the following: </p> <ul>     <li>Your identity: such as a driver's license or non-driver's license ID.     </li>     <li>Your medical conditions, including HIV status.         <ul>             <li>You or your doctor can mail or fax your medical information to the HASA Service Line Intake Unit at 400 Eighth Ave., 2nd Flr, New York, NY 10001 or fax it to 212-971-0820.             </li>         </ul>     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li> </ul>",Services for people with HIV or AIDS
,"People with disabilities, Seniors, Veterans","<p>     To apply for SCRIE, you will need to prove the following: </p> <ul>     <li>Your age     </li>     <li>Your rent     </li>     <li>The income of all household members, which can include: tax returns, Social Security benefits, 1099/W2 statement     </li> </ul>",Rent freeze for seniors
,"Children (0-13), Students, Youth (10+)",,Free health care in schools
,"People with disabilities, Seniors","<p>     When you go to the assessment, you will need to bring medical documents that prove your transportation-related disability. </p>",Public transportation for people with disabilities
https://application.nycsyep.com/,Students,"<p>     If selected for work, the following documents will need to be provided: </p> <ul>     <li>Proof of identity     </li>     <li>Proof of address     </li>     <li>Proof of income     </li>     <li>Eligibility to work (working papers)     </li> </ul> <p>     Youth can get their working papers from their school. </p>",Summer work for youth
,,,Meals outside of school hours
https://a069-apscris.nyc.gov/cris/,"People with disabilities, Seniors",,Services for at-risk disabled adults
https://a069-access.nyc.gov/ACCESSNYC/application.do,Everyone,"<p>     To apply for Cash Assistance you will need to prove the following: </p> <ul>     <li>Your identity: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, current rent receipt, lease, or mortgage records.     </li>     <li>Your income (if any): such as a current pay stub, business records, current income tax return, or an Unemployment Insurance Benefit statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate, U.S. passport, or military service records.     </li> </ul> <p>     Check the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Cash_Assistance_Documentation_Guide.pdf"" target=""_blank"">Cash Assistance document guide</a><a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank""></a> to see what else you can use as proof. </p>",Cash help when you are in need
,Children (0-13),"<p>     To apply for EarlyLearn NYC Child Care, you will need to prove the following: </p> <ul>     <li>Where you live: such as a driver\u2019s license, IDNYC, or utility bill     </li>     <li>Your income (reason for care documents):         <ul>             <li>If employed: pay stubs and/or CS 1069             </li>             <li>If self-employed: current income tax documents, notarized statement/accountant statement             </li>             <li>If attending educational or vocational training: ACD 1082             </li>             <li>If receiving SSI, Worker\u2019s Compensation, Unemployment Benefits, etc.: proof of income documentation             </li>         </ul>     </li>     <li>Your citizenship or immigration status: US birth certificate (for children under 18 who live with you), Registration Card (if the child was not born in the US)     </li> </ul>",Child care for babies & toddlers
,Seniors,"<p>     To apply for SCHE you will need to prove the following: </p> <ul>     <li>Your age: you need a copy of a government-issued ID     </li>     <li>Your income: copies of your federal tax returns and schedules/attachments for all owners. If any owners do not file a tax return, proof of yearly earnings.     </li>     <li>Your deductions: Copies of receipts for unreimbursed medical or prescription expenses     </li> </ul>",Tax benefit for senior homeowners
,"Children (0-13), Immigrants, NYCHA residents, Students",,Public school: grades 6 - 8
,Pregnant &amp; new parents,,Health insurance for pregnant women
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To claim the credits, you will need to prove the following for all people listed on your tax return: </p> <ul>     <li>Identity and age: such as photo ID, driver\u2019s license, IDNYC, passport, or naturalization certificate.     </li>     <li>Citizenship or immigration status: such as your birth certificate or a U.S. passport.     </li>     <li>Your earned and unearned income (if any): such as a recent pay stub or unemployment benefits statement, pension correspondence, Supplemental Security Income (SSI), or Social Security Disability Insurance (SSDI).     </li>     <li>Dependent care cost: Amount of money you pay for your child or dependent\u2019s care.     </li>     <li>Provider\u2019s name, address, and identification number (EIN or Social Security Number).     </li> </ul>",Tax relief for dependent care
nyc.gov/youthvoice,"Students, Youth (10+)",,Leadership opportunities for youth
,"Children (0-13), Youth (10+)",,Youth mental health care
,,"<p>     See a list of the necessary documents for B2H waivers: </p> <ul>     <li>         <a href=""http://www1.nyc.gov/assets/acs/pdf/providers/NSP_Bridges_to_Health_Check_list_2015.pdf"" target=""_blank"">B2H referral checklist for Close to Home providers</a>     </li>     <li>         <a href=""http://www1.nyc.gov/assets/acs/pdf/providers/B2H_Referral_Check_list_2014.pdf"" target=""_blank"">B2H Referral Foster Care program checklist</a>     </li> </ul>",Health care for ACS-involved families
,"Children (0-13), Families, Students","<ul>     <li>Proof of your child's age     </li>     <li>A current copy of your child's immunization records     </li>     <li>A <a href=""http://lyfenyc.org/wp-content/uploads/2014/08/Child-Adolescent-Medical-Examination1.pdf"" target=""_blank"">Child & Adolescent Medical Examination Form</a> for your child     </li>     <li>Your current academic schedule     </li> </ul>",High-quality early childhood education
,Everyone,"<p>     To apply for FPBP you will need to provide documents to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or mortgage statements.     </li>     <li>Your earned and unearned income (if any): such as a recent pay stub or unemployment benefits statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li>     <li>Health insurance: such as benefit card or policy statements (if you have health insurance).     </li> </ul>",Confidential family planning services
https://www.myschools.nyc/\u200b,"Children (0-13), Families, Immigrants, NYCHA residents, Students","<p>     You will not need to submit any documents to apply for Kindergarten. </p> <p>     After your child receives an offer letter you will be asked to visit the school in person, with your child, and bring the following documents to enroll: </p> <ul>     <li>Proof of your child's age: birth certificate, passport, record of baptism     </li>     <li>Two proof of address documents (such as: lease, utility bill, or government issued ID-including <a href=""http://nyc.gov/idnyc"" target=""_blank"">IDNYC</a>)         <ul>             <li>Check the ""<a href=""https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist_english"" target=""_blank"">Pre-Registration Checklist</a>"" in the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to see what other documents you can use.             </li>         </ul>     </li> </ul>",Public school: kindergarten - grade 5
,"Children (0-13), Families, Pregnant &amp; new parents",,Home visits for new moms
http://www.dycdportal.nyc/discoverdycd/home,Children (0-13),,Afterschool for middle schoolers
,Everyone,"<p>     To apply for HASA, you will need to provide proof of the following: </p> <ul>     <li>Your identity: such as a driver's license or non-driver's license ID.     </li>     <li>Your medical conditions, including HIV status.         <ul>             <li>You or your doctor can mail or fax your medical information to the HASA Service Line Intake Unit at 400 Eighth Ave., 2nd Flr, New York, NY 10001 or fax it to 212-971-0820.             </li>         </ul>     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li> </ul>",Services for people with HIV or AIDS
,"People with disabilities, Seniors, Veterans","<p>     To apply for SCRIE, you will need to prove the following: </p> <ul>     <li>Your age     </li>     <li>Your rent     </li>     <li>The income of all household members, which can include: tax returns, Social Security benefits, 1099/W2 statement     </li> </ul>",Rent freeze for seniors
,"Children (0-13), Families, People with disabilities, Students, Youth (10+)",,Family services for students with disabilities
,"Children (0-13), Students, Youth (10+)",,Health care for children
http://www2.cuny.edu/admissions/undergraduate/,"Students, Youth (10+)",,Academic support for CUNY students
https://www.dycdportal.nyc/discoverdycd/home,Youth (10+),,Job prep for youth not working or in school
,Everyone,,Free citizenship application assistance
https://www.myschools.nyc\u200b,"Children (0-13), Students, Youth (10+)",,Public school: grades 9 - 12
,Everyone,,Special health care for children
,Everyone,,Free citizenship application assistance
,"Families, Pregnant &amp; new parents, Youth (10+)",,High school & college for young dads
