plain_language_eligibility,get_help_online,how_to_apply_or_enroll_by_mail,url_of_pdf_application_forms,language,program_acronym
"<p>     NYC families who have a child born in 2015 can apply to 3-K for All in School Districts 4, 5, 7,16, 23, and 27. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://nyc.gov/3k"" target=""_blank""><u>3-K website</u></a> to find out more information. </p>",,,English,3-K
<p>     Youth ages 14 - 21 years old are eligible to apply for Youth Leadership Councils. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.nycservice.org/pages/pages/74"" target=""_blank""><u>Youth Leadership Council website</u></a> for more information. </p>",,,English,YLC
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Is your child three or four years old?     </li>     <li>Is your family already receiving services from either ACS or the NYC Human Resources Administration (HRA)?     </li>     <li>Is your income equal to or less than program income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $12,140             </td>             <td>                 $1,012             </td>             <td>                 $233             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $16,460             </td>             <td>                 $1,372             </td>             <td>                 $317             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $20,780             </td>             <td>                 $1,732             </td>             <td>                 $400             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $25,100             </td>             <td>                 $2,092             </td>             <td>                 $483             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $29,420             </td>             <td>                 $2,452             </td>             <td>                 $566             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $33,740             </td>             <td>                 $2,812             </td>             <td>                 $649             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $38,060             </td>             <td>                 $3,172             </td>             <td>                 $732             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $42,380             </td>             <td>                 $3,532             </td>             <td>                 $815<br>             </td>         </tr>         <tr>             <td>                 for each additional person, add:             </td>             <td>                 $4,320             </td>             <td>                 $360             </td>             <td>                 $ 83             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/acs/early-care/acs-child-care-options.page"" target=""_blank"">EarlyLearn NYC Head Start website</a> for more information. </p>",,,English,
"<p>     To be eligible for ECDC services, you should be able to answer yes to these questions:<br> </p> <ul>     <li>Is your child five years old or younger?     </li>     <li>Does your child have a diagnosed or suspected physical, mental, or emotional disability?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.p12.nysed.gov/specialed/techassist/ecdc/home.html"" target=""_blank"">NY State ECDC website</a> to learn more about ECDC's services. </p>",,,English,ECDC
<p>     Jobs Plus is open to all NYCHA residents old enough to work. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus website</a> to learn more about the program. </p>",,,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Are you a senior 60 years old or older?     </li>     <li>Is your income equal to or less than program income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $15,792<br>             </td>             <td>                 $1,316             </td>             <td>                 $303.69<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $21,408             </td>             <td>                 $1,784             </td>             <td>                 $411.69             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $27,024             </td>             <td>                 $2,252             </td>             <td>                 $519.69             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $32,640             </td>             <td>                 $2,720             </td>             <td>                 $627.69<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $38,256             </td>             <td>                 $3,188<br>             </td>             <td>                 $735.69             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $43,872             </td>             <td>                 $3,656             </td>             <td>                 $843.69             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $49,488             </td>             <td>                 $4,124             </td>             <td>                 $951.69             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $55,104             </td>             <td>                 $4,592             </td>             <td>                 $1,059.69             </td>         </tr>         <tr>             <td>                 For each additional person, add:             </td>             <td>                 $5,616             </td>             <td>                 $468             </td>             <td>                 $108.00             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/csfp/"" target=""_blank"">CSFP website</a> for more information. </p>",,,English,CSFP
"<ul>     <li>To find out if you're eligible for a free crib, call <a href=""tel:311"">311</a> and ask about Safe Sleep.     </li>     <li>ACS-involved families can ask their caseworker to see if they are eligible for a free crib.     </li> </ul>","<p>     <strong>Visit the Website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/pregnancy-sleep-safety.page"" target=""_blank"">Safe Sleep website</a> to learn more. </p>",,,English,
"<p>     To be eligible for public housing, you should be able to answer yes to these questions. </p> <ul>     <li>Is at least one person in your household a US citizen? If not, does at least one person have legal immigration status (e.g. permanent resident, refugee, or asylum status)?     </li>     <li>Are you 18 years old or older, or are an emancipated minor?     </li>     <li>If you are applying with someone (a spouse or domestic partner), are they 18 years or older, or are an emancipated minor?     </li>     <li>If you are applying for senior public housing, are you and everyone else who will live with you 62 years old or older?     </li>     <li>Do you meet NYCHA's definition of family, which includes:         <ul>             <li>two or more people related by blood, marriage, domestic partnership, adoption, guardianship, or court-awarded custody?             </li>             <li>a single person?             </li>         </ul>     </li>     <li>Is your family's income at or below the income limits?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $58,450             </td>             <td>                 $4,870             </td>             <td>                 $1,124<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $66,800             </td>             <td>                 $5,566             </td>             <td>                 $1,284<br>             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $75,150             </td>             <td>                 $6,262             </td>             <td>                 $1,445<br>             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $83,450             </td>             <td>                 $6,954<br>             </td>             <td>                 $1,604<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $90,150             </td>             <td>                 $7,512             </td>             <td>                 $1,733<br>             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $96,850             </td>             <td>                 $8,070<br>             </td>             <td>                 $1,862<br>             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $103,500             </td>             <td>                 $8,625             </td>             <td>                 $1,990<br>             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $110,200             </td>             <td>                 $9,183             </td>             <td>                 $2,119<br>                 <br>             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/nycha/index.page"" target=""_blank"">NYCHA website</a> for more information. </p>","<p>     Applicants are encouraged to apply online, however, paper applications are made available by mail as a reasonable accommodation. Applicants may call <a href=""tel:718-707-7771"">718-707-7771</a> to request paper application. </p>",,English,
"<p>     To be eligible to apply for a NYC public high school, you should be able to answer yes to these questions: </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you currently an eighth grade student or a first-time ninth grade student?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://schools.nyc.gov/ChoicesEnrollment/High/default.htm"" target=""_blank"">Department of Education website</a> to learn about High School Admissions. </p>",,,English,
"<p>     Services are free and confidential. People of all ages, sexual orientations, and gender identities are welcome no matter what language they speak, their immigration status, or their income. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nyc.gov/html/ocdv/html/home/home.shtml"" target=""_blank"">Mayor's Office to Combat Domestic Violence website</a> to learn more about FJCs and other services for domestic violence victims. </p>",,,English,FJCs
"<p>     You may be eligible if you can answer yes to these questions: </p> <ul>     <li>Are you between 16 - 21 years old?     </li>     <li>Are you a NYC high school junior or senior?     </li>     <li>Do you meet <strong>one</strong> of these requirements?         <ul>             <li>Do you receive cash assistance or SNAP, or are you a member of a household that receives cash assistance or SNAP?             </li>             <li>Are you homeless?             </li>             <li>Are you a foster care youth?             </li>             <li>If you do not meet one of these requirements, ISY will look at your income to see if you are eligible. You can use <a href=""http://access.nyc.gov"" target=""_blank"">ACCESS NYC</a> to screen and see if you may qualify.             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/after-school/in-school-youth-isy.page"" target=""_blank"">Learn & Earn page</a> on DYCD's website to learn more.<br> </p> <p>     Visit the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD website</a> to learn about all the programs In-School Youth offers. </p>",,,English,
"<p>     To be eligible to apply for a NYC public middle school, your child should be able to answer yes to these questions: </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you currently a fifth grade student (or a current sixth grade student at an elementary school that ends in sixth grade)?         <ul>             <li>Current middle school students who want to transfer must visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to explore your options             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/middle-school"" target=""_blank"">NYC Department of Education website</a> to learn about Middle School Admissions. </p>",,,English,
"<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you currently enrolled in high school or college?     </li>     <li>Are you between 16 and 22 years old?     </li>     <li>Do you have previous work experience (even as a volunteer)?     </li>     <li>If you are under 18 years old, do you have your working papers?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a> to learn more. </p>",,,English,
"<p>     To be eligible for Child Tax Credit you should be able to answer yes to these questions: </p> <ul>     <li>Do you have a child or dependent who is under 17 years old?     </li>     <li>Is your dependent a US citizen, a US national, or a permanent resident?     </li>     <li>Has your dependent lived with you for over half of the year?     </li>     <li>Is your dependent claimed on your tax return?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs</a> website for more information.<br> </p>",,,English,CTC
<p>     LYFE is available for NYC Department of Education students with children between the ages of 6 weeks and 4 years who are not eligible for Pre-K for All. </p>,,,,English,LYFE
"<ul>     <li>Any woman \u2013 regardless of immigration status \u2013 who delivers her baby in certain hospitals in the South Bronx, North & Central Brooklyn, and Harlem can participate.     </li>     <li>Others may be eligible too. Call <a href=""tel:311"">311</a> to find out.     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/doh/health/health-topics/pregnancy-newborn-visiting.page"" target=""_blank"">Newborn Home Visiting Program website</a> for more information. </p>",,,English,NHVP
"<p>     All New York City families with a child born in 2014 can apply to Pre-K for All starting on February 5, 2018. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://nyc.gov/prek"" target=""_blank"">Pre-K website</a> to find a program and learn more. </p>",,,English,Pre-K
"<p>     All women who live in NYC, regardless of your ability to pay, can get help at a NYC Health + Hospitals center. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nychealthandhospitals.org/services/womens-health/"" target=""_blank""><u>NYC Health + Hospitals Women's Health website</u></a> to learn more. </p>",,,English,
"<p>     To be eligible for EITC, you should be able to answer yes to all of these questions: </p> <ul>     <li>Do you have a valid Social Security Number?     </li>     <li>Will you file a tax return this year?     </li>     <li>Did you earn less than $3,450 from investments?     </li>     <li>If you don't have any qualifying children, are you between 25 and 65 years old?     </li> </ul> <p>     EITC also looks at your income from the previous year to determine if you are eligible. You can use <a href=""http://www.nyc.gov/accessnyc"" target=""_blank"">ACCESS NYC</a> to screen to see if you might be eligible. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information. </p>",,,English,EITC
<p>     All NYC families who care for a student with disabilities are eligible to receive services at no cost. Trainings are open to everyone. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.p12.nysed.gov/specialed/techassist/parentcenters.htm"" target=""_blank"">NY State Parent Center website</a> for more information and services. </p>",,,English,
"<ul>     <li>All NYC youth are eligible for health care regardless of immigration status or whether they can pay     </li>     <li>Youth twelve and older can get private sexual and reproductive services without the consent of a parent or guardian.     </li>     <li>For primary care services, youth will need to bring a parent or guardian for the first visit. They can get a form signed so they can come by themselves for future visits.     </li> </ul>","<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""http://www.nychealthandhospitals.org/services/child-health-pediatrics-services/"" target=""_blank""><u>NYC Health + Hospital child health website</u></a> for more information. </p>",,,English,
<p>     Anyone who currently receives SNAP benefits is eligible. </p>,,,,English,
"<p>     This program looks at several things to decide if you are eligible. They include: </p> <ul>     <li>how much money you earn     </li>     <li>how much money you receive from benefits     </li>     <li>how many people are in your house     </li>     <li>your citizenship or immigration status     </li> </ul> <p>     With a few questions, we can help you <a href=""http://nyc.gov/accessnyc"" target=""_blank"">find out if you may be eligible</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page"" target=""_blank"">SNAP website</a> to learn more about this program. </p>","<ol>     <li>Print a paper application, pick one up from a SNAP Center, or call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> to have a paper application mailed to you.     </li>     <li>Mail the application and copies of your documents to:<br>         <strong>Division of SNAP Services, Mail Application & Referral Unit (MARU),</strong><br>         P.O. Box 24510<br>         Brooklyn, NY, 11201     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2018/09/SNAP_ApplandRecert_ENG.pdf,English,SNAP
"<p>     All New Yorkers can get help understanding and enrolling in health insurance. Depending on your age and income, you may also be eligible for public health insurance. </p>","<p>     <strong>Visit the websites</strong> </p> <p>     Find out more about public insurance on the <a href=""http://www1.nyc.gov/site/hra/help/health-assistance.page"" target=""_blank"">HRA Health Assistance website</a>. </p> <p>     Learn more about your options on the <a href=""https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page"" target=""_blank"">Citywide Health Insurance Access website</a>. </p> <p>     <a href=""http://www1.nyc.gov/site/ochia/index.page"" target=""_blank""></a> </p>","<p>     If you are age 65 and over, or on Medicare, or need Medicaid related to a disability, you can complete and mail your <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Public_Health_Insurance_Application_EN.pdf"" target=""_blank"">application</a> and <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/PHI_SupplementA_EN.pdf"" target=""_blank"">Supplement A form</a> to: </p> <p>     <strong>MAP Initial Eligibility Unit<br></strong>PO Box 24390,<br>     Brooklyn, NY 11202 </p>",,English,
"<ul>     <li>Be at least 18 years old     </li>     <li>Be a permanent resident (have a \u201cGreen Card\u201d) for at least 5 years, or 3 years if married to a U.S. citizen     </li>     <li>Other eligibility is determined by immigration attorney     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nyc.gov/nycitizenship"" target=""_blank"">NYCitizenship</a> website for more information. </p>",,,English,
"<p>     To be eligible for Child Tax Credit you should be able to answer yes to these questions: </p> <ul>     <li>Do you have a child or dependent who is under 17 years old?     </li>     <li>Is your dependent a US citizen, a US national, or a permanent resident?     </li>     <li>Has your dependent lived with you for over half of the year?     </li>     <li>Is your dependent claimed on your tax return?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs</a> website for more information.<br> </p>",,,English,CTC
