get_help_summary,age_group,government_agency,get_help_by_calling_311,program_category,program_code,apply_in_person_call_to_action,office_locations_url,program_description,how_to_apply_summary
"<ul>     <li>Visit the <a href=""http://nyc.gov/3k"" target=""_blank""><u>3-K website</u></a> to find out more information.     </li>     <li>Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank""><u>Family Welcome Center</u></a> to learn more about 3-K programs     </li>     <li>Call <a href=""tel:311""><u>311</u></a> or text \u201c3k\u201d to <a href=""sms:877-877""><u>877-877</u></a> if you have questions about 3-K.     </li> </ul>","Toddler, Pre-Schooler",NYC Department of Education,<p>     Call 311<br>     Ask for 3-K for All.<br>     Text \u201c3k\u201d to 877-877 </p>,Education,,,,"<p>     3-K for All provides free, full-day, high-quality early childhood education for every three-year-old regardless of family income. For the 2018-2019 school year, 3-K for All will be available in School Districts 4 (East Harlem), 5 (Harlem), 7 (South Bronx), 16 (Bedford-Stuyvesant, Crown Heights), 23 (Brownsville, East New York, Ocean Hill), and 27 (Broad Channel, Howard Beach, Ozone Park, Rockaways). </p>","<p>     To request more information on applying visit the <a href=""https://maps.nyc.gov/3k/#form-page"" target=""_blank""><u>3-K for All website</u></a>. </p>"
"<ul>     <li>Visit the <a href=""https://www.nycservice.org/pages/pages/74"" target=""_blank""><u>Youth Leadership Council website</u></a> for more information.     </li>     <li>         <a href=""mailto:NYCYLC.nyc.gov""><u>Email the Youth Leadership Council</u></a> if you have questions about this program.     </li> </ul>","Teen, Young Adult",NYC Service,,Enrichment,,,,"<p>     Youth Leadership Councils (YLCs) give young people a chance to address policies and practices that shape the lives of New Yorkers. YLCs are hosted by City agencies, schools, and community organizations. Youth work in partnership with adults and benefit by getting community service hours, understanding how the City works, and developing personal and professional skills. </p>","<p>     Apply on the <a href=""http://nyc.gov/youthvoice"" target=""_blank""><u>YLC website</u></a>. </p>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/acs/early-care/acs-child-care-options.page"" target=""_blank"">EarlyLea<del></del>rn NYC Head Start website</a> for more information.     </li>     <li>Visit an <a href=""https://access.nyc.gov/locations/?programs=6867"" target=""_blank"">EarlyLearn center</a> near you for help in person.     </li>     <li>Call <a href=""tel:311"">311</a> if you need help finding a program.     </li> </ul>","Toddler, Pre-Schooler",NYC Administration for Children's Services,<p>     <strong>Call 311</strong> </p> <p>     Ask for EarlyLearn Head Start if you need help finding a program. </p>,Child care,S2R008,Find a program,https://access.nyc.gov/locations/?programs=6867,"<p>     EarlyLearn NYC Head Start programs provide a safe, caring environment for three and four year old children. Care is provided at a center for eight hours a day and children are fed healthy meals and snacks. </p>","<ul>     <li>Use the <a href=""https://access.nyc.gov/locations/?programs=6867"" target=""_blank"">EarlyLearn NYC program finder</a> and choose a provider.     </li>     <li>Visit the program of your choice and get an application.<br>     </li>     <li>Complete the application and submit it with required documents to the EarlyLearn NYC Head Start program of your choice.     </li>     <li>If you are receiving benefits from the Human Resources Administration (HRA) and would like to enroll in an EarlyLearn NYC program, visit <a href=""http://www.nyc.gov/html/hra/html/services/job_centers.shtml"" target=""_blank"">your assigned Job Center</a>.<br>     </li> </ul>"
"<p>     Visit an ECDC in your borough: </p> <p>     <strong>Bronx</strong><br>     4419 Third Ave, Suite 2C, Bronx, NY 10457<br>     Call: <a href=""tel:347-271-8159"">347-271-8159</a> Email: <a href=""mailto:maura.org"">Maura Rosado</a><a href=""mailto:maura.org""><br></a><a href=""http://www.ecdcbronx.org/"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Brooklyn</strong><br>     160 Lawrence Ave, Brooklyn, NY 11230<br>     Call: <a href=""tel:718-437-3794"">718-437-3794</a> Email: <a href=""mailto:ksamet.org"">Karen Samet</a><a href=""mailto:ksamet.org""><br></a><a href=""http://www.ucpnyc.org/ecdc"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Manhattan</strong><br>     New York Presbyterian Hospital<br>     409 East 60th St, Suite 3-312, New York, NY 10022<br>     Call: <a href=""tel:212-746-6175"">212-746-6175</a> Email: <a href=""mailto:mrubinst.org"">Marilyn Rubinstein</a><br>     <a href=""http://nyp.org/ecdc"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Queens</strong><br>     Queens Centers for Progress<br>     81-15 164th St, Jamaica, NY 11432<br>     Call: <a href=""tel:718-215-1299"">718-215-1299</a> Ext. 4001 Email: <a href=""mailto:cwarkala.org"">Catherine Warkala</a><a href=""mailto:cwarkala.org""><br></a><a href=""http://ecdc-queens.webs.com/"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Staten Island</strong><br>     Staten Island University Hospital<br>     242 Mason Ave, 1st Flr, Staten Island, NY 10305<br>     Call: <a href=""tel:718-226-6670"">718-226-6670</a> Email: <a href=""mailto:Lkennedy30.edu"">Laura Kennedy</a><br>     <a href=""http://www.siuh.edu/ecdc"" target=""_blank"">Visit the website</a> </p>","Caregiver, Baby, Toddler, Pre-Schooler",NYS Department of Education,<p>     <strong>Call 311</strong> </p> <p>     Ask for Early Childhood Direction Centers. </p>,Special needs,,,,"<p>     If you have a child with physical, mental, or emotional disabilities, ECDCs can help. ECDCs provide information to members of the community about services for young children from birth to age five with diagnosed or suspected special needs. </p>",
"<ul>     <li>Visit the <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus website</a> to learn more about the program.     </li>     <li>Call a <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus site</a> near you for questions about a specific location.     </li> </ul>","Teen, Young Adult",NYC Housing Authority,,Work,,,,"<p>     Jobs Plus is an employment program for working-age NYCHA residents. It helps participants find work and keep more of their earned income. Jobs Plus offers job-related services, help with finances, and community support. </p>","<p>     To apply for Jobs Plus, <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">contact a site near you</a>. </p>"
"<ul>     <li>Visit the <a href=""https://www.health.ny.gov/prevention/nutrition/csfp/"" target=""_blank"">CSFP website</a> for more information.     </li>     <li>Call a food distribution site near you to learn more.         <ul>             <li>The Bronx: <a href=""tel:917-982-2564"">917-982-2564</a>             </li>             <li>Brooklyn: <a href=""tel:718-498-9208"">718-498-9208</a>             </li>             <li>Queens <a href=""tel:718-523-2220"">718-523-2220</a>             </li>             <li>Long Island <a href=""tel:516-623-4568"">516-623-4568</a>             </li>         </ul>     </li>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">CSFP site</a> near you to get help in person.     </li> </ul> <p>     <a href=""tel:718-523-2220""></a> </p>",Caregiver,NYC Department of Health,<p>     <strong>Call 311</strong> </p> <p>     Ask for Commodity Supplemental Food Program. </p>,Food,S2R027,Find a site,https://access.nyc.gov/locations/?programs=6862,"<p>     CSFP gives healthy food to low-income seniors. People in the program get a monthly package of fruit, vegetables, meat or fish, pasta or rice, and cereal. CSFP gives advice on cooking and nutrition. CSFP can also connect you to health care and social services. </p>","<p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6862"" target=""_blank"">food distribution site</a> near you for application information. </p>"
,"Caregiver, Baby",NYC Department of Health & Mental Hygiene/NYC Administration for Children's Services,"<p>     <strong>Call 311</strong> </p> <p>     Call <a href=""tel:311"">311</a> and ask about Safe Sleep. </p>",Family services,,,,<p>     Sleeping the wrong way can be dangerous for babies. Get information on the safest way for your baby to sleep from the Safe Sleep Initiative. Low-income families may also be eligible to get a free crib. </p>,"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/pregnancy-sleep-safety.page"" target=""_blank"">Safe Sleep website</a> to learn more.     </li>     <li>Call <a href=""tel:311"">311</a> for more information and find out how you can receive services.     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/nycha/index.page"" target=""_blank"">NYCHA website</a> for more information.     </li>     <li>Call NYCHA at <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about public housing.     </li> </ul>",,NYC Housing Authority,<p>     <strong>Call 311</strong> </p> <p>     Ask for Public Housing. </p>,Housing,,Find a center,https://access.nyc.gov/locations/?programs=6881,<p>     People with low and moderate income can obtain affordable housing through the New York City Housing Authority (NYCHA). NYCHA has Senior and Community Centers and offers residents programs to help find work and provides education on how to manage money and finances. </p>,"<ul>     <li>To apply for public housing, you must submit an application on the <a href=""https://apply.nycha.info/"" target=""_blank"">NYCHA website</a>. Paper applications are available at the <a href=""http://www1.nyc.gov/site/nycha/about/contact.page"" target=""_blank"">NYCHA Customer Contact Center</a> for persons who are unable to apply online.     </li>     <li>After you apply, you will be given a priority code based on your information and placed on the waiting list for an eligibility interview.     </li>     <li>You can check your case status at anytime by registering and then logging into the <a href=""https://selfserve.nycha.info/eservice_enu/start.swe?SWECmd=Start&amp;SWEHo=selfserve.nycha.info"" target=""_blank"">NYCHA self-service portal</a>.     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://schools.nyc.gov/ChoicesEnrollment/High/default.htm"" target=""_blank"">Department of Education website</a> to learn more about High School admissions.     </li>     <li>Call <a href=""tel:718-935-2399"">718-935-2399</a> or <a href=""mailto:HSEnrollment.nyc.gov"">email</a> if you have questions about applying to high school.     </li>     <li>Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person.     </li> </ul>","Pre-Teen, Teen",NYC Department of Education,,Education,,,,<p>     There are more than 700 programs at over 400 public high schools in NYC. Eighth graders and first-time 9th graders have the chance to apply for 12 programs during the high school admissions process. </p>,"<p>     To apply for admission to a public high school: </p> <ol>     <li>Visit <a href=""http://app.bronto.com/t/l?ssid=4776&amp;subscriber_id=bpoodwbawwvylbzfifslbjpsdmkzbbm&amp;delivery_id=avrbhhzshlfzjwfwzeuqyufrirybbce&amp;td=9yWbDVN0mB36O2cIzTouCQWrpk6bgx7E5xawCisi_rGgRpKUAlMuXHuiyHL09YDwRPvln_RxgubkRx7nPCNs-HHRyofj3L_p2cgoav4uaepYFKN0UTar4AP8bN6gCQkjdf32t8TAQyQYLMTtLnWEza00fLixDyBde76VmBxPDc4aMW8F1Lm8eH4Akf8gHRf-o2oVusiA5k6OGHoXWDSYADOP_TvpVZ7DwrEqi6D7HOZJNdYgYyiA8NEg"" target=""_blank"">MySchools.nyc</a> and set up your account. Speak with your school counselor if you need help. You will need your:         <ul>             <li>Student ID number             </li>             <li>Account creation code (PIN)             </li>         </ul>     </li>     <li>Use <a href=""http://app.bronto.com/t/l?ssid=4776&amp;subscriber_id=bpoodwbawwvylbzfifslbjpsdmkzbbm&amp;delivery_id=avrbhhzshlfzjwfwzeuqyufrirybbce&amp;td=9yWbDVN0mB36O2cIzTouCQWrpk6bgx7E5xawCisi_rGgRpKUAlMuXHuiyHL09YDwRPvln_RxgubkRx7nPCNs-HHRyofj3L_p2cgoav4uaepYFKN0UTar4AP8bN6gCQkjdf32t8TAQyQYLMTtLnWEza00fLixDyBde76VmBxPDc4aMW8F1Lm8eH4Akf8gHRf-o2oVusiA5k6OGHoXWDSYADOP_TvpVZ7DwrEqi6D7HOZJNdYgYyiA8NEg"" target=""_blank"">MySchools</a> to explore high school programs based on your interests, location, and more.     </li>     <li>Select up to 12 choices to add to your application in your true order of preference, and submit it by the deadline.     </li> </ol> <p>     If you just moved to NYC talk to your school counselor or visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"">Family Welcome Center</a>. </p> <p>     If you want to apply to a specialized high school, contact your guidance counselor in September to request an admissions ticket for the test. </p>"
"<ul>     <li>Visit the <a href=""http://www.nyc.gov/html/ocdv/html/home/home.shtml"" target=""_blank"">Mayor's Office to Combat Domestic Violence website</a> to learn more about FJCs and other services for domestic violence victims.     </li>     <li>Call the NYC Domestic Violence Hotline at <a href=""tel:800-621-4673"">800-621-4673</a> or <a href=""tel:800-810-7444"">800-810-7444</a> (if you are hearing impaired)<strong>,</strong> or call <a href=""tel:311"">311</a> and ask for the Domestic Violence Hotline.     </li>     <li>Call 911 immediately for emergencies.     </li>     <li>Call or visit a Family Justice Center:     </li> </ul> <p>     <strong>Bronx:</strong> 198 East 161st St, Bronx, NY<br>     Call: <a href=""tel:718-508-1220"">718-508-1220</a> </p> <p>     <strong>Brooklyn:</strong> 350 Jay St, Brooklyn, NY<br>     Call: <a href=""tel:718-250-5111"">718-250-5111</a> </p> <p>     <strong>Manhattan:</strong> 80 Centre St, New York, NY<br>     Call: <a href=""tel:212-602-2800"">212-602-2800</a> </p> <p>     <strong>Queens:</strong> 126-02 82nd Ave, Kew Gardens, NY<br>     Call: <a href=""tel:718-575-4545"">718-575-4545</a> </p> <p>     <a href=""http://ecdc-queens.webs.com"" target=""_blank""></a><strong>Staten Island:</strong> 126 Stuyvesant Pl, Staten Island, NY<br>     Call: <a href=""tel:718-697-4300"">718-697-4300</a> </p>",Everyone,NYC Mayor's Office to Combat Domestic Violence,<p>     <strong>Call 311</strong> </p> <p>     Ask for the Domestic Violence Hotline. </p> <p>     Call 911 if you are in danger and need immediate help. </p>,Family services,,,,"<p>     Services at the FJCs include: </p> <ul>     <li>Counseling for adults and children, and mental health services for adults     </li>     <li>Help with safety planning, housing, shelter, and other needs     </li>     <li>Legal help with orders of protection, custody, visitation, divorce, immigration, and housing matters     </li>     <li>Help filing police reports     </li>     <li>Financial services, job training, and education program referrals     </li> </ul>",
