studio_name,website,location_1,community_board,census_tract
Serge Audio,www.sergeaudio.com,"{'latitude': '40.745113934197', 'longitude': '-73.986995932557', 'human_address': '{""address"": ""260 Fifth Ave"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}",5.0,76.0
Mediaracket,www.mediaracket.com,"{'latitude': '40.739650187141', 'longitude': '-73.989109395733', 'human_address': '{""address"": ""19 21st St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",,
Bond,www.bondedit.com,"{'latitude': '40.727093231537', 'longitude': '-73.995363105187', 'human_address': '{""address"": ""665 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10012""}'}",2.0,5501.0
Beatstreet Productions,www.beatstreetnyc.com,"{'latitude': '40.740027902393', 'longitude': '-73.989541070307', 'human_address': '{""address"": ""928 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",5.0,56.0
SoundHound Inc.,www.soundhound.com,"{'latitude': '40.756045087288', 'longitude': '-73.980914821503', 'human_address': '{""address"": ""45 45th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",,
Avatar Studios,www.avatarstudios.net,"{'latitude': '40.766225153107', 'longitude': '-73.989595029629', 'human_address': '{""address"": ""441 53rd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",,
"Mixopolis, Inc.",www.mixopolis.com,"{'latitude': '40.756386570106', 'longitude': '-73.977903843248', 'human_address': '{""address"": ""5 47th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10017""}'}",,
HSR/NY,www.hsrny.com,"{'latitude': '40.752438546398', 'longitude': '-73.975331782244', 'human_address': '{""address"": ""420 Lexington Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10170""}'}",5.0,92.0
Vertical Entertainment,www.vrtclentertainment.com,"{'latitude': '40.758455010774', 'longitude': '-73.994667205874', 'human_address': '{""address"": ""440 41st Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",,
Hobo Audio Company,www.hoboaudio.com,"{'latitude': '40.754524973506', 'longitude': '-73.99178038216', 'human_address': '{""address"": ""555 Eighth Ave"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10018""}'}",4.0,111.0
Btoven Music,www.btovenmusic.com,"{'latitude': '40.765136973451', 'longitude': '-73.983146890679', 'human_address': '{""address"": ""245 55th Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",,
"Splash Studios, Inc.",www.splash-studios.com,"{'latitude': '40.742402112551', 'longitude': '-73.991618504195', 'human_address': '{""address"": ""49 23rd St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",,
Soundtrack Film & Television,www.soundtrackgroup.com,"{'latitude': '40.742561654684', 'longitude': '-73.994141865276', 'human_address': '{""address"": ""128 22nd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",,
Manhattan Center Studios,www.mcstudios.com,"{'latitude': '40.752369229284', 'longitude': '-73.993803658269', 'human_address': '{""address"": ""311 34th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}",,
"Pomann Sound, Inc.",www.pomannsound.com,"{'latitude': '40.756287644683', 'longitude': '-73.979621548324', 'human_address': '{""address"": ""2 46th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",,
