doc_id_automatically_generated_contract_id_number_from_fms,concession_id_pre_registration,brief_description_of_concession,solicitation_award_method,concession_type_specific_category,at_fcrc_in_fy_2015_yes_no
20118201038.0,M10-72-ED-C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20118000120.0,B192-C,Pushcart at Russell Pederson Playground,Request for Bids,Pushcart,No
20138202536.0,M10-W93-C,Pushcart at Central Park - W 93 St,Request for Bids,Pushcart,No
20090030037.0,B57-A-GC,"The renovation, operation and maintenance of an 18-hole golf course, clubhouse, and food service facility at Marine Park",Request for Proposals,Golf Course,No
20138203196.0,M10-M53-TS,For the Operation of a T-shirt concession at Locations in Central Park and Theodore Roosevelt Park,Request for Bids,T-Shirts & Souvenirs,No
20128000060.0,B58-MT,Mobile Truck at McCarren Park,Request for Bids,Mobile Truck,No
20128200466.0,M124-SB,"For the operation of an outdoor café/food kiosk in First Park 
",Request for Proposals,Snack Bar,No
20138202521.0,M42-11-C,Pushcart at Inwood Hill Park,Request for Bids,Pushcart,No
20118203964.0,M10-37-C-CL,"Renovation, operation and maintenance of the Friedsam Memorial Carousel in Central Park",Request for Proposals,Carousel,No
20148202596.0,M10-W63-HP-C,Pushcart at Central Park - W 63 St,Request for Bids,Pushcart,No
,B336-A-IS,For the operation and management of the Abe Stark Recreational Facility ,Request for Proposals; Different Procedure (Other Procedure Authorization),Indoor Skating   ,No
20090008318.0,M104-IT,For the operation of an indoor tennis center on Randall's Island ,Requests for Proposals,Indoor Tennis,No
20128200241.0,B223-O(A)-SB,"Development, operation and maintenance of a snack bar at Lentol Triangle",Request for Proposals,Snack Bar,No
20158201096.0,B-40-O,Farmers Markets in Various Locations Citywide,Different Procedure/Sole Source,Farmers Markets,Yes 
20108201921.0,M125-NS,"for the renovation, operation and maintenance of a newsstand located at Avenue of the Americas and West 3rd Street",Request for Bids,Newsstand,No
,B126-BF,Renovation of Ballfield #3 and surrounding park property at Red Hook Park,Different procedure / Sole Source,Ballfield Restoration,Yes 
2016800030.0,M10-72-3C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20138204277.0,B329-MT,Mobile Truck at Lindower Park,Request for Bids,Mobile Truck,No
20158201486.0,B406-5-M,"A Marina  In The Paerdegat Basin, Located On The Westerly Side Of Paerdegat Avenue North At The Foot Of Paerdegat 11th Street",Request for Proposals,Marina,No
20080015650.0,B280-AP,"Renovation and operation of an amusement park at 1824 Shore Parkway, Brooklyn ",Request for Proposals,Amusement Park  ,No
20128204966.0,2011-008102,"Herald Square Plaza (Broadway and 6th Avenue between West 33rd and West 36th Streets); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20118000105.0,M10-1-O,"Operate and maintain or provide for the operation and maintenance of food, beverage and merchandise concessions related to the presentation of live events at Rumsey Playfield (Playfield), Central Park",Different Procedure (Sole Source),Other,No
20148203616.0,2013-055862,"Astor Place Plaza (Astor Place, Layfayette Street, East 9th Street and 4th Avenue); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20148204411.0,B218-MT,Mobile Truck at Paerdegat Park,Request for Bids,Mobile Truck,No
20158000120.0,B126-3-MT,Mobile Truck at Red Hook Recreation Area,Request for Bids,Mobile Truck,No
20118202928.0,M10-72-6C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20158204456.0,M10-15-SLB,Operation of a model sailboat rental service from one (1) non-motorized cart at Conservatory Waters in Central Park,Request for Proposals,"Other (Sports, Recreation & Events)",No
20100012953.0,2009-031425,"Broadway between 41st and 36th
Streets in Manhattan; Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20128200556.0,M03-C,Pushcart at Annunciation Park,Request for Bids,Pushcart,No
20158204801.0,M10-81-WD-C,Pushcart at Central Park - 81 St,Request for Bids,Pushcart,No
20138202539.0,M007-CG,Gourmet Cart at Bowling Green Park,Request for Proposals,Gourmet Cart,No
20070039331.0,,"Concession property is currently used for no other purpose than to provide waterborne transportation, emergency response service, and to perform all assosciated tasks necessary for the accomplishment of said purposes. ",Sole Source,Maritime Occupancy Permit,No
20148000031.0,B169-1-MT,Mobile Truck at Coney Island Beach & Boardwalk,Request for Bids,Mobile Truck,No
20130909005.0,,Concession property is currently used for the purpose of storing trailers and vehicle parking in conjunction with Villa Marin's car and truck dealership business.,Negotiated Concession,Non-Maritime Occupancy Permit,No
20138203722.0,M10-65-SB,"For the operation and maintenance of a snack bar at the Heckscher Ball Fields, Central Park",Request for Proposals,Snack Bar,No
20118204396.0,2011-006093,"Chelsea Plaza (Bounded by 9th Avenue, Hudson Street, 14th and 15th Streets); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20108201861.0,X2(3)-C,Pushcart at Bronx Park East,Request for Bids,Pushcart,No
20148203107.0,B28-TP,Tennis Professional Instruction at Dyker Beach Park,Request for Bids,Tennis Pro,No
20148203376.0,B369-PL,Operation of Parking Facilities at MCU Park in Steeplechase Park,Request for Proposals,Parking Lot,No
20128203196.0,M168-O,"the operation, management and maintenance of an outdoor café located in Mannahatta Park, and the maintenance of Mannahatta Park",Different Procedure/Sole Source,Snack Bar,No
20138202071.0,M13-NS,"For the Renovation, Operation and Maintenance of a Newsstand at City Hall Park, located at Murray Street on Broadway",Request for Proposals,Newsstand,No
20020010097.0,M10-(5)-A-IS,The operation  and  management  of the Wollman and Lasker Skating Rinks in Central Park,Request for Proposals (Original); Different Procedure (Amendment),Indoor Skating   ,No
2016800045.0,M104-PL,"Operation, maintenance and management of parking lots at Randall's Island",Request for Proposals,Parking Lot,Yes
20118000121.0,B66-MT,Mobile Truck at Owl's Head Park,Request for Bids,Mobile Truck,No
20138200961.0,M10-34-R,"For the Operation and Maintenance of a Casual Restaurant, Outdoor Café and Bar for Tavern on the Green",Request for Proposals,Restaurant,No
20138202221.0,B369-SB-CL,"Operation and Maintenance of the Coney Island Carousel, Food Service Facility and Special Event Concession.",Different procedure/Sole Source,Carousel,No
20158200826.0,B-406-1-M,"A Marina In The Paerdegat Basin, At The Foot Of Avenue U And Bergen Avenue, Brooklyn",Request for Proposals,Marina,No
20158203961.0,M10-74-WD-C,Pushcart at Central Park - 74 St,Request for Bids,Pushcart,No
20148202221.0,2008-037288,Ferry House Café and Optional Kiosk at Pier 11,Request for Bids,Restaurant,No
20138203601.0,M144-3-C,"For the Sale of Food from Pushcarts, Processing Carts and Mobile Trucks at Various Locations Citywide (Pushcart)",Request for Bids,Pushcart,No
20158200827.0,B-406-2-M,"A Marina  In The Paerdegat Basin, At The Foot Of Seaview Avenue And Paerdegat Avenue North, Brooklyn",Request for Proposals,Marina,No
20080001760.0,B9-SB,"For the operation of a take-away food service facility located on Joralemon Street between Court and Adams Street, Borough Hall Park, Brooklyn
",Request for Proposals,Snack Bar,No
20128203091.0,M10-62-WD-C,Pushcart at Central Park - 62 St,Request for Bids,Pushcart,No
20148203664.0,M144-TP,Tennis Professional Instruction at East River Park,Request for Bids,Tennis Pro,No
20148204111.0,B16-C,Pushcart at Maria Hernandez Park,Request for Bids,Pushcart,No
20138202643.0,M10-E82-GL-C,Pushcart at Central Park - E 82 St,Request for Bids,Pushcart,No
20138201037.0,M10-79-ED-C,Pushcart at Central Park - 79 St,Request for Bids,Pushcart,No
20130909004.0,,Skaggs Walsh owns property adjacent to the permitted site.  They use this property for the loading and unloading of oil and accessory business parking.,Negotiated Concession,Maritime Occupancy Permit,No
20108200093.0,M10-84-ED-C,Pushcart at Central Park - 84 St,Request for Bids,Pushcart,No
20070011387.0,,Use of City waterfront property for purposes related to the operation of the yacht club.,Sole Source,Maritime Occupancy Permit,No
20158204802.0,M10-72-1A-C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20138200766.0,B58-TR,Christmas Tree Sales at McCarren Park,Request for Bids,Christmas Trees,No
,,"Times Square Plaza (Broadway and 7th Avenue between West 41st and West 53rd Streets); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20148204097.0,B353-MT,Mobile Truck at Bergen Beach Playground,Request for Bids,Mobile Truck,No
20158200076.0,B73-SB,Operation and maintenance of food service concession in Prospect Park's Picnic House,Different procedure/Sole Source,Snack Bar,No
20138204276.0,B87-C,Pushcart at Sunset Park,Request for Bids,Pushcart,No
20108202836.0,,"Concession property is adjacent to Quinn's Restaurant and is currently used as additional parking in connection with the restaurant operations (Block 488, Part of Lot 15 and Block 489, Part of Lot 23).  ",Negotiated Concession,Non-Maritime Occupancy Permit,No
20148202161.0,M10-W109-C,Pushcart at Central Park - W 109 St,Request for Bids,Pushcart,No
20148202626.0,M10-W61-HP-C,Pushcart at Central Park - W 61 St,Request for Bids,Pushcart,No
20108200573.0,M10-96-WD-C,Pushcart at Central Park - 96 St,Request for Bids,Pushcart,No
,,The use is Marina related uses. ,Sole Source,Non-Maritime Occupancy Permit,No
20148201891.0,M10-73-BB-C,Pushcart at Central Park - 73 St,Request for Bids,Pushcart,No
20060023829.0,B166-D-M,For the Operation and Maintenance of a Full-Service Marina At Mill Basin,Request for Proposals,Marina ,No
20138202896.0,M14-MT,Mobile Truck at Jackie Robinson Park,Request for Bids,Mobile Truck,No
20128200587.0,B57-TR,Christmas Tree Sales at Marine Park,Request for Bids,Christmas Trees,No
20148203886.0,B251-TP,Tennis Professional Instruction at Manhattan Beach Park,Request for Bids,Tennis Pro,No
20108200094.0,M10-E66-SM-C,Pushcart at Central Park - E 66 St,Request for Bids,Pushcart,No
20148201501.0,B73-IS,Operation and maintenance of the Prospect Park Lakeside Center,Different procedure/Sole Source,Ice Skating,No
20138203046.0,M200/200A/220/229-MT,Mobile Truck at Anibal Aviles Park,Request for Bids,Mobile Truck,No
20148201847.0,2013-055865,"Old Fulton Plaza (Old Fulton Street between Front Street and Water Street); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20118203377.0,11HM000701R0X00,"The right to use the City Seal, City names and logos in connection with the development, operation and promotion of the New York City Drug Discount Card program in accordance with Local Law 19 of 2005. ",Request for Proposals,New York City Drug Discount Card Program,No
20108202476.0,"B251-SB,PL","The renovation, operation and management of a parking lot, snack bar and beach shop, the operation of three (3) mobile food vending units, and the option to provide and supervise up to five (5) beach hawkers to sell pre-packaged food and beverage products on the beach front, at Manhattan Beach Park, Brooklyn",Request for Proposals,Parking Lot,No
20122801111.0,2011-020542,"Ninth Avenue from Gansevoort Street to 14th Street; Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20148203212.0,M42-10-C,Pushcart at Inwood Hill Park,Request for Bids,Pushcart,No
20128204096.0,M104-B-M,Operation and Maintenance of a Ferry Service at Randalls Island Park,Request fo Proposals,Ferry - Marina,No
20100015489.0,M10-15-SLB,Operation of a model sailboat rental service from one (1) non-motorized cart at Conservatory Waters in Central Park,Request for Proposals,"Other (Sports, Recreation & Events)",No
20118201351.0,,Concession is for the use of security and emergency access in connection with Permittee's business located on the adjacent property.,Negotiated Concession,Non-Maritime Occupancy Permit,No
20148201591.0,,Vending Machines in DOT Facilities,Request for Bids,Vending Machine,No
20148201381.0,2013-032362,"Willoughby Plaza (Willoughby Street between Pearl Street and Adams Street); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20138201306.0,M10-72-1C-C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20108200391.0,M10-86-WD-C,Pushcart at Central Park - 86 St,Request for Bids,Pushcart,No
20128202971.0,M10-64-SB,"Renovation, operation and maintenance of a snack bar at the Harlem Meer, Central Park",Request for Proposals,Snack Bar,No
20118000107.0,B222-MT,Mobile Truck at BQE at Montague and Pierrepont Streets,Request for Bids,Mobile Truck,No
20118203796.0,,DCAS concession property is used for truck and auto parking and the storage of containers.,Request for Bids,Non-Maritime Occupancy Permit,No
20108200842.0,M10-33-SB,"the renovation, operation and maintenance of an outdoor café at Mineral Springs, Central Park",Request for Proposals,Snack Bar,No
20118200961.0,M10-SV,Souvenirs and gifts at gift shop in Central Park,Different Procedure (Sole Source),Souvenir,No
20138200588.0,B223-STR,Christmas Tree Sales at Macri Square,Request for Bids,Christmas Trees,No
20148203976.0,B126-O,"For the operation and maintenance of an ethnic and specialty food market, Red Hook Park",Request for Proposals,Other,No
20138203903.0,M10-O,"For the Management and Scheduling of Authorized Events at Conservatory Gardens, Central Park",Different Procedure/Sole Source,Other,No
20100011985.0,2009-031416,"5th Avenue and Broadway between 22nd
and 24th Streets; Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20100000391.0,071-08S-04-1157,"For the operation, management, maintenance of the Park Slope armory indoor athletic facility and community center, Brooklyn",Request for Proposals,Indoor Athletic Facility & Community Center at the Park Slope Armory,No
20138201307.0,B406-4-M,"For the Renovation, Operation and Maintenance of Sebago Canoe Marina at the Paerdegat Basin",Different Procedure/Sole Source,Marina,No
20148000030.0,B7-1-C,Pushcart at Bensonhurst Park,Request for Bids,Pushcart,No
20148201848.0,2013-055864,"Pearl Street Plaza (Anchorage Place, Pearl Street, and Water Street, including the pedestrian area underneath the Manhattan Bridge Arch); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20138202671.0,M10-70-ED-C,Pushcart at Central Park - 70 St,Request for Bids,Pushcart,No
20128203811.0,,"Riverside Machinery owns property adjacent to the permitted site.  This site is the sole driveway access to their building, and is used for accessory business parking.",Negotiated Concession,Non-Maritime Occupancy Permit,No
,,Food Court at Municipal Building Plazas,Request for Proposals,Food Concession,No
20158202971.0,M10-SV,Souvenirs and gifts at gift shop in Central Park,Different Procedure (Sole Source),Souvenir,Yes
20108200121.0,M10-72-1A-C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
,B251-PL,"Operation and maintenance of a parking lot for the accomodation of the public at Manhattan Beach Park, bounded by Prospect Street, Washington Street, and York Street, Brooklyn",Different procedure / Sole Source,Parking Lot,Yes 
20148201681.0,,residual digester gas recovery operations at the Newtown Creek Wastewater Treatment Plant through the use of the National Grid Purification System,Sole Source,Other,No
20158200828.0,B-406-3-M,"A Marina  In The Paerdegat Basin, Located On The Westerly Side Of Paerdegat Avenue North At The Foot Of Paerdegat 12th Street, Brooklyn",Request for Proposals,Marina,No
,B73-O,Special Events and Parkwide Food Service at Prospect Park,Different procedure / Sole Source,"Other (Sports, Recreation & Events)",Yes 
20128202206.0,B73-8-C,Pushcart at Prospect Park,Request for Bids,Pushcart,No
20118204426.0,M10-E64-CG,"Operation of one (1) mobile food unit at Parkside, East 64th Street & 5th Avenue, Central Park",Request for Proposals,Gourmet Cart,No
20148201471.0,M10-61-ED-C,Pushcart at Central Park - E 61 St,Request for Bids,Pushcart,No
20108200096.0,M10-72-3C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20138203992.0,M10-BK,For The Operation & Maintenance of Two Bookstalls and Related Tables on Fifth Avenue Between 60th & 61st Streets,Request for Proposals,Book Stalls,No
20090017338.0,M170-TR,Christmas Tree Sales at Joseph Petrosino Park,Request for Bids,Christmas Trees,No
20118000000.0,M10-63-ED-CG,"for the sale of specialty food from mobile food units at various vending locations in Central Park and Theodore Roosevelt Park, 
Manhattan",Request for Proposals,Gourmet Cart,No
20148200423.0,B73-5-C,Pushcart at Prospect Park,Request for Bids,Pushcart,No
20148200886.0,B58-IS,Seasonal Ice Rink at McCarren Park Pool,Request for Proposals,Ice Skating,No
20118204561.0,M116-TR,Christmas Tree Sales at Essex Playground,Request for Bids,Christmas Trees,No
20108201276.0,M10-72-2C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20158200601.0,M10-E65-C,Pushcart at Central Park - Children's Zoo,Request for Bids,Pushcart,No
20158204803.0,M10-W67-C,Pushcart at Central Park - W 67 St,Request for Bids,Pushcart,No
20118201473.0,M101-CG,Operation of a specialty mobile food unit at Worth Square,Request for Proposals,Gourmet Cart,No
20148203887.0,B51-TP,Tennis Professional Instruction at William E. Kelley Memorial Park,Request for Bids,Tennis Pro,No
20148200617.0,B57-BR-RB,Bike and Boat Rentals at Marine Park,Request for Proposals,Bike Rental,No
20070017309.0,,DCAS concession property is used for no other purpose than additional parking for patrons of the River Café restaurant.,Sole Source,Non-Maritime Occupancy Permit,No
,M10-1-O,"Operate and maintain or provide for the operation and maintenance of food, beverage and merchandise concessions related to the presentation of live events at Rumsey Playfield (Playfield), Central Park",Different Procedure/Sole Source,Other,Yes 
20118201471.0,B126-CG,Operation of a processing mobile truck at Red Hook Park,Request for Proposals,Gourmet Cart,No
20148203262.0,B57-TP,Tennis Professional Instruction at Marine Park,Request for Bids,Tennis Pro,No
20118203646.0,,DCAS concession property is used for office space and storage of supplies in  connection with Permitte's business. ,Request for Bids,Non-Maritime Occupancy Permit,No
20148200002.0,B58-IT,Indoor Tennis Facility at McCarren Park,Request for Proposals,Indoor Tennis,No
20148203977.0,B60-TP,Tennis Professional Instruction at McKinley Park,Request for Bids,Tennis Pro,No
20090010428.0,M10-15-SB,"The renovation, operation and maintenance of two snack bars adjacent to Conservatory Waters in Central Park",Request for Proposals,Snack Bar,No
20108200092.0,M10-74-WD-C,Pushcart at Central Park - 74 St,Request for Bids,Pushcart,No
20148202807.0,B32-TP,Tennis Professional Instruction at Fort Greene Park,Request for Bids,Tennis Pro,No
20128202131.0,M104-SB,"For the operation of one (1) interior food concession at Icahn Stadium at Randall’s Island Park, Manhattan, the construction and operation of a minimum of three (3) and a maximum of six (6) seasonal cafes at Randall’s Island Park, Manhattan, and the option of operating up to five (5) mobile food carts at Randall’s Island Park, Manhattan. This money goes directly to Randall's Island Sports Foundation. ",Requests for Proposals,Snack Bar,No
20138202537.0,M10-W96-C,Pushcart at Central Park - W 96 St,Request for Bids,Pushcart,No
,M10-DT-SB,"Food, beverage and merchadise concession at the Delacorte Theater in Central Park",Different procedure / Sole Source,Snack Bar,Yes 
20118200766.0,M10-W81-GL-CG,"Operation of a processing mobile cart at the Great Lawn, Central Park",Request for Proposals,Gourmet Cart,No
20108200557.0,M10-W65-C,Pushcart at Central Park - W 65 St,Request for Bids,Pushcart,No
20138202491.0,B58-2-C,Pushcart at McCarren Park,Request for Bids,Pushcart,No
20128200136.0,M042-4-C,Pushcart at Inwood Hill Park,Request for Bids,Pushcart,No
20090028792.0,M10-NM-SB,"The operation of a snack bar at North Meadow Recreation Center, Central Park",Request for Proposals,Snack Bar,No
20148203662.0,B294-TP,Tennis Professional Instruction at Jackie Robinson Park,Request for Bids,Tennis Pro,No
20118200722.0,M10-9-CG,"Operation of a processing mobile cart West of the Scholar’s Gate entrance at 60th Street, Central Park",Request for Proposals,Gourmet Cart,No
20118200661.0,,"Concession property is currently used for no other purpose than employee parking in conjunction with NYU Medical Center (Block 966, Part of Lot 999)",Sole Source,Non-Maritime Occupancy Permit,No
20128203736.0,,Ferry Street operates a construction business from their adjacent building.  They use the permitted area for ingress and egress to their property.  ,Negotiated Concession,Non-Maritime Occupancy Permit,No
20040018396.0,B68-IT,"For the Construction of a Tennis Clubhouse and the Operation, Maintenance, and Management of a Year-Round Tennis Facility at The Parade Ground, Prospect Park",Request for Proposals,Indoor Tennis  ,No
20118200616.0,,"Concession property is currently used for no other purpose than employee parking in conjunction with NYU Medical Center (Block 962, Part of Lot 999)",Sole Source,Non-Maritime Occupancy Permit,No
20148202821.0,M159-TP,Tennis Professional Instruction at Frederick Johnson Park,Request for Bids,Tennis Pro,No
20128203061.0,M10-59-C,Pushcart at Central Park - Columbus Circle,Request for Bids,Pushcart,No
20158204771.0,M10-86-WD-C,Pushcart at Central Park - 86 St,Request for Bids,Pushcart,No
20080034498.0,B406-O,"For the operation, maintenance and management of an athletic facility and two (2) snack bars in the Paerdegat Basin Waterway, Brooklyn",Requests for Proposals,"Other (Sports, Recreation & Events)",No
20000030714.0,"M10-(14)-BR,SB,R","The operation and maintenance of a restaurant, snack bar, and row boat and bicycle rental at the Loeb Memorial Boathouse in Central Park,",FY10 (Different Procedure); Original (Request for Proposals),Restaurant  ,No
20108200572.0,M10-E66-CD-C,Pushcart at Central Park - E 66 St,Request for Bids,Pushcart,No
20128202041.0,2011-025499,"Albee Square (Dekalb Avenue between Fulton Street, Bond Street and Albee Square); Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20090032323.0,B111-MT,Mobile Truck at JJ Byrne Park,Request for Bids ,Mobile Truck,No
20100010240.0,2009-031422,"Broadway and 7th Avenue between
W. 41st St. and W. 47th St.; Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,No
20128000046.0,B98-MT,Mobile Truck at Martin Luther King Playground,Request for Bids,Mobile Truck,No
20148000075.0,B159-C,Pushcart at Mount Prospect Park,Request for Bids,Pushcart,No
20158200256.0,M10-72-1B-C,Pushcart at Central Park - 72 St,Request for Bids,Pushcart,No
20148200422.0,B73-6-C,Pushcart at Prospect Park,Request for Bids,Pushcart,No
