principal_phone_number,location_1,admin_district_location_code,fiscal_year
212-925-1080,"{'latitude': '40.72463', 'longitude': '-74.005058', 'human_address': '{""address"": ""131 AVENUE OF THE AMERICAS"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10013""}'}",HS04,2016
212-312-4800,"{'latitude': '40.718025', 'longitude': '-74.013921', 'human_address': '{""address"": ""345 CHAMBERS STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10282""}'}",HS04,2016
212-458-0800,"{'latitude': '40.689493', 'longitude': '-74.018941', 'human_address': '{""address"": ""10 SOUTH STREET, SLIP 7"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10004""}'}",HS03,2016
212-752-4340,"{'latitude': '40.759248', 'longitude': '-73.967204', 'human_address': '{""address"": ""231-249 EAST 56 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS04,2016
212-678-2873,"{'latitude': '40.802653', 'longitude': '-73.965949', 'human_address': '{""address"": ""234 WEST 109 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-533-5340,"{'latitude': '40.730009', 'longitude': '-73.984496', 'human_address': '{""address"": ""185 1 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",M801,2016
212-225-0998,"{'latitude': '40.711441', 'longitude': '-74.000851', 'human_address': '{""address"": ""411 PEARL STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}",HS03,2016
212-865-9260,"{'latitude': '40.80261', 'longitude': '-73.954152', 'human_address': '{""address"": ""215 WEST 114 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10026""}'}",M803,2016
212-254-1803,"{'latitude': '40.738521', 'longitude': '-73.989481', 'human_address': '{""address"": ""890 BROADWAY"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",M802,2016
212-362-2015,"{'latitude': '40.786134', 'longitude': '-73.974483', 'human_address': '{""address"": ""145 WEST 84 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}",HS07,2016
212-799-1477,"{'latitude': '40.785234', 'longitude': '-73.974256', 'human_address': '{""address"": ""100 WEST 84 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}",M803,2016
917-326-6668,"{'latitude': '40.738374', 'longitude': '-73.981329', 'human_address': '{""address"": ""223 EAST 23 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10010""}'}",HS04,2016
212-226-8072,"{'latitude': '40.71866', 'longitude': '-73.998326', 'human_address': '{""address"": ""143 BAXTER STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10013""}'}",M802,2016
212-465-4230,"{'latitude': '40.760858', 'longitude': '-73.996262', 'human_address': '{""address"": ""522 WEST 44TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10036""}'}",HS12,2016
212-253-7076,"{'latitude': '40.735361', 'longitude': '-73.987064', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS04,2016
212-677-4680,"{'latitude': '40.719148', 'longitude': '-73.983769', 'human_address': '{""address"": ""123 RIDGE STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M801,2016
212-289-3702,"{'latitude': '40.785018', 'longitude': '-73.95042', 'human_address': '{""address"": ""1700 3 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}",M802,2016
212-799-1033,"{'latitude': '40.777603', 'longitude': '-73.984423', 'human_address': '{""address"": ""270 WEST 70 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",M803,2016
212-695-9115,"{'latitude': '40.753099', 'longitude': '-73.997641', 'human_address': '{""address"": ""425 WEST 33RD STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10001""}'}",M802,2016
212-586-0963,"{'latitude': '40.765474', 'longitude': '-73.9927', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}",HS04,2016
212-219-1204,"{'latitude': '40.716231', 'longitude': '-73.993607', 'human_address': '{""address"": ""100 HESTER STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M802,2016
212-227-0762,"{'latitude': '40.713362', 'longitude': '-73.986051', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M801,2016
646-672-9020,"{'latitude': '40.802649', 'longitude': '-73.948088', 'human_address': '{""address"": ""41 WEST 117 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10026""}'}",M803,2016
212-888-7848,"{'latitude': '40.763883', 'longitude': '-73.963861', 'human_address': '{""address"": ""213 EAST 63RD STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10065""}'}",M802,2016
212-222-2857,"{'latitude': '40.791395', 'longitude': '-73.971011', 'human_address': '{""address"": ""154 WEST 93 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-253-3299,"{'latitude': '40.735361', 'longitude': '-73.987064', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS07,2016
212-683-7440,"{'latitude': '40.741888', 'longitude': '-73.985723', 'human_address': '{""address"": ""55 EAST 25 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10010""}'}",HS04,2016
212-780-9175,"{'latitude': '40.732665', 'longitude': '-73.98259', 'human_address': '{""address"": ""345 EAST 15TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS04,2016
212-517-6728,"{'latitude': '40.765638', 'longitude': '-73.959777', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10065""}'}",HS12,2016
212-477-1735,"{'latitude': '40.72313', 'longitude': '-73.981597', 'human_address': '{""address"": ""600 EAST 6 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10009""}'}",M801,2016
212-675-2756,"{'latitude': '40.73545', 'longitude': '-73.999094', 'human_address': '{""address"": ""116 WEST 11 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",M802,2016
212-346-0007,"{'latitude': '40.708971', 'longitude': '-74.012465', 'human_address': '{""address"": ""90 TRINITY PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10006""}'}",HS04,2016
212-353-2010,"{'latitude': '40.732699', 'longitude': '-73.984333', 'human_address': '{""address"": ""240 2 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS10,2016
212-534-7490,"{'latitude': '40.798461', 'longitude': '-73.950146', 'human_address': '{""address"": ""20 WEST 112 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10026""}'}",M803,2016
212-267-5701,"{'latitude': '40.713362', 'longitude': '-73.986051', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",M801,2016
212-473-8152,"{'latitude': '40.72004', 'longitude': '-73.986038', 'human_address': '{""address"": ""145 STANTON STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",HS04,2016
212-280-8502,"{'latitude': '40.799098', 'longitude': '-73.965611', 'human_address': '{""address"": ""150 WEST 105 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}",M803,2016
212-691-6119,"{'latitude': '40.742512', 'longitude': '-74.002222', 'human_address': '{""address"": ""333 WEST 17 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}",M802,2016
917-432-5413,"{'latitude': '40.770215', 'longitude': '-73.950745', 'human_address': '{""address"": ""1458 YORK AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10075""}'}",M802,2016
212-757-4343,"{'latitude': '40.771603', 'longitude': '-73.987515', 'human_address': '{""address"": ""210 WEST 61 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10023""}'}",M803,2016
212-253-2480,"{'latitude': '40.735361', 'longitude': '-73.987064', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}",HS04,2016
