dbn,school,principal,peer_index,_2011_2012_additional_credit,_2009_10_progress_report
84K746,Hebrew Language Academy Charter School,Laura Silver,32.27,1.6,.
10X207,P.S. 207,Maria Rosado,63.02,4.2,C
02M422,Quest to Learn,Elisa Aragon,2.72,4.1,.
84Q321,Growing Up Green Charter School,Matthew Greenberg,32.89,1.9,.
01M378,School for Global Leaders,Carry Chan,2.33,4.0,B
03M145,"P.S. 145, The Bloomingdale School",Ivelisse Alvarez,65.64,3.8,B
02M111,P.S. 111 Adolph S. Ochs,Irma Medina,53.79,4.2,B
84K711,Leadership Preparatory Brownsville Charter Schoo,Darcy Richie,56.88,1.6,.
02M234,P.S. 234 Independence School,Lisa Ripperger,9.23,1.8,B
03M243,M.S. 243 Center School,Elaine Schwartz,3.71,1.2,B
75X186,P186X Walter J. Damrosch School,Ava Cara Kaplan,,4.8,F
02M131,M.S. 131,Phyllis Tam,2.72,4.3,B
01M292,Henry Street School for International Studies,Erin Mcmahon,1.82,2.7,C
03M076,P.S. 076 A. Philip Randolph,Charles Deberry,61.5,2.9,C
75Q004,P.S. Q004,Marcy Berger,,6.6,A
24Q305,Learners and Leaders,Lynn Botfeld,58.42,3.7,.
01M110,P.S. 110 Florence Nightingale,Karen Feuer,36.31,1.6,D
03M334,The Anderson School,Jodi Hyde,6.74,1.0,A
03M165,P.S. 165 Robert E. Simon,Aracelis Castellano,60.46,5.2,B
03M149,P.S. 149 Sojourner Truth,Barbara Darrigo,65.26,2.4,B
02M114,East Side Middle School,David Getz,3.54,3.4,A
04M007,P.S. 007 Samuel Stern,Sameer Talati,63.45,3.3,A
02M183,P.S. 183 Robert L. Stevenson,Jennifer Leventhal,13.75,3.4,B
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational,Gryssele Machicote,61.76,2.2,B
02M002,P.S. 002 Meyer London,Brett Gustafson,46.15,4.0,A
03M421,WEST PREP ACADEMY,Roberto Padilla,2.12,3.3,.
04M050,P.S. 050 Vito Marcantonio,Cynthia Rochez,69.05,4.4,C
75K372,P.S. 372 -The Children's School,Arthur Mattia,,5.9,A
02M077,P.S. 77 Lower Lab School,Mara Ratesic Koetke,9.27,2.0,A
04M182,The Bilingual Bicultural School,Andrea Hernandez,60.19,2.0,A
02M290,P.S. 290 Manhattan New School,Sharon Hill,10.06,2.7,A
04M155,P.S. 155 William Paca,Lillian Raimundi Ortiz,69.35,3.7,B
03M166,P.S. 166 The Richard Rodgers School of The Arts,Angela Olden Camiolo,23.34,2.0,D
03M208,P.S. 208 Alain L. Locke,Susan M. Green,65.75,3.9,C
03M185,P.S. 185 John M. Langston,Jane Murphy,61.11,3.0,C
01M019,P.S. 019 Asher Levy,Jacqueline Flanagan,47.89,3.6,C
02M006,P.S. 006 Lillie D. Blake,Lauren Fontana,10.33,3.4,B
22K361,P.S. 361 East Flatbush Early Childhood School,Dianne S. Martin,58.44,2.3,C
75Q075,Robert E. Peary School,Brenda Gallashaw,,6.1,C
02M003,P.S. 003 Charrette School,Lisa Siegman,17.08,3.2,B
02M150,P.S. 150,Maggie Siena,14.16,2.1,B
04M381,Global Neighborhood Secondary School,Luis Genao,1.86,4.4,C
84X487,Girls Preparatory Charter School of the Bronx,Josie Carbone,58.02,1.2,.
02M104,J.H.S. 104 Simon Baruch,Rosemarie Gaetani,3.06,3.3,B
10X209,P.S. 209,Anne Keegan,67.47,4.1,A
28Q303,The Academy for Excellence through the Arts,Barbara Leto,13.68,1.9,.
04M372,ESPERANZA PREPARATORY ACADEMY,Alex Estrella,2.09,3.9,A
04M013,J.H.S. 013 Jackie Robinson,Jacob Michelman,2.05,2.8,C
02M124,P.S. 124 Yung Wing,Alice Hom,21.55,2.1,A
75K771,P.S. K771,Denise D'anna,,4.3,A
03M054,J.H.S. 054 Booker T. Washington,Elana Elster,3.43,1.8,B
02M408,Professional Performing Arts High School,Keith Ryan,3.74,1.0,A
84K712,Excellence Girls Charter School,Celestina De La Garza,50.08,0.5,.
75K140,P.S. K140,Roderick Palton,,4.4,D
03M084,P.S. 084 Lillian Weber,Robin Sundick,41.93,2.6,C
02M260,M.S. 260 Clinton School Writers & Artists,Jonathan Levin,2.91,3.5,A
03M163,P.S. 163 Alfred E. Smith,Virginia Pepe,39.98,1.7,C
01M315,The East Village Community School,Robin Williams,31.48,2.1,C
03M075,P.S. 075 Emily Dickinson,Robert O'brien,47.53,1.9,C
05M175,P.S. 175 Henry H Garnet,Cheryl Mcclendon,64.75,1.1,B
25Q244,The Active Learning Elementary School,Robert Groff,25.76,7.1,.
02M167,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,3.08,3.2,B
01M839,Tompkins Square Middle School,Sonhando Estwick,2.67,3.9,A
02M217,P.S./I.S. 217 Roosevelt Island,Mandana Beckman,28.31,3.0,B
09X236,P.S. 236 Langston Hughes,Beverly Ellis,67.98,4.8,B
75X010,P.S. X010,Barbara Hanson,,6.0,A
01M361,The Children's Workshop School,Maria Velez Clarke,32.59,2.6,C
02M442,"Ballet Tech, NYC Public School for Dance",Roy Oneill,30.27,1.0,C
04M610,Young Women's Leadership School,Althea Bradshaw-Tyson,3.25,0.6,C
02M212,P.S. 212 Midtown West,Dean Ketchum,20.06,2.1,A
84X491,Academic Leadership Charter School,Norma Hurwitz,57.22,4.8,.
05M133,P.S. 133 Fred R Moore,Susan M. Vairo,67.45,2.9,C
01M020,P.S. 020 Anna Silver,James Lee,52.38,2.7,A
75M169,P.S. M169 - Robert F. Kennedy,Susan Finn,,4.3,D
75Q256,P.S. Q256,Oswaldo Roman,,6.1,A
02M225,Ella Baker School,Laura Garcia,40.22,2.1,B
30Q228,P.S. 228 Early Childhood Magnet School of the Ar,Olga Guzman,63.11,6.3,A
20K686,BROOKLYN SCHOOL OF INQUIRY,Donna Taylor,8.62,1.5,.
09X170,P.S. 170,Nancy Ramos,59.63,3.0,B
04M825,Isaac Newton Middle School for Math & Science,Lisa Nelson,2.65,2.1,C
